book_name,chapter,verse,word_order,wordform,target_verse_1,target_wo_1,relation_1,target_verse_2,target_wo_2,relation_2
Revelation,1,1,1,*)apoka/luyis,,,,,,
Revelation,1,1,2,*)ihsou=,1,1,modifier,,,
Revelation,1,1,3,"*xristou=,",1,2,modifier,,,
Revelation,1,1,4,h(\n,1,18,argument,,,
Revelation,1,1,5,e)/dwken,1,18,conjunction,,,
Revelation,1,1,6,au)tw=|,1,5,argument,,,
Revelation,1,1,7,o(,1,8,determiner,,,
Revelation,1,1,8,qeo\s,1,5,subject,,,
Revelation,1,1,9,dei=cai,1,5,argument,,,
Revelation,1,1,10,toi=s,1,11,determiner,,,
Revelation,1,1,11,dou/lois,1,9,argument,,,
Revelation,1,1,12,"au)tou=,",1,11,modifier,,,
Revelation,1,1,13,a(\,1,15,subject,,,
Revelation,1,1,14,dei=,1,9,argument,,,
Revelation,1,1,15,gene/sqai,1,14,argument,,,
Revelation,1,1,16,e)n,1,15,modifier,,,
Revelation,1,1,17,"ta/xei,",1,16,argument,,,
Revelation,1,1,18,kai\,1,1,relative_clause,,,
Revelation,1,1,19,e)sh/manen,1,18,conjunction,,,
Revelation,1,1,20,a)postei/las,1,19,modifier,,,
Revelation,1,1,21,dia\,1,20,modifier,,,
Revelation,1,1,22,tou=,1,23,determiner,,,
Revelation,1,1,23,a)gge/lou,1,21,argument,,,
Revelation,1,1,24,au)tou=,1,23,modifier,,,
Revelation,1,1,25,tw=|,1,26,determiner,,,
Revelation,1,1,26,dou/lw|,1,19,argument,,,
Revelation,1,1,27,au)tou=,1,26,modifier,,,
Revelation,1,1,28,"*)iwa/nnh|,",1,26,modifier,,,
Revelation,1,2,1,o(\s,2,2,subject,,,
Revelation,1,2,2,e)martu/rhsen,1,26,relative_clause,,,
Revelation,1,2,3,to\n,2,4,determiner,,,
Revelation,1,2,4,lo/gon,2,7,conjunction,,,
Revelation,1,2,5,tou=,2,6,determiner,,,
Revelation,1,2,6,qeou=,2,4,modifier,,,
