lemma_ascii,synonym
a)gaqourge/w,a)gaqoerge/w
a)la/bastros,a)la/bastron
a)mfia/zw,a)mfie/nnumi
*bhqsai+da/n,*bhqsai+da/
*bo/os,*bo/es
gami/zw,gami/skw
dio/rqwma,dio/rqwsis
e)a/nper,e)a/n
ei)de/a,ei)=dos
ei(/neken,e(/neken
e(kato/ntarxos,e(katonta/rxhs
e)mpaigmonh/,e)mpaigmo/s
e(/neka,e(/neken
e)/sqw,e)sqi/w
eu)=ge,eu)=
zhleu/w,zhlo/w
qeme/lion,qeme/lios
*)iskariw/q,*)iskariw/ths
*)iwbh/l,*)iwbh/d
kaqw/sper,kaqw/s
*kananai=os,*xananai=os
kath/gwr,kath/goros
kefa/laios,kefa/laion
klina/rion,klini/dion
ko/prion,kopri/a
korbana=s,korba=n
kukleu/w,kuklo/w
*maria/m,*mari/a
mh/ge,mh/
mh/tige,mh/ti
*nazara/,*nazare/t
*nazare/q,*nazare/t
ou)/,ou)
pezo/s,pezh=|
*salei/m,*salh/m
siti/on,si=tos
spla/gxnos,spla/gxnon
sta/dios,sta/dion
sunista/nw,suni/sthmi
fa/rmakon,farmako/s
fo/ron,fo/ros
xru/seos,xrusou=s
yi/c,yixi/on
