lemma_ascii,definition
*)aarw/n,Aaron
*)abaddw/n,Abaddon
*(/abel,Abel
*)abia/,Abijah
*)abiaqa/r,Abiathar
*)abilhnh/,Abilene
*)abiou/d,Abihud
*)abraa/m,Abraham
*(/agabos,Agabus
*(aga/r,Hagar
a)/gnafos,unshrunk
*)agri/ppas,Agrippa
*)ada/m,Adam
*)addi/,Addi
*)admi/n,Admin
*)adramutthno/s,Adramyttium
*)azw/r,Azor
*)/azwtos,Azotus
*)aqhnai=os,Athenian
*ai)qi/oy,Ethiopian
*ai)ne/as,Aeneas
*ai)nw/n,Aenon
*(akeldama/x,Akeldama
*)aku/las,Aquila
a)la/bastron,"globular vase without handles for holding perfume, often made of alabaster"
*)alecandreu/s,Alexandrian
*)alecandri=nos,Alexandrian
*)ale/candros,Alexander
a(llhloui+a/,hallelujah
a)/lfa,alpha
*(alfai=os,Alphaeus
*)aminada/b,Amminadab
*)amplia=tos,Ampliatus
*)amfi/polis,Amphipolis
*)amw/s,Amos
a)na/gaion,the upper floor of a house
*(anani/as,Ananias
*)andre/as,Andrew
*)andro/nikos,Andronicus
*(/anna,Anna
*(/annas,Annas
*)antio/xeia,Antioch
*)antioxeu/s,Antiochan
*)antipa=s,Antipas
*)antipatri/s,Antipatris
*)apellh=s,Apelles
*)apollu/wn,Apollyon
*)apollwni/a,Apollonia
*)apollw=s,Apollos
*)/appios,Appius
*)apfi/a,Apphia
*)ara/m,Aram
*)areopagi/ths,Areopagite
*(are/tas,Aretas
*(arimaqai/a,Arimathea
*)ari/starxos,Aristarchus
*)aristo/boulos,Aristobulus
*(armagedw/n,Armageddon
*)arni/,Arni
*)artema=s,Artemas
*)arfaca/d,Arphaxad
*)arxe/laos,Archelaus
*)/arxippos,Archippus
*)asa/f,Asaph
*)ash/r,Asher
*)asiano/s,Asian
*)=assos,Assos
*)asu/gkritos,Asyncritus
*)atta/leia,Attalia
*)axa/z,Ahaz
*)axi/m,Achim
*ba/al,Baal
*balaa/m,Balaam
*bala/k,Balak
*barabba=s,Barabbas
*bara/k,Barak
*baraxi/as,Berechiah
*barqolomai=os,Bartholemew
*barihsou=s,Bar-Jesus
*bariwna=,son of Jonah
*barnaba=s,Barnabas
*barsabba=s,Barsabbas
*bartimai=os,Bartimaeus
*beelzebou/l,Beelzebul
*belia/r,Beliar
*beniami/n,Benjamin
*berni/kh,Bernice
*be/roia,Berea
*beroiai=os,Berean
*bhqani/a,Bethany
*bhqesda/,Bethesda
*bhqle/em,Bethlehem
*bhqsai+da/,Bethsaida
*bhqsai+da/n,Bethsaida
*bhqfagh/,Bethphage
*biquni/a,Bithynia
*bla/stos,Blastus
*boanhrge/s,Boanerges
*bo/es,Boaz
*bo/os,Boaz
*boso/r,Beor
*gabbaqa,Gabbatha
*gabrih/l,Gabriel
*ga/d,Gad
*gadarhno/s,Gadarene
*ga/za,Gaza
*ga/i+os,Gaius
*gala/ths,Galatian
*galati/a,Galatia
*galatiko/s,Galatian
*galilai/a,Galilee
*galilai=os,Galilean
*galli/wn,Gallio
*gamalih/l,Gamaliel
*gedew/n,Gideon
*geqshmani/,Gethsemane
*gennhsare/t,Gennesaret
*gerashno/s,Gerasene
*golgoqa=,Golgotha
*go/morra,Gomorrah
graw/dhs,"old woman; silly, foolish"
*gw/g,Gog
*dalmanouqa/,Dalmanutha
*dalmati/a,Dalmatia
*da/maris,Damaris
*damaskhno/s,Damascan
*damasko/s,Damascus
*danih/l,Daniel
*daui/d,David
dekaoktw/,eighteen
dekape/nte,fifteen
dekate/ssares,fourteen
*derbai=os,of Derbe
*de/rbh,Derbe
*dhma=s,Demas
*dio/skouroi,Castor and Pollux
*diotre/fhs,Diotrephes
*dorka/s,Dorcas
dou/lh,female slave
*drou/silla,Drusilla
*)/eber,Eber
*(ebrai/+s,Hebrew
*(ebrai+sti/,in Hebrew
*(ezeki/as,Hezekiah
e)kdoxh/,expectation
*)elami/ths,Elamite
*)elea/zar,Eleazar
*)eliaki/m,Eliakim
*)elie/zer,Eliezer
*)eliou/d,Eliud
*)elisa/bet,Elizabeth
*)elisai=os,Elisha
*)elmada/m,Elmadam
*)elu/mas,Elymas
*)emmanouh/l,Emmanuel
*)emmaou=s,Emmaus
*(emmw/r,Hamor
*)enw/s,Enosh
*(enw/x,Enoch
*)epai/netos,Epaenetus
*)epafra=s,Epaphras
*)epafro/ditos,Epaphroditus
e)pide/xomai,"receive, welcome; pay attention to, acknowledge"
e)pitima/w,"command, order, rebuke"
*)/erastos,Erastus
*(erma=s,Hermas
*(ermoge/nhs,Hermogenes
*(esli/,Hesli
*(esrw/m,Hezron
e)/sw,inside
*eu(/a,Eve
*eu)/boulos,Eubulus
*eu)ni/kh,Eunice
*eu)odi/a,Euodia
*eu)/tuxos,Eutychus
*eu)fra/ths,Euphrates
*)efe/sios,Ephesus
*)efrai/m,Ephraim
*zaboulw/n,Zebulun
*zakxai=os,Zacchaeus
*za/ra,Zerah
*zaxari/as,Zechariah
*zebedai=os,Zebediah
*zhna=s,Zenas
*zorobabe/l,Zerubbabel
*)hli/,Eli
*)hli/as,Elijah
*)/hr,Er
*(hrw/|dhs,Herod
*(hrw|dianoi/,Herodians
*(hrw|dia/s,Herodias
*(hrw|di/wn,Herodion
*)hsai/+as,Isaiah
*)hsau=,Esau
*qaddai=os,Thaddaeus
*qama/r,Tamar
*qa/ra,Terah
*qeo/filos,Theophilus
*qessalonikeu/s,Thessalonian
*qessaloni/kh,Thessalonica
*qeuda=s,Theudas
*qua/teira,Thyatira
*qwma=s,Thomas
*)ia/i+ros,Jairus
*)iakw/b,Jacob
*)ia/kwbos,James
*)iambrh=s,Jambres
*)iannai/,Jannai
*)ia/nnhs,Jannes
*)ia/ret,Jared
*)ia/swn,Jason
*)idoumai/a,Idumea
*)ieza/bel,Jezebel
*(iera/polis,Hierapolis
*)ieremi/as,Jeremiah
*)ierixw/,Jericho
*(ieroso/luma,Jerusalem
*(ierosolumi/ths,resident of Jerusalem
*)ierousalh/m,Jerusalem
*)iessai/,Jesse
*)iefqa/e,Jephthah
*)iexoni/as,Jechoniah
*)ihsou=s,Jesus
*)iko/nion,Iconium
*)illuriko/n,Illyricum
*)io/pph,Joppa
*)iorda/nhs,Jordan
*)ioudai/a,Judaea
i)oudai/+zw,act as a Jew
*)ioudai+ko/s,Jewish
*)ioudai+smo/s,Judaism
*)iou/das,Judas
*)iouli/a,Julia
*)iou/lios,Julius
*)iouni/a,Junia
*)iou=stos,Justus
*)isaa/k,Isaac
*)iskariw/q,Iscariot
*)iskariw/ths,Iscariot
*)israh/l,Israel
*)israhli/ths,Israelite
*)issaxa/r,Issachar
*)itourai=os,Iturean
*)iwaqa/m,Jotham
*)iwana/n,Joanan
*)iwa/nna,Joanna
*)iwa/nnhs,John
*)iw/b,Job
*)iwbh/d,Obed
*)iwbh/l,Obed
*)iwda/,Joda
*)iwh/l,Joel
*)iwna/m,Jonam
*)iwna=s,Jonah
*)iwra/m,Joram
*)iwri/m,Jorim
*)iwsafa/t,Jehoshaphat
*)iwsh=s,Joses
*)iwsh/f,Joseph
*)iwsh/x,Josech
*)iwsi/as,Josiah
*kai+a/fas,Caiaphas
*ka/i+n,Cain
*kai+na/m,Cainan
*kaisa/reia,Caesarea
*kana/,Cana
*kananai=os,Canaanite
*kanda/kh,Candace
*kappadoki/a,Cappadocia
kataple/w,sail
kataxra/omai,use
*kau=da,Cauda
*kafarnaou/m,Capernaum
*kegxreai/,Cenchreae
*kedrw/n,Kedron
*khfa=s,Cephas
*kiliki/a,Cilicia
*ki/s,Kish
*klaudi/a,Claudia
*klau/dios,Claudius
*kleopa=s,Cleopas
*klh/mhs,Clement
*klwpa=s,Clopas
*kolossai/,Colossae
*ko/re,Korah
*kornh/lios,Cornelius
*kou/artos,Quartus
*krh/s,Cretan
*krh/skhs,Crescens
*kri/spos,Crispus
*kurhnai=os,of Cyrene
*kurh/nh,Cyrene
*kurh/nios,Quirinius
*kw/s,Cos
*kwsa/m,Cosam
*la/zaros,Lazarus
*la/mex,Lamech
*laodi/keia,Laodicea
*laodikeu/s,Laodicean
*lasai/a,Lasea
*leui/,Levi
*leui/s,Levi
*leuitiko/s,Levitical
*liberti=nos,"Libertine, Freedman"
*louka=s,Luke
*lou/kios,Lucius
*lu/dda,Lydda
*lukaonisti/,in the Lycaonian language
*lusani/as,Lysanius
*lusi/as,Lysias
*lu/stra,Lystra
*lwi/+s,Lois
*lw/t,Lot
*ma/aq,Maath
*magada/n,Magadan
*magdalhnh/,Magdalene
*magw/g,Magog
*madia/m,Midian
maqh/tria,female disciple
*maqqai=os,Matthew
*maqqa/t,Matthat
*maqqi/as,Matthias
*maqousala/,Methuselah
*makedoni/a,Macedonia
*makedw/n,Macedonian
*maleleh/l,Mahalelel
*ma/lxos,Malchus
*manah/n,Manaen
*manassh=s,Manasseh
*ma/rqa,Martha
*mari/a,Mary
*maria/m,Mary
*ma=rkos,Mark
*matqa/n,Matthan
*mattaqa/,Mattatha
*mattaqi/as,Mattathias
*melea/,Melea
*meli/th,Melita
*melxi/,Melchi
*melxise/dek,Melchizedek
*menna/,Menna
menou=n,rather; indeed
menou=nge,rather; indeed
me/ntoi,"but, nevertheless, however"
*mesopotami/a,Mesopotamia
meso/toixon,dividing wall
*messi/as,Messiah
*mi/lhtos,Miletus
*mitulh/nh,Mitylene
*mixah/l,Michael
*mna/swn,Mnason
*molo/x,Moloch
*mu/ra,Myra
mu/rioi,ten thousand
*musi/a,Mysia
*mwu+sh=s,Moses
*naassw/n,Nahshon
*naggai/,Naggai
*nazara/,Nazareth
*nazare/q,Nazareth
*nazare/t,Nazareth
*nazarhno/s,Nazarene
*nazwrai=os,Nazarene
*naqa/m,Nathan
*naqanah/l,Nathanael
*naima/n,Naaman
*nai/+n,Nain
*naou/m,Nahum
*na/rkissos,Narcissus
*naxw/r,Nahor
*nefqali/m,Naphthali
nh/,particle of strong affirmation
*nhri/,Neri
*ni/ger,Niger
*nika/nwr,Nicanor
*niko/dhmos,Nicodemus
*nikolai/+ths,Nicolaitan
*niko/laos,Nicolas
*niko/polis,Nicopolis
*nineui/ths,Ninevite
nossi/a,brood
nossi/on,young bird
nosso/s,young bird
*nu/mfas,Nymphas
*nw=e,Noah
*)ozi/as,Uzziah
o)ligopisti/a,little faith
o)loqreuth/s,destroyer
*)olumpa=s,Olympas
*)onh/simos,Onesimus
*)onhsi/foros,Onesiphorus
o)rqrino/s,early in the morning
*ou)rbano/s,Urbanus
*ou)ri/as,Uriah
ou)xi/,"no, not"
o)/felon,"would that, I wish"
*pa/gos,Areopagus
pandoxei=on,inn
parafroni/a,madness
*pa/rqos,Parthian
*parmena=s,Parmenas
parotru/nw,urge on
*pa/tara,Patara
*pa/tmos,Patmos
*patroba=s,Patrobas
*pau=los,Paul
*pa/fos,Paphos
penthkosth/,Pentecost
*pe/rgamos,Pergamum
*pe/rgh,Perga
perikefalai/a,"covering for the head, helmet"
*pe/tros,Peter
*pila=tos,Pilate
*pisidi/a,Pisidia
*pisi/dios,Pisidian
plh/sios,"near, close to; neighbor"
*po/ntios,Pontius
*po/ntos,Pontus
*po/plios,Publius
*po/rkios,Porcius
po/te,when?
pote/,at some time
*poti/oloi,Puteoli
*pou/dhs,Pudens
prau/+s,"humble, gentle"
prau/+ths,"humbleness, gentleness"
presbu=tis,old woman
*pri/ska,Prisca
*pri/skilla,Priscilla
proau/lion,forecourt
pro/i+mos,early rain
prosta/tis,"helper, colleague"
proswpolhmpte/w,show favoritism
*pro/xoros,Prochorus
prwi/+a,morning
prwi+no/s,morning
*pu/rros,Pyrrhus
*(raa/b,Rahab
*(ragau/,Reu
*(raifa/n,Rephan
*(rama/,Ramah
*(raxa/b,Rahab
*(raxh/l,Rachel
*(rebe/kka,Rebekkah
r(edh/,chariot
*(rh/gion,Rhegium
*(rhsa/,Rhesa
*(roboa/m,Rehoboam
*(ro/dh,Rhoda
*(ro/dos,Rhodes
*(roubh/n,Reuben
*(rou/q,Ruth
