Lemma,POS,genitive_singular
ἀγαθοποιΐα,noun,ἀγαθοποιΐας
ἀγαθοποιός,noun,ἀγαθοποιοῦ
ἄγαμος,noun,ἀγάμου
ἀγανάκτησις,noun,ἀγανακτήσεως
ἄγγος,noun,ἄγγους
ἀγέλη,noun,ἀγέλης
ἁγιασμός,noun,ἁγιασμοῦ
ἀγκάλη,noun,ἀγκάλης
ἄγκιστρον,noun,ἀγκίστρου
ἄγκυρα,noun,ἀγκύρας
ἁγνεία,noun,ἁγνείας
ἀγνόημα,noun,ἀγνοήματος
ἀγνωσία,noun,ἀγνωσίας
ἄγρα,noun,ἀγνωσίας
ἀγρυπνία,noun,ἀγρυπνίας
ἀγωγή,noun,ἀγωγῆς
ἀγών,noun,ἀγῶνας
ἀγωνία,noun,ἀγωνίας
ἀδελφότης,noun,ἀδελφότητος
ἀδηλότης,noun,ἀδηλότητος
ἀδίκημα,noun,ἀδικήματος
Ἀδρίας,noun,Ἀδρία
ἁδρότης,noun,ἁδρότητος
ἀθανασία,noun,ἀθανασίας
ἀθέτησις,noun,ἀθετήσεως
Ἀθῆναι,noun,Ἀθηνῶν
ἄθλησις,noun,ἀθλήσεως
αἰγιαλός,noun,αἰγιαλοῦ
Αἰθίοψ,noun,Αἰθίοπος
Αἰνέας,noun,Αἰνέου
αἴνιγμα,noun,αἰνίγματος
αἶνος,noun,αἰνοῦ
αἰσθητήριον,noun,αἰσθητηρίου
αἰσχρολογία,noun,αἰσχρολογίας
αἴτημα,noun,αἰτήματος
αἰτίωμα,noun,αἰτιώματος
αἰχμαλωσία,noun,αἰχμαλωσίας
αἰχμάλωτος,noun,αἰχμαλώτου
ἀκρίβεια,noun,ἀκριβείας
ἀκρίς,noun,ἀκρίδος
ἀκροατήριον,noun,ἀκροατηρίου
ἀκροατής,noun,ἀκροατοῦ
ἀκροθίνιον,noun,ἀκροθινίου
Ἀκύλας,noun,Ἀκύλα
ἀλάβαστρον,noun,ἀλαβάστρου
ἀλάβαστρος,noun,ἀλαβάστρου
ἀλαζονεία,noun,ἀλαζονείας
ἀλαζών,noun,ἀλαζόνος
ἅλας,noun,ἅλατος
ἀλέκτωρ,noun,ἀλέκτορος
Ἀλεξανδρεύς,noun,Ἀλεξανδρέως
ἁλιεύς,noun,ἁλιέως
ἀλίσγημα,noun,ἀλισγήματος
ἅλυσις,noun,ἁλύσεως
ἀλώπηξ,noun,ἀλώπεκος
ἀμοιβή,noun,ἀμοιβῆς
ἀμπελουργός,noun,ἀμπελουργοῦ
Ἀμπλιᾶτος,noun,Ἀμπλιάτου
ἀμφίβληστρον,noun,ἀμφιβλήστρου
Ἀμφίπολις,noun,Ἀμφιπόλεως
ἄμωμον,noun,ἀμώμου
ἀναβαθμός,noun,ἀναβαθμοῦ
ἀνάβλεψις,noun,ἀναβλέψεως
ἀναβολή,noun,ἀναβολῆς
ἀνάγαιον,noun,ἀναγαίου
ἀνάγνωσις,noun,ἀναγνώσεως
ἀνάθεμα,noun,ἀναθέματος
ἀναίδεια,noun,ἀναιδείας
ἀναίρεσις,noun,ἀναιρέσεως
ἀναλογία,noun,ἀναλογίας
ἀνάμνησις,noun,ἀναμνήσεως
Ἁνανίας,noun,Ἁνανίου
ἀνάπαυσις,noun,ἀναπαύσεως
ἀνάχυσις,noun,ἀναχύσεως
ἀνδραποδιστής,noun,ἀνδραποδιστοῦ
Ἀνδρόνικος,noun,Ἀνδρονίκου
ἀνδροφόνος,noun,ἀνδροφόνου
ἄνεσις,noun,ἀνέσεως
ἄνηθον,noun,ἀνήθου
ἀνθρακιά,noun,ἀνθρακιάς
ἄνοιξις,noun,ἀνοίξεως
ἀντάλλαγμα,noun,ἀνταλλάγματος
ἀνταπόδομα,noun,ἀνταποδόματος
ἀνταπόδοσις,noun,ἀνταποδόσεως
ἀντίθεσις,noun,ἀντιθέσεως
ἀντίλημψις,noun,ἀντιλήμψεως
ἀντίλυτρον,noun,ἀντιλύτρου
ἀντιμισθία,noun,ἀντιμισθίας
Ἀντιοχεύς,noun,Ἀντιοχέως
Ἀντιπατρίς,noun,Ἀντιπατρίδος
ἄντλημα,noun,ἀντλήματος
ἀπάντησις,noun,ἀπαντήσεως
ἀπαρτισμός,noun,ἀπαρτισμοῦ
ἀπαρχή,noun,ἀπαρχῆς
ἀπέκδυσις,noun,ἀπεκδύσεως
ἀπελεγμός,noun,ἀπελεγμοῦ
Ἀπελλῆς,noun,Ἀπελλῆ
ἀπόδειξις,noun,ἀποδείξεως
ἀποθήκη,noun,ἀποθήκης
ἀποκαραδοκία,noun,ἀποκαραδοκίας
ἀπόκριμα,noun,ἀποκρίματος
ἀπόκρισις,noun,ἀποκρίσεως
ἀπόλαυσις,noun,ἀπολαύσεως
Ἀπολλωνία,noun,Ἀπολλωνίας
ἀπορία,noun,ἀπορίας
ἀποστασία,noun,ἀποστασίας
ἀποτομία,noun,ἀποτομίας
ἀπουσία,noun,ἀπουσίας
ἀπόχρησις,noun,ἀπολαύσεως
Ἀπφία,noun,Ἀπφίας
Ἀραβία,noun,Ἀραβίας
Ἄραψ,noun,Ἄραβος
