lemma_ascii,synonym
a)gaqourge/w,a)gaqoerge/w
a(gio/ths,a(giwsu/nh
au)/cw,au)ca/nw
gami/skw,gami/zw
gunaika/rion,gunh/
diakaqari/zw,diakaqai/rw
dio/per,dio/
e)a/nper,ei)
ei(/neken,e(/neka
e(kato/ntarxos,e(katonta/rxhs
e)kqauma/zw,qauma/zw
e)legmo/s,e)/legcis
e)nanti/on,e)nanti/os
e(/neken,e(/neka
e)/ni,e)/neimi
e)/ntalma,e)ntolh/
e)coudene/w,e)coudeno/w
e)couqene/w,e)coudeno/w
e)pa/n,e)pei/
e)peidh/,e)pei/
e)peidh/per,e)pei/
e)pipoqi/a,e)pipo/qhsis
zhleu/w,zhlo/w
zugo/s,zugo/n
h)/toi,h)/
qeme/lion,qeme/lios
i(ero/n,i(ero/s
kaqa/per,kaqa/
kai/toige,kai/toi
kaqw/sper,kaqw/s
katabaru/nw,katabare/w
kataqemati/zw,a)naqemati/zw
kateuloge/w,eu)loge/w
kath/gwr,kath/goros
korbana=s,korba=n
mh/ge,mh/
mhdamw=s,mhdamo/s
mh/ti,mh/
mh/tige,mh/
nuxqh/meron,nuxqh/meros
oi)=da,ei)/dw
o)mnu/w,o)/mnumi
pia/zw,pie/zw
planh/ths,pla/nhs
pollaplasi/wn,pollapla/sios
porfuro/pwlis,porfuropw/lhs
prw=tos,pro/teros
sarkiko/s,sa/rkinos
sitisto/s,siteuto/s
strouqi/on,strouqo/s
sunista/nw,suni/sthmi
taxino/s,taxu/s
toigarou=n,toiga/r
u(ste/rhsis,u(ste/rhma
xrusou=s,xru/seos
