Lemma,POS,future_active,aorist_active,perfect_active,perfect_middle,future_passive
ἀγαθοποιέω,verb,,ἀγαθοεποίησα,,,
ἀγαλλιάω,verb,,ἠγαλλίασα,,,ἀγαλλιαθήσομαι
ἀγανακτέω,verb,,ἠγανάκτησα,,,
ἀγαπάω,verb,,,ἠγαπήκα,ἠγάπημαι,ἀγαπηθήσομαι
ἀγγαρεύω,verb,ἀγγαρεύσω,ἠγγάρευσα,,,
ἁγιάζω,verb,,ἡγίασα,,ἡγίασμαι,ἁγιασθήσομαι
ἁγνίζω,verb,,ἥγνισα,ἥγνικα,ἥγνισμαι,ἁγνισθήσομαι
ἀγνοέω,verb,,ἠγνόησα,,,
ἀγοράζω,verb,,,,ἠγόρασμαι,ἁγορασθήσομαι
ἀγρεύω,verb,,ἤγρευσα,,,
ἄγω,verb,ἄξω,ἤγαγον,,,ἀχθήσομαι
ἀδικέω,verb,ἀδικήσω,,,,ἀδικηθήσομαι
ἀδυνατέω,verb,ἀδυνατήσω,,,,
ἀθετέω,verb,,ἠθέτησα,,,
ἀθλέω,verb,,ἤθλησα,,,
ἀθροίζω,verb,,,,ἤθροισμαι,
αἱρέω,verb,αἱρήσομαι,εἱλάμην,,,
αἴρω,verb,,ἦρα,ἦρκα,ἤρμαι,ἀρθήσομαι
αἰσθάνομαι,verb,,ᾐσθόμην,,,
αἰτέω,verb,αἰτήσω,ᾔτησα,ᾔτηκα,,
αἰχμαλωτεύω,verb,,ᾐχμαλώτευσα,,,
αἰχμαλωτίζω,verb,,,,,αἰχμαλωτισθήσομαι
ἀκμάζω,verb,,ἤκμασα,,,
ἀκολουθέω,verb,,ἠκολούθησα,ἠκολούθηκα,,
ἀκούω,verb,ἀκούσω,,ἀκήκοα,,ἀκουσθήσομαι
ἀκριβόω,verb,,ἠκρίβωσα,,,
ἀκυρόω,verb,,ἠκύρωσα,,,
ἀλείφω,verb,,ἤλειψα,,,
ἁλίζω,verb,,,,,ἁλισθήσομαι
ἀλλάσσω,verb,ἀλλάξω,ἤλλαξα,,,ἀλλαγήσομαι
ἅλλομαι,verb,,ἡλάμην,,,
ἁμαρτάνω,verb,ἁμαρτήσω,,ἡμάρτηκα,,
ἀμάω,verb,,ἤμασα,,,
ἀμύνω,verb,,ἠμυνάμην,,,
ἀμφιέννυμι,verb,,,,ἠμφίεσμαι,
ἀναβαίνω,verb,ἀναβήσομαι,,,,
ἀναβάλλω,verb,,ἀνέβαλον,,,
ἀναβιβάζω,verb,,ἀνεβίβασα,,,
ἀναβοάω,verb,,ἀνεβόησα,,,
ἀναγγέλλω,verb,ἀναγγελῶ,ἀνήγγειλον,,,ἀναγγελήσομαι
ἀναγεννάω,verb,,ἀνεγέννησα,,ἀναγεγέννημαι,
ἀναγινώσκω,verb,,ἀνέγνωσα,,,ἀναγνωσθήσομαι
ἀναγκάζω,verb,,ἠνάγκασα,,,ἀναγκασθήσομαι
ἀναγνωρίζω,verb,,,,,ἀναγνωρισθήσομαι
ἀνάγω,verb,,ἀνήγαγον,,,ἀναχθήσομαι
ἀναδείκνυμι,verb,,ἀνέδειξα,,,
ἀναδέχομαι,verb,,ἀνεδεξάμην,,,
ἀναδίδωμι,verb,,ἀνέδωκα,,,
ἀναζάω,verb,,ἀνέζησα,,,
ἀναζητέω,verb,,ἀνεζήτησα,,,
ἀναζώννυμι,verb,,ἀνέζωσα,,,
ἀναθάλλω,verb,,ἀνέθαλον,,,
ἀναθεματίζω,verb,,ἀνεθεμάτισα,,,
ἀναιρέω,verb,ἀνελῶ,ἀνεῖλα,,,ἀναιρεθήσομαι
ἀνακαθίζω,verb,,ἀνεκάθισα,,,
ἀνακαλύπτω,verb,,,,ἀνακεκάλυμμαι,
ἀνακάμπτω,verb,,ἀνέκαμψα,,,
ἀνακεφαλαιόομαι,verb,,ἀνεκεφαλαίωσα,,,
