book,chapter,verse,position,head,word,new_relation
Heb,10,8,1,λέγων,ἀνώτερον,other
John,8,25,12,λαλῶ,ἀρχὴν,other
Col,2,19,21,αὔξει,αὔξησιν,cognate of verb
Phil,2,18,3,χαίρετε,αὐτὸ,other
Matt,27,44,3,ὠνείδιζον,αὐτὸ,other
Luke,7,29,14,βαπτισθέντες,βάπτισμα,other
Mark,10,38,19,βαπτισθῆναι,βάπτισμα,other
Mark,10,39,19,βαπτισθῆναι,βάπτισμα,other
Acts,27,28,6,διαστήσαντες,βραχὺ,amount
Rev,19,3,2,εἴρηκαν,δεύτερον,time
2Cor,13,2,7,παρὼν,δεύτερον,time
1Cor,12,28,12,προφήτας,δεύτερον,time
Acts,28,30,3,Ἐνέμεινεν,διετίαν,time
Acts,10,30,14,προσευχόμενος,ἐνάτην,time
Acts,11,26,10,συναχθῆναι,ἐνιαυτὸν,time
Mark,1,35,3,ἐξῆλθεν,ἔννυχα,time
Matt,9,20,6,αἱμορροοῦσα,ἔτη,time
Rev,20,6,33,βασιλεύσουσιν,ἔτη,time
Luke,15,29,10,δουλεύω,ἔτη,time
Rev,20,4,58,ἐβασίλευσαν,ἔτη,time
Luke,13,16,14,ἔδησεν,ἔτη,time
Rev,20,2,19,ἔδησεν,ἔτη,time
Acts,13,21,17,ἔδωκεν,ἔτη,time
Heb,3,10,2,εἶδον,ἔτη,time
Luke,13,11,7,ἔχουσα,ἔτη,time
John,5,5,8,ἔχων,ἔτη,time
Luke,2,36,18,ζήσασα,ἔτη,time
Acts,7,6,20,καὶ,ἔτη,time
Mark,5,25,8,οὖσα,ἔτη,time
Acts,7,36,19,ποιήσας,ἔτη,time
Acts,7,42,25,προσηνέγκατέ,ἔτη,time
Heb,3,17,5,προσώχθισεν,ἔτη,time
Luke,13,8,12,ἄφες,ἔτος,time
Acts,20,16,23,γενέσθαι,ἡμέραν,time
2Pet,2,8,10,ἐβασάνιζεν,ἡμέραν,time
Acts,21,7,16,ἐμείναμεν,ἡμέραν,time
John,1,39,17,ἔμειναν,ἡμέραν,time
Acts,5,42,3,ἐπαύοντο,ἡμέραν,time
Rom,8,36,9,θανατούμεθα,ἡμέραν,time
Rev,11,9,15,βλέπουσιν,ἡμέρας,time
Rev,11,6,13,βρέχῃ,ἡμέρας,time
Luke,21,37,4,διδάσκων,ἡμέρας,time
Acts,25,6,5,Διατρίψας,ἡμέρας,time
Acts,20,6,23,διετρίψαμεν,ἡμέρας,time
Acts,9,19,12,Ἐγένετο,ἡμέρας,time
