book,chapter,verse,position
Matt,1,20,30
Matt,1,21,4
Matt,1,21,12
Matt,1,23,10
Matt,1,24,15
Matt,1,25,1
Matt,2,2,9
Matt,2,2,17
Matt,2,3,6
Matt,2,7,7
Matt,2,8,13
Matt,2,9,6
Matt,2,11,14
Matt,2,11,18
Matt,2,13,32
Matt,2,14,12
Matt,2,16,9
Matt,2,22,20
Matt,3,5,2
Matt,3,16,15
Matt,4,5,2
Matt,4,6,1
Matt,4,8,2
Matt,4,9,1
Matt,4,24,27
Matt,5,32,18
Matt,6,5,9
Matt,6,16,15
Matt,6,26,1
Matt,6,33,1
Matt,7,13,1
Matt,7,13,6
Matt,7,13,19
Matt,7,14,14
Matt,8,9,1
Matt,8,15,6
Matt,8,16,13
Matt,8,26,10
Matt,8,32,24
Matt,8,33,4
Matt,8,34,11
Matt,9,5,3
Matt,9,6,1
Matt,9,9,14
Matt,9,18,18
Matt,9,28,6
Matt,10,21,7
Matt,10,35,1
Matt,11,7,18
Matt,11,8,5
Matt,11,27,3
Matt,12,15,11
Matt,12,16,1
Matt,12,18,16
Matt,12,45,3
Matt,12,45,12
Matt,13,2,13
Matt,13,5,3
Matt,13,5,12
Matt,13,6,5
Matt,13,7,7
Matt,13,8,9
Matt,13,34,3
Matt,13,41,1
Matt,13,42,1
Matt,13,44,2
Matt,14,1,5
Matt,14,2,12
Matt,14,2,16
Matt,14,10,1
Matt,14,11,12
Matt,14,12,12
Matt,14,14,6
Matt,14,20,6
Matt,14,26,10
Matt,14,30,6
Matt,14,35,15
Matt,14,36,1
Matt,15,29,12
Matt,15,30,16
Matt,15,30,23
Matt,15,32,24
Matt,15,36,8
Matt,15,37,6
Matt,15,39,9
Matt,16,4,6
Matt,16,10,1
Matt,16,18,9
Matt,16,18,18
Matt,16,19,1
Matt,16,19,21
Matt,16,22,15
Matt,16,23,14
Matt,16,26,5
Matt,16,27,1
Matt,17,1,17
Matt,17,2,5
Matt,17,5,7
Matt,17,12,24
Matt,17,16,7
Matt,17,18,6
Matt,17,20,11
Matt,17,27,17
Matt,18,28,6
Matt,18,31,8
Matt,19,2,6
Matt,19,5,17
Matt,19,12,1
Matt,19,12,18
Matt,20,6,6
Matt,20,12,8
Matt,20,17,13
Matt,20,18,5
Matt,20,18,15
Matt,20,19,1
Matt,20,19,13
Matt,20,34,5
Matt,21,2,10
Matt,21,7,1
Matt,21,7,13
Matt,21,9,16
Matt,21,9,22
Matt,21,12,7
Matt,21,12,17
Matt,21,13,1
Matt,21,13,14
Matt,21,14,10
Matt,21,17,10
Matt,21,19,11
Matt,21,19,20
Matt,21,23,23
Matt,21,26,1
Matt,21,26,13
Matt,21,33,22
Matt,21,36,2
Matt,22,3,12
Matt,22,7,4
Matt,22,16,24
Matt,22,17,1
Matt,22,22,4
Matt,23,13,21
Matt,24,1,9
Matt,24,7,6
Matt,24,9,6
Matt,24,14,17
Matt,24,24,1
Matt,24,27,1
Matt,24,30,13
Matt,24,31,9
Matt,25,9,18
Matt,25,10,5
Matt,25,10,17
Matt,25,15,1
Matt,25,15,18
Matt,25,25,1
Matt,25,27,1
Matt,25,27,10
Matt,25,33,1
Matt,26,2,9
Matt,26,3,2
Matt,26,19,10
Matt,26,24,14
Matt,26,36,2
Matt,26,38,13
Matt,26,40,10
Matt,26,49,9
Matt,26,51,14
Matt,26,58,8
Matt,26,59,8
Matt,26,64,7
Matt,27,5,9
Matt,27,29,1
Matt,27,29,17
Matt,27,30,1
Matt,27,35,4
Matt,27,40,14
Matt,27,42,9
Matt,27,51,14
Matt,27,51,18
Matt,27,52,1
Matt,27,60,1
Matt,27,60,14
Matt,27,64,25
Matt,28,16,5
Mark,1,5,13
Mark,1,13,12
Mark,1,13,17
Mark,1,20,1
Mark,1,30,5
Mark,1,31,13
Mark,1,34,8
Mark,1,34,12
Mark,1,37,1
Mark,1,44,1
Mark,2,2,12
Mark,2,4,14
Mark,2,13,14
Mark,2,14,12
Mark,2,15,9
Mark,2,22,9
Mark,2,22,24
Mark,2,23,11
Mark,3,13,11
Mark,3,16,5
Mark,3,17,12
Mark,3,27,20
Mark,3,32,6
Mark,4,1,23
Mark,4,5,1
Mark,4,6,1
Mark,4,7,1
Mark,4,8,1
Mark,4,8,15
Mark,4,31,1
Mark,4,32,1
Mark,4,36,12
Mark,4,37,6
Mark,4,39,16
Mark,4,41,5
Mark,5,4,19
Mark,5,7,1
Mark,5,13,14
Mark,5,13,26
Mark,5,15,6
Mark,5,15,18
Mark,5,20,14
Mark,5,21,17
Mark,5,22,8
Mark,5,24,10
Mark,5,29,9
Mark,5,38,8
Mark,5,39,1
Mark,5,40,8
Mark,5,43,9
Mark,6,1,4
Mark,6,1,10
Mark,6,7,5
Mark,6,7,11
Mark,6,9,4
Mark,6,11,1
Mark,6,13,1
Mark,6,13,5
Mark,6,14,12
Mark,6,19,6
Mark,6,20,4
Mark,6,20,13
Mark,6,20,21
Mark,6,28,13
Mark,6,30,8
Mark,6,31,15
Mark,6,31,23
Mark,6,33,8
Mark,6,34,6
Mark,6,34,17
Mark,6,41,27
Mark,6,50,10
Mark,6,51,8
Mark,6,56,19
Mark,7,3,8
Mark,7,4,9
Mark,7,24,16
Mark,7,32,7
Mark,7,33,17
Mark,7,34,1
Mark,7,34,7
Mark,7,35,6
Mark,7,35,13
Mark,8,6,23
Mark,8,8,5
Mark,8,14,5
Mark,8,23,12
Mark,8,25,3
Mark,9,3,1
Mark,9,2,15
Mark,9,4,7
Mark,9,5,14
Mark,9,7,6
Mark,9,12,11
Mark,9,15,9
Mark,9,18,8
Mark,9,18,24
Mark,9,20,14
Mark,9,22,1
Mark,9,22,14
Mark,9,23,10
Mark,9,30,3
Mark,9,32,3
Mark,9,37,14
Mark,10,1,14
Mark,10,1,20
Mark,10,12,1
Mark,10,21,18
Mark,10,21,22
Mark,10,21,27
Mark,10,25,2
Mark,10,27,15
Mark,10,32,1
Mark,10,32,9
Mark,10,45,1
Mark,10,52,15
Mark,11,2,11
Mark,11,3,16
Mark,11,4,13
Mark,11,7,8
Mark,11,7,14
Mark,11,9,9
Mark,11,10,1
Mark,11,10,9
Mark,11,13,15
Mark,11,13,28
Mark,11,15,20
Mark,11,16,1
Mark,11,18,8
Mark,11,28,1
Mark,11,28,9
Mark,12,1,9
Mark,12,1,10
Mark,12,1,19
Mark,12,1,23
Mark,12,8,5
Mark,12,9,8
Mark,12,11,3
Mark,12,11,5
Mark,12,12,5
Mark,12,18,11
Mark,12,20,9
Mark,12,21,6
Mark,12,37,3
Mark,13,6,2
Mark,13,12,10
Mark,13,15,7
Mark,13,16,1
Mark,13,34,19
Mark,14,16,1
Mark,14,16,15
Mark,14,21,15
Mark,14,23,7
Mark,14,28,1
Mark,14,32,9
Mark,14,33,11
Mark,14,34,1
Mark,14,34,13
Mark,14,35,8
Mark,14,36,1
Mark,14,37,7
Mark,14,40,13
Mark,14,51,10
Mark,14,53,8
Mark,14,54,15
Mark,14,55,8
Mark,14,56,3
Mark,14,62,7
Mark,14,65,18
Mark,14,67,1
Mark,15,16,4
Mark,15,19,10
Mark,15,20,16
Mark,15,44,4
Mark,15,46,19
Mark,16,5,15
Mark,16,7,19
Mark,16,8,17
Mark,16,14,7
Luke,1,12,5
Luke,1,15,1
Luke,1,15,7
Luke,1,15,14
Luke,1,19,15
Luke,1,21,8
Luke,1,22,4
Luke,1,22,20
Luke,1,26,7
Luke,1,31,9
Luke,1,32,4
Luke,1,32,8
Luke,1,33,10
Luke,1,39,8
Luke,1,41,18
Luke,1,42,1
Luke,1,56,1
Luke,1,57,4
Luke,1,58,17
Luke,1,59,12
Luke,1,64,1
Luke,1,65,9
Luke,1,66,1
Luke,1,69,1
Luke,1,80,5
Luke,2,7,1
Luke,2,9,11
Luke,2,25,10
Luke,2,25,21
Luke,2,40,9
Luke,2,44,11
Luke,2,48,5
Luke,2,51,9
Luke,3,5,4
Luke,3,11,13
Luke,3,14,18
Luke,4,1,6
Luke,4,2,15
Luke,4,9,6
Luke,4,16,8
Luke,4,16,22
Luke,4,22,18
Luke,4,29,1
Luke,4,29,8
Luke,4,33,11
Luke,4,36,6
Luke,4,38,15
Luke,4,39,8
Luke,4,42,14
Luke,4,42,18
Luke,5,2,1
Luke,5,12,16
Luke,5,15,1
Luke,5,17,11
Luke,5,18,11
Luke,5,26,9
Luke,5,27,14
Luke,6,1,1
Luke,6,6,1
Luke,6,11,3
Luke,6,12,1
Luke,6,13,9
Luke,6,23,13
Luke,6,26,13
Luke,6,32,18
Luke,6,33,16
Luke,6,34,16
Luke,7,8,5
Luke,7,9,6
Luke,7,11,11
Luke,7,12,17
Luke,7,12,21
Luke,7,14,10
Luke,7,15,8
Luke,7,16,1
Luke,7,21,5
Luke,7,24,19
Luke,7,25,5
Luke,7,26,5
Luke,7,37,10
Luke,7,38,23
Luke,8,1,20
Luke,8,5,20
Luke,8,6,7
Luke,8,7,8
Luke,8,8,9
Luke,8,19,1
Luke,8,22,16
Luke,8,23,12
Luke,8,27,21
Luke,8,29,14
Luke,8,29,22
Luke,8,33,8
Luke,8,35,6
Luke,8,35,11
Luke,8,41,8
Luke,8,41,14
Luke,8,44,9
Luke,8,55,6
Luke,8,55,9
Luke,9,1,5
Luke,9,4,1
Luke,9,5,1
Luke,9,7,1
Luke,9,11,17
Luke,9,17,6
Luke,9,40,9
Luke,9,42,11
Luke,9,45,3
Luke,9,45,7
Luke,9,52,1
Luke,10,4,2
Luke,10,7,13
Luke,10,11,16
Luke,10,19,2
Luke,10,20,13
Luke,10,22,3
Luke,10,22,8
Luke,10,31,6
Luke,10,33,8
Luke,10,34,22
Luke,10,35,15
Luke,10,40,23
Luke,10,42,3
Luke,10,42,12
Luke,11,7,12
Luke,11,7,13
Luke,11,7,24
Luke,11,11,11
