,book,chapter,verse,position,head,word
0,Matt,1,18,15,μνηστευθείσης,Ἰωσήφ
1,Matt,1,20,11,ἐφάνη,αὐτῷ
2,Matt,1,24,11,προσέταξεν,αὐτῷ
3,Matt,2,2,20,προσκυνῆσαι,αὐτῷ
4,Matt,2,8,17,ἀπαγγείλατέ,μοι
5,Matt,2,8,22,προσκυνήσω,αὐτῷ
6,Matt,2,11,17,προσεκύνησαν,αὐτῷ
7,Matt,2,11,24,προσήνεγκαν,αὐτῷ
8,Matt,2,13,11,φαίνεται,Ἰωσὴφ
9,Matt,2,19,12,φαίνεται,Ἰωσὴφ
10,Matt,3,7,19,ὑπέδειξεν,ὑμῖν
11,Matt,3,9,25,ἐγεῖραι,Ἀβραάμ
12,Matt,3,11,28,καὶ,πνεύματι
13,Matt,3,11,31,καὶ,πυρί
14,Matt,3,12,25,κατακαύσει,πυρὶ
15,Matt,3,15,14,ἐστὶν,ἡμῖν
16,Matt,4,6,16,ἐντελεῖται,ἀγγέλοις
17,Matt,4,7,2,ἔφη,αὐτῷ
18,Matt,4,8,12,δείκνυσιν,αὐτῷ
19,Matt,4,9,5,δώσω,σοι
20,Matt,4,9,11,προσκυνήσῃς,μοι
21,Matt,4,10,16,λατρεύσεις,αὐτῷ
22,Matt,4,11,12,διηκόνουν,αὐτῷ
23,Matt,4,16,11,καθημένοις,τοῖς
24,Matt,4,16,12,ἀνέτειλεν,καθημένοις
25,Matt,4,16,20,ἀνέτειλεν,αὐτοῖς
26,Matt,4,16,14,καὶ,χώρᾳ
27,Matt,4,16,16,καὶ,σκιᾷ
28,Matt,4,20,8,ἠκολούθησαν,αὐτῷ
29,Matt,4,22,12,ἠκολούθησαν,αὐτῷ
30,Matt,4,24,12,προσήνεγκαν,αὐτῷ
31,Matt,4,24,17,καὶ,ποικίλαις
32,Matt,4,24,18,καὶ,νόσοις
33,Matt,4,24,20,καὶ,βασάνοις
34,Matt,4,25,3,ἠκολούθησαν,αὐτῷ
35,Matt,5,1,13,προσῆλθαν,αὐτῷ
36,Matt,5,15,17,λάμπει,τοῖς
37,Matt,5,21,5,ἐρρέθη,ἀρχαίοις
38,Matt,5,21,15,ἔσται,κρίσει
39,Matt,5,22,10,ὀργιζόμενος,ἀδελφῷ
40,Matt,5,22,15,ἔσται,κρίσει
41,Matt,5,22,27,ἔσται,συνεδρίῳ
42,Matt,5,24,14,διαλλάγηθι,ἀδελφῷ
43,Matt,5,25,4,εὐνοῶν,ἀντιδίκῳ
44,Matt,5,25,21,παραδῷ,κριτῇ
45,Matt,5,29,18,συμφέρει,σοι
46,Matt,5,30,17,συμφέρει,σοι
47,Matt,5,31,10,δότω,αὐτῇ
48,Matt,5,33,6,ἐρρέθη,ἀρχαίοις
49,Matt,5,33,12,ἀποδώσεις,κυρίῳ
50,Matt,5,39,8,ἀντιστῆναι,πονηρῷ
51,Matt,5,39,18,στρέψον,αὐτῷ
52,Matt,5,40,2,θέλοντί,τῷ
53,Matt,5,40,3,ἄφες,θέλοντί
54,Matt,5,40,12,ἄφες,αὐτῷ
55,Matt,5,40,4,κριθῆναι,σοι
56,Matt,5,42,1,αἰτοῦντί,τῷ
57,Matt,5,42,2,δός,αἰτοῦντί
58,Matt,6,1,14,θεαθῆναι,αὐτοῖς
59,Matt,6,4,19,ἀποδώσει,σοι
60,Matt,6,5,25,φανῶσιν,ἀνθρώποις
61,Matt,6,6,17,πρόσευξαι,πατρί
62,Matt,6,6,33,ἀποδώσει,σοι
63,Matt,6,8,4,ὁμοιωθῆτε,αὐτοῖς
64,Matt,6,11,7,δὸς,ἡμῖν
65,Matt,6,12,3,ἄφες,ἡμῖν
66,Matt,6,12,12,ἀφήκαμεν,ὀφειλέταις
67,Matt,6,14,5,ἀφῆτε,ἀνθρώποις
68,Matt,6,15,6,ἀφῆτε,ἀνθρώποις
69,Matt,6,16,18,φανῶσιν,ἀνθρώποις
70,Matt,6,18,5,φανῇς,ἀνθρώποις
71,Matt,6,18,9,καὶ,πατρί
72,Matt,6,18,25,ἀποδώσει,σοι
73,Matt,6,19,3,θησαυρίζετε,ὑμῖν
74,Matt,6,20,3,θησαυρίζετε,ὑμῖν
75,Matt,6,24,4,δουλεύειν,κυρίοις
76,Matt,6,24,24,δουλεύειν,θεῷ
77,Matt,6,24,27,καὶ,μαμωνᾷ
78,Matt,6,25,8,μεριμνᾶτε,ψυχῇ
79,Matt,6,25,14,ἐνδύσησθε,σώματι
80,Matt,6,33,14,προστεθήσεται,ὑμῖν
81,Matt,7,2,13,μετρηθήσεται,ὑμῖν
82,Matt,7,6,6,δῶτε,κυσίν
83,Matt,7,7,4,δοθήσεται,ὑμῖν
84,Matt,7,7,11,ἀνοιγήσεται,ὑμῖν
85,Matt,7,8,11,κρούοντι,τῷ
86,Matt,7,8,12,ἀνοιγήσεται,κρούοντι
87,Matt,7,9,16,ἐπιδώσει,αὐτῷ
88,Matt,7,10,8,ἐπιδώσει,αὐτῷ
89,Matt,7,11,11,διδόναι,τέκνοις
90,Matt,7,11,24,αἰτοῦσιν,τοῖς
91,Matt,7,11,25,δώσει,αἰτοῦσιν
92,Matt,7,12,8,ποιῶσιν,ὑμῖν
93,Matt,7,12,15,ποιεῖτε,αὐτοῖς
94,Matt,7,22,13,ἐπροφητεύσαμεν,ὀνόματι
95,Matt,7,22,18,ἐξεβάλομεν,ὀνόματι
96,Matt,7,22,24,ἐποιήσαμεν,ὀνόματι
97,Matt,7,23,4,ὁμολογήσω,αὐτοῖς
98,Matt,7,24,13,ὁμοιωθήσεται,ἀνδρὶ
99,Matt,7,25,16,προσέπεσαν,οἰκίᾳ
100,Matt,7,26,14,ὁμοιωθήσεται,ἀνδρὶ
101,Matt,7,27,16,προσέκοψαν,οἰκίᾳ
102,Matt,8,1,8,ἠκολούθησαν,αὐτῷ
103,Matt,8,2,6,προσεκύνει,αὐτῷ
104,Matt,8,4,14,δεῖξον,ἱερεῖ
105,Matt,8,5,7,προσῆλθεν,αὐτῷ
