book,chapter,verse,position,head,word,new_relation
Luke,3,34,8,Ἀβραὰμ,Θάρα,relation
Luke,16,25,10,ἀγαθά,σου,possession
Phlm,1,14,16,ἀγαθόν,σου,other
Rom,14,16,4,ἀγαθόν,ὑμῶν,source
1John,4,12,16,ἀγάπη,αὐτοῦ,source
2Thess,1,3,22,ἀγάπη,ἑκάστου,subject
1John,2,5,14,ἀγάπη,θεοῦ,source
1John,3,17,27,ἀγάπη,θεοῦ,source
1John,4,9,7,ἀγάπη,θεοῦ,subject
1John,5,3,7,ἀγάπη,θεοῦ,object
2Cor,13,13,11,ἀγάπη,θεοῦ,subject
Rom,5,5,10,ἀγάπη,θεοῦ,subject
1Cor,16,24,3,ἀγάπη,μου,subject
1John,2,15,20,ἀγάπη,πατρὸς,object
Matt,24,12,11,ἀγάπη,πολλῶν,subject
Phil,1,9,7,ἀγάπη,ὑμῶν,subject
2Cor,5,14,5,ἀγάπη,Χριστοῦ,subject
John,15,10,21,ἀγάπῃ,αὐτοῦ,source
Jude,1,21,4,ἀγάπῃ,θεοῦ,source
John,15,10,10,ἀγάπῃ,μου,source
3John,1,6,3,ἀγάπῃ,σου,subject
Phlm,1,7,10,ἀγάπῃ,σου,subject
2Thess,2,10,13,ἀγάπην,ἀληθείας,object
Eph,2,4,12,ἀγάπην,αὐτοῦ,subject
Rom,5,8,4,ἀγάπην,ἑαυτοῦ,subject
2Thess,3,5,12,ἀγάπην,θεοῦ,object
John,5,42,8,ἀγάπην,θεοῦ,object
Luke,11,42,24,ἀγάπην,θεοῦ,object
Rev,2,4,8,ἀγάπην,σου,subject
Col,1,8,6,ἀγάπην,ὑμῶν,subject
Eph,3,19,9,ἀγάπην,Χριστοῦ,subject
Col,1,13,18,ἀγάπης,αὐτοῦ,subject
Rom,8,39,16,ἀγάπης,θεοῦ,subject
Rom,15,30,16,ἀγάπης,πνεύματος,source
2Cor,8,8,13,ἀγάπης,ὑμετέρας,subject
2Cor,8,24,6,ἀγάπης,ὑμῶν,subject
Rom,8,35,8,ἀγάπης,Χριστοῦ,subject
1Cor,10,14,3,ἀγαπητοί,μου,subject
Phil,2,12,3,ἀγαπητοί,μου,subject
Acts,15,25,13,ἀγαπητοῖς,ἡμῶν,subject
Rom,1,7,7,ἀγαπητοῖς,θεοῦ,subject
Rom,16,5,11,ἀγαπητόν,μου,subject
Rom,16,8,5,ἀγαπητόν,μου,subject
Rom,16,9,12,ἀγαπητόν,μου,subject
2Pet,1,17,22,ἀγαπητός,μου,subject
Matt,12,18,9,ἀγαπητός,μου,subject
Rev,12,7,12,ἄγγελοι,αὐτοῦ,relation
Rev,12,7,25,ἄγγελοι,αὐτοῦ,relation
Rev,12,9,29,ἄγγελοι,αὐτοῦ,relation
Matt,18,10,14,ἄγγελοι,αὐτῶν,relation
Rev,1,20,24,ἄγγελοι,ἐκκλησιῶν,other
Heb,1,6,16,ἄγγελοι,θεοῦ,relation
Matt,22,30,12,ἄγγελοι,θεοῦ,relation
Matt,24,36,14,ἄγγελοι,οὐρανῶν,location
Luke,4,10,6,ἀγγέλοις,αὐτοῦ,relation
Matt,4,6,17,ἀγγέλοις,αὐτοῦ,relation
Matt,25,41,24,ἀγγέλοις,αὐτοῦ,relation
Rev,9,11,8,ἄγγελον,ἀβύσσου,other
Acts,12,11,17,ἄγγελον,αὐτοῦ,relation
Rev,22,6,22,ἄγγελον,αὐτοῦ,relation
Acts,10,3,13,ἄγγελον,θεοῦ,relation
Gal,4,14,16,ἄγγελον,θεοῦ,relation
2Cor,11,14,11,ἄγγελον,φωτός,property
Luke,7,27,10,ἄγγελόν,μου,relation
Mark,1,2,12,ἄγγελόν,μου,relation
Matt,11,10,11,ἄγγελόν,μου,relation
Rev,22,16,6,ἄγγελόν,μου,relation
Acts,27,23,8,ἄγγελος,θεοῦ,relation
Acts,5,19,3,ἄγγελος,κυρίου,relation
Acts,8,26,3,Ἄγγελος,κυρίου,relation
Acts,12,7,4,ἄγγελος,κυρίου,relation
Acts,12,23,6,ἄγγελος,κυρίου,relation
Luke,1,11,5,ἄγγελος,κυρίου,relation
Luke,2,9,3,ἄγγελος,κυρίου,relation
Matt,1,20,7,ἄγγελος,κυρίου,relation
Matt,1,24,14,ἄγγελος,κυρίου,relation
Matt,2,13,6,ἄγγελος,κυρίου,relation
Matt,2,19,7,ἄγγελος,κυρίου,relation
Matt,28,2,8,ἄγγελος,κυρίου,relation
2Cor,12,7,16,ἄγγελος,Σατανᾶ,relation
Acts,12,15,18,ἄγγελός,αὐτοῦ,relation
Rev,1,1,24,ἀγγέλου,αὐτοῦ,relation
Rev,16,5,6,ἀγγέλου,ὑδάτων,other
Heb,1,7,11,ἀγγέλους,αὐτοῦ,relation
Matt,13,41,8,ἀγγέλους,αὐτοῦ,relation
Matt,24,31,5,ἀγγέλους,αὐτοῦ,relation
John,1,51,16,ἀγγέλους,θεοῦ,relation
Rev,2,1,6,ἀγγέλῳ,ἐκκλησίας,other
Rev,2,8,7,ἀγγέλῳ,ἐκκλησίας,other
Rev,2,12,7,ἀγγέλῳ,ἐκκλησίας,other
Rev,2,18,7,ἀγγέλῳ,ἐκκλησίας,other
Rev,3,1,7,ἀγγέλῳ,ἐκκλησίας,other
Rev,3,7,7,ἀγγέλῳ,ἐκκλησίας,other
Rev,3,14,7,ἀγγέλῳ,ἐκκλησίας,other
Matt,16,27,17,ἀγγέλων,αὐτοῦ,relation
Rev,3,5,33,ἀγγέλων,αὐτοῦ,relation
2Thess,1,7,18,ἀγγέλων,δυνάμεως,property
Luke,12,8,25,ἀγγέλων,θεοῦ,relation
Luke,12,9,13,ἀγγέλων,θεοῦ,relation
Luke,15,10,10,ἀγγέλων,θεοῦ,relation
Luke,7,24,5,ἀγγέλων,Ἰωάννου,relation
Luke,8,32,5,ἀγέλη,χοίρων,material
Mark,5,11,8,ἀγέλη,χοίρων,material
Matt,8,30,7,ἀγέλη,χοίρων,material
Matt,8,31,16,ἀγέλην,χοίρων,material
1Cor,1,28,5,ἀγενῆ,κόσμου,location
Heb,9,3,10,Ἅγια,Ἁγίων,other
1Thess,4,3,9,ἁγιασμὸς,ὑμῶν,object
1Pet,1,2,7,ἁγιασμῷ,πνεύματος,subject
2Thess,2,13,24,ἁγιασμῷ,πνεύματος,subject
2Thess,1,10,7,ἁγίοις,αὐτοῦ,relation
Col,1,26,17,ἁγίοις,αὐτοῦ,relation
Acts,9,13,16,ἁγίοις,σου,relation
John,6,69,12,ἅγιος,θεοῦ,source
Luke,4,34,18,ἅγιος,θεοῦ,source
Mark,1,24,18,ἅγιος,θεοῦ,source
Heb,12,10,22,ἁγιότητος,αὐτοῦ,source
1Thess,3,13,27,ἁγίων,αὐτοῦ,relation
Heb,6,19,6,ἄγκυραν,ψυχῆς,other
1Pet,1,14,11,ἀγνοίᾳ,ὑμῶν,subject
1Pet,2,15,13,ἀγνωσίαν,ἀνθρώπων,source
1Cor,15,34,8,ἀγνωσίαν,θεοῦ,object
Luke,5,9,14,ἄγρᾳ,ἰχθύων,material
Matt,27,10,8,ἀγρὸν,κεραμέως,other
Luke,15,15,16,ἀγροὺς,αὐτοῦ,possession
Matt,13,24,18,ἀγρῷ,αὐτοῦ,possession
Matt,13,31,21,ἀγρῷ,αὐτοῦ,possession
1Tim,6,12,6,ἀγῶνα,πίστεως,other
Luke,3,38,8,Ἀδὰμ,θεοῦ,relation
Luke,3,28,6,Ἀδδὶ,Κωσὰμ,relation
Mark,6,3,24,ἀδελφαὶ,αὐτοῦ,relation
Matt,13,56,4,ἀδελφαὶ,αὐτοῦ,relation
Luke,10,40,18,ἀδελφή,μου,relation
John,19,25,15,ἀδελφὴ,μητρὸς,relation
John,11,39,12,ἀδελφὴ,τετελευτηκότος,relation
John,11,5,10,ἀδελφὴν,αὐτῆς,relation
John,11,28,10,ἀδελφὴν,αὐτῆς,relation
Rom,16,15,9,ἀδελφὴν,αὐτοῦ,relation
Rom,16,1,7,ἀδελφὴν,ἡμῶν,relation
John,11,1,16,ἀδελφῆς,αὐτῆς,relation
Acts,23,16,7,ἀδελφῆς,Παύλου,relation
2John,1,13,7,ἀδελφῆς,σου,relation
1Cor,1,11,7,ἀδελφοί,μου,relation
1Cor,11,33,3,ἀδελφοί,μου,relation
1Cor,14,39,3,ἀδελφοί,μου,relation
1Cor,15,58,3,ἀδελφοί,μου,relation
Jas,1,2,5,ἀδελφοί,μου,relation
Jas,1,16,4,ἀδελφοί,μου,relation
Jas,1,19,3,ἀδελφοί,μου,relation
Jas,2,1,2,Ἀδελφοί,μου,relation
Jas,2,5,3,ἀδελφοί,μου,relation
Jas,2,14,4,ἀδελφοί,μου,relation
Jas,3,1,6,ἀδελφοί,μου,relation
Jas,3,10,12,ἀδελφοί,μου,relation
Jas,3,12,4,ἀδελφοί,μου,relation
Jas,5,12,5,ἀδελφοί,μου,relation
Jas,5,19,2,Ἀδελφοί,μου,relation
Luke,8,21,11,ἀδελφοί,μου,relation
Mark,3,33,13,ἀδελφοί,μου,relation
Mark,3,34,16,ἀδελφοί,μου,relation
Matt,12,48,18,ἀδελφοί,μου,relation
Matt,12,49,18,ἀδελφοί,μου,relation
Phil,3,1,4,ἀδελφοί,μου,relation
Phil,4,1,3,ἀδελφοί,μου,relation
Rom,7,4,3,ἀδελφοί,μου,relation
Rom,15,14,4,ἀδελφοί,μου,relation
Luke,8,20,10,ἀδελφοί,σου,relation
Mark,3,32,16,ἀδελφοί,σου,relation
Matt,12,47,12,ἀδελφοί,σου,relation
John,7,3,7,ἀδελφοὶ,αὐτοῦ,relation
John,7,5,5,ἀδελφοὶ,αὐτοῦ,relation
John,7,10,6,ἀδελφοὶ,αὐτοῦ,relation
Luke,8,19,10,ἀδελφοὶ,αὐτοῦ,relation
Mark,3,31,9,ἀδελφοὶ,αὐτοῦ,relation
Matt,12,46,13,ἀδελφοὶ,αὐτοῦ,relation
Matt,13,55,17,ἀδελφοὶ,αὐτοῦ,relation
Rev,6,11,24,ἀδελφοὶ,αὐτῶν,relation
2Cor,8,23,12,ἀδελφοὶ,ἡμῶν,relation
1Cor,9,5,17,ἀδελφοὶ,κυρίου,relation
Acts,1,14,20,ἀδελφοῖς,αὐτοῦ,relation
Acts,7,13,9,ἀδελφοῖς,αὐτοῦ,relation
Heb,2,12,8,ἀδελφοῖς,μου,relation
Matt,28,10,12,ἀδελφοῖς,μου,relation
1Cor,8,13,7,ἀδελφόν,μου,relation
1Cor,8,13,19,ἀδελφόν,μου,relation
2Cor,2,13,14,ἀδελφόν,μου,relation
Matt,18,15,23,ἀδελφόν,σου,relation
Rom,14,10,7,ἀδελφόν,σου,relation
Rom,14,10,15,ἀδελφόν,σου,relation
1John,2,9,10,ἀδελφὸν,αὐτοῦ,relation
1John,2,10,5,ἀδελφὸν,αὐτοῦ,relation
1John,2,11,6,ἀδελφὸν,αὐτοῦ,relation
1John,3,10,30,ἀδελφὸν,αὐτοῦ,relation
1John,3,12,12,ἀδελφὸν,αὐτοῦ,relation
1John,3,15,6,ἀδελφὸν,αὐτοῦ,relation
1John,3,17,13,ἀδελφὸν,αὐτοῦ,relation
1John,4,20,11,ἀδελφὸν,αὐτοῦ,relation
1John,4,20,21,ἀδελφὸν,αὐτοῦ,relation
1John,4,21,17,ἀδελφὸν,αὐτοῦ,relation
1John,5,16,6,ἀδελφὸν,αὐτοῦ,relation
1Thess,4,6,11,ἀδελφὸν,αὐτοῦ,relation
Heb,8,11,13,ἀδελφὸν,αὐτοῦ,relation
Jas,4,11,12,ἀδελφὸν,αὐτοῦ,relation
Luke,6,14,10,ἀδελφὸν,αὐτοῦ,relation
Mark,1,19,13,ἀδελφὸν,αὐτοῦ,relation
Matt,4,18,19,ἀδελφὸν,αὐτοῦ,relation
Matt,4,21,16,ἀδελφὸν,αὐτοῦ,relation
Matt,17,1,16,ἀδελφὸν,αὐτοῦ,relation
1Thess,3,2,6,ἀδελφὸν,ἡμῶν,relation
2Cor,8,22,6,ἀδελφὸν,ἡμῶν,relation
Heb,13,23,4,ἀδελφὸν,ἡμῶν,relation
Mark,3,17,11,ἀδελφὸν,Ἰακώβου,relation
Mark,5,37,18,ἀδελφὸν,Ἰακώβου,relation
Acts,12,2,6,ἀδελφὸν,Ἰωάννου,relation
Gal,1,19,13,ἀδελφὸν,κυρίου,relation
Mark,1,16,14,ἀδελφὸν,Σίμωνος,relation
John,11,21,17,ἀδελφός,μου,relation
John,11,32,24,ἀδελφός,μου,relation
Mark,3,35,11,ἀδελφός,μου,relation
Matt,18,21,14,ἀδελφός,μου,relation
John,11,23,8,ἀδελφός,σου,relation
Luke,15,27,8,ἀδελφός,σου,relation
Luke,15,32,9,ἀδελφός,σου,relation
Luke,17,3,7,ἀδελφός,σου,relation
Matt,5,23,15,ἀδελφός,σου,relation
Matt,18,15,8,ἀδελφός,σου,relation
Rom,14,15,7,ἀδελφός,σου,relation
Rom,14,21,14,ἀδελφός,σου,relation
Luke,20,28,20,ἀδελφὸς,αὐτοῦ,relation
Mark,12,19,21,ἀδελφὸς,αὐτοῦ,relation
Matt,10,2,18,ἀδελφὸς,αὐτοῦ,relation
Matt,10,2,27,ἀδελφὸς,αὐτοῦ,relation
Matt,22,24,14,ἀδελφὸς,αὐτοῦ,relation
2Pet,3,15,13,ἀδελφὸς,ἡμῶν,relation
John,11,2,17,ἀδελφὸς,ἧς,relation
Jude,1,1,7,ἀδελφὸς,Ἰακώβου,relation
Mark,6,3,13,ἀδελφὸς,καὶ,relation
John,1,40,5,ἀδελφὸς,Σίμωνος,relation
John,6,8,11,ἀδελφὸς,Σίμωνος,relation
Luke,20,28,7,ἀδελφὸς,τινος,relation
Mark,12,19,7,ἀδελφὸς,τινος,relation
Rev,1,9,5,ἀδελφὸς,ὑμῶν,relation
1Pet,5,9,15,ἀδελφότητι,ὑμῶν,relation
1Cor,6,5,19,ἀδελφοῦ,αὐτοῦ,relation
1John,3,12,28,ἀδελφοῦ,αὐτοῦ,relation
Luke,3,1,23,ἀδελφοῦ,αὐτοῦ,relation
Luke,3,19,15,ἀδελφοῦ,αὐτοῦ,relation
Mark,6,17,21,ἀδελφοῦ,αὐτοῦ,relation
Matt,14,3,20,ἀδελφοῦ,αὐτοῦ,relation
Luke,6,41,12,ἀδελφοῦ,σου,relation
Luke,6,42,46,ἀδελφοῦ,σου,relation
Mark,6,18,16,ἀδελφοῦ,σου,relation
Matt,7,3,12,ἀδελφοῦ,σου,relation
Matt,7,5,21,ἀδελφοῦ,σου,relation
John,20,17,18,ἀδελφούς,μου,relation
Luke,14,12,20,ἀδελφούς,σου,relation
Luke,22,32,19,ἀδελφούς,σου,relation
Acts,7,23,15,ἀδελφοὺς,αὐτοῦ,relation
Matt,1,2,18,ἀδελφοὺς,αὐτοῦ,relation
Matt,1,11,9,ἀδελφοὺς,αὐτοῦ,relation
Heb,7,5,23,ἀδελφοὺς,αὐτῶν,relation
Matt,5,47,6,ἀδελφοὺς,ὑμῶν,relation
Luke,20,28,28,ἀδελφῷ,αὐτοῦ,relation
Mark,12,19,29,ἀδελφῷ,αὐτοῦ,relation
Matt,5,22,11,ἀδελφῷ,αὐτοῦ,relation
Matt,5,22,22,ἀδελφῷ,αὐτοῦ,relation
Matt,18,35,16,ἀδελφῷ,αὐτοῦ,relation
Matt,22,24,23,ἀδελφῷ,αὐτοῦ,relation
Matt,22,25,22,ἀδελφῷ,αὐτοῦ,relation
Luke,12,13,12,ἀδελφῷ,μου,relation
Luke,6,42,6,ἀδελφῷ,σου,relation
Matt,5,24,15,ἀδελφῷ,σου,relation
Matt,7,4,6,ἀδελφῷ,σου,relation
Rev,12,10,34,ἀδελφῶν,ἡμῶν,relation
Matt,25,40,17,ἀδελφῶν,μου,relation
Rom,9,3,13,ἀδελφῶν,μου,relation
Rev,19,10,20,ἀδελφῶν,σου,relation
Rev,22,9,12,ἀδελφῶν,σου,relation
Acts,3,22,14,ἀδελφῶν,ὑμῶν,relation
Acts,7,37,18,ἀδελφῶν,ὑμῶν,relation
1Tim,6,17,13,ἀδηλότητι,πλούτου,characterized by
Rev,18,5,15,ἀδικήματα,αὐτῆς,subject
Rom,3,5,5,ἀδικία,ἡμῶν,subject
Heb,8,12,6,ἀδικίαις,αὐτῶν,subject
Luke,3,33,6,Ἀδμὶν,Ἀρνὶ,relation
Rom,8,3,5,ἀδύνατον,νόμου,other
1Cor,5,8,17,ἀζύμοις,καὶ,other
Heb,9,26,18,ἀθέτησιν,ἁμαρτίας,object
Heb,7,18,6,ἀθέτησις,ἐντολῆς,object
Acts,5,28,27,αἷμα,ἀνθρώπου,body part
Rev,12,11,9,αἷμα,ἀρνίου,body part
John,6,53,21,αἷμα,αὐτοῦ,body part
Matt,27,25,9,αἷμα,αὐτοῦ,body part
Heb,9,20,6,αἷμα,διαθήκης,other
Heb,10,29,16,αἷμα,διαθήκης,other
Rev,19,2,27,αἷμα,δούλων,body part
Rev,6,10,20,αἷμα,ἡμῶν,body part
1John,1,7,20,αἷμα,Ἰησοῦ,body part
Heb,9,13,6,αἷμα,καὶ,body part
Heb,10,4,5,αἷμα,καὶ,body part
Rev,16,6,4,αἷμα,καὶ,body part
Rev,18,24,6,αἷμα,καὶ,body part
Heb,9,19,17,αἷμα,μόσχων,body part
John,6,54,8,αἷμα,μου,body part
John,6,56,8,αἷμα,μου,body part
Luke,11,50,7,αἷμα,προφητῶν,body part
Acts,22,20,6,αἷμα,Στεφάνου,body part
Acts,18,6,14,αἷμα,ὑμῶν,body part
Heb,9,14,6,αἷμα,Χριστοῦ,body part
Heb,13,11,1,αἷμα,ὧν,body part
Luke,13,1,13,αἷμα,ὧν,body part
Mark,14,24,10,αἷμά,διαθήκης,other
Matt,26,28,8,αἷμά,διαθήκης,other
John,6,55,11,αἷμά,μου,body part
Mark,14,24,8,αἷμά,μου,body part
Matt,26,28,6,αἷμά,μου,body part
Rev,7,14,32,αἵματι,ἀρνίου,body part
Rev,1,5,33,αἵματι,αὐτοῦ,body part
Rom,3,25,10,αἵματι,αὐτοῦ,body part
Rom,5,9,9,αἵματι,αὐτοῦ,body part
Heb,13,20,18,αἵματι,διαθήκης,other
Heb,10,19,13,αἵματι,Ἰησοῦ,body part
Matt,23,30,20,αἵματι,προφητῶν,body part
Heb,12,24,8,αἵματι,ῥαντισμοῦ,other
Eph,2,13,17,αἵματι,Χριστοῦ,body part
Luke,22,20,18,αἵματί,μου,body part
Rev,5,9,25,αἵματί,σου,body part
Luke,11,51,3,αἵματος,Ἅβελ,body part
Matt,23,35,15,αἵματος,Ἅβελ,body part
Rev,17,6,10,αἵματος,ἁγίων,body part
Luke,8,44,16,αἵματος,αὐτῆς,body part
Mark,5,29,8,αἵματος,αὐτῆς,body part
Eph,1,7,9,αἵματος,αὐτοῦ,body part
Luke,11,51,6,αἵματος,Ζαχαρίου,body part
Matt,23,35,21,αἵματος,Ζαχαρίου,body part
1Pet,1,2,13,αἵματος,Ἰησοῦ,body part
Heb,9,12,5,αἵματος,καὶ,body part
Rev,17,6,16,αἵματος,μαρτύρων,body part
Acts,20,26,14,αἵματος,πάντων,body part
Col,1,20,14,αἵματος,σταυροῦ,other
Matt,27,24,26,αἵματος,τούτου,body part
1Cor,10,16,13,αἵματος,Χριστοῦ,body part
2Pet,2,1,17,αἱρέσεις,ἀπωλείας,property
Acts,24,5,21,αἱρέσεως,Ναζωραίων,material
Acts,15,5,9,αἱρέσεως,Φαρισαίων,material
Acts,26,5,14,αἵρεσιν,θρησκείας,part-whole
Acts,5,17,14,αἵρεσις,Σαδδουκαίων,material
Rev,3,18,23,αἰσχύνη,γυμνότητός,other
Luke,23,24,7,αἴτημα,αὐτῶν,subject
Phil,4,6,15,αἰτήματα,ὑμῶν,subject
