book,chapter,verse,position,new_head_verse,new_head_position
Matt,1,20,21,20,19
Matt,1,21,7,21,9
Matt,1,23,13,23,15
Matt,1,23,16,23,17
Matt,1,25,12,25,14
Matt,2,3,4,3,7
Matt,2,3,6,4,1
Matt,2,3,7,3,1
Matt,2,18,9,18,14
Matt,2,18,10,18,9
Matt,3,11,15,11,14
Matt,3,11,17,11,22
Matt,3,15,14,15,12
Matt,4,19,9,19,10
Matt,5,19,7,19,5
Matt,5,19,10,19,7
Matt,5,21,15,21,12
Matt,5,22,15,22,12
Matt,5,22,27,22,24
Matt,5,25,24,25,26
Matt,5,25,26,25,22
Matt,5,37,6,37,4
Matt,6,25,24,25,21
Matt,6,25,27,25,29
Matt,6,25,29,25,25
Matt,7,2,1,2,6
Matt,7,2,2,2,5
Matt,7,2,5,2,4
Matt,7,2,8,2,12
Matt,7,2,9,2,11
Matt,7,2,11,2,10
Matt,7,12,3,12,7
Matt,7,18,9,18,13
Matt,7,18,13,18,8
Matt,8,20,12,20,15
Matt,8,20,15,20,10
Matt,10,11,2,11,1
Matt,10,11,6,11,12
Matt,10,11,8,11,6
Matt,10,15,6,15,4
Matt,10,19,8,19,10
Matt,10,19,9,19,8
Matt,10,19,10,19,6
Matt,10,21,4,21,5
Matt,10,21,5,21,2
Matt,10,21,8,21,9
Matt,10,21,9,21,7
Matt,10,25,19,25,20
Matt,10,30,5,30,10
Matt,10,37,10,37,11
Matt,10,37,22,37,23
Matt,10,38,14,38,15
Matt,11,11,22,11,21
Matt,11,16,9,16,7
Matt,11,21,1,21,2
Matt,11,21,2,,
Matt,11,21,4,21,5
Matt,11,21,5,21,2
Matt,11,29,17,29,14
Matt,12,4,25,4,27
Matt,12,4,27,4,24
Matt,12,10,6,10,4
Matt,12,16,7,16,6
Matt,12,33,2,33,1
Matt,12,33,4,33,5
Matt,12,33,5,33,6
Matt,12,33,6,33,2
Matt,12,33,8,33,10
Matt,12,33,10,33,6
Matt,12,33,12,33,11
Matt,12,33,14,33,15
Matt,12,33,15,33,16
Matt,12,33,16,33,12
Matt,12,33,18,33,20
Matt,12,33,20,33,16
Matt,12,36,6,36,14
Matt,12,45,25,45,23
Matt,13,8,12,8,14
Matt,13,8,14,8,10
Matt,13,8,15,8,17
Matt,13,8,17,8,10
Matt,13,8,18,8,20
Matt,13,8,20,8,10
Matt,13,16,10,16,12
Matt,13,16,12,16,8
Matt,13,23,21,23,16
Matt,13,23,24,23,21
Matt,13,23,27,23,21
Matt,13,31,12,31,6
Matt,13,31,14,31,17
Matt,13,32,7,32,2
Matt,13,32,13,32,11
Matt,13,33,11,33,5
Matt,13,33,12,33,15
Matt,13,44,7,44,1
Matt,13,44,12,44,15
Matt,13,45,8,45,2
Matt,13,47,8,47,2
Matt,13,52,16,52,14
Matt,13,54,19,54,17
Matt,13,54,23,54,19
Matt,13,56,6,56,3
Matt,13,56,12,,
Matt,13,56,13,56,12
Matt,14,19,31,19,33
Matt,14,19,33,19,24
Matt,14,30,4,30,5
Matt,15,9,7,9,6
Matt,15,33,7,33,2
Matt,15,33,10,33,7
Matt,15,36,17,36,19
Matt,15,36,19,36,12
Matt,16,14,9,14,11
Matt,16,14,11,14,6
Matt,16,14,12,14,14
Matt,16,14,14,14,11
Matt,16,22,10,22,9
Matt,16,22,15,22,10
Matt,18,7,1,7,3
Matt,18,7,3,,
Matt,18,7,13,7,15
Matt,18,7,15,7,12
Matt,18,8,19,8,18
Matt,18,9,15,9,14
Matt,18,10,4,10,3
Matt,18,10,6,10,4
Matt,18,20,5,20,3
Matt,19,24,13,24,14
Matt,19,24,14,24,12
Matt,20,1,8,1,1
Matt,20,12,10,12,9
Matt,20,12,11,12,9
Matt,20,21,17,21,18
Matt,20,21,18,21,21
Matt,20,21,22,21,23
Matt,20,21,23,21,21
Matt,21,13,13,13,15
Matt,21,41,3,41,6
Matt,21,42,10,42,15
Matt,21,44,10,44,9
Matt,22,5,5,5,7
Matt,22,5,7,5,4
Matt,22,5,11,5,13
Matt,22,5,13,5,7
Matt,22,14,5,14,7
Matt,22,14,7,14,3
Matt,22,43,9,43,10
Matt,23,4,15,4,19
Matt,23,13,1,13,3
Matt,23,13,3,,
Matt,23,15,1,15,2
Matt,23,15,2,,
Matt,23,15,21,15,22
Matt,23,16,1,16,2
Matt,23,16,2,,
Matt,23,23,1,23,2
Matt,23,23,2,,
Matt,23,28,15,28,13
Matt,23,25,1,25,2
Matt,23,25,2,,
Matt,23,27,1,27,2
Matt,23,27,2,,
Matt,23,29,1,29,2
Matt,23,29,2,,
Matt,23,37,19,37,22
Matt,23,37,20,37,15
Matt,24,7,7,7,8
Matt,24,7,8,7,6
Matt,24,36,15,36,8
Matt,24,38,18,38,20
Matt,24,38,19,38,17
Matt,24,38,20,38,19
Matt,25,6,8,6,4
Matt,25,40,14,40,13
Matt,25,40,16,40,14
Matt,25,40,19,40,16
Matt,25,46,9,46,10
Matt,25,46,10,46,2
Matt,26,24,11,24,14
Matt,26,24,14,24,6
Matt,26,24,25,24,23
Matt,26,43,11,43,7
Matt,26,66,9,66,8
Matt,27,19,14,19,16
Matt,27,19,16,19,13
Matt,27,33,7,33,8
Matt,27,38,7,38,8
Matt,27,38,8,38,10
Matt,27,38,11,38,12
Matt,27,38,12,38,10
Matt,27,61,7,61,1
Matt,27,64,32,64,30
Mark,1,3,1,2,11
Mark,1,7,14,7,13
Mark,1,7,10,7,19
Mark,1,24,16,24,13
Mark,1,27,12,27,11
Mark,1,33,5,33,2
Mark,2,18,6,18,2
Mark,2,21,20,21,18
