lemma,pos,new_lemma
ἁγνῶς,adv,ἁγνός
ἀδήλως,adv,ἄδηλος
ἀδιαλείπτως,adv,ἀδιάλειπτος
ἀδίκως,adv,ἄδικος
αἱρέομαι,verb,αἱρέω
αἰσχροκερδῶς,adv,αἰσχροκερδής
αἴτιον,adj,αἴτιος
ἀκαίρως,adv,ἀκαίριος
ἀκριβέστερον,adj,ἀκριβής
ἀκριβέστερον,adv,ἀκριβής
ἀκριβῶς,adv,ἀκριβής
ἀκωλύτως,adv,ἀκριβής
ἅλα,noun,ἅλας
ἀληθῶς,adv,ἀληθής
ἀλυπότερος,adj,ἄλυπος
Ἄλφα,noun,ἄλφα
ἀμέμπτως,adv,ἄμεμπτος
ἀμφότεροι,adj,ἀμφότερος
ἀναβάλλομαι,verb,ἀναβάλλω
ἀναγκαστῶς,adv,ἀναγκαστός
ἀναγνωρίζομαι,verb,ἀναγνωρίζω
ἀναντιρρήτως,adv,ἀναντίρρητος
ἀναξίως,adv,ἀνάξιος
ἀνατίθεμαι,verb,ἀνατίθημι
ἀνόμως,adv,ἄνομος
ἀνώτερον,adj,ἀνώτερος
ἀξίως,adv,ἄξιος
ἀπάγχομαι,verb,ἀπάγχω
ἀπερισπάστως,adv,ἀπερίσπαστος
ἀπεῖπον,verb,ἀπολέγω
ἀπολούομαι,verb,ἀπολούω
ἀπομάσσομαι,verb,ἀπομάσσω
ἀποτόμως,adv,ἀπότομος
ἀποτρέπομαι,verb,ἀποτρέπω
ἀποχωρίζομαι,verb,ἀποχωρίζω
Ἀππίου,noun,Ἄππιος
ἀπροσωπολήμπτως,adv,ἀπροσωπόλημπτος
ἀπωθέομαι,verb,ἀπωθέω
ἀργυροῦς,adj,ἄργυρος
ἁρμόζομαι,verb,ἁρμόζω
ἀσμένως,adv,ἄσμενος
ἀσφαλῶς,adv,ἀσφαλής
ἀσώτως,adv,ἄσωτος
ἀτάκτως,adv,ἄτακτος
ἀφίσταμαι,verb,ἀφίστημι
ἀφόβως,adv,ἄφοβος
ἀχρειόομαι,verb,ἀχρειόω
ἄχρις,prep,ἄχρι
Ἄψινθος,noun,ἄψινθος
βαρέως,adv,βαρύς
βασίλειον,adj,βασίλειος
βέλτιον,adj,ἀγαθός
βουλεύομαι,verb,βουλεύω
βραχύ,adv,βραχύς
γέ,ptcl,γε
γενεαλογέομαι,verb,γενεαλογέω
γενέσια,noun,γενέσιος
γεύομαι,verb,γεύω
γνησίως,adv,γνήσιος
δεινῶς,adv,δεινός
δεκάτη,adj,δέκατος
δέομαι,verb,δέω
δεσμόν,noun,δεσμός
διαπρίομαι,verb,διαπρίω
δικαίως,adv,δίκαιος
δογματίζομαι,verb,δογματίζω
δυσκόλως,adv,δύσκολος
δωρεάν,adv,δωρεά
ἐγγύτερον,adv,ἐγγύτερος
ἐθνικῶς,adv,ἐθνικός
εἰδωλόθυτον,adj,εἰδωλόθυτος
εἴκοσι(ν),num,εἴκοσι
εἴωθα,verb,ἔθω
ἔκγονον,adj,ἔκγονος
ἐκδαπανάομαι,verb,ἐκδαπανάω
ἐκλέγομαι,verb,ἐκλέγω
ἐκλύομαι,verb,ἐκλύω
ἑκουσίως,adv,ἑκούσιος
ἐκπλήσσομαι,verb,ἐκπλήσσω
ἐκστρέφομαι,verb,ἐκστρέφω
ἐκτενέστερον,adj,ἐκτενής
ἐκτενῶς,adv,ἐκτενής
ἐκτρέπομαι,verb,ἐκτρέπω
ἑλκόομαι,verb,ἑλκόω
ἐμπλέκομαι,verb,ἐμπλέκω
ἐνάλιον,adj,ἐνάλιος
ἐνδέχεται,verb,ἐνδέχομαι
ἐνδύνω,verb,ἐνδύω
ἐνέος,adj,ἐνεός
ἔννυχα,adj,ἔννυχος
ἐντρέφομαι,verb,ἐντρέφω
ἐξαιτέομαι,verb,ἐξαιτέω
ἔξεστι(ν),verb,ἔξεστιν
ἐξηχέομαι,verb,ἐξηχέω
ἐπάναγκες,adv,ἐπανάγκης
ἐπανίσταμαι,verb,ἐπανίστημι
ἐπιμελῶς,adv,ἐπιμελής
ἐπονομάζομαι,verb,ἐπονομάζω
ἐρημόομαι,verb,ἐρημόω
