"Lemma","LemmaSort","POS","PrincipalParts","ShortDefinition"
"Ἀαρών","ααρων","noun","Ἀαρών","Aaron"
"Ἀβαδδών","αβαδδων","noun","―","Abaddon"
"ἀβαρής","αβαρησ","adj","―, ―","without weight; not offensive"
"Ἅβελ","αβελ","noun","Ἅβελ","Abel"
"Ἀβιά","αβια","noun","Ἀβιά","Abijah"
"Ἀβιαθάρ","αβιαθαρ","noun","Ἀβιαθάρ","Abiathar"
"Ἀβιληνή","αβιληνη","noun","Ἀβιληνῆς","Abilene"
"Ἀβιούδ","αβιουδ","noun","Ἀβιούδ","Abihud"
"Ἀβραάμ","αβρααμ","noun","Ἀβραάμ","Abraham"
"ἄβυσσος","αβυσσοσ","noun","ἀβύσσου","bottomless, unfathomed; the great deep"
"Ἅγαβος","αγαβοσ","noun","―","Agabus"
"ἀγαθοεργέω","αγαθοεργεω","verb","―, ―, ―, ―, ―","do good"
"ἀγαθοποιέω","αγαθοποιεω","verb","―, ―, ―, ―, ―","do good; do good to; make good; make favourable; exert beneficent influence; do well, act rightly"
"ἀγαθοποιΐα","αγαθοποιια","noun","ἀγαθοποιΐας","propitious influence"
"ἀγαθοποιός","αγαθοποιοσ","noun","ἀγαθοποιοῦ","beneficent; exerting beneficent influence; creating the Good"
"ἀγαθός","αγαθοσ","adj","ἀγαθή, ἀγαθόν","good; well-born, gentle; brave, valiant; good, capable; my good friend; bona dea; good, serviceable; to good purpose; morally good; good, blessing, benefit; admirable"
"ἀγαθουργέω","αγαθουργεω","verb","―, ―, ―, ―, ―","do good"
"ἀγαθωσύνη","αγαθωσυνη","noun","ἀγαθωσύνης","goodness, kindness"
"ἀγαλλίασις","αγαλλιασισ","noun","ἀγαλλιάσεως","great joy, exultation"
"ἀγαλλιάω","αγαλλιαω","verb","―, ἀγαλλιαθήσομαι, ―, ―, ἀγαλλιαθήσομαι","rejoice exceedingly"
"ἄγαμος","αγαμοσ","noun","ἀγάμου","unmarried, single; marriage that is no marriage, fatal marriage"
"ἀγανακτέω","αγανακτεω","verb","―, ―, ―, ―, ―","feel a violent irritation; to be displeased, vexed; to be vexed at"
"ἀγανάκτησις","αγανακτησισ","noun","ἀγανακτήσεως","physical pain and irritation, ἀ. περὶ τὰ οὖλα; vexation"
