LessonID,LessonName,LessonGroup,ColumnName,Tooltip
12,First and second declension,Adjective class,a_12,"Adjectives with distinct masculine and feminine forms (e.g., ἅγιος)"
13,Second declension,Adjective class,a_2,"Adjectives with no distinct feminine forms (e.g., ἀκάθαρτος)"
14,Third declension,Adjective class,a_3,"Adjectives that decline like third-declension nouns (e.g., ἀσθενής)"
15,Irregular,Adjective class,a_irr,"Irregular adjectives (e.g., πᾶς)"
69,Undeclined,Adjective class,a_undec,Adjectives that don’t decline
16,Comparatives,Adjective forms,comp,Comparative forms of adjectives (‘-er’)
17,Superlatives,Adjective forms,super,Superlative forms of adjectives (‘-est’)
1,Nominative,Case,nom,"Nouns, adjectives, and participles in nominative case (dictionary citation form)"
2,Genitive,Case,gen,"Nouns, adjectives, and participles in genitive case"
3,Dative,Case,dat,"Nouns, adjectives, and participles in dative case"
4,Accusative,Case,acc,"Nouns, adjectives, and participles in accusative case"
5,Vocative,Case,voc,"Nouns, adjectives, and participles in vocative case"
6,Second declension,Noun class,n_2,Nouns ending in -ος or -ον
7,First declension,Noun class,n_1,Nouns ending in -η or -α
8,Third declension,Noun class,n_3,"Third-declension nouns (e.g., πνεῦμα, χάρις)"
9,Ἰησοῦς,Noun class,n_Ihsous,‘Jesus’ (irregular and very frequent)
10,Irregular,Noun class,n_irr,"Other irregular nouns (e.g., πατήρ)"
11,Undeclined,Noun class,n_undec,"Nouns that don’t decline (e.g., Ἰερουσαλήμ)"
57,Definite article,Other parts of speech,def,"The definite article (ὁ, ἡ, τό)"
58,Second-position clitics,Other parts of speech,clitic,"Particles that appear in second position (e.g., δέ)"
59,Prepositions,Other parts of speech,prep,"Prepositions (e.g., ἐν ‘in’, πρός ‘to’)"
60,Coordinating conjunctions,Other parts of speech,coord,"Coordinating conjunctions (e.g., καί ‘and’, ἤ ‘or’)"
61,Subordinating conjunctions,Other parts of speech,subord,"Subordinating conjunctions (e.g., εἰ ‘if’, ἵνα ‘in order that’)"
62,Negation,Other parts of speech,neg,"Negating particles (e.g., οὐ, μή)"
63,Adverbs,Other parts of speech,adv,"Adverbs (e.g., τότε ‘then’, πάλιν ‘again’)"
64,Numbers,Other parts of speech,num,"Numbers (e.g., δύο, πέντε)"
65,Particles,Other parts of speech,part,"Other words (e.g., ἰδού ‘behold’, ἀμήν ‘amen’)"
51,Personal pronouns,Pronouns,p_pers,"Personal pronouns (e.g., ἐγώ ‘I’, σύ ‘you’)"
52,Reflexive pronouns,Pronouns,p_refl,"Reflexive pronouns (e.g., ἐμαυτόν ‘myself’)"
53,Demonstrative pronouns,Pronouns,p_demo,"Demonstrative pronouns (e.g., ἐκεῖνος ‘that’)"
54,Interrogative pronouns,Pronouns,p_inter,"Interrogative pronouns (e.g., τίς ‘who/what?’)"
