lemma,declension,fem,fem_other,neut,neut_other
maka/rios,1/2,makari/a,,maka/rion,
e(pta/,3,e(pta/,e(pta/,e(pta/,e(pta/
pisto/s,1/2,pisth/,,pisto/n,
prwto/tokos,1/2,,,prwto/tokon,prwto/toka
nekro/s,1/2,nekra/,,nekro/n,
pa=s,3,pa=sa,,pa=n,
kuriako/s,1/2,kuriakh/,kuriakh=|,kuriako/n,kuriako/n
me/gas,3,mega/lh,,me/ga,
xrusou=s,1/2,xrush=,,xrusou=n,"xrusou=n, xrusou=, xrusa="
me/sos,1/2,NEEDED,me/shs,me/son,
o(/moios,1/2,o(moi/a,,o(/moion,
podh/rhs,3,,,,
leuko/s,1/2,leukh/,,leuko/n,
polu/s,3,pollh/,,polu/,
decio/s,1/2,decia/,,decio/n,
di/stomos,1/2,di/stomos,,,
o)cu/s,3,o)cei=a,,o)cu/,o)cu/
prw=tos,1/2,prw/th,,prw=ton,
e)/sxatos,1/2,e)sxa/th,,e)/sxaton,"e)/sxata, e)/sxaton, e)sxa/tou"
kako/s,1/2,kakh/,"kakai/, kakh/n",kako/n,
yeudh/s,3,,,,
plou/sios,1/2,,,,
*)ioudai=os,1/2,*)ioudai/a,"*)ioudai/an, *)ioudai/as, *)ioudai/a|",,
mhdei/s,3,mhdemi/a,mhdemi/an,mhde/n,
dia/bolos,1/2,dia/bolos,diabo/lous,,
de/ka,3,de/ka,de/ka,de/ka,de/ka
deu/teros,1/2,deute/ra,,deu/teron,
o)li/gos,1/2,o)li/gh,"o)li/gas, o)li/ghs, o)li/gai, o)li/ghn",o)li/gon,
ei)dwlo/qutos,1/2,,,ei)dwlo/quton,
kaino/s,1/2,kainh/,,kaino/n,
ou)dei/s,3,ou)demi/a,,ou)de/n,
e)mo/s,1/2,e)mh/,,e)mo/n,
e(/kastos,1/2,e(ka/sth,,e(/kaston,
loipo/s,1/2,loiph\,,loipo\n,
baqu/s,3,,,baqu/,
a)/llos,1/2,a)/llh,,a)/llo,
sidhrou=s,1/2,sidhra=,"sidhra=|, sidhra=n",,
keramiko/s,1/2,,,keramiko/n,keramika/
prwi+no/s,1/2,,,,
poi=os,1/2,poi/a,,poi=on,
a)/cios,1/2,a)ci/a,,a)/cion,
a(/gios,1/2,a(gi/a,,a(/gion,
a)lhqino/s,1/2,a)lhqinh/,,a)lhqino/n,
mikro/s,1/2,mikra/,,mikro/n,
o(/los,1/2,o(/lh,,o(/lon,
yuxro/s,1/2,,,yuxro\n,
zesto/s,1/2,,,,
xliaro/s,1/2,,,,
talai/pwros,1/2,,,,
e)leeino/s,1/2,,,,
ptwxo/s,1/2,ptwxh/,,ptwxo\n,
tuflo/s,1/2,,,,
gumno/s,1/2,gumnh\,,gumno\n,
smara/gdinos,1/2,,,,
ei)/kosi(n),3,ei)/kosi(n),ei)/kosi(n),,
te/ssares,3,te/ssares,"te/ssaras, te/ssares, te/ssarsi(n)",te/ssara,"te/ssara, tessa/rwn, te/ssarsi(n)"
presbu/teros,1/2,presbute/rh,presbute/ras,,
u(a/linos,1/2,u(ali/nh,,,
tri/tos,1/2,tri/th,,tri/ton,
te/tartos,1/2,teta/rth,"teta/rthn, teta/rths, teta/rth|",te/tarton,
ei(=s,3,mi/a,,e(/n,
e(/c,3,e(/c,e(/c,e(/c,e(/c
i)sxuro/s,1/2,i)sxura/,,i)sxuro/teron,
purro/s,1/2,,,,
me/las,3,me/laina,me/lainan,,
trei=s,3,trei=s,"trei=s, triw=n, trisi/(n)",tri/a,tri/a
xlwro/s,1/2,,,xlwro\n,
pe/mptos,1/2,pe/mpth,pe/mpthn,,
e(/ktos,1/2,e(/kth,,,
tri/xinos,1/2,,,,
e)leu/qeros,1/2,e)leuqe/ra,,,
e(kato/n,3,e(kato/n,e(kato/n,e(kato/n,e(kato/n
tessera/konta,3,tessera/konta,tessera/konta,tessera/konta,tessera/konta
dw/deka,3,dw/deka,dw/deka,dw/deka,dw/deka
