lemma,declension,fem,neut
e(pta/,,e(pta/,e(pta/
prwto/tokos,,,prwto/tokon
kuriako/s,,kuriakh/,kuriako/n
xrusou=s,1/2,,xrusou=n
o)cu/s,,,o)cu/
e)/sxatos,,,e)/sxaton
kako/s,,kakh/,
*)ioudai=os,,*)ioudai/a,
mhdei/s,,mhdemi/a,
dia/bolos,,dia/bolos,
de/ka,,de/ka,de/ka
o)li/gos,,o)li/gh,
sidhrou=s,1/2,sidhra=,
keramiko/s,,,keramiko/n
ei)/kosi(n),,ei)/kosi(n),
te/ssares,,te/ssares,te/ssara
presbu/teros,,presbute/rh,
te/tartos,,teta/rth,
e(/c,,e(/c,e(/c
me/las,,me/laina,
trei=s,,trei=s,tri/a
pe/mptos,,pe/mpth,
e(kato/n,,e(kato/n,e(kato/n
tessera/konta,,tessera/konta,tessera/konta
dw/deka,,dw/deka,dw/deka
e(/bdomos,,e(bdo/mh,
pe/nte,,pe/nte,pe/nte
*(ellhniko/s,,*(ellhnikh/,
du/o,,du/o,du/o
i(ppiko/s,,,i(ppiko/n
a)rgurou=s,1/2,,a)rgurou=n
xalkou=s,1/2,,xalkou=n
li/qinos,,liqi/nh,li/qinon
eu)w/numos,,eu)w/numos,eu)w/numon
xi/lioi,1/2,xi/liai,xi/lia
diako/sioi,1/2,diako/siai,diako/sia
e(ch/konta,,e(ch/konta,e(ch/konta
h(/misus,,,h(/misu
e)/mfobos,,e)/mfobos,
a)rxai=os,,a)rxai/a,
potamofo/rhtos,,potamofo/rhtos,
e(cako/sioi,1/2,,
a)/mwmos,,,a)/mwmon
mo/nos,,mo/nh,mo/non
o(/sios,,o(/sios,o(/sion
lampro/s,,lampra/,
ko/kkinos,,kokki/nh,
porfurou=s,1/2,,porfurou=n
ti/mios,,timi/a,
o)/gdoos,,o)gdo/h,
e)klekto/s,,e)klekth/,
diplou=s,1/2,diplh=,diplou=n
siriko/s,,,siriko/n
qu/i+nos,,,qu/i+non
e)/natos,,e)na/th,
e(nde/katos,,e(ndeka/th,
koino/s,,koinh/,
r(uparo/s,,r(upara/,
taxu/s,,,taxu/
a)mfo/teroi,1/2,,a)mfo/tera
u(/yistos,,,u(/yista
e)/gkuos,,e)/gkuos,
ou)ra/nios,,ou)ra/nios,
o)ktw/,,o)ktw/,o)ktw/
i(ero/s,,,i(ero/n
o)gdoh/konta,,,o)gdoh/konta
pentekaide/katos,,,pentekaide/katon
*)itourai=os,,*)itourai/a,
*traxwni=tis,,*traxwni=tis,
skolio/s,,skolia/,
traxu/s,,traxei=a,
lei=os,,lei/a,
kalo/s,,kalh/,
a)/sbestos,,,a)/sbeston
a(/pas,,a(/pasa,
swmatiko/s,,,swmatiko/n
tria/konta,,,tria/konta
*sidw/nios,,*sidwni/a,
para/docos,,,para/docon
so/s,,sh/,
palaio/s,,,palaio/n
ne/os,,ne/a,
para/lios,,para/lios,
u(me/teros,,,u(me/teron
i)/dios,,i)di/a,i)/dion
malako/s,,,malako/n
e)/ndocos,,e)/ndocos,e)/ndocon
perisso/teros,,perissote/ra,
nomiko/s,,nomikh/,
pentako/sioi,1/2,,pentako/sia
penth/konta,,,penth/konta
peteino/s,,,peteino/n
e(katontaplasi/wn,,,e(katontaplasi/ona
pentakisxi/lioi,1/2,,
eu)/qetos,,eu)/qetos,
e(bdomh/konta,,e(bdomh/konta,
a)nekto/s,,,a)nekto/n
sofo/s,,,sofo/n
a)/nudros,,a)/nudros,
a)/dhlos,,a)/dhlos,a)/dhlon
dusba/staktos,,,dusba/stakton
e)la/xistos,,,e)la/xiston
lepto/s,,,lepto/n
dekaoktw/,,,dekaoktw/
pantelh/s,,,pantele/s
platu/s,,platei=a,
e)nenh/konta,,,e)nenh/konta
e)nne/a,,,e)nne/a
makro/s,,makra/,makro/n
a)llo/trios,,a)llotri/a,a)llo/trion
pollaplasi/wn,,,pollaplasi/on
tetraplou=s,1/2,,tetraplou=n
u(/steros,,,u(/steron
penixro/s,,penixra/,
biwtiko/s,,biwtikh/,biwtiko/n
a)/zumos,,,a)/zumon
a)/nomos,,,a)/nomon
braxu/s,,,braxu/
u(gro/s,,,u(gro/n
laceuto/s,,,laceuto/n
o)rqrino/s,,o)rqrinh/,
a)no/htos,,a)no/htos,
mwro/s,,mwra/,
a)genh/s,,,a)gene/s
a)nqrw/pinos,,,a)nqrw/pinon
pneumatiko/s,,pneumatikh/,
sa/rkinos,,sarki/nh,
sarkiko/s,,sarkikh/,sarkiko/n
a)/timos,,,a)/timon
mu/rioi,1/2,,mu/ria
su/mfwnos,,,su/mfwnon
krei/ttwn,,krei/ttwn,
su/mforos,,,su/mforon
eu)sxh/mwn,,eu)sxh/mwn,eu)/sxhmon
eu)pa/redros,,,eu)pa/redron
a)da/panos,,,a)da/panon
e)/nnomos,,e)/nnomos,
fqarto/s,,fqarth/,
a)/fqartos,,a)/fqartos,a)/fqarton
a)pro/skopos,,a)pro/skopos,
a)kataka/luptos,,a)kataka/luptos,
h(/sswn,,,h(=sson
a)nagkai=os,,a)nagkai/a,a)nagkai=on
a)sxh/mwn,,,a)sxh/mon
a)/yuxos,,,a)/yuxon
a)/karpos,,,a)/karpon
pthno/s,,,pthno/n
e)poura/nios,,e)poura/nios,e)poura/nion
e)pi/geios,,,e)pi/geion
a)/tomos,,,a)/tomon
qnhto/s,,qnhth/,
a)/spilos,,a)/spilos,
basiliko/s,,basilikh/,
e)fh/meros,,e)fh/meros,
e)pith/deios,,,e)pith/deion
a)rgo/s,,,a)rgo/n
e)na/lios,,,e)na/lion
pikro/s,,,pikro/n
a(gno/s,,,a(gno/n
shto/brwtos,,,shto/brwton
e)nanti/os,,e)nanti/a,e)nanti/on
komyo/s,,,komyo/n
probatiko/s,,probatikh/,
pro/teros,,prote/ra,pro/teron
dekape/nte,,dekape/nte,
pistiko/s,,pistikh/,
polu/timos,,polu/timos,polu/timon
triako/sioi,1/2,,trioko/sia
a)o/ratos,,,a)o/raton
a)su/netos,,,a)su/neton
tetra/pous,1/2,,tetra/poun
qh=lus,,qh/leia,
fusiko/s,,fusikh/,fusiko/n
a)metano/htos,,a)metano/htos,
grapto/s,,,grapto/n
e)/ndikos,,e)/ndikos,
sugklhrono/mos,,,sugklhrono/mon
su/mmorfos,,,su/mmorfon
w(rai=os,,w(rai/a,
e(ptakisxi/lioi,1/2,,
a)metame/lhtos,,a)metame/lhtos,a)metame/lhton
a)necerau/nhtos,,,a)necerau/nhton
a)necixni/astos,,a)necixni/astos,a)necixni/aston
eu)a/restos,,eu)a/restos,eu)a/reston
logiko/s,,logikh/,logiko/n
dia/foros,,dia/foros,dia/foron
ei)likrinh/s,,ei)likrinh/s,
paraplh/sios,,,paraplh/sion
a)sfalh/s,,a)sfalh/s,
prosfilh/s,,,prosfile/s
eu)/fhmos,,,eu)/fhmon
e(kou/sios,,,e(kou/sion
bi/aios,,biai/a,
e)pifanh/s,,e)pifanh/s,
trisxi/lioi,1/2,trisxi/liai,
a)rxieratiko/s,,,a)rxieratiko/n
dhmo/sios,,dhmosi/a,
tetrako/sioi,1/2,,tetrako/sia
kaqhmerino/s,,kaqhmerinh/,
bla/sfhmos,,bla/sfhmos,bla/sfhmon
e)/kqetos,,,e)/kqeton
*)eruqro/s,,*)eruqra/,
xeiropoi/htos,,xeiropoi/htos,xeiropoi/hton
*)italiko/s,,*)italikh/,
a)qe/mitos,,a)qe/mitos,
takto/s,,takth/,
*pisi/dios,,*pisidi/a,
pnikto/s,,,pnikto/n
*galatiko/s,,*galatikh/,
*ne/os,,*ne/a,
e)sw/teros,,e)swte/ra,e)sw/teron
a)gorai=os,,a)gorai/a,
katei/dwlos,,katei/dwlos,
qei=os,,qei/a,qei=on
a)nwteriko/s,,,a)nwteriko/n
peri/ergos,,peri/ergos,peri/ergon
diopeth/s,,,diopete/s
a)nanti/rrhtos,,,a)nanti/rrhton
propeth/s,,,propete/s
baru/s,,barei/a,baru/
tetrakisxi/lioi,1/2,,
a)/shmos,,a)/shmos,
*(ebrai/+s,,*(ebrai/+s,
pukno/s,,puknh/,pukno/n
*sebasto/s,,*sebasth/,
*)adramutthno/s,,,*)adramutthno/n
*)alecandri=nos,,,*)alecandri=non
para/shmos,,,para/shmon
*trei=s,,*trei=s,
derma/tinos,,dermati/nh,
e)/nnuxa,,,e)/nnuxa
a)/gnafos,,,a)/gnafon
petrw=dhs,,,petrw=des
pro/skairos,,pro/skairos,pro/skairon
disxi/lioi,1/2,,
eu)/kairos,,eu)/kairos,
a)/niptos,,a)/niptos,
paro/moios,,,paro/moion
polutelh/s,,polutelh/s,polutele/s
a)xeiropoi/htos,,a)xeiropoi/htos,
qana/simos,,,qana/simon
dekate/ssares,,dekate/ssares,dekate/ssares
su/sswmos,,,su/sswmon
summe/toxos,,,summe/toxon
katw/teros,,,katw/teron
a)ma/rantos,,a)ma/rantos,
a)nekla/lhtos,,a)nekla/lhtos,
patropara/dotos,,patropara/dotos,
a)rtige/nnhtos,,,a)rtige/nnhton
