lemma,standalone,distant_determiner
maka/rios,n,n
e(pta/,y,y
pisto/s,n,n
prwto/tokos,n,n
nekro/s,y,y
pa=s,y,y
kuriako/s,n,n
me/gas,y,n
xrusou=s,n,n
me/sos,y,n
o(/moios,n,n
podh/rhs,n,n
leuko/s,n,n
polu/s,y,n
decio/s,y,n
di/stomos,n,n
o)cu/s,n,n
prw=tos,y,n
e)/sxatos,y,n
kako/s,y,n
yeudh/s,n,n
plou/sios,y,n
*)ioudai=os,y,y
mhdei/s,y,n
dia/bolos,y,n
de/ka,y,n
deu/teros,y,n
o)li/gos,n,n
ei)dwlo/qutos,y,n
kaino/s,n,n
ou)dei/s,y,n
e)mo/s,y,n
e(/kastos,y,n
loipo/s,y,y
baqu/s,n,n
a)/llos,y,n
sidhrou=s,n,n
keramiko/s,n,n
prwi+no/s,n,n
poi=os,n,n
a)/cios,n,n
a(/gios,y,y
a)lhqino/s,y,n
mikro/s,n,n
o(/los,n,n
yuxro/s,n,n
zesto/s,n,n
xliaro/s,n,n
talai/pwros,n,n
e)leeino/s,n,n
ptwxo/s,y,n
tuflo/s,y,y
gumno/s,n,n
smara/gdinos,n,n
ei)/kosi(n),n,n
te/ssares,n,n
presbu/teros,y,n
u(a/linos,n,n
tri/tos,y,n
te/tartos,n,n
ei(=s,y,y
e(/c,n,n
i)sxuro/s,n,n
purro/s,n,n
me/las,n,n
trei=s,y,n
xlwro/s,n,n
pe/mptos,n,n
e(/ktos,n,n
tri/xinos,n,n
e)leu/qeros,y,n
e(kato/n,n,n
tessera/konta,n,n
dw/deka,y,n
e(/bdomos,n,n
pe/nte,n,n
*(ellhniko/s,n,n
du/o,y,n
i(ppiko/s,y,n
pu/rinos,n,n
u(aki/nqinos,n,n
qeiw/dhs,n,n
a)rgurou=s,n,n
xalkou=s,n,n
li/qinos,n,n
cu/linos,n,n
eu)w/numos,n,n
gluku/s,y,n
xi/lioi,n,n
diako/sioi,n,n
e(ch/konta,n,n
e)xqro/s,y,n
platu/s,y,n
h(/misus,n,n
de/katos,n,n
e)/mfobos,n,n
a)/rshn,n,n
e)/rhmos,y,n
a)rxai=os,y,n
*dia/bolos,n,n
potamofo/rhtos,n,n
e(cako/sioi,n,n
a)/mwmos,n,n
ai)w/nios,n,n
a)/kratos,n,n
qaumasto/s,n,n
di/kaios,y,y
mo/nos,n,n
o(/sios,n,n
kaqaro/s,y,n
lampro/s,n,n
ponhro/s,y,n
a)ka/qartos,n,n
talantiai=os,n,n
ko/kkinos,n,n
porfurou=s,n,n
ti/mios,n,n
o)/gdoos,n,n
klhto/s,n,n
e)klekto/s,y,n
diplou=s,n,n
bu/ssinos,n,n
siriko/s,n,n
qu/i+nos,n,n
e)lefa/ntinos,n,n
liparo/s,n,n
mu/linos,n,n
mousiko/s,n,n
deilo/s,n,n
a)/pistos,n,n
u(yhlo/s,y,n
tetra/gwnos,n,n
i)/sos,y,n
e)/natos,n,n
e(nde/katos,n,n
dwde/katos,n,n
diaugh/s,n,n
koino/s,n,n
r(uparo/s,n,n
taxu/s,n,n
kra/tistos,n,n
a)mfo/teroi,y,n
a)/memptos,n,n
stei=ros,n,n
a)peiqh/s,n,n
kwfo/s,y,n
u(/yistos,n,n
o)reino/s,n,n
dunato/s,y,n
u(perh/fanos,y,n
tapeino/s,y,n
a)gaqo/s,y,y
keno/s,n,n
peri/oikos,n,n
suggenh/s,y,n
eu)loghto/s,n,n
e)/gkuos,n,n
au)to/s,y,y
ou)ra/nios,n,n
o)ktw/,n,n
eu)labh/s,n,n
i(ero/s,y,n
swth/rios,n,n
o)gdoh/konta,n,n
gnwsto/s,n,n
pentekaide/katos,n,n
*)itourai=os,n,n
*traxwni=tis,n,n
peri/xwros,y,n
eu)qu/s,n,n
skolio/s,n,n
traxu/s,n,n
lei=os,n,n
kalo/s,y,y
i(kano/s,y,n
a)/sbestos,n,n
e(/teros,y,y
a(/pas,y,n
swmatiko/s,n,n
a)gaphto/s,n,n
tria/konta,n,n
plh/rhs,n,n
dekto/s,n,n
*sidw/nios,n,n
lepro/s,y,n
*nazarhno/s,n,n
poiki/los,n,n
me/toxos,n,n
a(martwlo/s,y,n
eu)kopw/teros,n,n
para/docos,n,n
so/s,y,n
palaio/s,y,n
