lemma,negation,kai,conjoined
mh/,y,n,n
ou),y,n,n
po/qen,n,n,n
o(/ti,n,n,n
pou=,n,n,n
o(/pou,n,n,n
kai/,n,y,n
e)kei=,n,n,n
ou(/tw(s),n,n,n
o(moi/ws,n,n,n
taxu/s,n,n,n
w(s,n,n,n
pw=s,n,n,n
e)/cw,n,n,n
e)/ti,n,n,n
w(=de,n,n,n
eu)qe/ws,n,n,n
e)/mprosqen,n,n,n
o)/pisqen,n,n,n
a)na/,n,n,n
kuklo/qen,n,n,n
e)/swqen,n,n,n
po/te,n,n,n
*(ebrai+sti/,n,n,n
ou)ke/ti,n,n,n
o(/tan,n,n,n
pa/lin,n,n,n
e)/cwqen,n,n,n
pneumatikw=s,n,n,n
a)/rti,n,n,n
sfo/dra,n,n,n
deu=ro,n,n,n
ou)/pw,n,n,n
ou(=,n,n,n
makro/qen,n,n,n
deu=te,n,n,n
dwrea/n,n,n,n
e)nteu=qen,n,n,n
e)kei=qen,n,n,n
a)/nwqen,n,n,n
a)kribw=s,n,n,n
kaqech=s,n,n,n
i(/na,n,n,n
nu=n,n,n,n
ou)xi/,n,n,y
paraxrh=ma,n,n,n
a)fo/bws,n,n,n
sh/meron,n,n,n
e)cai/fnhs,n,n,n
h)/dh,n,n,n
w(sei/,n,n,n
ka/tw,n,n,n
pa/ntws,n,n,n
o(/te,n,n,n
ma=llon,n,n,n
kakw=s,n,n,n
pukna/,n,n,n
to/te,n,n,n
mh/ge,n,n,n
ou)de/,n,n,n
kalw=s,n,n,n
spoudai/ws,n,n,n
makra/n,n,n,n
e(ch=s,n,n,n
o)pi/sw,n,n,n
o)rqw=s,n,n,n
ei)=ta,n,n,n
pe/ran,n,n,n
mhke/ti,n,n,n
pantaxou=,n,n,n
ku/klw|,n,n,n
a)lhqw=s,n,n,n
au)tou=,n,n,n
mo/gis,n,n,n
pa/lai,n,n,n
plhsi/on,n,n,n
au)/rion,n,n,n
o(/qen,n,n,n
e)pa/nw,n,n,n
deinw=s,n,n,n
w(sau/tws,n,n,n
i(nati/,n,n,n
posa/kis,n,n,n
ou)/,n,n,n
taxe/ws,n,n,n
po/rrw,n,n,n
e)pimelw=s,n,n,n
a)sw/tws,n,n,n
ou)de/pote,n,n,n
pa/ntote,n,n,n
e)/peita,n,n,n
froni/mws,n,n,n
lamprw=s,n,n,n
e)/nqen,n,n,n
e(pta/kis,n,n,n
po/rrwqen,n,n,n
di/s,n,n,n
dusko/lws,n,n,n
kate/nanti,n,n,n
pw/pote,n,n,n
pa/ntoqen,n,n,n
tri/ton,n,n,n
i)/sws,n,n,n
pote/,n,n,n
tri/s,n,n,n
pri/n,n,n,n
pikrw=s,n,n,n
li/an,n,n,n
eu)to/nws,n,n,n
pamplhqei/,n,n,n
dikai/ws,n,n,n
o)/ntws,n,n,n
o(/pws,n,n,n
porrw/teron,n,n,n
e)nqa/de,n,n,n
o(/lws,n,n,n
e)/sw,n,n,n
mh/tige,n,n,n
a)perispa/stws,n,n,n
pw/s,n,n,n
a)dh/lws,n,n,n
tupikw=s,n,n,n
a)naci/ws,n,n,n
nuni/,n,n,n
e)kto/s,n,n,n
o(/mws,n,n,n
eu)sxhmo/nws,n,n,n
ei)kh=|,n,n,y
e)fa/pac,n,n,n
a(plw=s,n,n,n
kenw=s,n,n,n
a)dialei/ptws,n,n,n
o(si/ws,n,n,n
a)me/mptws,n,n,n
a)ci/ws,n,n,n
perissote/rws,n,n,n
a(/pac,n,n,n
u(perekperissou=,n,n,n
a(/ma,n,n,n
e)pau/rion,n,n,n
a)/nw,n,n,n
metacu/,n,n,n
o(mou=,n,n,n
e)xqe/s,n,n,n
fanerw=s,n,n,n
po/teron,n,n,n
ou)de/pw,n,n,n
ka)/n,n,n,n
xamai/,n,n,n
a)llaxo/qen,n,n,n
a)po/,n,n,n
la/qra|,n,n,n
polla/kis,n,n,n
prwi/+,n,n,n
*(rwmai+sti/,n,n,n
*(ellhnisti/,n,n,n
xwri/s,n,n,n
a)no/mws,n,n,n
pou/,n,n,n
mo/lis,n,n,n
ta/xa,n,n,n
mh/pw,n,n,n
e)ggu/teron,n,n,n
o(moqumado/n,n,n,n
tolmhro/teron,n,n,n
a)ta/ktws,n,n,n
mhde/,n,n,n
a(gnw=s,n,n,n
mo/non,n,n,n
gnhsi/ws,n,n,n
e)cauth=s,n,n,n
e(te/rws,n,n,n
mega/lws,n,n,n
ma/lista,n,n,n
a)/fnw,n,n,n
a)sfalw=s,n,n,n
kaqo/lou,n,n,n
pe/ric,n,n,n
a)ei/,n,n,n
mhdamw=s,n,n,n
a)nantirrh/tws,n,n,n
prw/tws,n,n,n
e)ktenw=s,n,n,n
sxedo/n,n,n,n
*lukaonisti/,n,n,n
ou)rano/qen,n,n,n
e)pa/nagkes,n,n,n
eu)=,n,n,n
panoikei/,n,n,n
ka)kei=,n,n,n
prosfa/tws,n,n,n
peraite/rw,n,n,n
metri/ws,n,n,n
e)kei=se,n,n,n
e(toi/mws,n,n,n
a)sme/nws,n,n,n
pantaxh=|,n,n,n
a)kribe/steron,n,n,n
pa/nth|,n,n,n
sunto/mws,n,n,n
eu)qu/mws,n,n,n
makroqu/mws,n,n,n
perissw=s,n,n,n
ei),n,n,n
filanqrw/pws,n,n,n
a)=sson,n,n,n
sfodrw=s,n,n,n
filofro/nws,n,n,n
bare/ws,n,n,n
a)kwlu/tws,n,n,n
a)llaxou=,n,n,n
e)sxa/tws,n,n,n
h(de/ws,n,n,n
pezh=|,n,n,n
ma/thn,n,n,n
perisso/teron,n,n,n
u(perperissw=s,n,n,n
thlaugw=s,n,n,n
e)ca/pina,n,n,n
paidio/qen,n,n,n
o)ye/,n,n,n
nounexw=s,n,n,n
eu)kai/rws,n,n,n
e)kperissw=s,n,n,n
lema/,n,n,n
e)qnikw=s,n,n,n
*)ioudai+kw=s,n,n,n
krufh=|,n,n,n
telei/ws,n,n,n
a)proswpolh/mptws,n,n,n
a)di/kws,n,n,n
a)nagkastw=s,n,n,n
e(kousi/ws,n,n,n
ai)sxrokerdw=s,n,n,n
proqu/mws,n,n,n
nomi/mws,n,n,n
mhde/pote,n,n,n
eu)sebw=s,n,n,n
a)kai/rws,n,n,n
a)poto/mws,n,n,n
swfro/nws,n,n,n
plousi/ws,n,n,n
fusikw=s,n,n,n
o(mologoume/nws,n,n,n
r(htw=s,n,n,n
prw=ton,n,n,n
a)/llws,n,n,n
ou)damw=s,n,n,n
katwte/rw,n,n,n
a)kmh/n,n,n,n
e(bdomhkonta/kis,n,n,n
e)nto/s,n,n,n
e(ka/stote,n,n,n
e)/kpalai,n,n,n
o)li/gws,n,n,n
r(oizhdo/n,n,n,n
polumerw=s,n,n,n
polutro/pws,n,n,n
braxu/,n,n,n
paraplhsi/ws,n,n,n
mh/pote,n,n,n
mhde/pw,n,n,n
mete/peita,n,n,n
eu)are/stws,n,n,n
swmatikw=s,n,n,n
tou)nanti/on,n,n,n
parauti/ka,n,n,n
pe/rusi(n),n,n,n
feidome/nws,n,n,n
u(perli/an,n,n,n
u(pe/r,n,n,n
u(perballo/ntws,n,n,n
penta/kis,n,n,n
parekto/s,n,n,n
h(/dista,n,n,n
eu)qu/s,n,n,n
