book_name,chapter,verse,word_order,conjunction_pos
Matthew,2,2,17,V
Matthew,4,2,1,V
Matthew,4,2,5,N
Matthew,4,11,10,V
Matthew,4,22,7,N
Matthew,5,6,4,N
Matthew,5,38,7,N
Matthew,5,42,5,V
Matthew,5,43,8,V
Matthew,5,47,1,C
Matthew,6,24,26,N
Matthew,6,28,1,V
Matthew,6,31,7,V
Matthew,6,31,10,V
Matthew,7,7,2,V
Matthew,7,7,6,V
Matthew,7,7,9,V
Matthew,7,10,1,V
Matthew,7,19,8,V
Matthew,8,7,1,V
Matthew,8,19,1,V
Matthew,8,23,1,V
Matthew,8,25,1,V
Matthew,8,26,1,V
Matthew,8,26,13,N
Matthew,8,26,16,V
Matthew,8,29,1,L
Matthew,8,29,7,E
Matthew,8,32,1,V
Matthew,9,1,1,C
Matthew,9,1,6,V
Matthew,9,2,1,L
Matthew,9,3,1,L
Matthew,9,7,1,V
Matthew,9,15,29,V
Matthew,9,19,1,C
Matthew,9,22,16,V
Matthew,9,26,1,V
Matthew,9,30,1,V
Matthew,9,33,8,V
Matthew,11,19,20,V
Matthew,11,28,7,N
Matthew,12,10,7,V
Matthew,12,21,1,V
Matthew,12,29,22,V
Matthew,13,10,1,V
Matthew,13,53,1,V
Matthew,13,56,1,V
Matthew,13,57,1,V
Matthew,13,58,1,V
Matthew,14,21,10,N
Matthew,14,23,1,V
Matthew,14,32,1,V
Matthew,14,34,1,V
Matthew,15,21,1,V
Matthew,15,21,11,N
Matthew,15,28,17,V
Matthew,15,34,1,V
Matthew,15,38,9,N
Matthew,16,4,17,V
Matthew,16,5,1,V
Matthew,16,11,17,N
Matthew,16,26,15,V
Matthew,17,3,1,L
Matthew,17,3,6,N
Matthew,17,6,1,C
Matthew,17,6,9,V
Matthew,17,7,1,C
Matthew,17,7,5,V
Matthew,17,7,10,V
Matthew,17,16,1,C
Matthew,17,16,7,V
Matthew,17,23,9,V
Matthew,17,25,25,N
Matthew,17,25,31,P
Matthew,19,2,1,C
Matthew,19,2,6,V
Matthew,19,7,10,V
Matthew,19,15,1,V
Matthew,20,5,8,A
Matthew,20,9,1,V
Matthew,20,15,10,C
Matthew,20,24,1,V
Matthew,20,29,1,V
Matthew,20,32,1,C
Matthew,20,32,7,V
Matthew,21,14,1,C
Matthew,21,14,5,A
Matthew,21,14,10,V
Matthew,21,17,1,C
Matthew,21,17,10,V
Matthew,21,20,1,V
Matthew,21,23,23,V
Matthew,21,25,9,P
Matthew,21,27,1,V
Matthew,21,36,8,V
Matthew,22,20,1,V
Matthew,22,20,8,N
Matthew,22,22,1,C
Matthew,22,22,4,V
Matthew,22,33,1,V
Matthew,23,12,6,V
Matthew,25,5,7,V
Matthew,25,7,7,V
Matthew,25,38,6,V
Matthew,25,38,8,C
Matthew,25,39,9,V
Matthew,25,46,1,V
Matthew,26,9,6,V
Matthew,26,16,1,C
Matthew,26,22,1,V
Matthew,26,30,1,V
Matthew,26,43,1,V
Matthew,26,49,1,C
Matthew,26,49,9,V
Matthew,26,50,18,V
Matthew,26,55,27,V
Matthew,26,62,1,V
Matthew,27,5,1,C
Matthew,27,5,9,V
Matthew,27,12,1,V
Matthew,27,12,9,N
Matthew,28,4,9,V
Matthew,28,15,9,V
Mark,1,12,1,V
Mark,1,18,1,V
Mark,1,21,1,V
Mark,1,21,5,V
Mark,1,25,1,V
Mark,1,25,8,V
Mark,1,27,1,C
Mark,1,30,7,V
Mark,2,3,1,V
Mark,2,14,17,V
Mark,2,18,1,V
Mark,2,18,6,N
Mark,3,2,1,C
Mark,3,12,1,V
Mark,3,21,1,V
Mark,3,23,1,V
Mark,4,1,1,V
Mark,4,9,1,V
Mark,4,24,1,V
Mark,4,24,13,V
Mark,4,39,1,C
Mark,4,39,6,V
Mark,4,39,12,C
Mark,4,39,16,V
Mark,4,40,1,V
Mark,5,1,1,V
Mark,5,9,1,V
Mark,5,13,1,V
Mark,5,17,1,V
Mark,5,24,1,V
Mark,5,24,5,C
Mark,5,24,10,V
Mark,5,32,1,V
Mark,5,40,1,V
Mark,5,42,1,C
Mark,5,42,6,V
Mark,5,42,12,V
Mark,6,3,19,V
Mark,6,3,28,V
Mark,6,6,7,V
Mark,6,24,1,V
Mark,6,31,19,N
Mark,6,31,23,V
Mark,6,32,1,V
Mark,6,37,10,V
Mark,6,37,18,V
Mark,6,38,10,V
Mark,6,39,1,V
Mark,6,40,1,V
Mark,6,40,7,P
Mark,6,44,1,V
Mark,6,46,1,V
Mark,6,51,1,C
Mark,6,51,8,V
Mark,6,53,1,C
Mark,6,53,9,V
Mark,7,14,1,V
Mark,7,14,11,V
Mark,7,18,1,V
Mark,8,5,1,V
Mark,8,7,1,C
Mark,8,7,5,V
Mark,8,8,1,C
Mark,8,8,5,V
Mark,8,9,5,V
Mark,8,12,1,V
Mark,8,13,1,V
Mark,8,16,1,V
Mark,8,17,1,V
Mark,8,18,5,V
Mark,8,20,2,P
Mark,8,20,13,V
Mark,8,21,1,V
Mark,8,22,1,V
Mark,8,22,5,C
Mark,8,22,9,V
Mark,8,24,1,V
Mark,8,26,1,V
Mark,8,29,1,V
Mark,8,30,1,V
Mark,8,32,6,V
Mark,9,4,1,C
Mark,9,4,7,V
Mark,9,8,1,C
Mark,9,15,1,C
Mark,9,15,9,V
Mark,9,16,1,V
Mark,9,20,1,V
Mark,9,21,1,V
Mark,9,27,10,V
Mark,9,32,6,V
Mark,9,33,1,V
Mark,9,33,5,V
Mark,9,50,18,V
Mark,10,2,1,V
Mark,10,4,9,V
Mark,10,10,1,V
Mark,10,13,1,C
Mark,10,16,1,V
Mark,10,26,8,V
Mark,10,28,10,V
Mark,10,41,1,V
Mark,10,41,9,N
Mark,10,46,1,V
Mark,10,49,1,V
Mark,10,49,8,V
Mark,10,51,1,V
Mark,10,52,1,V
Mark,10,52,12,C
Mark,10,52,15,V
Mark,11,3,1,C
Mark,11,5,1,V
Mark,11,6,9,V
Mark,11,12,1,V
Mark,11,14,14,V
Mark,11,15,1,V
Mark,11,19,1,C
Mark,11,20,1,V
Mark,11,27,1,V
Mark,11,28,9,C
Mark,11,31,1,V
Mark,11,33,1,V
Mark,12,4,10,V
Mark,12,8,1,C
Mark,12,8,5,V
Mark,12,9,12,V
Mark,12,12,17,V
Mark,12,14,37,V
Mark,12,16,4,V
Mark,12,16,11,N
Mark,12,17,16,V
Mark,12,34,19,V
Mark,12,37,6,V
Mark,12,37,11,V
Mark,13,2,1,V
Mark,13,10,1,V
Mark,13,20,1,C
Mark,14,1,5,N
Mark,14,11,5,V
Mark,14,11,10,V
Mark,14,15,1,C
Mark,14,15,9,V
Mark,14,17,1,V
Mark,14,19,3,V
Mark,14,23,1,C
Mark,14,23,7,V
Mark,14,26,1,V
Mark,14,37,1,C
Mark,14,37,7,V
Mark,14,39,1,V
Mark,14,45,1,C
Mark,14,45,8,V
Mark,14,46,7,V
Mark,14,50,1,V
Mark,14,61,4,V
Mark,15,2,1,V
Mark,15,3,1,V
Mark,15,8,1,V
Mark,15,20,16,C
Mark,15,22,1,V
Mark,15,23,1,V
Mark,15,25,5,V
Mark,15,26,1,V
Mark,15,32,15,V
Mark,15,35,1,V
Mark,15,38,1,V
Mark,15,47,6,N
Mark,16,4,1,V
Mark,16,16,3,N
Luke,1,12,1,C
Luke,1,12,5,V
Luke,1,18,1,V
Luke,1,28,1,V
Luke,1,38,14,V
Luke,1,45,1,A
Luke,1,57,10,V
