parsing_atom_head,parsing_atom_dependent,position
diabo/lous_A----APF,nhfali/ous_A----APF,after
keno/docoi_A----NPM,prokalou/menoi_V-PMPNPM,after
nhfali/ous_A----APF,pista/s_A----APF,after
semna/s_A----APF,diabo/lous_A----APF,after
a)lla/_C-------,a)gaqo/n_A----ASN,after
a)lla/_C-------,a)ne/xesqe_V2PMI-P-,after
a)lla/_C-------,a)pe/qane(n)_V3AAI-S-,before
a)lla/_C-------,*barabba=n_N----ASM,after
a)lla/_C-------,ge/noito_V3AMO-S-,before
a)lla/_C-------,dia/_P-------,after
a)lla/_C-------,du/nasqe_V2PMI-P-,after
a)lla/_C-------,e)a/n_C-------,after
a)lla/_C-------,ei)_C-------,after
a)lla/_C-------,ei)=pon_V1AAI-S-,after
a)lla/_C-------,ei)/pwmen_V1AAS-P-,after
a)lla/_C-------,ei)s_P-------,after
a)lla/_C-------,ei)si/(n)_V3PAI-P-,any
a)lla/_C-------,e)kolo/bwse(n)_V3AAI-S-,after
a)lla/_C-------,e)leuqe/ras_A----GSF,after
a)lla/_C-------,e)cagage/twsan_V3AAM-P-,after
a)lla/_C-------,e)/cesti(n)_V3PAI-S-,before
a)lla/_C-------,e)celqo/ntes_V-AAPNPM,after
a)lla/_C-------,e)ch/lqate_V2AAI-P-,after
a)lla/_C-------,e)cousiasqh/somai_V1FPI-S-,after
a)lla/_C-------,e)pilamba/netai_V3PMI-S-,any
a)lla/_C-------,e)pwrw/qh_V3API-S-,after
a)lla/_C-------,e)rei=_V3FAI-S-,after
a)lla/_C-------,e)sme/n_V1PAI-P-,before
a)lla/_C-------,e)sti/(n)_V3PAI-S-,before
a)lla/_C-------,e(te/rou_A----GSM,after
a)lla/_C-------,e)yeu/sw_V2AMI-S-,before
a)lla/_C-------,zhtei/tw_V3PAM-S-,before
a)lla/_C-------,zw/ntwn_V-PAPGPM,after
a)lla/_C-------,h)/_C-------,after
a)lla/_C-------,h)ge/rqh_V3API-S-,after
a)lla/_C-------,h)=lqon_V1AAI-S-,after
a)lla/_C-------,qew=|_N----DSM,after
a)lla/_C-------,i(sta/nomen_V1PAI-P-,after
a)lla/_C-------,kaqeu/dei_V3PAI-S-,after
a)lla/_C-------,kai/_C-------,after
a)lla/_C-------,klhqh/setai_V3FPI-S-,after
a)lla/_C-------,kri/nete_V2PAM-P-,any
a)lla/_C-------,kti/sis_N----NSF,after
a)lla/_C-------,le/gei_V3PAI-S-,after
a)lla/_C-------,le/gw_V1PAI-S-,after
a)lla/_C-------,mimou=_V2PMM-S-,before
a)lla/_C-------,nekrw=n_A----GPM,before
a)lla/_C-------,oi)kodomei=_V3PAI-S-,after
a)lla/_C-------,ou)_B-------,before
a)lla/_C-------,ou)/te_C-------,before
a)lla/_C-------,ou)xi/_B-------,before
a)lla/_C-------,polla/_A----NPN,after
a)lla/_C-------,proa/cw_V1FAI-S-,after
a)lla/_C-------,sa/rc_N----NSF,after
a)lla/_C-------,sumfe/rei_V3PAI-S-,after
a)lla/_C-------,tou=ton_M----ASM,before
a)lla/_C-------,u(pernikw=men_V1PAI-P-,after
a)lla/_C-------,u(po/_P-------,after
a)/n_C-------,e)/lqw_V1AAS-S-,after
a)/n_C-------,e)/praca_V1AAI-S-,after
a)/n_C-------,h)/mhn_V1IMI-S-,after
a)/ra_C-------,a)pw/lonto_V3AMI-P-,after
a)/ra_C-------,dw/sei_V3FAI-S-,after
a)/ra_C-------,e)leei=_V3PAI-S-,after
a)/ra_C-------,e)pignw/sesqe_V2FMI-P-,after
a)/ra_C-------,e)xrhsa/mhn_V1AMI-S-,after
a)/ra_C-------,kath/rghtai_V3RPI-S-,after
dio/_C-------,a)lla/_C-------,after
dio/_C-------,e)klh/qh_V3API-S-,after
dio/_C-------,e)logi/sqh_V3API-S-,after
dio/_C-------,proseuxe/sqw_V3PMM-S-,after
dio/per_C-------,feu/gete_V2PAM-P-,after
e)a/n_C-------,a)gaqopoih=te_V2PAS-P-,after
e)a/n_C-------,a)gaph/shte_V2AAS-P-,after
e)a/n_C-------,a)poqnh/|skwmen_V1PAS-P-,after
e)a/n_C-------,a)polei=sqe_V2FMI-P-,after
e)a/n_C-------,a)postalw=si(n)_V3APS-P-,after
e)a/n_C-------,a)spa/shsqe_V2AMS-P-,after
e)a/n_C-------,gamh/sh|s_V2AAS-S-,after
e)a/n_C-------,ge/nhsqe_V2AMS-P-,after
e)a/n_C-------,gh/mh|_V3AAS-S-,after
e)a/n_C-------,e)a/n_C-------,after
e)a/n_C-------,ei)/ph|_V3AAS-S-,after
e)a/n_C-------,e)leuqerw/sh|_V3AAS-S-,after
e)a/n_C-------,e)rwta=|_V3PAS-S-,after
e)a/n_C-------,e)/sesqe_V2FMI-P-,after
e)a/n_C-------,e)sme/n_V1PAI-P-,after
e)a/n_C-------,e)ste/_V2PAI-P-,before
e)a/n_C-------,e)sti/(n)_V3PAI-S-,after
e)a/n_C-------,e)/xete_V2PAI-P-,after
e)a/n_C-------,zw=men_V1PAS-P-,after
e)a/n_C-------,h(/marte(n)_V3AAI-S-,after
e)a/n_C-------,h(/martes_V2AAI-S-,after
e)a/n_C-------,kakw/swn_V-FAPNSM,before
e)a/n_C-------,khru/cwsi(n)_V3AAS-P-,before
e)a/n_C-------,metanoh=te_V2PAS-P-,after
e)a/n_C-------,poiei=te_V2PAI-P-,after
e)a/n_C-------,poih=te_V2PAS-P-,after
e)a/nper_C-------,e)pitre/ph|_V3PAS-S-,after
e)a/nper_C-------,poih/somen_V1FAI-P-,before
ei)_C-------,a)gaqo/s_A----NSM,before
ei)_C-------,a)gapa=te_V2PAI-P-,after
ei)_C-------,a)gapw=mai_V1PPI-S-,after
ei)_C-------,a)gapw=n_V-PAPNSM,after
ei)_C-------,a)/gesqe_V2PPI-P-,after
ei)_C-------,a)koh/_N----NSF,after
ei)_C-------,a)koue/tw_V3PAM-S-,after
ei)_C-------,a)kousa/tw_V3AAM-S-,after
ei)_C-------,a)/n_C-------,after
ei)_C-------,a)pekdexo/meqa_V1PMI-P-,after
ei)_C-------,bapti/zontai_V3PPI-P-,after
ei)_C-------,blasfhmou=mai_V1PPI-S-,after
ei)_C-------,dei=_V3PAI-S-,after
ei)_C-------,diw/komai_V1PPI-S-,after
ei)_C-------,doqh/setai_V3FPI-S-,after
ei)_C-------,du/nasqe_V2PMI-P-,after
ei)_C-------,du/natai_V3PMI-S-,before
ei)_C-------,e)a/n_C-------,after
ei)_C-------,e)gei/rontai_V3PPI-P-,after
ei)_C-------,e)qhrioma/xhsa_V1AAI-S-,after
