parsing_atom_head,parsing_atom_dependent,position
a)gaqo/n_A----NSN,u(mw=n_E----GP-,before
a)gaphtoi/_A----VPM,mou_E----GS-,after
a)gaphto/n_A----ASM,mou_E----GS-,after
a(/gioi_A----NPM,pa/ntes_A----NPM,after
a(/gion_A----ASM,pa/nta_A----ASM,before
a(/gios_A----NSM,qeou=_N----GSM,after
a(gi/ous_A----APM,pa/ntas_A----APM,before
ai)/tion_A----ASN,qana/tou_N----GSM,after
a(martwloi/_A----NPM,kai/_B-------,before
a)na/stasis_N----NSF,nekrw=n_A----GPM,after
biwtika/_A----APN,mh/tige_B-------,before
do/kimon_A----ASM,e)n_P-------,after
dw/deka_A----NPM,w(sei/_B-------,before
e)qnikoi/_A----NPM,kai/_B-------,before
ei(=s_A----NSM,e)k_P-------,before
ei(=s_A----NSM,qeo/s_N----NSM,after
ei(=s_A----NSM,kata/_P-------,after
e(/n_A----NSN,e)k_P-------,after
mia=|_A----DSF,sunagwgw=n_N----GPF,after
e(/kastos_A----NSM,h(mw=n_E----GP-,after
e(ka/stw|_A----DSM,w(s_P-------,after
e)klektou/s_A----APM,e)cele/cato_V3AMI-S-,after
e)klektw=n_A----GPM,qeou=_N----GSM,after
e(/kth_A----NSF,w(s_P-------,before
e)leu/qeroi_A----NPM,dikaiosu/nh|_N----DSF,after
e)/noxon_A----ASM,qana/tou_N----GSM,after
e)/noxos_A----NSM,qana/tou_N----GSM,after
e)pieike/s_A----NSN,u(mw=n_E----GP-,after
e(/tera_A----APN,polla/_A----APN,after
e(te/rou_A----GSM,tino/s_I----GSM,after
i(kano/s_A----NSM,pro/s_P-------,before
*)ioudai=oi_A----NPM,kai/_B-------,before
*)ioudai/wn_A----GPM,mo/non_A----ASN,after
i)sxuro/teroi_A----NPM,au)tou=_E----GSM,after
kaqaroi/_A----NPM,kardi/a|_N----DSF,after
kakou=rgoi_A----NPM,du/o_A----NPM,after
kakou=rgoi_A----NPM,e(/teroi_A----NPM,before
kakou=rgoi_A----NPM,kai/_B-------,before
makra/n_A----ASF,a)po/_P-------,after
mei=zon_A----NSN,i(erou=_A----GSN,before
mei/zw_A----APN,tou/twn_M----GPN,after
mei/zwn_A----NSF,tou/twn_M----GPF,after
me/sw|_A----DSN,au)tw=n_E----GPM,after
me/sw|_A----DSN,lu/kwn_N----GPM,after
me/sw|_A----DSN,u(mw=n_E----GP-,after
mikro/n_A----ASN,a)frosu/nhs_N----GSF,after
mikro/n_A----ASN,le/gei_V3PAI-S-,before
mikro/n_A----ASN,ti\_I----ASN,after
mikro/n_A----ASN,tou=to_M----NSN,before
o(moi/a_A----NSF,au)th=|_E----DSF,after
ou)dei/s_A----NSM,e)k_P-------,after
ou)dei/s_A----NSM,maqhtw=n_N----GPM,after
ou)de/n_A----ASN,ai)/tion_A----ASN,after
ou)deni/_A----DSM,tou/twn_M----GPN,after
paralutiko/n_A----ASM,ai)ro/menon_V-PPPASM,after
paralutiko/n_A----ASM,beblhme/non_V-RPPASM,after
pa/nta_A----NPN,u(mw=n_E----GP-,after
pa/ntes_A----NPM,kai/_B-------,before
pa=s_A----NSM,e)pikale/shtai_V3AMS-S-,after
pa=sai_A----NPF,a)delfai/_N----NPF,before
pentakisxi/lioi_A----NPM,a)riqmo/n_N----ASM,before
pentakisxi/lioi_A----NPM,w(s_B-------,before
pe/nte_A----NPF,e)k_P-------,after
perisso/teron_A----ASM,profh/tou_N----GSM,after
pista/s_A----APF,e)n_P-------,after
plou/sios_A----NSM,sfo/dra_B-------,after
pneumatiko/n_A----NSN,kai/_B-------,before
polu/_A----NSN,kata/_P-------,after
prw=toi_A----NPM,polloi/_A----NPM,before
semna/s_A----APF,w(sau/tws_B-------,before
sklhro/n_A----NSN,soi_E----DS-,after
suggenh=_A----ASM,mou_E----GS-,after
tuflo/n_A----ASM,e)k_P-------,after
tuflo/n_A----ASM,pote/_L-------,before
fro/nimoi_A----NPM,para/_P-------,after
froni/mois_A----DPM,w(s_B-------,before
w(rai=oi_A----NPM,w(s_B-------,before
ei)kh=|_B-------,kai/_B-------,before
ma=llon_B-------,po/sw|_A----DSN,before
w(=de_B-------,pro/s_P-------,after
i(/na_C-------,a)po/_P-------,before
kai/_C-------,a(gi/wn_A----GPM,after
kai/_C-------,a)kou/santes_V-AAPNPM,before
kai/_C-------,a)nasta/s_V-AAPNSM,before
kai/_C-------,a)pelqo/ntes_V-AAPNPM,before
kai/_C-------,e)lqw/n_V-AAPNSM,before
kai/_C-------,e)moi/_E----DS-,before
kai/_C-------,e)n_P-------,any
kai/_C-------,h(/dista_B----APN,before
kai/_C-------,kata/_P-------,before
kai/_C-------,kopiw/sas_V-PAPAPF,after
kai/_C-------,mo/nos_A----NSM,before
kai/_C-------,pantaxou=_B-------,after
kai/_C-------,ou(/tw(s)_B-------,before
kai/_C-------,proselqw/n_V-AAPNSM,before
kai/_C-------,u(pe/r_P-------,after
kai/_C-------,xroni/zontos_V-PAPGSM,before
mh/pote_C-------,dia/_P-------,before
o(/ti_C-------,prw=ton_A----ASN,before
*)abraa/m_N----DSM,pistw=|_A----DSM,before
*)abraa/m_N----ASM,propa/tora_N----ASM,after
a)ga/ph_N----NSF,mou_E----GS-,after
a)/ggelos_N----NSM,a)po/_P-------,after
a)/ggelos_N----NSM,au)tou=_E----GSM,after
a)ge/lh_N----NSF,boskome/nh_V-PPPNSF,after
a)ge/lh_N----NSF,xoi/rwn_N----GPM,after
*)agri/ppa_N----VSM,basileu=_N----VSM,before
a)gro/s_N----NSM,ai(/matos_N----GSN,after
a)gro/s_N----NSM,e)kei=nos_M----NSM,after
a)delfai/_N----NPF,au)tou=_E----GSM,after
a)delfh=s_N----GSF,e)klekth=s_A----GSF,after
a)delfh=s_N----GSF,sou_E----GS-,after
a)delfoi/_N----VPM,a)gaphtoi/_A----VPM,after
a)delfoi/_N----NPM,au)tou=_E----GSM,after
a)delfoi/_N----VPM,mou_E----GS-,after
a)delfoi/_N----NPM,pa/ntes_A----NPM,after
a)delfoi/_N----NPM,su/n_P-------,before
a)delfoi=s_N----DPM,pa=si(n)_A----DPM,before
a)delfo/n_N----ASM,*)iwa/nnou_N----GSM,after
a)delfo/n_N----ASM,sou_E----GS-,after
a)delfo/s_N----NSM,sou_E----GS-,after
a)delfou/s_N----APM,pa/ntas_A----APM,after
a)delfou/s_N----APM,u(mw=n_E----GP-,after
a)delfw=n_N----GPM,du/o_A----GPM,before
a)diki/a_N----NSF,h(mw=n_E----GP-,after
a)diki/a_N----NSF,para/_P-------,after
a)diki/a_N----NSF,pa=sa_A----NSF,before
a)diki/an_N----ASF,tau/thn_M----ASF,after
ai)w=nas_N----APM,ai)w/nwn_N----GPM,after
ai)w=nos_N----GSM,tou/tou_M----GSM,after
a)kroatai/_N----NPM,mo/non_A----ASN,after
a)kroatai/_N----NPM,paralogizo/menoi_V-PMPNPM,after
a(marti/a_N----NSF,pro/s_P-------,after
a(marti/ai_N----NPF,sou_E----GS-,before
*)amplia=ton_N----ASM,a)gaphto/n_A----ASM,after
a)na/gaion_N----ASN,e)strwme/non_V-RPPASN,after
a)na/gaion_N----ASN,me/ga_A----ASN,after
a)naire/sei_N----DSF,au)tou=_E----GSM,after
a)na/stasis_N----NSF,kai/_B-------,before
a)na/stasis_N----NSF,nekrw=n_A----GPM,after
a)na/stasis_N----NSF,prw/th_A----NSF,after
a)/ndra_N----ASM,sou_E----GS-,after
a)/ndras_N----APM,e)/kamyan_V3AAI-P-,after
a)/ndras_N----APM,e(ptakisxili/ous_A----APM,before
a)/ndres_N----VPM,*)israhli=tai_N----VPM,after
a)/ndres_N----NPM,pa/ntes_A----NPM,before
a)/ndres_N----NPM,pentakisxi/lioi_A----NPM,any
a)/ndres_N----NPM,tetrakisxi/lioi_A----NPM,before
a)/ndres_N----NPM,w(sei/_B-------,before
a)nqrw/pois_N----DPM,pa=si(n)_A----DPM,before
a)/nqrwpon_N----ASM,h)mfiesme/non_V-RPPASM,after
a)/nqrwpon_N----ASM,tuflo/n_A----ASM,after
a)/nqrwpos_N----NSM,a(martwlo/s_A----NSM,after
