parsing_atom_head,parsing_atom_dependent,position
a)/dikos_A----NSM,mh/_B-------,immediately_before
a)llogenh/s_A----NSM,mh/_B-------,before
diabo/lous_A----APF,mh/_B-------,immediately_before
ei(=s_A----NSM,mh/_B-------,immediately_before
e(/n_A----NSN,ou)de/_B-------,immediately_before
kalo/n_A----NSN,ou)_B-------,immediately_before
o)li/gon_A----ASM,ou)_B-------,immediately_before
o)li/gos_A----NSM,ou)_B-------,immediately_before
o)knhro/n_A----NSN,ou)_B-------,immediately_before
prw=ton_A----NSN,ou)_B-------,immediately_before
e)nteu=qen_B-------,ou)_B-------,immediately_before
kalw=s_B-------,ou)_B-------,immediately_before
ma=llon_B-------,ou)_B-------,immediately_before
metri/ws_B-------,ou)_B-------,immediately_before
h)/_v-------,mh/_B-------,before
i(/na_C-------,mh/_B-------,before
kaqo/_C-------,ou)_B-------,immediately_before
o(/ti_C-------,mh/_B-------,before
a)diki/a_N----NSF,mh/_B-------,immediately_before
a)kroatai/_N----NPM,mh/_B-------,immediately_before
a)pe/lqhte_V2AAS-P-,mh/_B-------,immediately_before
a)po/stoloi_N----NPM,mh/_B-------,before
brw=ma_N----ASN,ou)_B-------,immediately_before
dida/skaloi_N----NPM,mh/_B-------,before
duna/meis_N----NPF,mh/_B-------,before
e)qnw=n_N----GPN,ou)xi/_L-------,before
qeo/s_N----NSM,mh/_B-------,before
*)ihsou=n_N----ASM,mh/_B-------,before
i)/xnesi(n)_N----DPN,ou)_B-------,before
*kai/sara_N----ASM,mh/_B-------,immediately_before
ph/ran_N----ASF,mh/_B-------,immediately_before
pneu=ma_N----NSN,mh/_B-------,before
profh=tai_N----NPM,mh/_B-------,before
r(h=ma_N----ASN,ou)de/_B-------,before
u(podh/mata_N----APN,mh/_B-------,immediately_before
ei)s_P-------,mh/_B-------,immediately_before
e)k_P-------,ou)_B-------,immediately_before
kata/_P-------,ou)_B-------,immediately_before
pro/s_P-------,ou)_B-------,immediately_before
e)gw/_E----NS-,mh/ti_L-------,immediately_before
e)gw/_E----NS-,ou)_B-------,immediately_before
oi(=on_R----NSN,ou)_B-------,immediately_before
tou=ton_M----ASM,mh/_B-------,immediately_before
a)gapa=te_V2PAM-P-,mh/_B-------,immediately_before
a)gapw=_V1PAI-S-,ou)_B-------,immediately_before
a)gapw=men_V1PAS-P-,mh/_B-------,immediately_before
a)gapw=n_V-PAPNSM,mh/_B-------,immediately_before
a)dikhqh=|_V3APS-S-,mh/_B-------,immediately_before
a)dikhqh=|_V3APS-S-,ou)_B-------,before
a)qumw=si(n)_V3PAS-P-,mh/_B-------,immediately_before
a)kou/eis_V2PAI-S-,ou)_B-------,immediately_before
a)kou/ete_V2PAI-P-,ou)_B-------,immediately_before
h)kou/samen_V1AAI-P-,ou)de/_B-------,before
h)/kousan_V3AAI-P-,mh/_B-------,before
