parsing_atom_head,parsing_atom_dependent,position
e)/kfoboi_A----NPM,ga/r_C-------,immediately_after
e(/n_A----NSN,de/_C-------,immediately_after
e)/ntromos_A----NSM,de/_C-------,immediately_after
e(/teroi_A----NPM,de/_C-------,immediately_after
eu)/qumoi_A----NPM,de/_C-------,immediately_after
o)li/goi_A----NPM,de/_C-------,immediately_after
o)yi/as_A----GSF,de/_C-------,immediately_after
pa/ntes_A----NPM,ga/r_C-------,immediately_after
pa/ntwn_A----GPN,de/_C-------,immediately_after
pa=s_A----NSM,ga/r_C-------,immediately_after
pe/nte_A----NPF,de/_C-------,immediately_after
polla/_A----NPN,me/n_C-------,immediately_after
polloi/_A----NPM,ga/r_C-------,immediately_after
polloi/_A----NPM,de/_C-------,immediately_after
po/sw|_A----DSN,ou)=n_C-------,immediately_after
prw=ton_A----ASN,ga/r_C-------,after
prw=ton_A----ASN,me/n_L-------,immediately_after
a)/rti_B-------,ga/r_C-------,immediately_after
e)kei=qen_B-------,de/_C-------,immediately_after
e)/ti_B-------,ga/r_C-------,immediately_after
kai/_B-------,ga/r_C-------,immediately_after
mh/_B-------,ou)=n_C-------,immediately_after
nu=n_B-------,de/_C-------,immediately_after
nuni/_B-------,de/_C-------,immediately_after
o(_D----NSM,ou)=n_C-------,immediately_after
ou)_B-------,ga/r_C-------,immediately_after
ou)de/_B-------,ga/r_C-------,immediately_after
ou)/pw_B-------,ga/r_C-------,immediately_after
pa/lin_B-------,de/_C-------,immediately_after
pa/lin_B-------,ou)=n_C-------,immediately_after
perissote/rws_B-------,de/_C-------,immediately_after
po/qen_B-------,ou)=n_C-------,immediately_after
pou=_B-------,ou)=n_C-------,immediately_after
prwi/+_B-------,de/_C-------,immediately_after
pw=s_B-------,de/_C-------,immediately_after
pw=s_B-------,ou)=n_C-------,immediately_after
to/te_B-------,ou)=n_C-------,immediately_after
w(sau/tws_B-------,de/_C-------,immediately_after
a)/ra_C-------,ge/_C-------,immediately_after
a)/ra_C-------,ou)=n_C-------,immediately_after
e)a/n_C-------,ga/r_C-------,immediately_after
e)a/n_C-------,ou)=n_C-------,immediately_after
kai/_C-------,ga/r_C-------,immediately_after
e)a/n_C-------,de/_C-------,immediately_after
ei)_C-------,ge/_C-------,immediately_after
ei)_C-------,de/_C-------,immediately_after
ei)_C-------,ou)=n_C-------,immediately_after
ei)/te_C-------,ga/r_C-------,immediately_after
h(_D----NSF,de/_C-------,immediately_after
o(_D----NSM,ga/r_C-------,immediately_after
o(_D----NSM,de/_C-------,immediately_after
oi(_D----NPM,ga/r_C-------,immediately_after
oi(_D----NPM,de/_C-------,immediately_after
oi(_D----NPM,me/n_C-------,immediately_after
oi(_D----NPM,me/n_L-------,immediately_after
oi(_D----NPM,ou)=n_C-------,after
ta/_D----APN,de/_C-------,immediately_after
th=|_D----DSF,de/_C-------,immediately_after
to/_D----NSN,ou)=n_C-------,immediately_after
tou=_D----GSM,de/_C-------,immediately_after
tw=|_D----DSN,ga/r_C-------,immediately_after
a)nasta/sei_N----DSF,ou)=n_C-------,immediately_after
ku/rios_N----NSM,ga/r_C-------,immediately_after
*mari/a_N----NSF,de/_C-------,immediately_after
no/mon_N----ASM,ou)=n_C-------,immediately_after
nh=son_N----ASF,de/_C-------,immediately_after
*pe/tros_N----NSM,de/_C-------,immediately_after
*sau=los_N----NSM,de/_C-------,immediately_after
*solomw=n_N----NSM,de/_C-------,immediately_after
sxi/sma_N----NSN,ou)=n_C-------,immediately_after
e)k_P-------,ga/r_C-------,immediately_after
e)n_P-------,de/_C-------,immediately_after
kata/_P-------,de/_C-------,immediately_after
peri/_P-------,de/_C-------,immediately_after
au(/th_M----NSF,ou)=n_C-------,immediately_after
