lemma,gender,declension,gs
ta/xos,neuter,,ta/xous
*)/alfa,neuter,3,
sugkoinwno/s,masculine,,sugkoinwnou=
*pa/tmos,feminine,,*pa/tmou
*smu/rna,feminine,,*smu/rnhs
*pe/rgamos,feminine,,*perga/mou
*qua/teira,feminine,2,*quatei/rwn
*sa/rdeis,feminine,,*sa/rdewn
*filade/lfeia,feminine,,*filadelfei/as
qri/c,feminine,,trixo/s
xalkoli/banon,masculine,,xalkoliba/nou
r(omfai/a,feminine,,r(omfai/as
klei/s,feminine,,kleido/s
*nikolai/+ths,masculine,,*nikolai/+tou
*satana=s,masculine,3,
ste/fanos,masculine,,stefa/nou
*bala/k,masculine,,*bala/k
ma/nna,neuter,3,
yh=fos,feminine,,yh/fou
*)ieza/bel,feminine,,*)ieza/bel
profh=tis,feminine,,profh/tidos
nefro/s,masculine,,nefrou=
ba/ros,neuter,,ba/rous
skeu=os,neuter,,skeu/ous
kollou/rion,neuter,,kollouri/ou
i)/aspis,feminine,,i)a/spidos
lampa/s,feminine,,lampa/dos
a)na/pausis,feminine,,a)napau/sews
sfragi/s,feminine,,sfragi/dos
*)iou/das,masculine,3,
ke/ras,neuter,,ke/ratos
fia/lh,feminine,,fia/lhs
muria/s,feminine,,muria/dos
xilia/s,feminine,,xilia/dos
kti/sma,neuter,,kti/smatos
xoi=nic,feminine,,xoi/nikos
limo/s,masculine,,limou=
o)/lunqos,masculine,,o)lu/nqou
megista/n,masculine,,megista=nos
xili/arxos,masculine,,xilia/rxou
*manassh=s,masculine,3,
foi=nic,masculine,,foi/nikos
kau=ma,neuter,3,kau/matos
da/kruon,neuter,,dakru/ou
h(miw/rion,neuter,,h(miwri/ou
a)/yinqos,feminine,,a)yi/nqou
mesoura/nhma,neuter,3,mesouranh/matos
a)kri/s,feminine,,a)kri/dos
mh/n,masculine,,mhno/s
o(moi/wma,neuter,3,o(moiw/matos
dismuria/s,feminine,3,dismuria/dos
fa/rmakon,neuter,,farma/kou
kle/mma,neuter,3,kle/mmatos
biblari/dion,neuter,,bibliaridi/ou
me/li,neuter,,me/litos
ptw=ma,neuter,3,ptw/matos
*so/doma,neuter,2,*sodo/mwn
mnh=ma,neuter,3,mnh/matos
dw=ron,neuter,,dw/rou
dia/dhma,neuter,3,diadh/matos
pa/rdalis,feminine,,parda/lews
ai)xmalwsi/a,feminine,,ai)xmalwsi/as
xa/ragma,neuter,3,xara/gmatos
kiqarw|do/s,masculine,,kiqarw|dou=
a)parxh/,feminine,,a)parxh=s
dre/panon,neuter,,drepa/nou
xalino/s,masculine,,xalinou=
sta/dios,masculine,,stadi/ou
li/non,neuter,,li/nou
sth=qos,neuter,,sth/qous
e(/lkos,neuter,,e(/lkous
ba/traxos,masculine,,batra/xou
a)sxhmosu/nh,feminine,,a)sxhmosu/nhs
bde/lugma,neuter,3,bdelu/gmatos
qau=ma,neuter,3,qau/matos
katoikhth/rion,neuter,,katoikhthri/ou
e)/mporos,masculine,,e)mpo/rou
a)di/khma,neuter,3,a)dikh/matos
pe/nqos,neuter,,pe/nqous
go/mos,masculine,,go/mou
kinna/mwmon,neuter,,kinnamw/mou
a)/mwmon,neuter,,a)mw/mou
li/banos,masculine,,liba/nou
kth=nos,neuter,3,kth/nous
r(e/dh,feminine,,r(e/dhs
o)pw/ra,feminine,1,
kubernh/ths,masculine,,kubernh/tou
nau/ths,masculine,,nau/tou
o(/rmhma,neuter,3,o(rmh/matos
au)lhth/s,masculine,,au)lhtou=
salpisth/s,masculine,,salpistou=
a(/lusis,feminine,,a(lu/sews
e)/tos,neuter,,e)/tous
*gw/g,masculine,,*gw/g
*magw/g,masculine,,*magw/g
pla/tos,neuter,,pla/tous
foneu/s,masculine,,fone/ws
po/rnos,masculine,,po/rnou
ei)dwlola/trhs,masculine,,ei)dwlola/trou
fwsth/r,masculine,,fwsth/ros
borra=s,masculine,3,
dusmh/,feminine,,dusmh=s
ph=xus,masculine,,ph/xeos
u(/alos,masculine,,u(a/lou
dih/ghsis,feminine,,dihgh/sews
au)to/pths,masculine,,au)to/ptou
u(phre/ths,masculine,,u(phre/tou
*qeo/filos,masculine,,*qeofi/lou
a)sfa/leia,feminine,,a)sfalei/as
*)abia/,masculine,3,
*)elisa/bet,feminine,,*)elisa/bet
e)/qos,neuter,,e)/qous
si/kera,neuter,2,
o)ptasi/a,feminine,,o)ptasi/as
o)/neidos,neuter,,o)nei/dou
*maria/m,feminine,,*maria/m
gh=ras,neuter,3,gh/rws
