lemma,gender,distant_determiner
a)poka/luyis,feminine,n
*)ihsou=s,masculine,y
*xristo/s,masculine,n
qeo/s,masculine,y
dou=los,masculine,y
ta/xos,neuter,n
a)/ggelos,masculine,n
*)iwa/nnhs,masculine,n
lo/gos,masculine,y
marturi/a,feminine,n
profhtei/a,feminine,n
kairo/s,masculine,n
e)kklhsi/a,feminine,y
*)asi/a,feminine,n
xa/ris,feminine,n
ei)rh/nh,feminine,n
pneu=ma,neuter,y
qro/nos,masculine,n
ma/rtus,masculine,n
a)/rxwn,masculine,y
basileu/s,masculine,n
gh=,feminine,n
a(marti/a,feminine,y
ai(=ma,neuter,n
basilei/a,feminine,n
i(ereu/s,masculine,n
path/r,masculine,y
do/ca,feminine,n
kra/tos,neuter,n
ai)w/n,masculine,n
nefe/lh,feminine,n
o)fqalmo/s,masculine,n
fulh/,feminine,n
*)/alfa,neuter,n
*)=w,neuter,n
ku/rios,masculine,y
pantokra/twr,masculine,n
a)delfo/s,masculine,y
sugkoinwno/s,masculine,n
qli=yis,feminine,n
u(pomonh/,feminine,n
nh=sos,feminine,n
*pa/tmos,feminine,n
h(me/ra,feminine,y
fwnh/,feminine,y
sa/lpigc,feminine,n
bibli/on,neuter,n
*)/efesos,feminine,n
*smu/rna,feminine,n
*pe/rgamos,feminine,n
*qua/teira,neuter,n
*sa/rdeis,feminine,n
*filade/lfeia,feminine,n
*laodi/keia,feminine,n
luxni/a,feminine,n
ui(o/s,masculine,y
a)/nqrwpos,masculine,y
masto/s,masculine,n
zw/nh,feminine,n
kefalh/,feminine,y
qri/c,feminine,n
e)/rion,neuter,n
xiw/n,feminine,n
flo/c,feminine,n
pu=r,neuter,n
pou/s,masculine,n
xalkoli/banon,neuter,n
ka/minos,feminine,n
u(/dwr,neuter,n
xei/r,feminine,y
a)sth/r,masculine,n
sto/ma,neuter,n
r(omfai/a,feminine,n
o)/yis,feminine,n
h(/lios,masculine,n
du/namis,feminine,n
klei/s,feminine,n
qa/natos,masculine,n
a(/|dhs,masculine,n
musth/rion,neuter,n
e)/rgon,neuter,y
ko/pos,masculine,n
a)po/stolos,masculine,n
o)/noma,neuter,y
a)ga/ph,feminine,y
to/pos,masculine,n
*nikolai/+ths,masculine,n
ou)=s,neuter,n
cu/lon,neuter,n
zwh/,feminine,y
para/deisos,masculine,n
ptwxei/a,feminine,n
blasfhmi/a,feminine,n
sunagwgh/,feminine,n
*satana=s,masculine,n
fulakh/,feminine,n
ste/fanos,masculine,n
pi/stis,feminine,n
*)antipa=s,masculine,n
didaxh/,feminine,n
*balaa/m,masculine,n
*bala/k,masculine,n
ska/ndalon,neuter,n
*)israh/l,masculine,n
ma/nna,neuter,n
yh=fos,feminine,n
diakoni/a,feminine,n
gunh/,feminine,n
*)ieza/bel,feminine,n
profh=tis,feminine,n
xro/nos,masculine,n
pornei/a,feminine,n
kli/nh,feminine,n
te/knon,neuter,n
nefro/s,masculine,n
kardi/a,feminine,n
ba/ros,neuter,n
te/los,neuter,n
e)cousi/a,feminine,y
e)/qnos,neuter,n
r(a/bdos,feminine,n
skeu=os,neuter,n
kle/pths,masculine,n
w(/ra,feminine,y
i(ma/tion,neuter,n
bi/blos,feminine,n
*daui/d,masculine,n
qu/ra,feminine,n
peirasmo/s,masculine,n
oi)koume/nh,feminine,n
stu=los,masculine,n
nao/s,masculine,n
po/lis,feminine,y
*)ierousalh/m,feminine,n
ou)rano/s,masculine,n
a)rxh/,feminine,n
kti/sis,feminine,n
xrei/a,feminine,n
xrusi/on,neuter,n
ai)sxu/nh,feminine,n
gumno/ths,feminine,n
kollou/rion,neuter,n
o(/rasis,feminine,n
li/qos,masculine,n
i)/aspis,feminine,n
sa/rdion,neuter,n
i)=ris,feminine,n
a)straph/,feminine,n
bronth/,feminine,y
lampa/s,feminine,n
qa/lassa,feminine,n
kru/stallos,masculine,n
zw=|on,neuter,y
le/wn,masculine,n
mo/sxos,masculine,n
pro/swpon,neuter,n
a)eto/s,masculine,n
pte/ruc,feminine,n
a)na/pausis,feminine,n
nu/c,feminine,n
timh/,feminine,n
eu)xaristi/a,feminine,n
qe/lhma,neuter,n
sfragi/s,feminine,n
*)iou/das,masculine,n
r(i/za,feminine,n
a)rni/on,neuter,n
ke/ras,neuter,n
kiqa/ra,feminine,n
fia/lh,feminine,n
qumi/ama,neuter,n
proseuxh/,feminine,n
w)|dh/,feminine,n
glw=ssa,feminine,n
lao/s,masculine,n
a)riqmo/s,masculine,n
muria/s,feminine,n
xilia/s,feminine,n
plou=tos,masculine,n
sofi/a,feminine,n
i)sxu/s,feminine,n
eu)logi/a,feminine,n
kti/sma,neuter,n
i(/ppos,masculine,n
to/con,neuter,n
ma/xaira,feminine,n
zugo/s,masculine,n
xoi=nic,feminine,n
si=tos,masculine,n
dhna/rion,neuter,n
