book_name,chapter,verse,word_order,sentence_break
Matthew,2,2,16,Y
Matthew,2,21,10,Y
Matthew,4,11,5,Y
Matthew,4,11,9,Y
Matthew,4,17,9,Y
Matthew,5,13,6,Y
Matthew,5,21,7,Y
Matthew,5,33,8,Y
Matthew,5,42,4,Y
Matthew,6,31,6,N
Matthew,6,31,9,N
Matthew,6,33,9,Y
Matthew,7,7,1,Y
Matthew,7,7,4,Y
Matthew,7,7,5,Y
Matthew,7,7,7,Y
Matthew,7,8,5,Y
Matthew,7,8,9,Y
Matthew,7,23,8,Y
Matthew,8,3,8,Y
Matthew,8,3,9,Y
Matthew,8,22,7,Y
Matthew,8,25,7,Y
Matthew,8,26,15,Y
Matthew,8,33,4,Y
Matthew,9,1,5,Y
Matthew,9,8,5,Y
Matthew,9,15,28,Y
Matthew,9,22,10,Y
Matthew,9,25,10,Y
Matthew,10,8,2,Y
Matthew,10,8,4,Y
Matthew,10,8,6,Y
Matthew,10,8,8,Y
Matthew,10,8,10,Y
Matthew,10,31,3,Y
Matthew,10,34,9,Y
Matthew,10,40,5,Y
Matthew,12,9,8,Y
Matthew,12,23,5,Y
Matthew,12,30,8,Y
Matthew,13,7,6,Y
Matthew,13,7,10,Y
Matthew,14,14,5,Y
Matthew,14,14,9,Y
Matthew,14,16,9,Y
Matthew,14,20,3,Y
Matthew,14,20,5,Y
Matthew,14,27,8,Y
Matthew,14,27,10,Y
Matthew,14,29,14,Y
Matthew,14,30,6,Y
Matthew,15,14,2,Y
Matthew,15,14,6,Y
Matthew,15,18,10,Y
Matthew,15,20,6,Y
Matthew,15,37,3,Y
Matthew,15,37,5,Y
Matthew,15,39,8,Y
Matthew,16,3,16,Y
Matthew,16,6,6,Y
Matthew,17,6,8,Y
Matthew,17,7,4,Y
Matthew,17,7,9,Y
Matthew,17,16,6,Y
Matthew,18,26,10,Y
Matthew,18,27,9,Y
Matthew,18,29,11,Y
Matthew,19,2,5,Y
Matthew,19,17,14,Y
Matthew,19,20,7,Y
Matthew,19,22,8,Y
Matthew,20,10,8,Y
