lemma,verb_type,pp2,pp3,pp4,pp5,pp6
di/dwmi,,,,,de/domai,e)do/qhn
dei/knumi,,,,,,e)dei/xqhn
de/w,,dh/sw,e)/dhsa,de/deka,,
gi/nomai,,genh/somai,,,gege/nhmai,
shmai/nw,,,e)sh/mana,,,
a)poste/llw,,,,,a)pe/stalmai,
marture/w,,,e)martu/rhsa,,memartu/rhmai,e)marturh/qhn
a)naginw/skw,,,a)ne/gnwn,,,a)negnw/sqhn
a)kou/w,,a)kou/sw,,,,h)kou/sqhn
thre/w,,,,,teth/rhmai,e)thrh/qhn
gra/fw,,,,,ge/grammai,e)gra/fhn
a)gapa/w,,,,,h)ga/phmai,h)gaph/qhn
lu/w,,,,,le/lumai,e)lu/qhn
poie/w,,,,,pepoi/hmai,
e)kkente/w,,,e)ceke/nthsa,,,
ko/ptw,,ko/yw,,,,
le/gw,,,,,ei)/rhmai,e)rre/qhn
kale/w,,,,,,e)klh/qhn
ble/pw,,ble/yw,,,,
pe/mpw,,,,,,e)pe/mfqhn
e)pistre/fw,,,,,,e)pestra/fhn
lale/w,,,,,lela/lhmai,e)lalh/qhn
e)ndu/w,,,e)ne/dusa,,e)nde/dumai,
perizw/nnumi,,perizw/sw,perie/zwsa,,perie/zwsmai,
puro/omai,,,,,pepu/romai,
e)/xw,,e(/cw,,,,
e)kporeu/omai,,e)kporeu/somai,,,,
fai/nw,,fanw=,e)/fanon,,,e)fa/nhn
pi/ptw,,pesou=mai,,pe/ptwka,,
ti/qhmi,,,,,te/qeimai,
fobe/omai,,,,,,e)fobh/qhn
za/w,,zh/sw,,,,
krate/w,,,,kekra/thka,kekra/thmai,
peripate/w,,peripath/sw,periepa/thsa,,,
oi)=da,,ei)dh/sw,,,,
du/namai,,dunh/somai,,,,
basta/zw,,,e)ba/stasa,,,
peira/zw,,,e)pei/rasa,,pepei/rasmai,e)peira/sqhn
eu(ri/skw,,eu(rh/sw,,,,
a)fi/hmi,,,,,a)fe/wmai,a)fe/qhn
mnhmoneu/w,,,e)mnhmo/neusa,,,
metanoe/w,,metanoh/sw,meteno/hsa,,,
kine/w,,,e)ki/nhsa,,,e)kinh/qhn
mise/w,,mish/sw,,,memi/shmai,
nika/w,,nikh/sw,,,,
e)sqi/w,,fa/gomai,,,,
pa/sxw,,,,pe/ponqa,,
ba/llw,,balw=,e)/balon,be/blhka,be/blhmai,e)blh/qhn
a)dike/w,,a)dikh/sw,,,,h)dikh/qhn
katoike/w,,,katw/|khsa,,,
a)rne/omai,,,h)rnhsa/mhn,,h)/rnhmai,
a)poktei/nw,,,a)pe/kteina,,,a)pekta/nqhn
porneu/w,,,e)po/rneusa,,,
kru/ptw,,,,,ke/krummai,e)kru/bhn
lamba/nw,,lh/myomai,,,,
plana/w,,planh/sw,e)pla/nhsa,,,e)planh/qhn
moixeu/w,,moixeu/sw,e)moi/xeusa,,,e)moixeu/qhn
ginw/skw,,,,,e)/gnwsmai,e)gnw/sqhn
e)rauna/w,,,e)rau/nhsa,,,
h(/kw,,,h(/ca,h(/ka,,
poimai/nw,,,e)poi/mana,,,
suntri/bw,,suntri/yw,sune/triya,,sunte/trimmai,sunetri/bhn
grhgore/w,,,e)grhgo/rhsa,,,
sthri/zw,,,,,e)sth/rigmai,e)sthri/xqhn
a)poqnh/|skw,,a)poqanou=mai,,,,
plhro/w,,,,peplh/rwka,,e)plhrw/qhn
molu/nw,,,,,,e)molu/nqhn
periba/llw,,peribalw=,perie/balon,,peribe/blhmai,
e)calei/fw,,,e)ch/leiya,,,e)chlei/fqhn
o(mologe/w,,,w(molo/ghsa,,,
a)noi/gw,,,h)/noica,h)/noixa,a)ne/w|ga,h)noi/xqhn
klei/w,,klei/sw,e)/kleisa,,ke/kleismai,e)klei/sqhn
yeu/domai,,,e)/yeusa/mhn,,,
proskune/w,,proskunh/sw,proseku/nhsa,,,
e)ce/rxomai,,e)celeu/somai,,e)celh/luqa,,
katabai/nw,,katabh/somai,,,,
e)me/w,,,h)/mesa,,,
ploute/w,,,e)plou/thsa,,,
sumbouleu/w,,,sunebou/leusa,,,
a)gora/zw,,,,,h)go/rasmai,h)gora/sqhn
fanero/w,,,,,pefane/rwmai,e)fanerw/qhn
e)gxri/w,,,e)ne/xrisa,,,
file/w,,,,pefi/lhka,,
e)le/gxw,,,h)/legca,,,h)le/gxqhn
paideu/w,,,e)pai/deusa,,pepai/deumai,e)paideu/qhn
zhleu/w,,,,,,
i(/sthmi,,sth/sw,e)/sthsa,,,e)sta/qhn
krou/w,,,e)/krousa,,,
ei)se/rxomai,,,,ei)selh/luqa,,
deipne/w,,,e)dei/pnhsa,,,
kaqi/zw,,kaqi/sw,,keka/qika,,
a)nabai/nw,,a)nabh/somai,,,,
ka/qhmai,,kaqh/somai,,,,
kai/w,,,,,ke/kaumai,e)kau/qhn
kti/zw,,,,,ke/ktismai,e)kti/sqhn
katasfragi/zw,,,,,katesfra/gismai,
khru/ssw,,,e)kh/ruca,,,e)khru/xqhn
klai/w,,kalu/sw,,,,
sfa/zw,,,e)/sfaca,,e)/sfagmai,e)sfa/ghn
a)kolouqe/w,,,h)kolou/qhsa,h)kolou/qhka,,
kra/zw,,kra/cw,e)/kraca,ke/kraga,,
kri/nw,,krinw=,,,ke/krimai,e)kri/qhn
e)kdike/w,,,e)cedi/khsa,,,
a)napau/w,,,a)ne/pausa,,a)nape/paumai,a)nepah/qhn
sei/w,,,,,,e)sei/sqhn
a)poxwri/zomai,,,,,,a)pexwri/sqhn
e(li/ssw,,e(li/cw,,,,
pne/w,,,e)/pneusa,,,
sfragi/zw,,,e)sfra/gisa,,e)sfra/gismai,e)sfragi/sqhn
a)riqme/w,,,h)ri/qmhsa,,h)ri/qmhmai,
a)pokri/nomai,,,a)pekrina/mhn,,,
plu/nw,,,e)/pluna,,,
leukai/nw,,,e)leu/kana,,,
latreu/w,,,e)la/treusa,,,
skhno/w,,skhnw/sw,e)skh/nwsa,,,
diya/w,,diyh/sw,,,,
o(dhge/w,,o(dhgh/sw,,,,
gemi/zw,,,e)ge/misa,,,e)gemi/sqhn
e(toima/zw,,,,,h(toi/masmai,e(toima/sqhn
salpi/zw,,,e)sa/lpisa,,,
mi/gnumi,,,e)/mica,,me/migmai,
katakai/w,,katakau/sw,kate/kausa,,,kateka/hn
diafqei/rw,,,die/fqeira,,die/fqarmai,diefqa/rhn
pikrai/nw,,pikranw=,,,,e)pikra/nqhn
plh/ssw,,,,,,e)plh/ghn
skoti/zomai,,,,,,e)skoti/sqhn
skoto/omai,,,,,e)sko/twmai,e)skotw/qhn
basani/zw,,,e)basa/nisa,,,e)basani/sqhn
zhte/w,,,,,,e)zhth/qhn
e)piqume/w,,e)piqumh/sw,,,,
feu/gw,,feu/cw,e)/fugon,,,
a)pe/rxomai,,,,a)pelh/luqa,,
ai)/rw,,,h)=ra,h)=rka,h)=rmai,h)/rqhn
tele/w,,,e)te/lesa,,tete/lesmai,e)tele/sqhn
