lemma,arg_nom,determiner,distant_determiner
di/dwmi,n,n,n
dei/knumi,n,n,n
de/w,n,n,n
gi/nomai,y,n,n
shmai/nw,n,n,n
a)poste/llw,n,y,n
marture/w,n,y,n
o(ra/w,n,y,n
a)naginw/skw,n,n,n
a)kou/w,n,y,n
thre/w,n,y,n
gra/fw,n,y,n
ei)mi/,y,y,n
e)/rxomai,n,y,y
a)gapa/w,n,y,n
lu/w,n,n,n
poie/w,n,y,y
e)kkente/w,n,n,n
ko/ptw,n,n,n
le/gw,n,y,y
kale/w,n,y,n
ble/pw,n,n,n
pe/mpw,n,y,n
e)pistre/fw,n,n,n
lale/w,n,y,n
e)ndu/w,n,n,n
perizw/nnumi,n,n,n
puro/omai,n,n,n
e)/xw,n,y,y
e)kporeu/omai,n,n,n
fai/nw,n,n,n
pi/ptw,n,n,n
ti/qhmi,n,n,n
fobe/omai,n,n,n
za/w,n,n,n
me/llw,n,n,n
krate/w,n,n,n
peripate/w,n,n,n
ei)/dw,n,n,n
du/namai,n,y,n
basta/zw,n,n,n
peira/zw,n,n,n
eu(ri/skw,n,n,n
kopia/w,n,y,n
a)fi/hmi,n,n,n
mnhmoneu/w,n,n,n
metanoe/w,n,n,n
kine/w,n,n,n
mise/w,n,y,y
nika/w,n,y,n
e)sqi/w,n,y,y
pa/sxw,n,n,n
ba/llw,n,n,n
a)dike/w,n,n,n
katoike/w,n,n,n
a)rne/omai,n,y,n
a)poktei/nw,n,n,n
dida/skw,n,n,n
porneu/w,n,n,n
poleme/w,n,n,n
kru/ptw,n,n,n
lamba/nw,n,y,n
plana/w,n,y,n
qe/lw,n,y,y
moixeu/w,n,n,n
ginw/skw,n,y,y
e)rauna/w,n,n,n
h(/kw,n,n,n
poimai/nw,n,n,n
suntri/bw,n,n,n
grhgore/w,n,n,n
sthri/zw,n,n,n
a)poqnh/|skw,n,n,n
plhro/w,n,n,n
molu/nw,n,n,n
periba/llw,n,n,n
e)calei/fw,n,n,n
o(mologe/w,n,n,n
a)noi/gw,n,n,n
klei/w,n,n,n
yeu/domai,n,n,n
proskune/w,n,n,n
e)ce/rxomai,n,y,n
katabai/nw,n,n,n
e)me/w,n,n,n
ploute/w,n,n,n
sumbouleu/w,n,n,n
a)gora/zw,n,n,n
fanero/w,n,n,n
e)gxri/w,n,n,n
file/w,n,y,y
e)le/gxw,n,n,n
paideu/w,n,n,n
zhleu/w,n,n,n
i(/sthmi,n,y,y
krou/w,n,n,n
ei)se/rxomai,n,n,n
deipne/w,n,n,n
kaqi/zw,n,n,n
a)nabai/nw,n,n,n
kei=mai,y,n,n
ka/qhmai,n,y,n
kai/w,n,n,n
ge/mw,n,n,n
pe/tomai,n,n,n
kti/zw,n,n,n
katasfragi/zw,n,n,n
khru/ssw,n,y,n
klai/w,n,y,n
sfa/zw,n,n,n
a)/|dw,n,n,n
basileu/w,n,n,n
a)kolouqe/w,n,n,n
kra/zw,n,n,n
kri/nw,n,y,n
e)kdike/w,n,n,n
a)napau/w,n,n,n
sei/w,n,n,n
a)poxwri/zomai,n,n,n
e(li/ssw,n,n,n
pne/w,n,n,n
sfragi/zw,n,n,n
a)riqme/w,n,n,n
a)pokri/nomai,n,n,n
plu/nw,n,n,n
leukai/nw,n,n,n
latreu/w,n,n,n
skhno/w,n,n,n
peina/w,n,y,n
diya/w,n,y,n
o(dhge/w,n,n,n
gemi/zw,n,n,n
e(toima/zw,n,n,n
salpi/zw,n,n,n
mi/gnumi,n,n,n
katakai/w,n,n,n
diafqei/rw,n,n,n
pikrai/nw,n,n,n
plh/ssw,n,n,n
skoti/zomai,n,n,n
skoto/omai,n,n,n
basani/zw,n,n,n
pai/w,n,n,n
zhte/w,n,n,n
e)piqume/w,n,n,n
feu/gw,n,n,n
tre/xw,n,y,n
a)pe/rxomai,n,n,n
muka/omai,n,n,n
ai)/rw,n,n,n
o)mnu/w,n,n,n
tele/w,n,n,n
eu)aggeli/zw,n,y,n
u(pa/gw,n,n,n
katesqi/w,n,n,n
profhteu/w,n,y,y
e)gei/rw,n,n,n
metre/w,n,n,n
e)kba/llw,n,n,n
pate/w,n,n,n
bre/xw,n,n,n
stre/fw,n,n,n
pata/ssw,n,n,n
stauro/w,n,n,n
xai/rw,n,n,n
eu)frai/nw,n,n,n
e)pipi/ptw,n,n,n
qewre/w,n,n,n
eu)xariste/w,n,n,n
o)rgi/zomai,n,n,n
w)di/nw,n,n,n
ti/ktw,n,n,n
su/rw,n,n,n
a(rpa/zw,n,n,n
tre/fw,n,n,n
i)sxu/w,n,n,n
kathgore/w,n,n,n
diw/kw,n,y,n
bohqe/w,n,n,n
katapi/nw,n,n,n
qerapeu/w,n,n,n
qauma/zw,n,n,n
blasfhme/w,n,n,n
pwle/w,n,n,n
yhfi/zw,n,n,n
kiqari/zw,n,n,n
manqa/nw,n,n,n
poti/zw,n,n,n
pi/nw,n,n,n
kera/nnumi,n,n,n
qeri/zw,n,n,n
chrai/nw,n,n,n
fwne/w,n,n,n
truga/w,n,n,n
a)kma/zw,n,n,n
doca/zw,n,n,n
e)kxe/w,n,n,n
kaumati/zw,n,n,n
masa/omai,n,n,n
suna/gw,n,n,n
mimnh/|skomai,n,n,n
deu=ro,n,n,n
mequ/w,n,n,n
a)pofe/rw,n,n,n
xruso/w,n,n,n
pa/reimi,n,n,n
me/nw,n,n,n
e)rhmo/omai,n,n,n
fwti/zw,n,n,n
sugkoinwne/w,n,n,n
kolla/omai,n,y,y
a)podi/dwmi,n,n,n
diplo/w,n,n,n
strhnia/w,n,n,n
penqe/w,n,y,n
a)po/llumi,n,n,n
ple/w,n,n,n
e)rga/zomai,n,n,n
fqei/rw,n,n,n
ai)ne/w,n,n,n
a)gallia/w,n,n,n
ba/ptw,n,n,n
deu=te,n,n,n
pia/zw,n,n,n
xorta/zw,n,n,n
peleki/zw,n,n,n
kukleu/w,n,n,n
kosme/w,n,n,n
klhronome/w,n,n,n
bdelu/ssomai,n,y,n
krustalli/zw,n,n,n
e)pigra/fw,n,n,n
fe/rw,n,n,n
r(upareu/w,n,n,n
a(gia/zw,n,n,n
e)piti/qhmi,n,n,n
a)faire/w,n,n,n
e)pixeire/w,n,n,n
a)nata/ssomai,n,n,n
plhrofore/w,n,n,n
paradi/dwmi,n,y,n
doke/w,n,n,n
parakolouqe/w,n,n,n
e)piginw/skw,n,n,n
kathxe/w,n,y,n
poreu/omai,n,n,n
probai/nw,n,n,n
i(erateu/w,n,n,n
lagxa/nw,n,n,n
qumia/w,n,n,n
proseu/xomai,n,n,n
tara/ssw,n,n,n
ei)sakou/w,n,n,n
genna/w,n,n,n
pi/mplhmi,n,n,n
proe/rxomai,n,n,n
kataskeua/zw,n,n,n
pari/sthmi,n,y,n
siwpa/w,n,n,n
pisteu/w,n,y,n
prosdoka/w,n,n,n
xroni/zw,n,n,n
dianeu/w,n,n,n
diame/nw,n,n,n
sullamba/nw,n,n,n
perikru/bw,n,n,n
e)fora/w,n,n,n
mnhsteu/omai,n,n,n
xarito/w,n,n,n
diatara/ssw,n,n,n
dialogi/zomai,n,n,n
e)pe/rxomai,n,n,n
e)piskia/zw,n,n,n
a)dunate/w,n,n,n
a)ni/sthmi,n,n,n
a)spa/zomai,n,n,n
skirta/w,n,n,n
a)nafwne/w,n,n,n
eu)loge/w,n,n,n
megalu/nw,n,n,n
e)pible/pw,n,n,n
makari/zw,n,n,n
diaskorpi/zw,n,n,n
kaqaire/w,n,n,n
u(yo/w,n,y,n
e)mpi/mplhmi,n,y,n
e)caposte/llw,n,n,n
a)ntilamba/nomai,n,n,n
u(postre/fw,n,n,n
sugxai/rw,n,n,n
perite/mnw,n,n,n
e)nneu/w,n,n,n
ai)te/w,n,y,n
perioike/w,n,n,n
dialale/w,n,n,n
e)piske/ptomai,n,n,n
r(u/omai,n,n,n
proporeu/omai,n,n,n
e)pifai/nw,n,n,n
kateuqu/nw,n,n,n
au)ca/nw,n,n,n
krataio/omai,n,n,n
a)pogra/fw,n,n,n
h(gemoneu/w,n,n,n
spargano/w,n,n,n
a)nakli/nw,n,n,n
a)graule/w,n,n,n
fula/ssw,n,n,n
e)fi/sthmi,n,n,n
perila/mpw,n,n,n
die/rxomai,n,n,n
gnwri/zw,n,n,n
speu/dw,n,n,n
a)neuri/skw,n,n,n
sunthre/w,n,n,n
sumba/llw,n,n,n
a)na/gw,n,n,n
dianoi/gw,n,n,n
prosde/xomai,n,n,n
xrhmati/zw,n,n,n
ei)sa/gw,n,n,n
e)qi/zw,n,n,n
de/xomai,n,n,n
a)polu/w,n,n,n
a)ntile/gw,n,n,n
a)pokalu/ptw,n,n,n
a)fi/stamai,n,n,n
a)nqomologe/omai,n,n,n
teleio/w,n,n,n
u(pome/nw,n,y,y
nomi/zw,n,n,n
a)nazhte/w,n,n,n
kaqe/zomai,n,n,n
e)perwta/w,n,n,n
e)ci/sthmi,n,n,n
e)kplh/ssomai,n,n,n
o)duna/omai,n,n,n
suni/hmi,n,n,n
u(pota/ssw,n,n,n
diathre/w,n,n,n
proko/ptw,n,n,n
tetraarxe/w,n,n,n
boa/w,n,n,n
tapeino/w,n,y,n
bapti/zw,n,y,n
u(podei/knumi,n,n,n
a)/rxw,n,n,n
e)kko/ptw,n,n,n
metadi/dwmi,n,n,n
diata/ssw,n,y,n
pra/ssw,n,n,n
strateu/omai,n,n,n
diasei/w,n,n,n
sukofante/w,n,n,n
a)rke/w,n,n,n
diakaqai/rw,n,n,n
parakale/w,n,n,n
prosti/qhmi,n,n,n
kataklei/w,n,n,n
eu)doke/w,n,n,n
a)/gw,n,n,n
suntele/w,n,n,n
e)nte/llomai,n,n,n
diafula/ssw,n,n,n
prosko/ptw,n,n,n
e)kpeira/zw,n,n,n
e)/qw,n,n,n
e)pidi/dwmi,n,n,n
a)naptu/ssw,n,n,n
xri/w,n,n,n
