verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,1 Esdras,1,1,,,,indicative,,,,
1,h)/gagen,a)/gw,verb,1 Esdras,1,2,2.0,,,,,,,
1,*iwsias,*)iwsi/as,noun,1 Esdras,1,3,,,,,nominative,singular,masculine,
1,to\,o(,article,1 Esdras,1,4,,,,,nominative,singular,neuter,
1,pasxa,pa/sxa,noun,1 Esdras,1,5,,,,indicative,,,neuter,
1,e)n,e)n,preposition,1 Esdras,1,6,,,,indicative,,,,
1,*ierousalhm,*(ieroso/luma,noun,1 Esdras,1,7,,,,,,,,
1,tw=|,o(,article,1 Esdras,1,8,,,,,dative,singular,neuter,
1,kuri/w|,ku/rios[2],noun,1 Esdras,1,9,,,,,vocative,plural,,
1,au)tou=,au)to/s,pronoun,1 Esdras,1,10,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,1 Esdras,1,11,,,,indicative,,,,
1,e)/qusen,qu/w,verb,1 Esdras,1,12,3.0,aorist,active,indicative,,singular,,
1,to\,o(,article,1 Esdras,1,13,,,,,nominative,singular,neuter,
1,pasxa,pa/sxa,noun,1 Esdras,1,14,,,,indicative,,,neuter,
1,th=|,o(,article,1 Esdras,1,15,,,,,dative,singular,feminine,
1,tessareskaideka/th|,tessares·kai·de/katos,quantifier,1 Esdras,1,16,,,,,dative,singular,feminine,
1,h(me/ra|,h(me/ra,noun,1 Esdras,1,17,,,,,dative,singular,feminine,
1,tou=,o(,article,1 Esdras,1,18,,,,,genitive,singular,neuter,
1,mhno\s,mh/n[2],noun,1 Esdras,1,19,,,,,genitive,singular,masculine,
1,tou=,o(,article,1 Esdras,1,20,,,,,genitive,singular,neuter,
1,prw/tou,prw=tos,quantifier,1 Esdras,1,21,,,,,genitive,singular,neuter,
2,sth/sas,i(/sthmi,verb,1 Esdras,1,1,,,,,,,,
2,tou\s,o(,article,1 Esdras,1,2,,,,,accusative,plural,masculine,
2,i(erei=s,i(ereu/s,noun,1 Esdras,1,3,,,,,nominative,plural,masculine,
2,kat’,kata/,preposition,1 Esdras,1,4,,,,indicative,,,,
2,e)fhmeri/as,e)f·hmeri/a,noun,1 Esdras,1,5,,,,,genitive,singular,feminine,
