verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,1 Kings,1,1,,,,indicative,,,,
1,o(,o(,article,1 Kings,1,2,,,,,nominative,singular,masculine,
1,basileu\s,basileu/s,noun,1 Kings,1,3,,,,,nominative,singular,masculine,
1,*dauid,*daui/d,noun,1 Kings,1,4,,,,,,,,
1,presbu/teros,presbu/·teros,adjective,1 Kings,1,5,,,middle,,,,,comparative
1,probebhkw\s,pro·bai/nw,verb,1 Kings,1,6,2.0,,,,,,,
1,h(me/rais,h(me/ra,noun,1 Kings,1,7,,,,,dative,plural,feminine,
1,kai\,kai/,conjunction,1 Kings,1,8,,,,indicative,,,,
1,perie/ballon,peri·ba/llw,verb,1 Kings,1,9,2.0,,,,,,,
1,au)to\n,au)to/s,pronoun,1 Kings,1,10,,,,,accusative,singular,masculine,
1,i(mati/ois,i(ma/tion,noun,1 Kings,1,11,,,,,dative,plural,neuter,
1,kai\,kai/,conjunction,1 Kings,1,12,,,,indicative,,,,
1,ou)k,ou)[2]/ou)k/ou)x,particle,1 Kings,1,13,,,,indicative,,,,
1,e)qermai/neto,qermai/nw,verb,1 Kings,1,14,3.0,imperfect,middle,imperative,,singular,,
2,kai\,kai/,conjunction,1 Kings,1,1,,,,indicative,,,,
2,ei)=pon,le/gw,verb,1 Kings,1,2,2.0,,,,,,,
2,oi(,o(,article,1 Kings,1,3,,,,,nominative,plural,masculine,
2,pai=des,pai=[d]s,noun,1 Kings,1,4,,,,,,,,
2,au)tou=,au)to/s,pronoun,1 Kings,1,5,,,,,genitive,singular,masculine,
2,zhthsa/twsan,zhte/w,verb,1 Kings,1,6,3.0,aorist,active,imperative,,plural,,
2,tw=|,o(,article,1 Kings,1,7,,,,,dative,singular,neuter,
2,kuri/w|,ku/rios[2],noun,1 Kings,1,8,,,,,vocative,plural,,
2,h(mw=n,e)gw/,pronoun,1 Kings,1,9,,,,,genitive,plural,,
2,tw=|,o(,article,1 Kings,1,10,,,,,dative,singular,neuter,
2,basilei=,basileu/s,noun,1 Kings,1,11,,,,,dative,singular,masculine,
2,parqe/non,parqe/nos,noun,1 Kings,1,12,,,,,accusative,singular,feminine,
2,kai\,kai/,conjunction,1 Kings,1,13,,,,indicative,,,,
2,parasth/setai,par·i/sthmi,verb,1 Kings,1,14,,,,,,,,
2,tw=|,o(,article,1 Kings,1,15,,,,,dative,singular,neuter,
2,basilei=,basileu/s,noun,1 Kings,1,16,,,,,dative,singular,masculine,
2,kai\,kai/,conjunction,1 Kings,1,17,,,,indicative,,,,
2,e)/stai,ei)mi/[1],verb,1 Kings,1,18,,,,,,,,
