verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,1 Maccabees,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,1 Maccabees,1,2,2.0,,,,,,,
1,meta\,meta/,preposition,1 Maccabees,1,3,,,,indicative,,,,
1,to\,o(,article,1 Maccabees,1,4,,,,,nominative,singular,neuter,
1,pata/cai,pata/ssw,verb,1 Maccabees,1,5,,aorist,active,infinitive,,,,
1,*)ale/candron,*)ale/c·andros,noun,1 Maccabees,1,6,,,,,accusative,singular,masculine,
1,to\n,o(,article,1 Maccabees,1,7,,,,,accusative,singular,masculine,
1,*fili/ppou,*fi/lippos,noun,1 Maccabees,1,8,,,,,genitive,singular,masculine,
1,*makedo/na,*makedw/n,noun,1 Maccabees,1,9,,,,,accusative,singular,masculine,
1,o(\s,o(/s,pronoun,1 Maccabees,1,10,,,,,nominative,singular,masculine,
1,e)ch=lqen,e)c·e/rxomai,verb,1 Maccabees,1,11,2.0,,,,,,,
1,e)k,e)k,preposition,1 Maccabees,1,12,,,,indicative,,,,
1,gh=s,gh=,noun,1 Maccabees,1,13,,,,,vocative,singular,,
1,kai\,kai/,conjunction,1 Maccabees,1,14,,,,indicative,,,,
1,e)pa/tacen,pata/ssw,verb,1 Maccabees,1,15,3.0,aorist,active,indicative,,singular,,
1,to\n,o(,article,1 Maccabees,1,16,,,,,accusative,singular,masculine,
1,basile/a,basileu/s,noun,1 Maccabees,1,17,,,,,accusative,singular,masculine,
1,kai\,kai/,conjunction,1 Maccabees,1,18,,,,indicative,,,,
1,*mh/dwn,*mh=dos,noun,1 Maccabees,1,19,,,,,genitive,plural,masculine,
1,kai\,kai/,conjunction,1 Maccabees,1,20,,,,indicative,,,,
1,e)basi/leusen,basileu/w,verb,1 Maccabees,1,21,3.0,aorist,active,indicative,,singular,,
1,a)nt’,a)nti/,preposition,1 Maccabees,1,22,,,,indicative,,,,
1,au)tou=,au)to/s,pronoun,1 Maccabees,1,23,,,,,genitive,singular,masculine,
1,pro/teron,pro/·teros,adjective,1 Maccabees,1,24,,,middle,,,,,comparative
1,e)pi\,e)pi/,preposition,1 Maccabees,1,25,,,,indicative,,,,
1,th\n,o(,article,1 Maccabees,1,26,,,,,accusative,singular,feminine,
1,*(ella/da,*(ella/[d]s,noun,1 Maccabees,1,27,,,,,accusative,singular,feminine,
2,kai\,kai/,conjunction,1 Maccabees,1,1,,,,indicative,,,,
2,sunesth/sato,sun·i/sthmi,verb,1 Maccabees,1,2,,,,,,,,
2,pole/mous,po/lemos,noun,1 Maccabees,1,3,,,,,accusative,plural,masculine,
2,pollou\s,pol[l]u/s,quantifier,1 Maccabees,1,4,,,,,accusative,plural,masculine,
2,kai\,kai/,conjunction,1 Maccabees,1,5,,,,indicative,,,,
2,e)kra/thsen,krate/w,verb,1 Maccabees,1,6,3.0,aorist,active,indicative,,singular,,
2,o)xurwma/twn,o)xu/rwma[t],noun,1 Maccabees,1,7,,,,,genitive,plural,neuter,
2,kai\,kai/,conjunction,1 Maccabees,1,8,,,,indicative,,,,
2,e)/sfacen,sfa/zw,verb,1 Maccabees,1,9,3.0,aorist,active,indicative,,singular,,
2,basilei=s,basileu/s,noun,1 Maccabees,1,10,,,,,nominative,plural,masculine,
2,th=s,o(,article,1 Maccabees,1,11,,,,,genitive,singular,feminine,
2,gh=s,gh=,noun,1 Maccabees,1,12,,,,,vocative,singular,,
3,kai\,kai/,conjunction,1 Maccabees,1,1,,,,indicative,,,,
3,dih=lqen,di·e/rxomai,verb,1 Maccabees,1,2,2.0,,,,,,,
3,e(/ws,e(/ws[1],conjunction;,1 Maccabees,1,3,,,,,,,,
3,a)/krwn,a)/kron,noun,1 Maccabees,1,4,,,,,genitive,plural,neuter,
3,th=s,o(,article,1 Maccabees,1,5,,,,,genitive,singular,feminine,
3,gh=s,gh=,noun,1 Maccabees,1,6,,,,,vocative,singular,,
3,kai\,kai/,conjunction,1 Maccabees,1,7,,,,indicative,,,,
3,e)/laben,lamba/nw,verb,1 Maccabees,1,8,2.0,,,,,,,
3,sku=la,sku=lon,noun,1 Maccabees,1,9,,,,,nominative,plural,neuter,
3,plh/qous,plh=qo·s,noun,1 Maccabees,1,10,,,,,genitive,singular,neuter,
3,e)qnw=n,e)/qno·s,noun,1 Maccabees,1,11,,,,,vocative,plural,,
3,kai\,kai/,conjunction,1 Maccabees,1,12,,,,indicative,,,,
3,h(su/xasen,h(suxa/zw,verb,1 Maccabees,1,13,3.0,aorist,active,indicative,,singular,,
3,h(,o(,article,1 Maccabees,1,14,,,,,nominative,singular,feminine,
3,gh=,gh=,noun,1 Maccabees,1,15,,,,,vocative,singular,,
3,e)nw/pion,e)n·w/pion,preposition;,1 Maccabees,1,16,,,,,,,,
3,au)tou=,au)to/s,pronoun,1 Maccabees,1,17,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,1 Maccabees,1,18,,,,indicative,,,,
3,u(yw/qh,u(yo/w,verb,1 Maccabees,1,19,3.0,aorist,passive,indicative,,singular,,
3,kai\,kai/,conjunction,1 Maccabees,1,20,,,,indicative,,,,
3,e)ph/rqh,e)p·ai/rw,verb,1 Maccabees,1,21,3.0,aorist,passive,indicative,,singular,,
3,h(,o(,article,1 Maccabees,1,22,,,,,nominative,singular,feminine,
3,kardi/a,kardi/a,noun,1 Maccabees,1,23,,,,,nominative,singular,feminine,
3,au)tou=,au)to/s,pronoun,1 Maccabees,1,24,,,,,genitive,singular,masculine,
4,kai\,kai/,conjunction,1 Maccabees,1,1,,,,indicative,,,,
