verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,a)/nqrwpos,a)/nqrwpos,noun,1 Samuel,1,1,,,,,nominative,singular,masculine,
1,h)=n,ei)mi/[1],verb,1 Samuel,1,2,,,,,,,,
1,e)c,e)k,preposition,1 Samuel,1,3,,,,indicative,,,,
1,e)c,e)k,preposition,1 Samuel,1,4,,,,indicative,,,,
1,o)/rous,o)/ro·s,noun,1 Samuel,1,5,,,,,genitive,plural,,
1,*efraim,*)efrai/m,noun,1 Samuel,1,6,,,,indicative,,,masculine,
1,kai\,kai/,conjunction,1 Samuel,1,7,,,,indicative,,,,
1,o)/noma,o)/noma[t],noun,1 Samuel,1,8,,,,,nominative,singular,neuter,
1,au)tw=|,au)to/s,pronoun,1 Samuel,1,9,,,,,dative,singular,masculine,
1,ui(o\s,ui(o/s,noun,1 Samuel,1,10,,,,,vocative,plural,,
1,ui(ou=,ui(o/s,noun,1 Samuel,1,11,,,,,vocative,plural,,
1,*hliou,*)hli/as,noun,1 Samuel,1,12,,,,,genitive,singular,masculine,
1,ui(ou=,ui(o/s,noun,1 Samuel,1,13,,,,,vocative,plural,,
1,e)n,e)n,preposition,1 Samuel,1,14,,,,indicative,,,,
1,*efraim,*)efrai/m,noun,1 Samuel,1,15,,,,indicative,,,masculine,
2,kai\,kai/,conjunction,1 Samuel,1,1,,,,indicative,,,,
2,tou/tw|,ou(=tos,determiner,1 Samuel,1,2,,,,,dative,singular,neuter,
2,du/o,du/o,quantifier,1 Samuel,1,3,,,,,genitive,,,
2,gunai=kes,gunh/,noun,1 Samuel,1,4,,,,,vocative,singular,,
2,o)/noma,o)/noma[t],noun,1 Samuel,1,5,,,,,nominative,singular,neuter,
2,th=|,o(,article,1 Samuel,1,6,,,,,dative,singular,feminine,
2,mia=|,ei(=s[2],quantifier,1 Samuel,1,7,,,,,genitive,singular,,
2,*anna,*(/annas,noun,1 Samuel,1,8,,,,,,,,
2,kai\,kai/,conjunction,1 Samuel,1,9,,,,indicative,,,,
2,o)/noma,o)/noma[t],noun,1 Samuel,1,10,,,,,nominative,singular,neuter,
2,th=|,o(,article,1 Samuel,1,11,,,,,dative,singular,feminine,
2,deute/ra|,deu/teros,quantifier,1 Samuel,1,12,,,,,dative,singular,feminine,
2,kai\,kai/,conjunction,1 Samuel,1,13,,,,indicative,,,,
2,h)=n,ei)mi/[1],verb,1 Samuel,1,14,,,,,,,,
2,th=|,o(,article,1 Samuel,1,15,,,,,dative,singular,feminine,
2,paidi/a,paidi/on,noun,1 Samuel,1,16,,,,,vocative,singular,,
2,kai\,kai/,conjunction,1 Samuel,1,17,,,,indicative,,,,
2,th=|,o(,article,1 Samuel,1,18,,,,,dative,singular,feminine,
2,*anna,*(/annas,noun,1 Samuel,1,19,,,,,,,,
2,ou)k,ou)[2]/ou)k/ou)x,particle,1 Samuel,1,20,,,,indicative,,,,
2,h)=n,ei)mi/[1],verb,1 Samuel,1,21,,,,,,,,
2,paidi/on,paidi/on,noun,1 Samuel,1,22,,,,,vocative,singular,,
3,kai\,kai/,conjunction,1 Samuel,1,1,,,,indicative,,,,
3,a)ne/bainen,a)na·bai/nw,verb,1 Samuel,1,2,2.0,,,,,,,
3,o(,o(,article,1 Samuel,1,3,,,,,nominative,singular,masculine,
3,a)/nqrwpos,a)/nqrwpos,noun,1 Samuel,1,4,,,,,nominative,singular,masculine,
3,e)c,e)k,preposition,1 Samuel,1,5,,,,indicative,,,,
3,h(merw=n,h(me/ra,noun,1 Samuel,1,6,,,,,genitive,plural,feminine,
3,ei)s,ei)s[1],preposition,1 Samuel,1,7,,,,indicative,,,,
3,h(me/ras,h(me/ra,noun,1 Samuel,1,8,,,,,genitive,singular,feminine,
3,e)k,e)k,preposition,1 Samuel,1,9,,,,indicative,,,,
3,po/lews,po/lis,noun,1 Samuel,1,10,,,,,genitive,singular,feminine,
3,au)tou=,au)to/s,pronoun,1 Samuel,1,11,,,,,genitive,singular,masculine,
3,e)c,e)k,preposition,1 Samuel,1,12,,,,indicative,,,,
3,proskunei=n,pros·kune/w,verb,1 Samuel,1,13,,present,active,infinitive,,,,
3,kai\,kai/,conjunction,1 Samuel,1,14,,,,indicative,,,,
3,qu/ein,qu/w,verb,1 Samuel,1,15,,present,active,infinitive,,,,
3,tw=|,o(,article,1 Samuel,1,16,,,,,dative,singular,neuter,
3,kuri/w|,ku/rios[2],noun,1 Samuel,1,17,,,,,vocative,plural,,
3,qew=|,qeo/s,noun,1 Samuel,1,18,,,,,dative,singular,masculine,
3,sabawq,*sabaw/q,hebrew-aramaic,1 Samuel,1,19,,,,indicative,,,,
3,ei)s,ei)s[1],preposition,1 Samuel,1,20,,,,indicative,,,,
3,kai\,kai/,conjunction,1 Samuel,1,21,,,,indicative,,,,
3,e)kei=,e)kei=,adverb,1 Samuel,1,22,,,,indicative,,,,
3,*hli,h)li/[1],hebrew-aramaic;,1 Samuel,1,23,,,,,,,,
3,kai\,kai/,conjunction,1 Samuel,1,24,,,,indicative,,,,
3,oi(,o(,article,1 Samuel,1,25,,,,,nominative,plural,masculine,
3,du/o,du/o,quantifier,1 Samuel,1,26,,,,,genitive,,,
