verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,2 Chronicles,1,1,,,,indicative,,,,
1,e)ni/sxusen,e)n·isxu/w,verb,2 Chronicles,1,2,3.0,aorist,active,indicative,,singular,,
1,*salwmwn,*solomw/n[1],noun,2 Chronicles,1,3,,,,,,,,
1,ui(o\s,ui(o/s,noun,2 Chronicles,1,4,,,,,vocative,plural,,
1,*dauid,*daui/d,noun,2 Chronicles,1,5,,,,,,,,
1,e)pi\,e)pi/,preposition,2 Chronicles,1,6,,,,indicative,,,,
1,th\n,o(,article,2 Chronicles,1,7,,,,,accusative,singular,feminine,
1,basilei/an,basilei/a,noun,2 Chronicles,1,8,,,,,accusative,singular,feminine,
1,au)tou=,au)to/s,pronoun,2 Chronicles,1,9,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,2 Chronicles,1,10,,,,indicative,,,,
1,ku/rios,ku/rios[2],noun,2 Chronicles,1,11,,,,,vocative,plural,,
1,o(,o(,article,2 Chronicles,1,12,,,,,nominative,singular,masculine,
1,qeo\s,qeo/s,noun,2 Chronicles,1,13,,,,,nominative,singular,masculine,
1,au)tou=,au)to/s,pronoun,2 Chronicles,1,14,,,,,genitive,singular,masculine,
1,met’,meta/,preposition,2 Chronicles,1,15,,,,indicative,,,,
1,au)tou=,au)to/s,pronoun,2 Chronicles,1,16,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,2 Chronicles,1,17,,,,indicative,,,,
1,e)mega/lunen,megalu/nw,verb,2 Chronicles,1,18,3.0,imperfect,middle,imperative,,singular,,
1,au)to\n,au)to/s,pronoun,2 Chronicles,1,19,,,,,accusative,singular,masculine,
1,ei)s,ei)s[1],preposition,2 Chronicles,1,20,,,,indicative,,,,
1,u(/yos,u(/yo·s,noun,2 Chronicles,1,21,,,,,genitive,plural,,
2,kai\,kai/,conjunction,2 Chronicles,1,1,,,,indicative,,,,
2,ei)=pen,le/gw,verb,2 Chronicles,1,2,2.0,,,,,,,
2,*salwmwn,*solomw/n[1],noun,2 Chronicles,1,3,,,,,,,,
2,pro\s,pro/s,preposition,2 Chronicles,1,4,,,,indicative,,,,
2,pa/nta,pa=[nt]s,quantifier,2 Chronicles,1,5,,,,,genitive,singular,,
2,*israhl,*)israh/l,noun,2 Chronicles,1,6,,,,indicative,,,masculine,
2,toi=s,o(,article,2 Chronicles,1,7,,,,,dative,plural,neuter,
2,xilia/rxois,xili/·arxos,noun,2 Chronicles,1,8,,,,,dative,plural,masculine,
2,kai\,kai/,conjunction,2 Chronicles,1,9,,,,indicative,,,,
2,toi=s,o(,article,2 Chronicles,1,10,,,,,dative,plural,neuter,
2,e(katonta/rxois,e(katont·a/rxhs,noun,2 Chronicles,1,11,,,,,,,,
2,kai\,kai/,conjunction,2 Chronicles,1,12,,,,indicative,,,,
2,toi=s,o(,article,2 Chronicles,1,13,,,,,dative,plural,neuter,
2,kritai=s,krith/s,noun,2 Chronicles,1,14,,,,,dative,plural,masculine,
2,kai\,kai/,conjunction,2 Chronicles,1,15,,,,indicative,,,,
2,pa=sin,pa=[nt]s,quantifier,2 Chronicles,1,16,,,,,genitive,singular,,
2,toi=s,o(,article,2 Chronicles,1,17,,,,,dative,plural,neuter,
2,a)/rxousin,a)/rxwn[t],noun,2 Chronicles,1,18,,,,,dative,plural,,
2,e)nanti/on,e)n·anti/on,preposition;,2 Chronicles,1,19,,,,indicative,,,,
2,*israhl,*)israh/l,noun,2 Chronicles,1,20,,,,indicative,,,masculine,
2,toi=s,o(,article,2 Chronicles,1,21,,,,,dative,plural,neuter,
2,a)/rxousi,a)/rxwn[t],noun,2 Chronicles,1,22,,,,,dative,plural,,
2,tw=n,o(,article,2 Chronicles,1,23,,,,,genitive,plural,neuter,
2,patriw=n,patria/,noun,2 Chronicles,1,24,,,,,genitive,plural,feminine,
3,kai\,kai/,conjunction,2 Chronicles,1,1,,,,indicative,,,,
3,e)poreu/qh,poreu/w,verb,2 Chronicles,1,2,3.0,aorist,passive,indicative,,singular,,
3,*salwmwn,*solomw/n[1],noun,2 Chronicles,1,3,,,,,,,,
3,kai\,kai/,conjunction,2 Chronicles,1,4,,,,indicative,,,,
3,pa=sa,pa=[nt]s,quantifier,2 Chronicles,1,5,,,,,genitive,singular,,
3,h(,o(,article,2 Chronicles,1,6,,,,,nominative,singular,feminine,
3,e)kklhsi/a,e)k·klhsi/a,noun,2 Chronicles,1,7,,,,,nominative,singular,feminine,
3,met’,meta/,preposition,2 Chronicles,1,8,,,,indicative,,,,
3,au)tou=,au)to/s,pronoun,2 Chronicles,1,9,,,,,genitive,singular,masculine,
3,ei)s,ei)s[1],preposition,2 Chronicles,1,10,,,,indicative,,,,
3,th\n,o(,article,2 Chronicles,1,11,,,,,accusative,singular,feminine,
3,u(yhlh\n,u(yhlo/s,adjective,2 Chronicles,1,12,,,,,accusative,singular,feminine,
3,th\n,o(,article,2 Chronicles,1,13,,,,,accusative,singular,feminine,
3,e)n,e)n,preposition,2 Chronicles,1,14,,,,indicative,,,,
3,ou(=,ou(=[1],particle;,2 Chronicles,1,15,,,,indicative,,,,
3,e)kei=,e)kei=,adverb,2 Chronicles,1,16,,,,indicative,,,,
3,h)=n,ei)mi/[1],verb,2 Chronicles,1,17,,,,,,,,
3,h(,o(,article,2 Chronicles,1,18,,,,,nominative,singular,feminine,
3,skhnh\,skh=no·s,noun,2 Chronicles,1,19,,,,,,,,
3,tou=,o(,article,2 Chronicles,1,20,,,,,genitive,singular,neuter,
3,marturi/ou,martu/rion,noun,2 Chronicles,1,21,,,,,genitive,singular,neuter,
3,tou=,o(,article,2 Chronicles,1,22,,,,,genitive,singular,neuter,
3,qeou=,qeo/s,noun,2 Chronicles,1,23,,,,,genitive,singular,masculine,
3,h(\n,o(/s,pronoun,2 Chronicles,1,24,,,,,accusative,singular,feminine,
3,e)poi/hsen,poie/w,verb,2 Chronicles,1,25,3.0,aorist,active,indicative,,singular,,
3,*mwush=s,*mwu+sh=s,noun,2 Chronicles,1,26,,,,,,,,
3,pai=s,pai=[d]s,noun,2 Chronicles,1,27,,,,,,,,
3,kuri/ou,ku/rios[2],noun,2 Chronicles,1,28,,,,,vocative,plural,,
3,e)n,e)n,preposition,2 Chronicles,1,29,,,,indicative,,,,
3,th=|,o(,article,2 Chronicles,1,30,,,,,dative,singular,feminine,
3,e)rh/mw|,e)/rhmos,adjective,2 Chronicles,1,31,,,,,dative,singular,neuter,
4,a)lla\,a)lla/,particle,2 Chronicles,1,1,,,,indicative,,,,
4,kibwto\n,kibwto/s,noun,2 Chronicles,1,2,,,,,accusative,singular,feminine,
4,tou=,o(,article,2 Chronicles,1,3,,,,,genitive,singular,neuter,
4,qeou=,qeo/s,noun,2 Chronicles,1,4,,,,,genitive,singular,masculine,
4,a)nh/negken,a)na·fe/rw,verb,2 Chronicles,1,5,2.0,,,,,,,
4,*dauid,*daui/d,noun,2 Chronicles,1,6,,,,,,,,
4,e)k,e)k,preposition,2 Chronicles,1,7,,,,indicative,,,,
4,po/lews,po/lis,noun,2 Chronicles,1,8,,,,,genitive,singular,feminine,
4,o(/ti,o(/ti,conjunction,2 Chronicles,1,9,,,,indicative,,,,
4,h(toi/masen,e(toima/zw,verb,2 Chronicles,1,10,3.0,aorist,active,indicative,,singular,,
4,au)th=|,au)to/s,pronoun,2 Chronicles,1,11,,,,,dative,singular,feminine,
4,skhnh\n,skhnh/,noun,2 Chronicles,1,12,,,,,,,,
4,ei)s,ei)s[1],preposition,2 Chronicles,1,13,,,,indicative,,,,
4,*ierousalhm,*(ieroso/luma,noun,2 Chronicles,1,14,,,,,,,,
5,kai\,kai/,conjunction,2 Chronicles,1,1,,,,indicative,,,,
5,to\,o(,article,2 Chronicles,1,2,,,,,nominative,singular,neuter,
5,qusiasth/rion,qusiasth/rion,noun,2 Chronicles,1,3,,,,,nominative,singular,neuter,
5,to\,o(,article,2 Chronicles,1,4,,,,,nominative,singular,neuter,
5,xalkou=n,xalkou=s,adjective,2 Chronicles,1,5,,,,,,,,
5,o(\,o(/s,pronoun,2 Chronicles,1,6,,,,,nominative,singular,neuter,
5,e)poi/hsen,poie/w,verb,2 Chronicles,1,7,3.0,aorist,active,indicative,,singular,,
5,ui(o\s,ui(o/s,noun,2 Chronicles,1,8,,,,,vocative,plural,,
5,*ouriou,*ou)ri/as,noun,2 Chronicles,1,9,,,,,genitive,singular,masculine,
5,ui(ou=,ui(o/s,noun,2 Chronicles,1,10,,,,,vocative,plural,,
5,e)kei=,e)kei=,adverb,2 Chronicles,1,11,,,,indicative,,,,
5,h)=n,ei)mi/[1],verb,2 Chronicles,1,12,,,,,,,,
5,e)/nanti,e)/n·anti,preposition,2 Chronicles,1,13,,,,indicative,,,,
5,th=s,o(,article,2 Chronicles,1,14,,,,,genitive,singular,feminine,
5,skhnh=s,skhnh/,noun,2 Chronicles,1,15,,,,,,,,
5,kuri/ou,ku/rios[2],noun,2 Chronicles,1,16,,,,,vocative,plural,,
5,kai\,kai/,conjunction,2 Chronicles,1,17,,,,indicative,,,,
5,e)cezh/thsen,e)k·zhte/w,verb,2 Chronicles,1,18,3.0,aorist,active,indicative,,singular,,
5,au)to\,au)to/s,pronoun,2 Chronicles,1,19,,,,,nominative,singular,neuter,
5,*salwmwn,*solomw/n[1],noun,2 Chronicles,1,20,,,,,,,,
5,kai\,kai/,conjunction,2 Chronicles,1,21,,,,indicative,,,,
5,h(,o(,article,2 Chronicles,1,22,,,,,nominative,singular,feminine,
5,e)kklhsi/a,e)k·klhsi/a,noun,2 Chronicles,1,23,,,,,nominative,singular,feminine,
6,kai\,kai/,conjunction,2 Chronicles,1,1,,,,indicative,,,,
6,a)nh/negken,a)na·fe/rw,verb,2 Chronicles,1,2,2.0,,,,,,,
6,e)kei=,e)kei=,adverb,2 Chronicles,1,3,,,,indicative,,,,
6,*salwmwn,*solomw/n[1],noun,2 Chronicles,1,4,,,,,,,,
6,e)pi\,e)pi/,preposition,2 Chronicles,1,5,,,,indicative,,,,
6,to\,o(,article,2 Chronicles,1,6,,,,,nominative,singular,neuter,
6,qusiasth/rion,qusiasth/rion,noun,2 Chronicles,1,7,,,,,nominative,singular,neuter,
6,to\,o(,article,2 Chronicles,1,8,,,,,nominative,singular,neuter,
6,xalkou=n,xalkou=s,adjective,2 Chronicles,1,9,,,,,,,,
6,e)nw/pion,e)n·w/pion,preposition;,2 Chronicles,1,10,,,,,,,,
6,kuri/ou,ku/rios[2],noun,2 Chronicles,1,11,,,,,vocative,plural,,
6,to\,o(,article,2 Chronicles,1,12,,,,,nominative,singular,neuter,
6,e)n,e)n,preposition,2 Chronicles,1,13,,,,indicative,,,,
6,th=|,o(,article,2 Chronicles,1,14,,,,,dative,singular,feminine,
6,skhnh=|,skhnh/,noun,2 Chronicles,1,15,,,,,,,,
6,kai\,kai/,conjunction,2 Chronicles,1,16,,,,indicative,,,,
6,a)nh/negken,a)na·fe/rw,verb,2 Chronicles,1,17,2.0,,,,,,,
6,e)p’,e)pi/,preposition,2 Chronicles,1,18,,,,indicative,,,,
6,au)to\,au)to/s,pronoun,2 Chronicles,1,19,,,,,nominative,singular,neuter,
6,xili/an,xi/lioi,quantifier,2 Chronicles,1,20,,,,,accusative,singular,feminine,
7,e)n,e)n,preposition,2 Chronicles,1,1,,,,indicative,,,,
7,th=|,o(,article,2 Chronicles,1,2,,,,,dative,singular,feminine,
7,nukti\,nu/c,noun,2 Chronicles,1,3,,,,,dative,singular,feminine,
7,e)kei/nh|,e)kei=nos,determiner,2 Chronicles,1,4,,,,,dative,singular,feminine,
7,w)/fqh,o(ra/w,verb,2 Chronicles,1,5,,,,,,,,
7,o(,o(,article,2 Chronicles,1,6,,,,,nominative,singular,masculine,
7,qeo\s,qeo/s,noun,2 Chronicles,1,7,,,,,nominative,singular,masculine,
7,tw=|,o(,article,2 Chronicles,1,8,,,,,dative,singular,neuter,
7,*salwmwn,*solomw/n[1],noun,2 Chronicles,1,9,,,,,,,,
7,kai\,kai/,conjunction,2 Chronicles,1,10,,,,indicative,,,,
7,ei)=pen,le/gw,verb,2 Chronicles,1,11,2.0,,,,,,,
7,au)tw=|,au)to/s,pronoun,2 Chronicles,1,12,,,,,dative,singular,masculine,
7,ai)/thsai,ai)te/w,verb,2 Chronicles,1,13,,aorist,active,infinitive,,,,
7,ti/,ti/[n]s[1],pronoun,2 Chronicles,1,14,,,,,genitive,,,
7,soi,su/,pronoun,2 Chronicles,1,15,,,,,,,,
7,dw=,di/dwmi,verb;,2 Chronicles,1,16,,,,,,,,
8,kai\,kai/,conjunction,2 Chronicles,1,1,,,,indicative,,,,
8,ei)=pen,le/gw,verb,2 Chronicles,1,2,2.0,,,,,,,
8,*salwmwn,*solomw/n[1],noun,2 Chronicles,1,3,,,,,,,,
8,pro\s,pro/s,preposition,2 Chronicles,1,4,,,,indicative,,,,
8,to\n,o(,article,2 Chronicles,1,5,,,,,accusative,singular,masculine,
8,qeo/n,qeo/s,noun,2 Chronicles,1,6,,,,,accusative,singular,masculine,
8,su\,su/,pronoun,2 Chronicles,1,7,,,,,nominative,singular,,
