verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,lo/goi,lo/gos,noun,Amos,1,1,,,,,nominative,plural,masculine,
1,*amws,*)amw/s,noun,Amos,1,2,,,,indicative,,,masculine,
1,oi(\,o(/s,pronoun,Amos,1,3,,,,,nominative,plural,masculine,
1,e)ge/nonto,gi/nomai/gi/gn-,verb,Amos,1,4,2.0,,,,,,,
1,e)n,e)n,preposition,Amos,1,5,,,,indicative,,,,
1,e)k,e)k,preposition,Amos,1,6,,,,indicative,,,,
1,ou(\s,o(/s,pronoun,Amos,1,7,,,,,accusative,plural,masculine,
1,ei)=den,o(ra/w,verb,Amos,1,8,,,,,,,,
1,u(pe\r,u(pe/r,preposition,Amos,1,9,,,,indicative,,,,
1,*ierousalhm,*(ieroso/luma,noun,Amos,1,10,,,,,,,,
1,e)n,e)n,preposition,Amos,1,11,,,,indicative,,,,
1,h(me/rais,h(me/ra,noun,Amos,1,12,,,,,dative,plural,feminine,
1,*oziou,*)ozi/as,noun,Amos,1,13,,,,,genitive,singular,masculine,
1,basile/ws,basileu/s,noun,Amos,1,14,,,,,genitive,singular,masculine,
1,*iouda,*)iou/das,noun,Amos,1,15,,,,,,,,
1,kai\,kai/,conjunction,Amos,1,16,,,,indicative,,,,
1,e)n,e)n,preposition,Amos,1,17,,,,indicative,,,,
1,h(me/rais,h(me/ra,noun,Amos,1,18,,,,,dative,plural,feminine,
1,tou=,o(,article,Amos,1,19,,,,,genitive,singular,neuter,
1,basile/ws,basileu/s,noun,Amos,1,20,,,,,genitive,singular,masculine,
1,*israhl,*)israh/l,noun,Amos,1,21,,,,indicative,,,masculine,
1,pro\,pro/,preposition,Amos,1,22,,,,indicative,,,,
1,du/o,du/o,quantifier,Amos,1,23,,,,,genitive,,,
1,e)tw=n,e)/to·s,noun,Amos,1,24,,,,,genitive,plural,neuter,
1,tou=,o(,article,Amos,1,25,,,,,genitive,singular,neuter,
1,seismou=,seismo/s,noun,Amos,1,26,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Amos,1,1,,,,indicative,,,,
2,ei)=pen,le/gw,verb,Amos,1,2,2.0,,,,,,,
2,ku/rios,ku/rios[2],noun,Amos,1,3,,,,,vocative,plural,,
2,e)k,e)k,preposition,Amos,1,4,,,,indicative,,,,
2,*siwn,*siw/n,noun,Amos,1,5,,,,indicative,,,feminine,
2,e)fqe/gcato,fqe/ggomai,verb,Amos,1,6,3.0,aorist,middle,indicative,,singular,,
2,kai\,kai/,conjunction,Amos,1,7,,,,indicative,,,,
2,e)c,e)k,preposition,Amos,1,8,,,,indicative,,,,
2,*ierousalhm,*(ieroso/luma,noun,Amos,1,9,,,,,,,,
2,e)/dwken,di/dwmi,verb,Amos,1,10,,,,,,,,
2,fwnh\n,fwnh/,noun,Amos,1,11,,,,,accusative,singular,feminine,
2,au)tou=,au)to/s,pronoun,Amos,1,12,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Amos,1,13,,,,indicative,,,,
2,e)pe/nqhsan,penqe/w,verb,Amos,1,14,3.0,aorist,active,indicative,,plural,,
2,ai(,o(,article,Amos,1,15,,,,,nominative,plural,feminine,
2,nomai\,nomh/,noun,Amos,1,16,,,,,nominative,plural,feminine,
2,tw=n,o(,article,Amos,1,17,,,,,genitive,plural,neuter,
2,poime/nwn,poimh/n,noun,Amos,1,18,,,,,genitive,plural,masculine,
2,kai\,kai/,conjunction,Amos,1,19,,,,indicative,,,,
2,e)chra/nqh,chrai/nw,verb,Amos,1,20,3.0,aorist,passive,indicative,,singular,,
2,h(,o(,article,Amos,1,21,,,,,nominative,singular,feminine,
2,tou=,o(,article,Amos,1,22,,,,,genitive,singular,neuter,
3,kai\,kai/,conjunction,Amos,1,1,,,,indicative,,,,
3,ei)=pen,le/gw,verb,Amos,1,2,2.0,,,,,,,
3,ku/rios,ku/rios[2],noun,Amos,1,3,,,,,vocative,plural,,
3,e)pi\,e)pi/,preposition,Amos,1,4,,,,indicative,,,,
3,tai=s,o(,article,Amos,1,5,,,,,dative,plural,feminine,
3,trisi\n,trei=s,quantifier,Amos,1,6,,,,,genitive,plural,,
3,a)sebei/ais,a)·se/beia,noun,Amos,1,7,,,,,dative,plural,feminine,
3,*damaskou=,*damasko/s,noun,Amos,1,8,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Amos,1,9,,,,indicative,,,,
3,e)pi\,e)pi/,preposition,Amos,1,10,,,,indicative,,,,
3,tai=s,o(,article,Amos,1,11,,,,,dative,plural,feminine,
3,te/ssarsin,te/ssares,quantifier,Amos,1,12,,,,,dative,plural,,
3,ou)k,ou)[2]/ou)k/ou)x,particle,Amos,1,13,,,,indicative,,,,
3,a)postrafh/somai,a)po·stre/fw,verb,Amos,1,14,1.0,future,passive,indicative,,singular,,
3,au)to/n,au)to/s,pronoun,Amos,1,15,,,,,accusative,singular,masculine,
3,a)nq’,a)nti/,preposition,Amos,1,16,,,,indicative,,,,
3,w(=n,o(/s,pronoun,Amos,1,17,,,,,genitive,plural,neuter,
3,e)/prizon,pri/zw,verb,Amos,1,18,1.0,imperfect,middle,imperative,,singular,,
3,sidhroi=s,sidhrou=s,adjective,Amos,1,19,,,,,,,,
3,ta\s,o(,article,Amos,1,20,,,,,accusative,plural,feminine,
3,e)n,e)n,preposition,Amos,1,21,,,,indicative,,,,
3,gastri\,gasth/r,noun,Amos,1,22,,,,,dative,singular,feminine,
3,e)xou/sas,e)/xw,verb,Amos,1,23,2.0,,,,,,,
3,tw=n,o(,article,Amos,1,24,,,,,genitive,plural,neuter,
3,e)n,e)n,preposition,Amos,1,25,,,,indicative,,,,
4,kai\,kai/,conjunction,Amos,1,1,,,,indicative,,,,
4,e)capostelw=,e)c·apo·ste/llw,verb,Amos,1,2,1.0,future,active,indicative,,singular,,
