verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Baruch,1,1,,,,indicative,,,,
1,ou(=toi,ou(=tos,determiner,Baruch,1,2,,,,,nominative,plural,masculine,
1,oi(,o(,article,Baruch,1,3,,,,,nominative,plural,masculine,
1,lo/goi,lo/gos,noun,Baruch,1,4,,,,,nominative,plural,masculine,
1,tou=,o(,article,Baruch,1,5,,,,,genitive,singular,neuter,
1,bibli/ou,bibli/on/bubli/on,noun,Baruch,1,6,,,,,,,,
1,ou(\s,o(/s,pronoun,Baruch,1,7,,,,,accusative,plural,masculine,
1,e)/grayen,gra/fw,verb,Baruch,1,8,3.0,aorist,active,indicative,,singular,,
1,ui(o\s,ui(o/s,noun,Baruch,1,9,,,,,vocative,plural,,
1,ui(ou=,ui(o/s,noun,Baruch,1,10,,,,,vocative,plural,,
1,ui(ou=,ui(o/s,noun,Baruch,1,11,,,,,vocative,plural,,
1,ui(ou=,ui(o/s,noun,Baruch,1,12,,,,,vocative,plural,,
1,ui(ou=,ui(o/s,noun,Baruch,1,13,,,,,vocative,plural,,
1,e)n,e)n,preposition,Baruch,1,14,,,,indicative,,,,
1,*babulw=ni,*babulw/n,noun,Baruch,1,15,,,,,dative,singular,masculine,
2,e)n,e)n,preposition,Baruch,1,1,,,,indicative,,,,
2,tw=|,o(,article,Baruch,1,2,,,,,dative,singular,neuter,
2,e)/tei,e)/to·s,noun,Baruch,1,3,,,,,dative,singular,neuter,
2,tw=|,o(,article,Baruch,1,4,,,,,dative,singular,neuter,
2,pe/mptw|,pe/mptos,quantifier,Baruch,1,5,,,,,dative,singular,neuter,
2,e)n,e)n,preposition,Baruch,1,6,,,,indicative,,,,
2,e(bdo/mh|,e(/bdomos,quantifier,Baruch,1,7,,,,,dative,singular,feminine,
2,tou=,o(,article,Baruch,1,8,,,,,genitive,singular,neuter,
2,mhno\s,mh/n[2],noun,Baruch,1,9,,,,,genitive,singular,masculine,
2,e)n,e)n,preposition,Baruch,1,10,,,,indicative,,,,
2,tw=|,o(,article,Baruch,1,11,,,,,dative,singular,neuter,
2,kairw=|,kairo/s,noun,Baruch,1,12,,,,,,,,
2,w(=|,o(/s,pronoun,Baruch,1,13,,,,,dative,singular,neuter,
2,e)/labon,lamba/nw,verb,Baruch,1,14,2.0,,,,,,,
2,oi(,o(,article,Baruch,1,15,,,,,nominative,plural,masculine,
2,*xaldai=oi,*xaldai=os,noun,Baruch,1,16,,,,,nominative,plural,masculine,
2,th\n,o(,article,Baruch,1,17,,,,,accusative,singular,feminine,
2,*ierousalhm,*(ieroso/luma,noun,Baruch,1,18,,,,,,,,
2,kai\,kai/,conjunction,Baruch,1,19,,,,indicative,,,,
2,e)ne/prhsan,e)m·pi/mprhmi,verb,Baruch,1,20,,,,,,,,
2,au)th\n,au)to/s,pronoun,Baruch,1,21,,,,,accusative,singular,feminine,
2,e)n,e)n,preposition,Baruch,1,22,,,,indicative,,,,
2,puri/,pu=r,noun,Baruch,1,23,,,,,dative,singular,neuter,
3,kai\,kai/,conjunction,Baruch,1,1,,,,indicative,,,,
3,a)ne/gnw,a)na·ginw/skw/-gign-,verb,Baruch,1,2,2.0,,,,,,,
3,tou\s,o(,article,Baruch,1,3,,,,,accusative,plural,masculine,
3,lo/gous,lo/gos,noun,Baruch,1,4,,,,,accusative,plural,masculine,
3,tou=,o(,article,Baruch,1,5,,,,,genitive,singular,neuter,
3,bibli/ou,bibli/on/bubli/on,noun,Baruch,1,6,,,,,,,,
3,tou/tou,ou(=tos,determiner,Baruch,1,7,,,,,genitive,singular,neuter,
3,e)n,e)n,preposition,Baruch,1,8,,,,indicative,,,,
3,w)si\n,ou)=s,noun,Baruch,1,9,,,,,dative,plural,neuter,
3,*iexoniou,*)iexoni/as,noun,Baruch,1,10,,,,,genitive,singular,masculine,
3,ui(ou=,ui(o/s,noun,Baruch,1,11,,,,,vocative,plural,,
3,basile/ws,basileu/s,noun,Baruch,1,12,,,,,genitive,singular,masculine,
3,*iouda,*)iou/das,noun,Baruch,1,13,,,,,,,,
3,kai\,kai/,conjunction,Baruch,1,14,,,,indicative,,,,
3,e)n,e)n,preposition,Baruch,1,15,,,,indicative,,,,
3,w)si\,ou)=s,noun,Baruch,1,16,,,,,,,,
3,panto\s,pa=[nt]s,quantifier,Baruch,1,17,,,,,genitive,singular,,
3,tou=,o(,article,Baruch,1,18,,,,,genitive,singular,neuter,
3,laou=,lao/s,noun,Baruch,1,19,,,,,genitive,singular,masculine,
3,tw=n,o(,article,Baruch,1,20,,,,,genitive,plural,neuter,
3,e)rxome/nwn,e)/rxomai,verb,Baruch,1,21,2.0,,,,,,,
3,pro\s,pro/s,preposition,Baruch,1,22,,,,indicative,,,,
3,th\n,o(,article,Baruch,1,23,,,,,accusative,singular,feminine,
3,bi/blon,bi/blos/bu/blos,noun,Baruch,1,24,,,,,accusative,singular,feminine,
4,kai\,kai/,conjunction,Baruch,1,1,,,,indicative,,,,
4,e)n,e)n,preposition,Baruch,1,2,,,,indicative,,,,
4,w)si\n,ou)=s,noun,Baruch,1,3,,,,,dative,plural,neuter,
4,tw=n,o(,article,Baruch,1,4,,,,,genitive,plural,neuter,
4,dunatw=n,dunato/s,adjective,Baruch,1,5,,,,,genitive,plural,neuter,
4,kai\,kai/,conjunction,Baruch,1,6,,,,indicative,,,,
