verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
2,a)/nqrwpo/s,a)/nqrwpos,noun,Bel and the Dragon OG,1,1,,,,,nominative,singular,masculine,
2,tis,ti\[n]s[2],quantifier,Bel and the Dragon OG,1,2,,,,,genitive,,,
2,h)=n,ei)mi/[1],verb,Bel and the Dragon OG,1,3,,,,,,,,
2,i(ereu/s,i(ereu/s,noun,Bel and the Dragon OG,1,4,,,,,nominative,singular,masculine,
2,w(=|,o(/s,pronoun,Bel and the Dragon OG,1,5,,,,,dative,singular,neuter,
2,o)/noma,o)/noma[t],noun,Bel and the Dragon OG,1,6,,,,,nominative,singular,neuter,
2,*danihl,*danih/l,noun,Bel and the Dragon OG,1,7,,,,indicative,,,masculine,
2,ui(o\s,ui(o/s,noun,Bel and the Dragon OG,1,8,,,,,vocative,plural,,
2,tou=,o(,article,Bel and the Dragon OG,1,9,,,,,genitive,singular,neuter,
2,basile/ws,basileu/s,noun,Bel and the Dragon OG,1,10,,,,,genitive,singular,masculine,
2,*babulw=nos,*babulw/n,noun,Bel and the Dragon OG,1,11,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Bel and the Dragon OG,1,1,,,,indicative,,,,
3,h)=n,ei)mi/[1],verb,Bel and the Dragon OG,1,2,,,,,,,,
3,ei)/dwlon,ei)/dwlon,noun,Bel and the Dragon OG,1,3,,,,,nominative,singular,neuter,
3,o(\,o(/s,pronoun,Bel and the Dragon OG,1,4,,,,,nominative,singular,neuter,
3,e)se/bonto,se/bw,verb,Bel and the Dragon OG,1,5,3.0,imperfect,middle,imperative,,plural,,
3,oi(,o(,article,Bel and the Dragon OG,1,6,,,,,nominative,plural,masculine,
3,a)nhli/sketo,a)n·ali/skw/-alo/w,verb,Bel and the Dragon OG,1,7,3.0,imperfect,middle,imperative,,singular,,
3,de\,de/,particle,Bel and the Dragon OG,1,8,,,,indicative,,,,
3,au)tw=|,au)to/s,pronoun,Bel and the Dragon OG,1,9,,,,,dative,singular,masculine,
3,kaq’,kata/,preposition,Bel and the Dragon OG,1,10,,,,indicative,,,,
3,e(ka/sthn,e(/kastos,quantifier,Bel and the Dragon OG,1,11,,,,,accusative,singular,feminine,
3,h(me/ran,h(me/ra,noun,Bel and the Dragon OG,1,12,,,,,accusative,singular,feminine,
3,semida/lews,semi/dalis,noun,Bel and the Dragon OG,1,13,,,,,genitive,singular,feminine,
3,de/ka,de/ka,quantifier,Bel and the Dragon OG,1,14,,,,indicative,,,,
3,du/o,du/o,quantifier,Bel and the Dragon OG,1,15,,,,,genitive,,,
3,kai\,kai/,conjunction,Bel and the Dragon OG,1,16,,,,indicative,,,,
3,pro/bata,pro/baton,noun,Bel and the Dragon OG,1,17,,,,,,,,
3,te/ssara,te/ssares,quantifier,Bel and the Dragon OG,1,18,,,,,dative,plural,,
3,kai\,kai/,conjunction,Bel and the Dragon OG,1,19,,,,indicative,,,,
3,e)lai/ou,e)/laion,noun,Bel and the Dragon OG,1,20,,,,,genitive,singular,neuter,
3,metrhtai\,metrhth/s,noun,Bel and the Dragon OG,1,21,,,,,nominative,plural,masculine,
3,e(/c,e(/c,quantifier,Bel and the Dragon OG,1,22,,,,indicative,,,,
4,kai\,kai/,conjunction,Bel and the Dragon OG,1,1,,,,indicative,,,,
4,o(,o(,article,Bel and the Dragon OG,1,2,,,,,nominative,singular,masculine,
4,basileu\s,basileu/s,noun,Bel and the Dragon OG,1,3,,,,,nominative,singular,masculine,
4,e)se/beto,se/bw,verb,Bel and the Dragon OG,1,4,3.0,imperfect,middle,imperative,,singular,,
4,au)to/n,au)to/s,pronoun,Bel and the Dragon OG,1,5,,,,,accusative,singular,masculine,
4,kai\,kai/,conjunction,Bel and the Dragon OG,1,6,,,,indicative,,,,
4,e)poreu/eto,poreu/w,verb,Bel and the Dragon OG,1,7,3.0,imperfect,middle,imperative,,singular,,
4,o(,o(,article,Bel and the Dragon OG,1,8,,,,,nominative,singular,masculine,
4,basileu\s,basileu/s,noun,Bel and the Dragon OG,1,9,,,,,nominative,singular,masculine,
4,kaq’,kata/,preposition,Bel and the Dragon OG,1,10,,,,indicative,,,,
4,e(ka/sthn,e(/kastos,quantifier,Bel and the Dragon OG,1,11,,,,,accusative,singular,feminine,
4,h(me/ran,h(me/ra,noun,Bel and the Dragon OG,1,12,,,,,accusative,singular,feminine,
4,kai\,kai/,conjunction,Bel and the Dragon OG,1,13,,,,indicative,,,,
4,proseku/nei,pros·kune/w,verb,Bel and the Dragon OG,1,14,3.0,imperfect,middle,imperative,,singular,,
4,au)tw=|,au)to/s,pronoun,Bel and the Dragon OG,1,15,,,,,dative,singular,masculine,
4,*danihl,*danih/l,noun,Bel and the Dragon OG,1,16,,,,indicative,,,masculine,
4,de\,de/,particle,Bel and the Dragon OG,1,17,,,,indicative,,,,
4,proshu/xeto,pros·eu/xomai,verb,Bel and the Dragon OG,1,18,3.0,imperfect,middle,imperative,,singular,,
4,pro\s,pro/s,preposition,Bel and the Dragon OG,1,19,,,,indicative,,,,
4,ku/rion,ku/rios[2],noun,Bel and the Dragon OG,1,20,,,,,vocative,plural,,
5,kai\,kai/,conjunction,Bel and the Dragon OG,1,1,,,,indicative,,,,
5,ei)=pen,le/gw,verb,Bel and the Dragon OG,1,2,2.0,,,,,,,
5,o(,o(,article,Bel and the Dragon OG,1,3,,,,,nominative,singular,masculine,
5,basileu\s,basileu/s,noun,Bel and the Dragon OG,1,4,,,,,nominative,singular,masculine,
5,tw=|,o(,article,Bel and the Dragon OG,1,5,,,,,dative,singular,neuter,
5,*danihl,*danih/l,noun,Bel and the Dragon OG,1,6,,,,indicative,,,masculine,
5,dia\,dia/,preposition,Bel and the Dragon OG,1,7,,,,indicative,,,,
5,ti/,ti/[n]s[1],pronoun,Bel and the Dragon OG,1,8,,,,,genitive,,,
