verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Bel and the Dragon Th,1,1,,,,indicative,,,,
1,o(,o(,article,Bel and the Dragon Th,1,2,,,,,nominative,singular,masculine,
1,basileu\s,basileu/s,noun,Bel and the Dragon Th,1,3,,,,,nominative,singular,masculine,
1,prosete/qh,pros·ti/qhmi,verb,Bel and the Dragon Th,1,4,,,,,,,,
1,pro\s,pro/s,preposition,Bel and the Dragon Th,1,5,,,,indicative,,,,
1,tou\s,o(,article,Bel and the Dragon Th,1,6,,,,,accusative,plural,masculine,
1,pate/ras,path/r,noun,Bel and the Dragon Th,1,7,,,,,vocative,plural,,
1,au)tou=,au)to/s,pronoun,Bel and the Dragon Th,1,8,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,Bel and the Dragon Th,1,9,,,,indicative,,,,
1,pare/laben,para·lamba/nw,verb,Bel and the Dragon Th,1,10,2.0,,,,,,,
1,o(,o(,article,Bel and the Dragon Th,1,11,,,,,nominative,singular,masculine,
1,th\n,o(,article,Bel and the Dragon Th,1,12,,,,,accusative,singular,feminine,
1,basilei/an,basilei/a,noun,Bel and the Dragon Th,1,13,,,,,accusative,singular,feminine,
1,au)tou=,au)to/s,pronoun,Bel and the Dragon Th,1,14,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Bel and the Dragon Th,1,1,,,,indicative,,,,
2,h)=n,ei)mi/[1],verb,Bel and the Dragon Th,1,2,,,,,,,,
2,*danihl,*danih/l,noun,Bel and the Dragon Th,1,3,,,,indicative,,,masculine,
2,tou=,o(,article,Bel and the Dragon Th,1,4,,,,,genitive,singular,neuter,
2,basile/ws,basileu/s,noun,Bel and the Dragon Th,1,5,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Bel and the Dragon Th,1,6,,,,indicative,,,,
2,e)/ndocos,e)/n·docos,adjective,Bel and the Dragon Th,1,7,,,,,nominative,singular,masculine,
2,u(pe\r,u(pe/r,preposition,Bel and the Dragon Th,1,8,,,,indicative,,,,
2,pa/ntas,pa=[nt]s,quantifier,Bel and the Dragon Th,1,9,,,,,genitive,singular,,
2,tou\s,o(,article,Bel and the Dragon Th,1,10,,,,,accusative,plural,masculine,
2,fi/lous,fi/los,adjective,Bel and the Dragon Th,1,11,,,,,accusative,plural,masculine,
2,au)tou=,au)to/s,pronoun,Bel and the Dragon Th,1,12,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Bel and the Dragon Th,1,1,,,,indicative,,,,
3,h)=n,ei)mi/[1],verb,Bel and the Dragon Th,1,2,,,,,,,,
3,ei)/dwlon,ei)/dwlon,noun,Bel and the Dragon Th,1,3,,,,,nominative,singular,neuter,
