verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,e)pi\,e)pi/,preposition,Daniel OG,1,1,,,,indicative,,,,
1,basile/ws,basileu/s,noun,Daniel OG,1,2,,,,,genitive,singular,masculine,
1,th=s,o(,article,Daniel OG,1,3,,,,,genitive,singular,feminine,
1,*ioudai/as,*)ioudai/a,noun,Daniel OG,1,4,,,,,genitive,singular,feminine,
1,e)/tous,e)/to·s,noun,Daniel OG,1,5,,,,,genitive,singular,neuter,
1,tri/tou,tri/tos,quantifier,Daniel OG,1,6,,,,,genitive,singular,neuter,
1,parageno/menos,para·gi/nomai,verb,Daniel OG,1,7,2.0,,,,,,,
1,basileu\s,basileu/s,noun,Daniel OG,1,8,,,,,nominative,singular,masculine,
1,*babulw=nos,*babulw/n,noun,Daniel OG,1,9,,,,,genitive,singular,masculine,
1,ei)s,ei)s[1],preposition,Daniel OG,1,10,,,,indicative,,,,
1,*ierousalhm,*(ieroso/luma,noun,Daniel OG,1,11,,,,,,,,
1,au)th/n,au)to/s,pronoun,Daniel OG,1,12,,,,,accusative,singular,feminine,
2,kai\,kai/,conjunction,Daniel OG,1,1,,,,indicative,,,,
2,pare/dwken,para·di/dwmi,verb,Daniel OG,1,2,,,,,,,,
2,au)th\n,au)to/s,pronoun,Daniel OG,1,3,,,,,accusative,singular,feminine,
2,ku/rios,ku/rios[2],noun,Daniel OG,1,4,,,,,vocative,plural,,
2,ei)s,ei)s[1],preposition,Daniel OG,1,5,,,,indicative,,,,
2,xei=ras,xei/r,noun,Daniel OG,1,6,,,,,dative,plural,,
2,au)tou=,au)to/s,pronoun,Daniel OG,1,7,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Daniel OG,1,8,,,,indicative,,,,
2,to\n,o(,article,Daniel OG,1,9,,,,,accusative,singular,masculine,
2,basile/a,basileu/s,noun,Daniel OG,1,10,,,,,accusative,singular,masculine,
2,th=s,o(,article,Daniel OG,1,11,,,,,genitive,singular,feminine,
2,*ioudai/as,*)ioudai/a,noun,Daniel OG,1,12,,,,,genitive,singular,feminine,
2,kai\,kai/,conjunction,Daniel OG,1,13,,,,indicative,,,,
2,me/ros,me/ro·s,noun,Daniel OG,1,14,,,,,nominative,singular,neuter,
2,ti,ti\[n]s[2],quantifier,Daniel OG,1,15,,,,,genitive,,,
2,tw=n,o(,article,Daniel OG,1,16,,,,,genitive,plural,neuter,
2,i(erw=n,i(ero/n,noun,Daniel OG,1,17,,,,,,,,
