verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,e)n,e)n,preposition,Daniel Th,1,1,,,,indicative,,,,
1,e)/tei,e)/to·s,noun,Daniel Th,1,2,,,,,dative,singular,neuter,
1,tri/tw|,tri/tos,quantifier,Daniel Th,1,3,,,,,dative,singular,neuter,
1,th=s,o(,article,Daniel Th,1,4,,,,,genitive,singular,feminine,
1,basilei/as,basilei/a,noun,Daniel Th,1,5,,,,,genitive,singular,feminine,
1,basile/ws,basileu/s,noun,Daniel Th,1,6,,,,,genitive,singular,masculine,
1,*iouda,*)iou/das,noun,Daniel Th,1,7,,,,,,,,
1,h)=lqen,e)/rxomai,verb,Daniel Th,1,8,2.0,,,,,,,
1,basileu\s,basileu/s,noun,Daniel Th,1,9,,,,,nominative,singular,masculine,
1,*babulw=nos,*babulw/n,noun,Daniel Th,1,10,,,,,genitive,singular,masculine,
1,ei)s,ei)s[1],preposition,Daniel Th,1,11,,,,indicative,,,,
1,*ierousalhm,*(ieroso/luma,noun,Daniel Th,1,12,,,,,,,,
1,kai\,kai/,conjunction,Daniel Th,1,13,,,,indicative,,,,
1,au)th/n,au)to/s,pronoun,Daniel Th,1,14,,,,,accusative,singular,feminine,
2,kai\,kai/,conjunction,Daniel Th,1,1,,,,indicative,,,,
2,e)/dwken,di/dwmi,verb,Daniel Th,1,2,,,,,,,,
2,ku/rios,ku/rios[2],noun,Daniel Th,1,3,,,,,vocative,plural,,
2,e)n,e)n,preposition,Daniel Th,1,4,,,,indicative,,,,
2,xeiri\,xei/r,noun,Daniel Th,1,5,,,,,dative,plural,,
2,au)tou=,au)to/s,pronoun,Daniel Th,1,6,,,,,genitive,singular,masculine,
2,to\n,o(,article,Daniel Th,1,7,,,,,accusative,singular,masculine,
2,basile/a,basileu/s,noun,Daniel Th,1,8,,,,,accusative,singular,masculine,
2,*iouda,*)iou/das,noun,Daniel Th,1,9,,,,,,,,
2,kai\,kai/,conjunction,Daniel Th,1,10,,,,indicative,,,,
2,a)po\,a)po/,preposition,Daniel Th,1,11,,,,indicative,,,,
2,me/rous,me/ro·s,noun,Daniel Th,1,12,,,,,genitive,singular,neuter,
2,tw=n,o(,article,Daniel Th,1,13,,,,,genitive,plural,neuter,
2,skeuw=n,skeu=o·s,noun,Daniel Th,1,14,,,,,genitive,plural,neuter,
2,oi)/kou,oi)=kos,noun,Daniel Th,1,15,,,,,,,,
2,tou=,o(,article,Daniel Th,1,16,,,,,genitive,singular,neuter,
2,qeou=,qeo/s,noun,Daniel Th,1,17,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Daniel Th,1,18,,,,indicative,,,,
2,h)/negken,fe/rw,verb,Daniel Th,1,19,2.0,,,,,,,
2,au)ta\,au)to/s,pronoun,Daniel Th,1,20,,,,,nominative,plural,neuter,
2,ei)s,ei)s[1],preposition,Daniel Th,1,21,,,,indicative,,,,
2,gh=n,gh=,noun,Daniel Th,1,22,,,,,vocative,singular,,
