verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,ou(=toi,ou(=tos,determiner,Deuteronomy,1,1,,,,,nominative,plural,masculine,
1,oi(,o(,article,Deuteronomy,1,2,,,,,nominative,plural,masculine,
1,lo/goi,lo/gos,noun,Deuteronomy,1,3,,,,,nominative,plural,masculine,
1,ou(\s,o(/s,pronoun,Deuteronomy,1,4,,,,,accusative,plural,masculine,
1,e)la/lhsen,lale/w,verb,Deuteronomy,1,5,3.0,aorist,active,indicative,,singular,,
1,*mwush=s,*mwu+sh=s,noun,Deuteronomy,1,6,,,,,,,,
1,panti\,pa=[nt]s,quantifier,Deuteronomy,1,7,,,,,genitive,singular,,
1,*israhl,*)israh/l,noun,Deuteronomy,1,8,,,,indicative,,,masculine,
1,pe/ran,pe/ran,adverb,Deuteronomy,1,9,,,,indicative,,,,
1,tou=,o(,article,Deuteronomy,1,10,,,,,genitive,singular,neuter,
1,*iorda/nou,*)iorda/nhs,noun,Deuteronomy,1,11,,,,,genitive,singular,masculine,
1,e)n,e)n,preposition,Deuteronomy,1,12,,,,indicative,,,,
1,th=|,o(,article,Deuteronomy,1,13,,,,,dative,singular,feminine,
1,e)rh/mw|,e)/rhmos,adjective,Deuteronomy,1,14,,,,,dative,singular,neuter,
1,pro\s,pro/s,preposition,Deuteronomy,1,15,,,,indicative,,,,
1,dusmai=s,dusmh/,noun,Deuteronomy,1,16,,,,,dative,plural,feminine,
1,plhsi/on,plhsi/on,adverb;,Deuteronomy,1,17,,,,,,,,
1,th=s,o(,article,Deuteronomy,1,18,,,,,genitive,singular,feminine,
1,e)ruqra=s,e)ruqro/s,adjective,Deuteronomy,1,19,,,,,genitive,singular,feminine,
1,a)na\,a)na/,preposition,Deuteronomy,1,20,,,,indicative,,,,
1,me/son,me/sos,adjective,Deuteronomy,1,21,,,,,nominative,singular,neuter,
1,kai\,kai/,conjunction,Deuteronomy,1,22,,,,indicative,,,,
1,kai\,kai/,conjunction,Deuteronomy,1,23,,,,indicative,,,,
1,*aulwn,au)lo/s,noun,Deuteronomy,1,24,,,,,genitive,plural,masculine,
1,kai\,kai/,conjunction,Deuteronomy,1,25,,,,indicative,,,,
2,e(/ndeka,e(/n·deka,quantifier,Deuteronomy,1,1,,,,indicative,,,,
2,h(merw=n,h(me/ra,noun,Deuteronomy,1,2,,,,,genitive,plural,feminine,
2,e)n,e)n,preposition,Deuteronomy,1,3,,,,indicative,,,,
2,o(do\s,o(do/s,noun,Deuteronomy,1,4,,,,,nominative,singular,feminine,
2,e)p’,e)pi/,preposition,Deuteronomy,1,5,,,,indicative,,,,
2,o)/ros,o)/ro·s,noun,Deuteronomy,1,6,,,,,genitive,plural,,
2,e(/ws,e(/ws[1],conjunction;,Deuteronomy,1,7,,,,,,,,
3,kai\,kai/,conjunction,Deuteronomy,1,1,,,,indicative,,,,
3,e)genh/qh,gi/nomai/gi/gn-,verb,Deuteronomy,1,2,2.0,,,,,,,
3,e)n,e)n,preposition,Deuteronomy,1,3,,,,indicative,,,,
3,tw=|,o(,article,Deuteronomy,1,4,,,,,dative,singular,neuter,
3,e)/tei,e)/to·s,noun,Deuteronomy,1,5,,,,,dative,singular,neuter,
3,e)n,e)n,preposition,Deuteronomy,1,6,,,,indicative,,,,
3,tw=|,o(,article,Deuteronomy,1,7,,,,,dative,singular,neuter,
3,e(ndeka/tw|,e(n·de/katos,quantifier,Deuteronomy,1,8,,,,,dative,singular,neuter,
