verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,r(h/mata,r(h=ma[t],noun,Ecclesiastes,1,1,,,,,nominative,plural,neuter,
1,ui(ou=,ui(o/s,noun,Ecclesiastes,1,2,,,,,vocative,plural,,
1,*dauid,*daui/d,noun,Ecclesiastes,1,3,,,,,,,,
1,basile/ws,basileu/s,noun,Ecclesiastes,1,4,,,,,genitive,singular,masculine,
1,*israhl,*)israh/l,noun,Ecclesiastes,1,5,,,,indicative,,,masculine,
1,e)n,e)n,preposition,Ecclesiastes,1,6,,,,indicative,,,,
1,*ierousalhm,*(ieroso/luma,noun,Ecclesiastes,1,7,,,,,,,,
2,mataio/ths,mataio/th[t]s,noun,Ecclesiastes,1,1,,,,,nominative,singular,feminine,
2,mataioth/twn,mataio/th[t]s,noun,Ecclesiastes,1,2,,,,,genitive,plural,feminine,
2,ei)=pen,le/gw,verb,Ecclesiastes,1,3,2.0,,,,,,,
2,o(,o(,article,Ecclesiastes,1,4,,,,,nominative,singular,masculine,
2,mataio/ths,mataio/th[t]s,noun,Ecclesiastes,1,5,,,,,nominative,singular,feminine,
2,mataioth/twn,mataio/th[t]s,noun,Ecclesiastes,1,6,,,,,genitive,plural,feminine,
2,ta\,o(,article,Ecclesiastes,1,7,,,,,nominative,plural,neuter,
2,pa/nta,pa=[nt]s,quantifier,Ecclesiastes,1,8,,,,,genitive,singular,,
2,mataio/ths,mataio/th[t]s,noun,Ecclesiastes,1,9,,,,,nominative,singular,feminine,
3,ti/s,ti/[n]s[1],pronoun,Ecclesiastes,1,1,,,,,genitive,,,
3,perissei/a,perissei/a,noun,Ecclesiastes,1,2,,,,,nominative,singular,feminine,
3,tw=|,o(,article,Ecclesiastes,1,3,,,,,dative,singular,neuter,
3,a)nqrw/pw|,a)/nqrwpos,noun,Ecclesiastes,1,4,,,,,dative,singular,masculine,
3,e)n,e)n,preposition,Ecclesiastes,1,5,,,,indicative,,,,
3,panti\,pa=[nt]s,quantifier,Ecclesiastes,1,6,,,,,genitive,singular,,
3,mo/xqw|,mo/xqos,noun,Ecclesiastes,1,7,,,,,dative,singular,masculine,
3,au)tou=,au)to/s,pronoun,Ecclesiastes,1,8,,,,,genitive,singular,masculine,
3,w(=|,o(/s,pronoun,Ecclesiastes,1,9,,,,,dative,singular,neuter,
3,u(po\,u(po/,preposition,Ecclesiastes,1,10,,,,indicative,,,,
3,to\n,o(,article,Ecclesiastes,1,11,,,,,accusative,singular,masculine,
3,h(/lion,h(/lios,noun,Ecclesiastes,1,12,,,,,accusative,singular,masculine,
4,genea\,genea/,noun,Ecclesiastes,1,1,,,,,nominative,singular,feminine,
4,poreu/etai,poreu/w,verb,Ecclesiastes,1,2,3.0,present,middle,indicative,,singular,,
4,kai\,kai/,conjunction,Ecclesiastes,1,3,,,,indicative,,,,
4,genea\,genea/,noun,Ecclesiastes,1,4,,,,,nominative,singular,feminine,
4,e)/rxetai,e)/rxomai,verb,Ecclesiastes,1,5,2.0,,,,,,,
4,kai\,kai/,conjunction,Ecclesiastes,1,6,,,,indicative,,,,
4,h(,o(,article,Ecclesiastes,1,7,,,,,nominative,singular,feminine,
4,gh=,gh=,noun,Ecclesiastes,1,8,,,,,vocative,singular,,
4,ei)s,ei)s[1],preposition,Ecclesiastes,1,9,,,,indicative,,,,
4,to\n,o(,article,Ecclesiastes,1,10,,,,,accusative,singular,masculine,
4,ai)w=na,ai)w/n,noun,Ecclesiastes,1,11,,,,,accusative,singular,masculine,
4,e(/sthken,i(/sthmi,verb,Ecclesiastes,1,12,,,,,,,,
5,kai\,kai/,conjunction,Ecclesiastes,1,1,,,,indicative,,,,
5,a)nate/llei,a)na·te/llw,verb,Ecclesiastes,1,2,3.0,present,active,indicative,,singular,,
5,o(,o(,article,Ecclesiastes,1,3,,,,,nominative,singular,masculine,
5,h(/lios,h(/lios,noun,Ecclesiastes,1,4,,,,,nominative,singular,masculine,
5,kai\,kai/,conjunction,Ecclesiastes,1,5,,,,indicative,,,,
5,du/nei,du/nw/du/w,verb,Ecclesiastes,1,6,2.0,,,,,,,
5,o(,o(,article,Ecclesiastes,1,7,,,,,nominative,singular,masculine,
5,h(/lios,h(/lios,noun,Ecclesiastes,1,8,,,,,nominative,singular,masculine,
5,kai\,kai/,conjunction,Ecclesiastes,1,9,,,,indicative,,,,
5,ei)s,ei)s[1],preposition,Ecclesiastes,1,10,,,,indicative,,,,
5,to\n,o(,article,Ecclesiastes,1,11,,,,,accusative,singular,masculine,
5,to/pon,to/pos,noun,Ecclesiastes,1,12,,,,,accusative,singular,masculine,
5,au)tou=,au)to/s,pronoun,Ecclesiastes,1,13,,,,,genitive,singular,masculine,
5,e(/lkei,e(/lko·s,noun,Ecclesiastes,1,14,,,,,dative,singular,neuter,
6,a)nate/llwn,a)na·te/llw,verb,Ecclesiastes,1,1,,present,active,participle,nominative,singular,masculine,
6,au)to\s,au)to/s,pronoun,Ecclesiastes,1,2,,,,,nominative,singular,masculine,
6,e)kei=,e)kei=,adverb,Ecclesiastes,1,3,,,,indicative,,,,
6,poreu/etai,poreu/w,verb,Ecclesiastes,1,4,3.0,present,middle,indicative,,singular,,
6,pro\s,pro/s,preposition,Ecclesiastes,1,5,,,,indicative,,,,
6,no/ton,no/tos,noun,Ecclesiastes,1,6,,,,,accusative,singular,masculine,
6,kai\,kai/,conjunction,Ecclesiastes,1,7,,,,indicative,,,,
6,kukloi=,kuklo/w,verb,Ecclesiastes,1,8,3.0,present,active,indicative,,singular,,
6,pro\s,pro/s,preposition,Ecclesiastes,1,9,,,,indicative,,,,
6,borra=n,borra=s,noun,Ecclesiastes,1,10,,,,,,,,
6,kukloi=,kuklo/w,verb,Ecclesiastes,1,11,3.0,present,active,indicative,,singular,,
6,kuklw=n,kuklo/w,verb,Ecclesiastes,1,12,,present,active,participle,nominative,singular,masculine,
6,poreu/etai,poreu/w,verb,Ecclesiastes,1,13,3.0,present,middle,indicative,,singular,,
6,to\,o(,article,Ecclesiastes,1,14,,,,,nominative,singular,neuter,
6,pneu=ma,pneu=ma[t],noun,Ecclesiastes,1,15,,,,,nominative,singular,neuter,
6,kai\,kai/,conjunction,Ecclesiastes,1,16,,,,indicative,,,,
6,e)pi\,e)pi/,preposition,Ecclesiastes,1,17,,,,indicative,,,,
