verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
2,e)n,e)n,preposition,Esther,1,1,,,,indicative,,,,
2,au)tai=s,au)to/s,pronoun,Esther,1,2,,,,,dative,plural,feminine,
2,tai=s,o(,article,Esther,1,3,,,,,dative,plural,feminine,
2,h(me/rais,h(me/ra,noun,Esther,1,4,,,,,dative,plural,feminine,
2,o(/te,o(/te,particle,Esther,1,5,,,,indicative,,,,
2,o(,o(,article,Esther,1,6,,,,,nominative,singular,masculine,
2,basileu\s,basileu/s,noun,Esther,1,7,,,,,nominative,singular,masculine,
2,e)n,e)n,preposition,Esther,1,8,,,,indicative,,,,
2,th=|,o(,article,Esther,1,9,,,,,dative,singular,feminine,
2,po/lei,po/lis,noun,Esther,1,10,,,,,dative,singular,feminine,
3,e)n,e)n,preposition,Esther,1,1,,,,indicative,,,,
3,tw=|,o(,article,Esther,1,2,,,,,dative,singular,neuter,
3,tri/tw|,tri/tos,quantifier,Esther,1,3,,,,,dative,singular,neuter,
3,e)/tei,e)/to·s,noun,Esther,1,4,,,,,dative,singular,neuter,
3,basileu/ontos,basileu/w,verb,Esther,1,5,,present,active,participle,genitive,singular,masculine,
3,au)tou=,au)to/s,pronoun,Esther,1,6,,,,,genitive,singular,masculine,
3,doxh\n,doxh/,noun,Esther,1,7,,,,,accusative,singular,feminine,
3,e)poi/hsen,poie/w,verb,Esther,1,8,3.0,aorist,active,indicative,,singular,,
3,toi=s,o(,article,Esther,1,9,,,,,dative,plural,neuter,
3,fi/lois,fi/los,adjective,Esther,1,10,,,,,dative,plural,neuter,
3,kai\,kai/,conjunction,Esther,1,11,,,,indicative,,,,
3,toi=s,o(,article,Esther,1,12,,,,,dative,plural,neuter,
3,loipoi=s,loipo/s,adjective,Esther,1,13,,,,,dative,plural,neuter,
3,e)/qnesin,e)/qno·s,noun,Esther,1,14,,,,,vocative,plural,,
3,kai\,kai/,conjunction,Esther,1,15,,,,indicative,,,,
3,toi=s,o(,article,Esther,1,16,,,,,dative,plural,neuter,
3,kai\,kai/,conjunction,Esther,1,17,,,,indicative,,,,
3,*mh/dwn,*mh=dos,noun,Esther,1,18,,,,,genitive,plural,masculine,
3,e)ndo/cois,e)/n·docos,adjective,Esther,1,19,,,,,dative,plural,neuter,
3,kai\,kai/,conjunction,Esther,1,20,,,,indicative,,,,
3,toi=s,o(,article,Esther,1,21,,,,,dative,plural,neuter,
3,a)/rxousin,a)/rxwn[t],noun,Esther,1,22,,,,,dative,plural,,
3,tw=n,o(,article,Esther,1,23,,,,,genitive,plural,neuter,
4,kai\,kai/,conjunction,Esther,1,1,,,,indicative,,,,
4,meta\,meta/,preposition,Esther,1,2,,,,indicative,,,,
4,tau=ta,ou(=tos,determiner,Esther,1,3,,,,,nominative,plural,neuter,
4,meta\,meta/,preposition,Esther,1,4,,,,indicative,,,,
4,to\,o(,article,Esther,1,5,,,,,nominative,singular,neuter,
4,dei=cai,dei/knumi,verb,Esther,1,6,,,,,,,,
4,au)toi=s,au)to/s,pronoun,Esther,1,7,,,,,dative,plural,masculine,
4,to\n,o(,article,Esther,1,8,,,,,accusative,singular,masculine,
4,plou=ton,plou=tos,noun,Esther,1,9,,,,,,,,
4,th=s,o(,article,Esther,1,10,,,,,genitive,singular,feminine,
4,basilei/as,basilei/a,noun,Esther,1,11,,,,,genitive,singular,feminine,
4,au)tou=,au)to/s,pronoun,Esther,1,12,,,,,genitive,singular,masculine,
4,kai\,kai/,conjunction,Esther,1,13,,,,indicative,,,,
4,th\n,o(,article,Esther,1,14,,,,,accusative,singular,feminine,
4,do/can,do/ca,noun,Esther,1,15,,,,,accusative,singular,feminine,
4,th=s,o(,article,Esther,1,16,,,,,genitive,singular,feminine,
4,eu)frosu/nhs,eu)·fro·su/nh,noun,Esther,1,17,,,,,genitive,singular,feminine,
4,tou=,o(,article,Esther,1,18,,,,,genitive,singular,neuter,
4,plou/tou,plou=tos,noun,Esther,1,19,,,,,,,,
4,au)tou=,au)to/s,pronoun,Esther,1,20,,,,,genitive,singular,masculine,
4,e)pi\,e)pi/,preposition,Esther,1,21,,,,indicative,,,,
4,h(me/ras,h(me/ra,noun,Esther,1,22,,,,,genitive,singular,feminine,
4,e(kato\n,e(kato/n,quantifier,Esther,1,23,,,,indicative,,,,
4,o)gdoh/konta,o)gdoh/·konta,quantifier,Esther,1,24,,,,indicative,,,,
5,o(/te,o(/te,particle,Esther,1,1,,,,indicative,,,,
5,de\,de/,particle,Esther,1,2,,,,indicative,,,,
5,a)neplhrw/qhsan,a)na·plhro/w,verb,Esther,1,3,3.0,aorist,passive,indicative,,plural,,
5,ai(,o(,article,Esther,1,4,,,,,nominative,plural,feminine,
5,h(me/rai,h(me/ra,noun,Esther,1,5,,,,,nominative,plural,feminine,
5,tou=,o(,article,Esther,1,6,,,,,genitive,singular,neuter,
5,ga/mou,ga/mos,noun,Esther,1,7,,,,,genitive,singular,masculine,
5,e)poi/hsen,poie/w,verb,Esther,1,8,3.0,aorist,active,indicative,,singular,,
5,o(,o(,article,Esther,1,9,,,,,nominative,singular,masculine,
5,basileu\s,basileu/s,noun,Esther,1,10,,,,,nominative,singular,masculine,
5,po/ton,po/tos,noun,Esther,1,11,,,,,,,,
5,toi=s,o(,article,Esther,1,12,,,,,dative,plural,neuter,
5,e)/qnesin,e)/qno·s,noun,Esther,1,13,,,,,vocative,plural,,
5,toi=s,o(,article,Esther,1,14,,,,,dative,plural,neuter,
5,eu(reqei=sin,eu(ri/skw,verb,Esther,1,15,2.0,,,,,,,
5,ei)s,ei)s[1],preposition,Esther,1,16,,,,indicative,,,,
5,th\n,o(,article,Esther,1,17,,,,,accusative,singular,feminine,
5,po/lin,po/lis,noun,Esther,1,18,,,,,accusative,singular,feminine,
5,e)pi\,e)pi/,preposition,Esther,1,19,,,,indicative,,,,
5,h(me/ras,h(me/ra,noun,Esther,1,20,,,,,genitive,singular,feminine,
5,e(\c,e(/c,quantifier,Esther,1,21,,,,indicative,,,,
5,e)n,e)n,preposition,Esther,1,22,,,,indicative,,,,
5,au)lh=|,au)lh/,noun,Esther,1,23,,,,,dative,singular,feminine,
5,oi)/kou,oi)=kos,noun,Esther,1,24,,,,,,,,
5,tou=,o(,article,Esther,1,25,,,,,genitive,singular,neuter,
5,basile/ws,basileu/s,noun,Esther,1,26,,,,,genitive,singular,masculine,
6,kekosmhme/nh|,kosme/w,verb,Esther,1,1,,perfect,middle,participle,dative,singular,feminine,
6,bussi/nois,bu/ssinos,adjective,Esther,1,2,,,,,dative,plural,neuter,
6,kai\,kai/,conjunction,Esther,1,3,,,,indicative,,,,
6,e)pi\,e)pi/,preposition,Esther,1,4,,,,indicative,,,,
6,sxoini/ois,sxoini/on,noun,Esther,1,5,,,,,dative,plural,neuter,
6,bussi/nois,bu/ssinos,adjective,Esther,1,6,,,,,dative,plural,neuter,
6,kai\,kai/,conjunction,Esther,1,7,,,,indicative,,,,
6,porfuroi=s,porfurou=s,adjective,Esther,1,8,,,,,,,,
6,e)pi\,e)pi/,preposition,Esther,1,9,,,,indicative,,,,
6,xrusoi=s,xrusou=s,adjective,Esther,1,10,,,,,,,,
6,kai\,kai/,conjunction,Esther,1,11,,,,indicative,,,,
6,a)rguroi=s,a)rgurou=s,adjective,Esther,1,12,,,,,,,,
6,e)pi\,e)pi/,preposition,Esther,1,13,,,,indicative,,,,
6,stu/lois,stu=los,noun,Esther,1,14,,,,,dative,plural,masculine,
6,kai\,kai/,conjunction,Esther,1,15,,,,indicative,,,,
6,liqi/nois,li/qinos,adjective,Esther,1,16,,,,,dative,plural,neuter,
6,kli=nai,kli/nh,noun,Esther,1,17,,,,,nominative,plural,feminine,
6,xrusai=,xrusou=s,adjective,Esther,1,18,,,,,,,,
6,kai\,kai/,conjunction,Esther,1,19,,,,indicative,,,,
6,a)rgurai=,a)rgurou=s,adjective,Esther,1,20,,,,,,,,
6,e)pi\,e)pi/,preposition,Esther,1,21,,,,indicative,,,,
6,liqostrw/tou,liqo/·strwtos,adjective,Esther,1,22,,,,,genitive,singular,neuter,
6,li/qou,li/qos,noun,Esther,1,23,,,,,genitive,singular,masculine,
6,kai\,kai/,conjunction,Esther,1,24,,,,indicative,,,,
6,kai\,kai/,conjunction,Esther,1,25,,,,indicative,,,,
6,li/qou,li/qos,noun,Esther,1,26,,,,,genitive,singular,masculine,
6,kai\,kai/,conjunction,Esther,1,27,,,,indicative,,,,
6,diafanei=s,dia·fanh/s,adjective,Esther,1,28,,,,,,,,
6,dihnqisme/nai,di·anqi/zw,verb,Esther,1,29,,,,,,,,
