verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,tau=ta,ou(=tos,determiner,Exodus,1,1,,,,,nominative,plural,neuter,
1,ta\,o(,article,Exodus,1,2,,,,,nominative,plural,neuter,
1,o)no/mata,o)/noma[t],noun,Exodus,1,3,,,,,nominative,plural,neuter,
1,tw=n,o(,article,Exodus,1,4,,,,,genitive,plural,neuter,
1,ui(w=n,ui(o/s,noun,Exodus,1,5,,,,,vocative,plural,,
1,*israhl,*)israh/l,noun,Exodus,1,6,,,,indicative,,,masculine,
1,tw=n,o(,article,Exodus,1,7,,,,,genitive,plural,neuter,
1,ei)speporeume/nwn,ei)s·poreu/omai,verb,Exodus,1,8,,perfect,middle,participle,genitive,plural,feminine,
1,ei)s,ei)s[1],preposition,Exodus,1,9,,,,indicative,,,,
1,*ai)/gupton,*ai)/guptos,noun,Exodus,1,10,,,,,accusative,singular,feminine,
1,a(/ma,a(/ma,adverb,Exodus,1,11,,,,indicative,,,,
1,*iakwb,*)iakw/b,noun,Exodus,1,12,,,,indicative,,,masculine,
1,tw=|,o(,article,Exodus,1,13,,,,,dative,singular,neuter,
1,patri\,path/r,noun,Exodus,1,14,,,,,vocative,plural,,
1,au)tw=n,au)to/s,pronoun,Exodus,1,15,,,,,genitive,plural,feminine,
1,e(/kastos,e(/kastos,quantifier,Exodus,1,16,,,,,nominative,singular,masculine,
1,au)tw=n,au)to/s,pronoun,Exodus,1,17,,,,,genitive,plural,feminine,
1,ei)sh/lqosan,ei)s·e/rxomai,verb,Exodus,1,18,2.0,,,,,,,
2,*roubhn,*(roubh/n,noun,Exodus,1,1,,,,,,,,
2,*sumewn,*sumew/n,noun,Exodus,1,2,,,,indicative,,,masculine,
2,*leui,*leui/,noun,Exodus,1,3,,,,,,,,
2,*ioudas,*)iou/das,noun,Exodus,1,4,,,,,,,,
3,*issaxar,*)issaxa/r,noun,Exodus,1,1,,,,,,,,
3,*zaboulwn,*zaboulw/n,noun,Exodus,1,2,,,,indicative,,,masculine,
3,kai\,kai/,conjunction,Exodus,1,3,,,,indicative,,,,
3,*beniamin,*beniam(e)i/n,noun,Exodus,1,4,,,,indicative,,,masculine,
4,kai\,kai/,conjunction,Exodus,1,1,,,,indicative,,,,
4,*gad,*ga/d,noun,Exodus,1,2,,,,indicative,,,masculine,
4,kai\,kai/,conjunction,Exodus,1,3,,,,indicative,,,,
4,*ashr,*)ash/r,noun,Exodus,1,4,,,,indicative,,,masculine,
5,*iwshf,*)iwsh/f,noun,Exodus,1,1,,,,indicative,,,masculine,
5,de\,de/,particle,Exodus,1,2,,,,indicative,,,,
5,h)=n,ei)mi/[1],verb,Exodus,1,3,,,,,,,,
5,e)n,e)n,preposition,Exodus,1,4,,,,indicative,,,,
5,*ai)gu/ptw|,*ai)/guptos,noun,Exodus,1,5,,,,,dative,singular,feminine,
5,h)=san,ei)mi/[1],verb,Exodus,1,6,,,,,,,,
5,de\,de/,particle,Exodus,1,7,,,,indicative,,,,
5,pa=sai,pa=[nt]s,quantifier,Exodus,1,8,,,,,genitive,singular,,
5,yuxai\,yuxh/,noun,Exodus,1,9,,,,,vocative,singular,,
5,e)c,e)k,preposition,Exodus,1,10,,,,indicative,,,,
5,*iakwb,*)iakw/b,noun,Exodus,1,11,,,,indicative,,,masculine,
