verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Ezekiel,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Ezekiel,1,2,2.0,,,,,,,
1,e)n,e)n,preposition,Ezekiel,1,3,,,,indicative,,,,
1,tw=|,o(,article,Ezekiel,1,4,,,,,dative,singular,neuter,
1,e)/tei,e)/to·s,noun,Ezekiel,1,5,,,,,dative,singular,neuter,
1,e)n,e)n,preposition,Ezekiel,1,6,,,,indicative,,,,
1,tw=|,o(,article,Ezekiel,1,7,,,,,dative,singular,neuter,
1,teta/rtw|,te/tartos,quantifier,Ezekiel,1,8,,,,,dative,singular,neuter,
1,mhni\,mh=nis,noun,Ezekiel,1,9,,,,,,,,
1,pe/mpth|,pe/mptos,quantifier,Ezekiel,1,10,,,,,dative,singular,feminine,
1,tou=,o(,article,Ezekiel,1,11,,,,,genitive,singular,neuter,
1,mhno\s,mh/n[2],noun,Ezekiel,1,12,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,Ezekiel,1,13,,,,indicative,,,,
1,e)gw\,e)gw/,pronoun,Ezekiel,1,14,,,,,nominative,singular,,
1,h)/mhn,ei)mi/[1],verb,Ezekiel,1,15,,,,,,,,
1,e)n,e)n,preposition,Ezekiel,1,16,,,,indicative,,,,
1,me/sw|,me/sos,adjective,Ezekiel,1,17,,,,,dative,singular,neuter,
1,th=s,o(,article,Ezekiel,1,18,,,,,genitive,singular,feminine,
1,ai)xmalwsi/as,ai)xm·alwsi/a,noun,Ezekiel,1,19,,,,,genitive,singular,feminine,
1,e)pi\,e)pi/,preposition,Ezekiel,1,20,,,,indicative,,,,
1,tou=,o(,article,Ezekiel,1,21,,,,,genitive,singular,neuter,
1,potamou=,potamo/s,noun,Ezekiel,1,22,,,,,genitive,singular,masculine,
1,tou=,o(,article,Ezekiel,1,23,,,,,genitive,singular,neuter,
1,kai\,kai/,conjunction,Ezekiel,1,24,,,,indicative,,,,
1,h)noi/xqhsan,a)n·oi/gw,verb,Ezekiel,1,25,3.0,aorist,passive,indicative,,plural,,
1,oi(,o(,article,Ezekiel,1,26,,,,,nominative,plural,masculine,
1,ou)ranoi/,ou)rano/s,noun,Ezekiel,1,27,,,,,vocative,plural,,
1,kai\,kai/,conjunction,Ezekiel,1,28,,,,indicative,,,,
1,ei)=don,o(ra/w,verb,Ezekiel,1,29,,,,,,,,
1,o(ra/seis,o(/rasis,noun,Ezekiel,1,30,,,,,nominative,plural,feminine,
1,qeou=,qeo/s,noun,Ezekiel,1,31,,,,,genitive,singular,masculine,
2,pe/mpth|,pe/mptos,quantifier,Ezekiel,1,1,,,,,dative,singular,feminine,
2,tou=,o(,article,Ezekiel,1,2,,,,,genitive,singular,neuter,
2,mhno/s,mh/n[2],noun,Ezekiel,1,3,,,,,genitive,singular,masculine,
2,tou=to,ou(=tos,determiner,Ezekiel,1,4,,,,,nominative,singular,neuter,
2,to\,o(,article,Ezekiel,1,5,,,,,nominative,singular,neuter,
2,e)/tos,e)/to·s,noun,Ezekiel,1,6,,,,,nominative,singular,neuter,
2,to\,o(,article,Ezekiel,1,7,,,,,nominative,singular,neuter,
2,pe/mpton,pe/mptos,quantifier,Ezekiel,1,8,,,,,nominative,singular,neuter,
