verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Ezra-Nehemiah,1,1,,,,indicative,,,,
1,e)n,e)n,preposition,Ezra-Nehemiah,1,2,,,,indicative,,,,
1,tw=|,o(,article,Ezra-Nehemiah,1,3,,,,,dative,singular,neuter,
1,prw/tw|,prw=tos,quantifier,Ezra-Nehemiah,1,4,,,,,dative,singular,neuter,
1,e)/tei,e)/to·s,noun,Ezra-Nehemiah,1,5,,,,,dative,singular,neuter,
1,tou=,o(,article,Ezra-Nehemiah,1,6,,,,,genitive,singular,neuter,
1,basile/ws,basileu/s,noun,Ezra-Nehemiah,1,7,,,,,genitive,singular,masculine,
1,tou=,o(,article,Ezra-Nehemiah,1,8,,,,,genitive,singular,neuter,
1,telesqh=nai,tele/w,verb,Ezra-Nehemiah,1,9,,aorist,passive,infinitive,,,,
1,lo/gon,lo/gos,noun,Ezra-Nehemiah,1,10,,,,,accusative,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Ezra-Nehemiah,1,11,,,,,vocative,plural,,
1,a)po\,a)po/,preposition,Ezra-Nehemiah,1,12,,,,indicative,,,,
1,sto/matos,sto/ma[t],noun,Ezra-Nehemiah,1,13,,,,,genitive,singular,neuter,
1,*ieremiou,*)ieremi/as,noun,Ezra-Nehemiah,1,14,,,,,genitive,singular,masculine,
1,e)ch/geiren,e)c·egei/rw,verb,Ezra-Nehemiah,1,15,3.0,imperfect,middle,imperative,,singular,,
1,ku/rios,ku/rios[2],noun,Ezra-Nehemiah,1,16,,,,,vocative,plural,,
1,to\,o(,article,Ezra-Nehemiah,1,17,,,,,nominative,singular,neuter,
1,pneu=ma,pneu=ma[t],noun,Ezra-Nehemiah,1,18,,,,,nominative,singular,neuter,
1,basile/ws,basileu/s,noun,Ezra-Nehemiah,1,19,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,Ezra-Nehemiah,1,20,,,,indicative,,,,
1,parh/ggeilen,par·agge/llw,verb,Ezra-Nehemiah,1,21,3.0,aorist,active,indicative,,singular,,
1,fwnh\n,fwnh/,noun,Ezra-Nehemiah,1,22,,,,,accusative,singular,feminine,
1,e)n,e)n,preposition,Ezra-Nehemiah,1,23,,,,indicative,,,,
1,pa/sh|,pa=[nt]s,quantifier,Ezra-Nehemiah,1,24,,,,,genitive,singular,,
1,basilei/a|,basilei/a,noun,Ezra-Nehemiah,1,25,,,,,dative,singular,feminine,
1,au)tou=,au)to/s,pronoun,Ezra-Nehemiah,1,26,,,,,genitive,singular,masculine,
1,kai/,kai/,conjunction,Ezra-Nehemiah,1,27,,,,indicative,,,,
1,ge,ge/,particle,Ezra-Nehemiah,1,28,,,,indicative,,,,
1,e)n,e)n,preposition,Ezra-Nehemiah,1,29,,,,indicative,,,,
1,graptw=|,grapto/s,adjective,Ezra-Nehemiah,1,30,,,,,dative,singular,neuter,
1,le/gwn,le/gw,verb,Ezra-Nehemiah,1,31,2.0,,,,,,,
2,ou(/tws,ou(/tws/ou(/tw,adverb,Ezra-Nehemiah,1,1,,,,indicative,,,,
2,ei)=pen,le/gw,verb,Ezra-Nehemiah,1,2,2.0,,,,,,,
2,basileu\s,basileu/s,noun,Ezra-Nehemiah,1,3,,,,,nominative,singular,masculine,
2,pa/sas,pa=[nt]s,quantifier,Ezra-Nehemiah,1,4,,,,,genitive,singular,,
2,ta\s,o(,article,Ezra-Nehemiah,1,5,,,,,accusative,plural,feminine,
2,basilei/as,basilei/a,noun,Ezra-Nehemiah,1,6,,,,,genitive,singular,feminine,
2,th=s,o(,article,Ezra-Nehemiah,1,7,,,,,genitive,singular,feminine,
2,gh=s,gh=,noun,Ezra-Nehemiah,1,8,,,,,vocative,singular,,
2,e)/dwke/n,di/dwmi,verb,Ezra-Nehemiah,1,9,,,,,,,,
2,moi,e)gw/,pronoun,Ezra-Nehemiah,1,10,,,,,dative,singular,,
2,ku/rios,ku/rios[2],noun,Ezra-Nehemiah,1,11,,,,,vocative,plural,,
2,o(,o(,article,Ezra-Nehemiah,1,12,,,,,nominative,singular,masculine,
2,qeo\s,qeo/s,noun,Ezra-Nehemiah,1,13,,,,,nominative,singular,masculine,
