verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,e)n,e)n,preposition,Genesis,1,1,,,,indicative,,,,
1,a)rxh=|,a)rxh/,noun,Genesis,1,2,,,,,dative,singular,feminine,
1,e)poi/hsen,poie/w,verb,Genesis,1,3,3.0,aorist,active,indicative,,singular,,
1,o(,o(,article,Genesis,1,4,,,,,nominative,singular,masculine,
1,qeo\s,qeo/s,noun,Genesis,1,5,,,,,nominative,singular,masculine,
1,to\n,o(,article,Genesis,1,6,,,,,accusative,singular,masculine,
1,ou)rano\n,ou)rano/s,noun,Genesis,1,7,,,,,vocative,plural,,
1,kai\,kai/,conjunction,Genesis,1,8,,,,indicative,,,,
1,th\n,o(,article,Genesis,1,9,,,,,accusative,singular,feminine,
1,gh=n,gh=,noun,Genesis,1,10,,,,,vocative,singular,,
2,h(,o(,article,Genesis,1,1,,,,,nominative,singular,feminine,
2,de\,de/,particle,Genesis,1,2,,,,indicative,,,,
2,gh=,gh=,noun,Genesis,1,3,,,,,vocative,singular,,
2,h)=n,ei)mi/[1],verb,Genesis,1,4,,,,,,,,
2,a)o/ratos,a)·o/ratos,adjective,Genesis,1,5,,,,,nominative,singular,masculine,
2,kai\,kai/,conjunction,Genesis,1,6,,,,indicative,,,,
2,kai\,kai/,conjunction,Genesis,1,7,,,,indicative,,,,
2,sko/tos,sko/to·s,noun,Genesis,1,8,,,,,nominative,singular,neuter,
2,e)pa/nw,e)p·a/nw,adverb,Genesis,1,9,,,,indicative,,,,
2,th=s,o(,article,Genesis,1,10,,,,,genitive,singular,feminine,
2,a)bu/ssou,a)/·bussos,noun,Genesis,1,11,,,,,genitive,singular,feminine,
2,kai\,kai/,conjunction,Genesis,1,12,,,,indicative,,,,
2,pneu=ma,pneu=ma[t],noun,Genesis,1,13,,,,,nominative,singular,neuter,
2,qeou=,qeo/s,noun,Genesis,1,14,,,,,genitive,singular,masculine,
2,e)pefe/reto,e)pi·fe/rw,verb,Genesis,1,15,2.0,,,,,,,
2,e)pa/nw,e)p·a/nw,adverb,Genesis,1,16,,,,indicative,,,,
2,tou=,o(,article,Genesis,1,17,,,,,genitive,singular,neuter,
2,u(/datos,u(/dwr,noun,Genesis,1,18,,,,,genitive,singular,neuter,
3,kai\,kai/,conjunction,Genesis,1,1,,,,indicative,,,,
3,ei)=pen,le/gw,verb,Genesis,1,2,2.0,,,,,,,
3,o(,o(,article,Genesis,1,3,,,,,nominative,singular,masculine,
3,qeo/s,qeo/s,noun,Genesis,1,4,,,,,nominative,singular,masculine,
3,genhqh/tw,gi/nomai/gi/gn-,verb,Genesis,1,5,2.0,,,,,,,
3,fw=s,fw=[t]s,noun,Genesis,1,6,,,,,nominative,singular,neuter,
3,kai\,kai/,conjunction,Genesis,1,7,,,,indicative,,,,
3,e)ge/neto,gi/nomai/gi/gn-,verb,Genesis,1,8,2.0,,,,,,,
3,fw=s,fw=[t]s,noun,Genesis,1,9,,,,,nominative,singular,neuter,
4,kai\,kai/,conjunction,Genesis,1,1,,,,indicative,,,,
4,ei)=den,o(ra/w,verb,Genesis,1,2,,,,,,,,
4,o(,o(,article,Genesis,1,3,,,,,nominative,singular,masculine,
4,qeo\s,qeo/s,noun,Genesis,1,4,,,,,nominative,singular,masculine,
4,to\,o(,article,Genesis,1,5,,,,,nominative,singular,neuter,
4,fw=s,fw=[t]s,noun,Genesis,1,6,,,,,nominative,singular,neuter,
4,o(/ti,o(/ti,conjunction,Genesis,1,7,,,,indicative,,,,
4,kalo/n,kalo/s,adjective,Genesis,1,8,,,,,,,,
4,kai\,kai/,conjunction,Genesis,1,9,,,,indicative,,,,
4,diexw/risen,dia·xwri/zw,verb,Genesis,1,10,3.0,aorist,active,indicative,,singular,,
4,o(,o(,article,Genesis,1,11,,,,,nominative,singular,masculine,
4,qeo\s,qeo/s,noun,Genesis,1,12,,,,,nominative,singular,masculine,
4,a)na\,a)na/,preposition,Genesis,1,13,,,,indicative,,,,
4,me/son,me/sos,adjective,Genesis,1,14,,,,,nominative,singular,neuter,
4,tou=,o(,article,Genesis,1,15,,,,,genitive,singular,neuter,
4,fwto\s,fw=[t]s,noun,Genesis,1,16,,,,,genitive,singular,neuter,
4,kai\,kai/,conjunction,Genesis,1,17,,,,indicative,,,,
4,a)na\,a)na/,preposition,Genesis,1,18,,,,indicative,,,,
4,me/son,me/sos,adjective,Genesis,1,19,,,,,nominative,singular,neuter,
4,tou=,o(,article,Genesis,1,20,,,,,genitive,singular,neuter,
4,sko/tous,sko/to·s,noun,Genesis,1,21,,,,,genitive,singular,neuter,
5,kai\,kai/,conjunction,Genesis,1,1,,,,indicative,,,,
5,e)ka/lesen,kale/w,verb,Genesis,1,2,3.0,aorist,active,indicative,,singular,,
5,o(,o(,article,Genesis,1,3,,,,,nominative,singular,masculine,
5,qeo\s,qeo/s,noun,Genesis,1,4,,,,,nominative,singular,masculine,
5,to\,o(,article,Genesis,1,5,,,,,nominative,singular,neuter,
5,fw=s,fw=[t]s,noun,Genesis,1,6,,,,,nominative,singular,neuter,
5,h(me/ran,h(me/ra,noun,Genesis,1,7,,,,,accusative,singular,feminine,
5,kai\,kai/,conjunction,Genesis,1,8,,,,indicative,,,,
5,to\,o(,article,Genesis,1,9,,,,,nominative,singular,neuter,
5,sko/tos,sko/to·s,noun,Genesis,1,10,,,,,nominative,singular,neuter,
5,e)ka/lesen,kale/w,verb,Genesis,1,11,3.0,aorist,active,indicative,,singular,,
5,nu/kta,nu/c,noun,Genesis,1,12,,,,,accusative,singular,feminine,
5,kai\,kai/,conjunction,Genesis,1,13,,,,indicative,,,,
5,e)ge/neto,gi/nomai/gi/gn-,verb,Genesis,1,14,2.0,,,,,,,
5,e(spe/ra,e(spe/ra,noun,Genesis,1,15,,,,,nominative,singular,feminine,
5,kai\,kai/,conjunction,Genesis,1,16,,,,indicative,,,,
5,e)ge/neto,gi/nomai/gi/gn-,verb,Genesis,1,17,2.0,,,,,,,
5,prwi/,prwi/+,adverb,Genesis,1,18,,,,indicative,,,,
5,h(me/ra,h(me/ra,noun,Genesis,1,19,,,,,nominative,singular,feminine,
5,mi/a,ei(=s[2],quantifier,Genesis,1,20,,,,,genitive,singular,,
6,kai\,kai/,conjunction,Genesis,1,1,,,,indicative,,,,
6,ei)=pen,le/gw,verb,Genesis,1,2,2.0,,,,,,,
6,o(,o(,article,Genesis,1,3,,,,,nominative,singular,masculine,
6,qeo/s,qeo/s,noun,Genesis,1,4,,,,,nominative,singular,masculine,
6,genhqh/tw,gi/nomai/gi/gn-,verb,Genesis,1,5,2.0,,,,,,,
6,stere/wma,stere/wma[t],noun,Genesis,1,6,,,,,nominative,singular,neuter,
6,e)n,e)n,preposition,Genesis,1,7,,,,indicative,,,,
6,me/sw|,me/sos,adjective,Genesis,1,8,,,,,dative,singular,neuter,
6,tou=,o(,article,Genesis,1,9,,,,,genitive,singular,neuter,
6,u(/datos,u(/dwr,noun,Genesis,1,10,,,,,genitive,singular,neuter,
6,kai\,kai/,conjunction,Genesis,1,11,,,,indicative,,,,
6,e)/stw,i(/sthmi,verb;,Genesis,1,12,,,,,,,,
6,diaxwri/zon,dia·xwri/zw,verb,Genesis,1,13,,present,active,participle,vocative,singular,masculine,
6,a)na\,a)na/,preposition,Genesis,1,14,,,,indicative,,,,
6,me/son,me/sos,adjective,Genesis,1,15,,,,,nominative,singular,neuter,
6,u(/datos,u(/dwr,noun,Genesis,1,16,,,,,genitive,singular,neuter,
6,kai\,kai/,conjunction,Genesis,1,17,,,,indicative,,,,
6,u(/datos,u(/dwr,noun,Genesis,1,18,,,,,genitive,singular,neuter,
6,kai\,kai/,conjunction,Genesis,1,19,,,,indicative,,,,
6,e)ge/neto,gi/nomai/gi/gn-,verb,Genesis,1,20,2.0,,,,,,,
6,ou(/tws,ou(/tws/ou(/tw,adverb,Genesis,1,21,,,,indicative,,,,
7,kai\,kai/,conjunction,Genesis,1,1,,,,indicative,,,,
7,e)poi/hsen,poie/w,verb,Genesis,1,2,3.0,aorist,active,indicative,,singular,,
7,o(,o(,article,Genesis,1,3,,,,,nominative,singular,masculine,
7,qeo\s,qeo/s,noun,Genesis,1,4,,,,,nominative,singular,masculine,
7,to\,o(,article,Genesis,1,5,,,,,nominative,singular,neuter,
7,stere/wma,stere/wma[t],noun,Genesis,1,6,,,,,nominative,singular,neuter,
7,kai\,kai/,conjunction,Genesis,1,7,,,,indicative,,,,
7,diexw/risen,dia·xwri/zw,verb,Genesis,1,8,3.0,aorist,active,indicative,,singular,,
7,o(,o(,article,Genesis,1,9,,,,,nominative,singular,masculine,
7,qeo\s,qeo/s,noun,Genesis,1,10,,,,,nominative,singular,masculine,
7,a)na\,a)na/,preposition,Genesis,1,11,,,,indicative,,,,
7,me/son,me/sos,adjective,Genesis,1,12,,,,,nominative,singular,neuter,
7,tou=,o(,article,Genesis,1,13,,,,,genitive,singular,neuter,
7,u(/datos,u(/dwr,noun,Genesis,1,14,,,,,genitive,singular,neuter,
7,o(\,o(/s,pronoun,Genesis,1,15,,,,,nominative,singular,neuter,
7,h)=n,ei)mi/[1],verb,Genesis,1,16,,,,,,,,
7,u(poka/tw,u(po·ka/tw,adverb,Genesis,1,17,,,,indicative,,,,
7,tou=,o(,article,Genesis,1,18,,,,,genitive,singular,neuter,
7,sterew/matos,stere/wma[t],noun,Genesis,1,19,,,,,genitive,singular,neuter,
7,kai\,kai/,conjunction,Genesis,1,20,,,,indicative,,,,
7,a)na\,a)na/,preposition,Genesis,1,21,,,,indicative,,,,
7,me/son,me/sos,adjective,Genesis,1,22,,,,,nominative,singular,neuter,
7,tou=,o(,article,Genesis,1,23,,,,,genitive,singular,neuter,
7,u(/datos,u(/dwr,noun,Genesis,1,24,,,,,genitive,singular,neuter,
7,tou=,o(,article,Genesis,1,25,,,,,genitive,singular,neuter,
7,e)pa/nw,e)p·a/nw,adverb,Genesis,1,26,,,,indicative,,,,
7,tou=,o(,article,Genesis,1,27,,,,,genitive,singular,neuter,
7,sterew/matos,stere/wma[t],noun,Genesis,1,28,,,,,genitive,singular,neuter,
8,kai\,kai/,conjunction,Genesis,1,1,,,,indicative,,,,
8,e)ka/lesen,kale/w,verb,Genesis,1,2,3.0,aorist,active,indicative,,singular,,
8,o(,o(,article,Genesis,1,3,,,,,nominative,singular,masculine,
8,qeo\s,qeo/s,noun,Genesis,1,4,,,,,nominative,singular,masculine,
8,to\,o(,article,Genesis,1,5,,,,,nominative,singular,neuter,
8,stere/wma,stere/wma[t],noun,Genesis,1,6,,,,,nominative,singular,neuter,
8,ou)rano/n,ou)rano/s,noun,Genesis,1,7,,,,,vocative,plural,,
8,kai\,kai/,conjunction,Genesis,1,8,,,,indicative,,,,
8,ei)=den,o(ra/w,verb,Genesis,1,9,,,,,,,,
8,o(,o(,article,Genesis,1,10,,,,,nominative,singular,masculine,
8,qeo\s,qeo/s,noun,Genesis,1,11,,,,,nominative,singular,masculine,
8,o(/ti,o(/ti,conjunction,Genesis,1,12,,,,indicative,,,,
8,kalo/n,kalo/s,adjective,Genesis,1,13,,,,,,,,
8,kai\,kai/,conjunction,Genesis,1,14,,,,indicative,,,,
8,e)ge/neto,gi/nomai/gi/gn-,verb,Genesis,1,15,2.0,,,,,,,
8,e(spe/ra,e(spe/ra,noun,Genesis,1,16,,,,,nominative,singular,feminine,
8,kai\,kai/,conjunction,Genesis,1,17,,,,indicative,,,,
8,e)ge/neto,gi/nomai/gi/gn-,verb,Genesis,1,18,2.0,,,,,,,
8,prwi/,prwi/+,adverb,Genesis,1,19,,,,indicative,,,,
8,h(me/ra,h(me/ra,noun,Genesis,1,20,,,,,nominative,singular,feminine,
8,deute/ra,deu/teros,quantifier,Genesis,1,21,,,,,nominative,plural,neuter,
9,kai\,kai/,conjunction,Genesis,1,1,,,,indicative,,,,
9,ei)=pen,le/gw,verb,Genesis,1,2,2.0,,,,,,,
9,o(,o(,article,Genesis,1,3,,,,,nominative,singular,masculine,
9,qeo/s,qeo/s,noun,Genesis,1,4,,,,,nominative,singular,masculine,
9,sunaxqh/tw,sun·a/gw,verb,Genesis,1,5,2.0,,,,,,,
9,to\,o(,article,Genesis,1,6,,,,,nominative,singular,neuter,
9,u(/dwr,u(/dwr,noun,Genesis,1,7,,,,,,,,
9,to\,o(,article,Genesis,1,8,,,,,nominative,singular,neuter,
9,u(poka/tw,u(po·ka/tw,adverb,Genesis,1,9,,,,indicative,,,,
9,tou=,o(,article,Genesis,1,10,,,,,genitive,singular,neuter,
9,ou)ranou=,ou)rano/s,noun,Genesis,1,11,,,,,vocative,plural,,
9,ei)s,ei)s[1],preposition,Genesis,1,12,,,,indicative,,,,
9,sunagwgh\n,sun·agwgh/,noun,Genesis,1,13,,,,,accusative,singular,feminine,
9,mi/an,ei(=s[2],quantifier,Genesis,1,14,,,,,genitive,singular,,
9,kai\,kai/,conjunction,Genesis,1,15,,,,indicative,,,,
9,o)fqh/tw,o(ra/w,verb,Genesis,1,16,,,,,,,,
9,h(,o(,article,Genesis,1,17,,,,,nominative,singular,feminine,
9,chra/,chro/s,adjective,Genesis,1,18,,,,,nominative,plural,neuter,
9,kai\,kai/,conjunction,Genesis,1,19,,,,indicative,,,,
9,e)ge/neto,gi/nomai/gi/gn-,verb,Genesis,1,20,2.0,,,,,,,
9,ou(/tws,ou(/tws/ou(/tw,adverb,Genesis,1,21,,,,indicative,,,,
9,kai\,kai/,conjunction,Genesis,1,22,,,,indicative,,,,
9,sunh/xqh,sun·a/gw,verb,Genesis,1,23,2.0,,,,,,,
9,to\,o(,article,Genesis,1,24,,,,,nominative,singular,neuter,
9,u(/dwr,u(/dwr,noun,Genesis,1,25,,,,,,,,
9,to\,o(,article,Genesis,1,26,,,,,nominative,singular,neuter,
9,u(poka/tw,u(po·ka/tw,adverb,Genesis,1,27,,,,indicative,,,,
9,tou=,o(,article,Genesis,1,28,,,,,genitive,singular,neuter,
9,ou)ranou=,ou)rano/s,noun,Genesis,1,29,,,,,vocative,plural,,
9,ei)s,ei)s[1],preposition,Genesis,1,30,,,,indicative,,,,
9,ta\s,o(,article,Genesis,1,31,,,,,accusative,plural,feminine,
9,sunagwga\s,sun·agwgh/,noun,Genesis,1,32,,,,,accusative,plural,feminine,
