verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,to\,o(,article,Habakkuk,1,1,,,,,nominative,singular,neuter,
1,o(\,o(/s,pronoun,Habakkuk,1,2,,,,,nominative,singular,neuter,
1,ei)=den,o(ra/w,verb,Habakkuk,1,3,,,,,,,,
1,o(,o(,article,Habakkuk,1,4,,,,,nominative,singular,masculine,
1,profh/ths,profh/ths,noun,Habakkuk,1,5,,,,,nominative,singular,masculine,
2,e(/ws,e(/ws[1],conjunction;,Habakkuk,1,1,,,,,,,,
2,ti/nos,ti/[n]s[1],pronoun,Habakkuk,1,2,,,,,genitive,,,
2,ku/rie,ku/rios[2],noun,Habakkuk,1,3,,,,,vocative,plural,,
2,kekra/comai,kra/zw,verb,Habakkuk,1,4,2.0,,,,,,,
2,kai\,kai/,conjunction,Habakkuk,1,5,,,,indicative,,,,
2,ou),ou)[2]/ou)k/ou)x,particle,Habakkuk,1,6,,,,indicative,,,,
2,mh\,mh/,particle,Habakkuk,1,7,,,,indicative,,,,
2,ei)sakou/sh|s,ei)s·akou/w,verb,Habakkuk,1,8,2.0,aorist,active,subjunctive,,singular,,
2,boh/somai,boa/w,verb,Habakkuk,1,9,1.0,future,middle,indicative,,singular,,
2,pro\s,pro/s,preposition,Habakkuk,1,10,,,,indicative,,,,
2,se\,su/,pronoun,Habakkuk,1,11,,,,,accusative,singular,,
2,a)dikou/menos,a)·dike/w,verb,Habakkuk,1,12,,present,middle,participle,nominative,singular,masculine,
2,kai\,kai/,conjunction,Habakkuk,1,13,,,,indicative,,,,
2,ou),ou)[2]/ou)k/ou)x,particle,Habakkuk,1,14,,,,indicative,,,,
2,sw/seis,sw/|zw,verb,Habakkuk,1,15,2.0,future,active,indicative,,singular,,
3,i(/na,i(/na,conjunction,Habakkuk,1,1,,,,indicative,,,,
3,ti/,ti/[n]s[1],pronoun,Habakkuk,1,2,,,,,genitive,,,
3,moi,e)gw/,pronoun,Habakkuk,1,3,,,,,dative,singular,,
3,e)/deicas,dei/knumi,verb,Habakkuk,1,4,,,,,,,,
3,ko/pous,ko/pos,noun,Habakkuk,1,5,,,,,accusative,plural,masculine,
3,kai\,kai/,conjunction,Habakkuk,1,6,,,,indicative,,,,
3,po/nous,po/nos,noun,Habakkuk,1,7,,,,,accusative,plural,masculine,
3,e)pible/pein,e)pi·ble/pw,verb,Habakkuk,1,8,,present,active,infinitive,,,,
3,talaipwri/an,talaipwri/a,noun,Habakkuk,1,9,,,,,accusative,singular,feminine,
3,kai\,kai/,conjunction,Habakkuk,1,10,,,,indicative,,,,
3,a)se/beian,a)·se/beia,noun,Habakkuk,1,11,,,,,accusative,singular,feminine,
3,e)c,e)k,preposition,Habakkuk,1,12,,,,indicative,,,,
3,e)nanti/as,e)n·anti/os,adjective,Habakkuk,1,13,,,,,genitive,singular,feminine,
3,mou,e)gw/,pronoun,Habakkuk,1,14,,,,,genitive,singular,,
3,ge/gonen,gi/nomai/gi/gn-,verb,Habakkuk,1,15,2.0,,,,,,,
3,kri/sis,kri/sis,noun,Habakkuk,1,16,,,,,nominative,singular,feminine,
3,kai\,kai/,conjunction,Habakkuk,1,17,,,,indicative,,,,
3,o(,o(,article,Habakkuk,1,18,,,,,nominative,singular,masculine,
3,krith\s,krith/s,noun,Habakkuk,1,19,,,,,nominative,singular,masculine,
3,lamba/nei,lamba/nw,verb,Habakkuk,1,20,2.0,,,,,,,
4,dia\,dia/,preposition,Habakkuk,1,1,,,,indicative,,,,
4,tou=to,ou(=tos,determiner,Habakkuk,1,2,,,,,nominative,singular,neuter,
4,no/mos,no/mos,noun,Habakkuk,1,3,,,,,nominative,singular,masculine,
4,kai\,kai/,conjunction,Habakkuk,1,4,,,,indicative,,,,
4,ou),ou)[2]/ou)k/ou)x,particle,Habakkuk,1,5,,,,indicative,,,,
4,ei)s,ei)s[1],preposition,Habakkuk,1,6,,,,indicative,,,,
4,te/los,te/lo·s,noun,Habakkuk,1,7,,,,,nominative,singular,neuter,
4,kri/ma,kri/ma[t],noun,Habakkuk,1,8,,,,,nominative,singular,neuter,
4,o(/ti,o(/ti,conjunction,Habakkuk,1,9,,,,indicative,,,,
4,o(,o(,article,Habakkuk,1,10,,,,,nominative,singular,masculine,
4,a)sebh\s,a)·sebh/s,adjective,Habakkuk,1,11,,,,,nominative,singular,masculine,
4,katadunasteu/ei,kata·dunasteu/w,verb,Habakkuk,1,12,3.0,present,active,indicative,,singular,,
4,to\n,o(,article,Habakkuk,1,13,,,,,accusative,singular,masculine,
4,di/kaion,di/kaios,adjective,Habakkuk,1,14,,,,,nominative,singular,neuter,
4,e(/neken,e(/neka/e(/neken/ei(/neken,preposition,Habakkuk,1,15,,,,indicative,,,,
4,tou/tou,ou(=tos,determiner,Habakkuk,1,16,,,,,genitive,singular,neuter,
4,e)celeu/setai,e)c·e/rxomai,verb,Habakkuk,1,17,2.0,,,,,,,
4,to\,o(,article,Habakkuk,1,18,,,,,nominative,singular,neuter,
4,kri/ma,kri/ma[t],noun,Habakkuk,1,19,,,,,nominative,singular,neuter,
4,diestramme/non,dia·stre/fw,verb,Habakkuk,1,20,,perfect,middle,participle,accusative,singular,masculine,
5,i)/dete,o(ra/w,verb,Habakkuk,1,1,,,,,,,,
5,oi(,o(,article,Habakkuk,1,2,,,,,nominative,plural,masculine,
5,katafronhtai/,kata·fronhth/s,noun,Habakkuk,1,3,,,,,nominative,plural,masculine,
5,kai\,kai/,conjunction,Habakkuk,1,4,,,,indicative,,,,
5,e)pible/yate,e)pi·ble/pw,verb,Habakkuk,1,5,2.0,aorist,active,imperative,,plural,,
