verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,e)n,e)n,preposition,Haggai,1,1,,,,indicative,,,,
1,tw=|,o(,article,Haggai,1,2,,,,,dative,singular,neuter,
1,deute/rw|,deu/teros,quantifier,Haggai,1,3,,,,,dative,singular,neuter,
1,e)/tei,e)/to·s,noun,Haggai,1,4,,,,,dative,singular,neuter,
1,e)pi\,e)pi/,preposition,Haggai,1,5,,,,indicative,,,,
1,tou=,o(,article,Haggai,1,6,,,,,genitive,singular,neuter,
1,basile/ws,basileu/s,noun,Haggai,1,7,,,,,genitive,singular,masculine,
1,e)n,e)n,preposition,Haggai,1,8,,,,indicative,,,,
1,tw=|,o(,article,Haggai,1,9,,,,,dative,singular,neuter,
1,mhni\,mh=nis,noun,Haggai,1,10,,,,,,,,
1,tw=|,o(,article,Haggai,1,11,,,,,dative,singular,neuter,
1,e(/ktw|,e(/ktos[1],quantifier,Haggai,1,12,,,,,dative,singular,neuter,
1,mia=|,ei(=s[2],quantifier,Haggai,1,13,,,,,genitive,singular,,
1,tou=,o(,article,Haggai,1,14,,,,,genitive,singular,neuter,
1,mhno\s,mh/n[2],noun,Haggai,1,15,,,,,genitive,singular,masculine,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Haggai,1,16,2.0,,,,,,,
1,lo/gos,lo/gos,noun,Haggai,1,17,,,,,nominative,singular,masculine,
1,ku/riou,ku/rios[2],noun,Haggai,1,18,,,,,vocative,plural,,
1,e)n,e)n,preposition,Haggai,1,19,,,,indicative,,,,
1,xeiri\,xei/r,noun,Haggai,1,20,,,,,dative,plural,,
1,tou=,o(,article,Haggai,1,21,,,,,genitive,singular,neuter,
1,profh/tou,profh/ths,noun,Haggai,1,22,,,,,genitive,singular,masculine,
1,le/gwn,le/gw,verb,Haggai,1,23,2.0,,,,,,,
1,ei)po\n,le/gw,verb,Haggai,1,24,2.0,,,,,,,
1,dh\,dh/,particle,Haggai,1,25,,,,indicative,,,,
1,pro\s,pro/s,preposition,Haggai,1,26,,,,indicative,,,,
1,*zorobabel,*zorobabe/l,noun,Haggai,1,27,,,,indicative,,,masculine,
1,to\n,o(,article,Haggai,1,28,,,,,accusative,singular,masculine,
1,tou=,o(,article,Haggai,1,29,,,,,genitive,singular,neuter,
1,*salaqihl,*salaqih/l,noun,Haggai,1,30,,,,indicative,,,masculine,
1,e)k,e)k,preposition,Haggai,1,31,,,,indicative,,,,
1,fulh=s,fulh/,noun,Haggai,1,32,,,,,genitive,singular,feminine,
1,*iouda,*)iou/das,noun,Haggai,1,33,,,,,,,,
1,kai\,kai/,conjunction,Haggai,1,34,,,,indicative,,,,
1,pro\s,pro/s,preposition,Haggai,1,35,,,,indicative,,,,
1,*)ihsou=n,*)ihsou=s,noun,Haggai,1,36,,,,,,,,
1,to\n,o(,article,Haggai,1,37,,,,,accusative,singular,masculine,
1,tou=,o(,article,Haggai,1,38,,,,,genitive,singular,neuter,
1,*iwsedek,*iwsedek,noun,Haggai,1,39,,,,,,,,
1,to\n,o(,article,Haggai,1,40,,,,,accusative,singular,masculine,
1,i(ere/a,i(ereu/s,noun,Haggai,1,41,,,,,accusative,singular,masculine,
1,to\n,o(,article,Haggai,1,42,,,,,accusative,singular,masculine,
1,me/gan,me/g[al]as,adjective,Haggai,1,43,,,,,,,,
1,le/gwn,le/gw,verb,Haggai,1,44,2.0,,,,,,,
2,ta/de,o(/·de,determiner,Haggai,1,1,,,,,nominative,plural,neuter,
2,le/gei,le/gw,verb,Haggai,1,2,2.0,,,,,,,
2,ku/rios,ku/rios[2],noun,Haggai,1,3,,,,,vocative,plural,,
2,pantokra/twr,panto·kra/twr,noun,Haggai,1,4,,,,,nominative,singular,masculine,
2,le/gwn,le/gw,verb,Haggai,1,5,2.0,,,,,,,
2,o(,o(,article,Haggai,1,6,,,,,nominative,singular,masculine,
2,lao\s,lao/s,noun,Haggai,1,7,,,,,nominative,singular,masculine,
2,ou(=tos,ou(=tos,determiner,Haggai,1,8,,,,,nominative,singular,masculine,
2,le/gousin,le/gw,verb,Haggai,1,9,2.0,,,,,,,
2,ou)x,ou)[2]/ou)k/ou)x,particle,Haggai,1,10,,,,indicative,,,,
2,h(/kei,h(/kw,verb,Haggai,1,11,3.0,present,active,indicative,,singular,,
2,o(,o(,article,Haggai,1,12,,,,,nominative,singular,masculine,
2,kairo\s,kairo/s,noun,Haggai,1,13,,,,,,,,
2,tou=,o(,article,Haggai,1,14,,,,,genitive,singular,neuter,
2,oi)kodomh=sai,oi)ko·dome/w,verb,Haggai,1,15,,aorist,active,infinitive,,,,
2,to\n,o(,article,Haggai,1,16,,,,,accusative,singular,masculine,
2,oi)=kon,oi)=kos,noun,Haggai,1,17,,,,,,,,
