verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,lo/gos,lo/gos,noun,Hosea,1,1,,,,,nominative,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Hosea,1,2,,,,,vocative,plural,,
1,o(\s,o(/s,pronoun,Hosea,1,3,,,,,nominative,singular,masculine,
1,e)genh/qh,gi/nomai/gi/gn-,verb,Hosea,1,4,2.0,,,,,,,
1,pro\s,pro/s,preposition,Hosea,1,5,,,,indicative,,,,
1,*wshe,*(wshe/,noun,Hosea,1,6,,,,indicative,,,masculine,
1,to\n,o(,article,Hosea,1,7,,,,,accusative,singular,masculine,
1,tou=,o(,article,Hosea,1,8,,,,,genitive,singular,neuter,
1,e)n,e)n,preposition,Hosea,1,9,,,,indicative,,,,
1,h(me/rais,h(me/ra,noun,Hosea,1,10,,,,,dative,plural,feminine,
1,*oziou,*)ozi/as,noun,Hosea,1,11,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,Hosea,1,12,,,,indicative,,,,
1,*iwaqam,*)iwaqa/m,noun,Hosea,1,13,,,,,,,,
1,kai\,kai/,conjunction,Hosea,1,14,,,,indicative,,,,
1,*axaz,*)axa/z,noun,Hosea,1,15,,,,indicative,,,masculine,
1,kai\,kai/,conjunction,Hosea,1,16,,,,indicative,,,,
1,*ezekiou,*(ezeki/as,noun,Hosea,1,17,,,,,genitive,singular,masculine,
1,basile/wn,basileu/s,noun,Hosea,1,18,,,,,genitive,plural,masculine,
1,*iouda,*)iou/das,noun,Hosea,1,19,,,,,,,,
1,kai\,kai/,conjunction,Hosea,1,20,,,,indicative,,,,
1,e)n,e)n,preposition,Hosea,1,21,,,,indicative,,,,
1,h(me/rais,h(me/ra,noun,Hosea,1,22,,,,,dative,plural,feminine,
1,ui(ou=,ui(o/s,noun,Hosea,1,23,,,,,vocative,plural,,
1,basile/ws,basileu/s,noun,Hosea,1,24,,,,,genitive,singular,masculine,
1,*israhl,*)israh/l,noun,Hosea,1,25,,,,indicative,,,masculine,
2,a)rxh\,a)rxh/,noun,Hosea,1,1,,,,,nominative,singular,feminine,
2,lo/gou,lo/gos,noun,Hosea,1,2,,,,,genitive,singular,masculine,
2,kuri/ou,ku/rios[2],noun,Hosea,1,3,,,,,vocative,plural,,
2,pro\s,pro/s,preposition,Hosea,1,4,,,,indicative,,,,
2,*wshe,*(wshe/,noun,Hosea,1,5,,,,indicative,,,masculine,
2,kai\,kai/,conjunction,Hosea,1,6,,,,indicative,,,,
2,ei)=pen,le/gw,verb,Hosea,1,7,2.0,,,,,,,
