verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,o(/rasis,o(/rasis,noun,Isaiah,1,1,,,,,nominative,singular,feminine,
1,h(\n,o(/s,pronoun,Isaiah,1,2,,,,,accusative,singular,feminine,
1,ei)=den,o(ra/w,verb,Isaiah,1,3,,,,,,,,
1,*hsaias,*)hsai/+as,noun,Isaiah,1,4,,,,,nominative,singular,masculine,
1,ui(o\s,ui(o/s,noun,Isaiah,1,5,,,,,vocative,plural,,
1,*amws,*)amw/s,noun,Isaiah,1,6,,,,indicative,,,masculine,
1,h(\n,o(/s,pronoun,Isaiah,1,7,,,,,accusative,singular,feminine,
1,ei)=den,o(ra/w,verb,Isaiah,1,8,,,,,,,,
1,kata\,kata/,preposition,Isaiah,1,9,,,,indicative,,,,
1,th=s,o(,article,Isaiah,1,10,,,,,genitive,singular,feminine,
1,*ioudai/as,*)ioudai/a,noun,Isaiah,1,11,,,,,genitive,singular,feminine,
1,kai\,kai/,conjunction,Isaiah,1,12,,,,indicative,,,,
1,kata\,kata/,preposition,Isaiah,1,13,,,,indicative,,,,
1,*ierousalhm,*(ieroso/luma,noun,Isaiah,1,14,,,,,,,,
1,e)n,e)n,preposition,Isaiah,1,15,,,,indicative,,,,
1,basilei/a|,basilei/a,noun,Isaiah,1,16,,,,,dative,singular,feminine,
1,*oziou,*)ozi/as,noun,Isaiah,1,17,,,,,genitive,singular,masculine,
1,kai\,kai/,conjunction,Isaiah,1,18,,,,indicative,,,,
1,*iwaqam,*)iwaqa/m,noun,Isaiah,1,19,,,,,,,,
1,kai\,kai/,conjunction,Isaiah,1,20,,,,indicative,,,,
1,*axaz,*)axa/z,noun,Isaiah,1,21,,,,indicative,,,masculine,
1,kai\,kai/,conjunction,Isaiah,1,22,,,,indicative,,,,
1,*ezekiou,*(ezeki/as,noun,Isaiah,1,23,,,,,genitive,singular,masculine,
1,oi(\,o(/s,pronoun,Isaiah,1,24,,,,,nominative,plural,masculine,
1,e)basi/leusan,basileu/w,verb,Isaiah,1,25,3.0,aorist,active,indicative,,plural,,
1,th=s,o(,article,Isaiah,1,26,,,,,genitive,singular,feminine,
1,*ioudai/as,*)ioudai/a,noun,Isaiah,1,27,,,,,genitive,singular,feminine,
2,a)/koue,a)kou/w,verb,Isaiah,1,1,2.0,present,active,imperative,,singular,,
2,ou)rane/,ou)rano/s,noun,Isaiah,1,2,,,,,vocative,plural,,
2,kai\,kai/,conjunction,Isaiah,1,3,,,,indicative,,,,
2,e)nwti/zou,e)n·wti/zomai,verb,Isaiah,1,4,2.0,present,middle,imperative,,singular,,
2,gh=,gh=,noun,Isaiah,1,5,,,,,vocative,singular,,
2,o(/ti,o(/ti,conjunction,Isaiah,1,6,,,,indicative,,,,
2,ku/rios,ku/rios[2],noun,Isaiah,1,7,,,,,vocative,plural,,
2,e)la/lhsen,lale/w,verb,Isaiah,1,8,3.0,aorist,active,indicative,,singular,,
2,ui(ou\s,ui(o/s,noun,Isaiah,1,9,,,,,vocative,plural,,
2,e)ge/nnhsa,genna/w,verb,Isaiah,1,10,1.0,aorist,active,indicative,,singular,,
2,kai\,kai/,conjunction,Isaiah,1,11,,,,indicative,,,,
2,u(/ywsa,u(yo/w,verb,Isaiah,1,12,1.0,aorist,active,indicative,,singular,,
2,au)toi\,au)to/s,pronoun,Isaiah,1,13,,,,,nominative,plural,masculine,
2,de/,de/,particle,Isaiah,1,14,,,,indicative,,,,
2,me,e)gw/,pronoun,Isaiah,1,15,,,,,accusative,singular,,
2,h)qe/thsan,a)·qete/w,verb,Isaiah,1,16,3.0,aorist,active,indicative,,plural,,
3,e)/gnw,ginw/skw/gign-,verb,Isaiah,1,1,2.0,,,,,,,
3,bou=s,bou=s,noun,Isaiah,1,2,,,,,nominative,singular,masculine,
3,to\n,o(,article,Isaiah,1,3,,,,,accusative,singular,masculine,
3,kthsa/menon,kta/omai,verb,Isaiah,1,4,,aorist,middle,participle,accusative,singular,masculine,
3,kai\,kai/,conjunction,Isaiah,1,5,,,,indicative,,,,
3,o)/nos,o)/nos,noun,Isaiah,1,6,,,,,,,,
3,th\n,o(,article,Isaiah,1,7,,,,,accusative,singular,feminine,
3,fa/tnhn,fa/tnh,noun,Isaiah,1,8,,,,,accusative,singular,feminine,
3,tou=,o(,article,Isaiah,1,9,,,,,genitive,singular,neuter,
3,kuri/ou,ku/rios[2],noun,Isaiah,1,10,,,,,vocative,plural,,
3,au)tou=,au)to/s,pronoun,Isaiah,1,11,,,,,genitive,singular,masculine,
3,*israhl,*)israh/l,noun,Isaiah,1,12,,,,indicative,,,masculine,
3,de/,de/,particle,Isaiah,1,13,,,,indicative,,,,
