verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,to\,o(,article,Jeremiah,1,1,,,,,nominative,singular,neuter,
1,r(h=ma,r(h=ma[t],noun,Jeremiah,1,2,,,,,nominative,singular,neuter,
1,tou=,o(,article,Jeremiah,1,3,,,,,genitive,singular,neuter,
1,qeou=,qeo/s,noun,Jeremiah,1,4,,,,,genitive,singular,masculine,
1,o(\,o(/s,pronoun,Jeremiah,1,5,,,,,nominative,singular,neuter,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Jeremiah,1,6,2.0,,,,,,,
1,e)pi\,e)pi/,preposition,Jeremiah,1,7,,,,indicative,,,,
1,*ieremian,*)ieremi/as,noun,Jeremiah,1,8,,,,,accusative,singular,masculine,
1,to\n,o(,article,Jeremiah,1,9,,,,,accusative,singular,masculine,
1,tou=,o(,article,Jeremiah,1,10,,,,,genitive,singular,neuter,
1,e)k,e)k,preposition,Jeremiah,1,11,,,,indicative,,,,
1,tw=n,o(,article,Jeremiah,1,12,,,,,genitive,plural,neuter,
1,i(ere/wn,i(ereu/s,noun,Jeremiah,1,13,,,,,genitive,plural,masculine,
1,o(\s,o(/s,pronoun,Jeremiah,1,14,,,,,nominative,singular,masculine,
1,katw/|kei,kat·oike/w,verb,Jeremiah,1,15,3.0,imperfect,middle,imperative,,singular,,
1,e)n,e)n,preposition,Jeremiah,1,16,,,,indicative,,,,
1,e)n,e)n,preposition,Jeremiah,1,17,,,,indicative,,,,
1,gh=|,gh=,noun,Jeremiah,1,18,,,,,vocative,singular,,
1,*beniamin,*beniam(e)i/n,noun,Jeremiah,1,19,,,,indicative,,,masculine,
2,o(\s,o(/s,pronoun,Jeremiah,1,1,,,,,nominative,singular,masculine,
2,e)genh/qh,gi/nomai/gi/gn-,verb,Jeremiah,1,2,2.0,,,,,,,
2,lo/gos,lo/gos,noun,Jeremiah,1,3,,,,,nominative,singular,masculine,
2,tou=,o(,article,Jeremiah,1,4,,,,,genitive,singular,neuter,
2,qeou=,qeo/s,noun,Jeremiah,1,5,,,,,genitive,singular,masculine,
2,pro\s,pro/s,preposition,Jeremiah,1,6,,,,indicative,,,,
2,au)to\n,au)to/s,pronoun,Jeremiah,1,7,,,,,accusative,singular,masculine,
2,e)n,e)n,preposition,Jeremiah,1,8,,,,indicative,,,,
2,tai=s,o(,article,Jeremiah,1,9,,,,,dative,plural,feminine,
2,h(me/rais,h(me/ra,noun,Jeremiah,1,10,,,,,dative,plural,feminine,
2,*iwsia,*)iwsi/as,noun,Jeremiah,1,11,,,,,vocative,singular,masculine,
2,ui(ou=,ui(o/s,noun,Jeremiah,1,12,,,,,vocative,plural,,
2,*amws,*)amw/s,noun,Jeremiah,1,13,,,,indicative,,,masculine,
2,basile/ws,basileu/s,noun,Jeremiah,1,14,,,,,genitive,singular,masculine,
2,*iouda,*)iou/das,noun,Jeremiah,1,15,,,,,,,,
2,e)/tous,e)/to·s,noun,Jeremiah,1,16,,,,,genitive,singular,neuter,
2,triskaideka/tou,tris·kai·de/katos,quantifier,Jeremiah,1,17,,,,,,,,
2,e)n,e)n,preposition,Jeremiah,1,18,,,,indicative,,,,
2,th=|,o(,article,Jeremiah,1,19,,,,,dative,singular,feminine,
2,basilei/a|,basilei/a,noun,Jeremiah,1,20,,,,,dative,singular,feminine,
2,au)tou=,au)to/s,pronoun,Jeremiah,1,21,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Jeremiah,1,1,,,,indicative,,,,
3,e)ge/neto,gi/nomai/gi/gn-,verb,Jeremiah,1,2,2.0,,,,,,,
3,e)n,e)n,preposition,Jeremiah,1,3,,,,indicative,,,,
3,tai=s,o(,article,Jeremiah,1,4,,,,,dative,plural,feminine,
3,h(me/rais,h(me/ra,noun,Jeremiah,1,5,,,,,dative,plural,feminine,
3,ui(ou=,ui(o/s,noun,Jeremiah,1,6,,,,,vocative,plural,,
3,*iwsia,*)iwsi/as,noun,Jeremiah,1,7,,,,,vocative,singular,masculine,
3,basile/ws,basileu/s,noun,Jeremiah,1,8,,,,,genitive,singular,masculine,
3,*iouda,*)iou/das,noun,Jeremiah,1,9,,,,,,,,
3,e(/ws,e(/ws[1],conjunction;,Jeremiah,1,10,,,,,,,,
3,e(ndeka/tou,e(n·de/katos,quantifier,Jeremiah,1,11,,,,,genitive,singular,neuter,
3,e)/tous,e)/to·s,noun,Jeremiah,1,12,,,,,genitive,singular,neuter,
3,ui(ou=,ui(o/s,noun,Jeremiah,1,13,,,,,vocative,plural,,
3,*iwsia,*)iwsi/as,noun,Jeremiah,1,14,,,,,vocative,singular,masculine,
3,basile/ws,basileu/s,noun,Jeremiah,1,15,,,,,genitive,singular,masculine,
3,*iouda,*)iou/das,noun,Jeremiah,1,16,,,,,,,,
3,e(/ws,e(/ws[1],conjunction;,Jeremiah,1,17,,,,,,,,
3,th=s,o(,article,Jeremiah,1,18,,,,,genitive,singular,feminine,
3,ai)xmalwsi/as,ai)xm·alwsi/a,noun,Jeremiah,1,19,,,,,genitive,singular,feminine,
3,*ierousalhm,*(ieroso/luma,noun,Jeremiah,1,20,,,,,,,,
3,e)n,e)n,preposition,Jeremiah,1,21,,,,indicative,,,,
3,tw=|,o(,article,Jeremiah,1,22,,,,,dative,singular,neuter,
3,pe/mptw|,pe/mptos,quantifier,Jeremiah,1,23,,,,,dative,singular,neuter,
3,mhni/,mh=nis,noun,Jeremiah,1,24,,,,,,,,
4,kai\,kai/,conjunction,Jeremiah,1,1,,,,indicative,,,,
4,e)ge/neto,gi/nomai/gi/gn-,verb,Jeremiah,1,2,2.0,,,,,,,
4,lo/gos,lo/gos,noun,Jeremiah,1,3,,,,,nominative,singular,masculine,
