verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,lo/gos,lo/gos,noun,Joel,1,1,,,,,nominative,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Joel,1,2,,,,,vocative,plural,,
1,o(\s,o(/s,pronoun,Joel,1,3,,,,,nominative,singular,masculine,
1,e)genh/qh,gi/nomai/gi/gn-,verb,Joel,1,4,2.0,,,,,,,
1,pro\s,pro/s,preposition,Joel,1,5,,,,indicative,,,,
1,*iwhl,*)iwh/l,noun,Joel,1,6,,,,indicative,,,masculine,
1,to\n,o(,article,Joel,1,7,,,,,accusative,singular,masculine,
1,tou=,o(,article,Joel,1,8,,,,,genitive,singular,neuter,
2,a)kou/sate,a)kou/w,verb,Joel,1,1,2.0,aorist,active,imperative,,plural,,
2,dh\,dh/,particle,Joel,1,2,,,,indicative,,,,
2,tau=ta,ou(=tos,determiner,Joel,1,3,,,,,nominative,plural,neuter,
2,oi(,o(,article,Joel,1,4,,,,,nominative,plural,masculine,
2,presbu/teroi,presbu/·teros,adjective,Joel,1,5,,,middle,,,,,comparative
2,kai\,kai/,conjunction,Joel,1,6,,,,indicative,,,,
2,e)nwti/sasqe,e)n·wti/zomai,verb,Joel,1,7,2.0,aorist,middle,indicative,,plural,,
2,pa/ntes,pa=[nt]s,quantifier,Joel,1,8,,,,,genitive,singular,,
2,oi(,o(,article,Joel,1,9,,,,,nominative,plural,masculine,
2,katoikou=ntes,kat·oike/w,verb,Joel,1,10,,present,active,participle,nominative,plural,masculine,
2,th\n,o(,article,Joel,1,11,,,,,accusative,singular,feminine,
2,gh=n,gh=,noun,Joel,1,12,,,,,vocative,singular,,
2,ei),ei),particle,Joel,1,13,,,,indicative,,,,
2,ge/gonen,gi/nomai/gi/gn-,verb,Joel,1,14,2.0,,,,,,,
2,toiau=ta,toi·ou=tos,determiner,Joel,1,15,,,,,nominative,plural,neuter,
2,e)n,e)n,preposition,Joel,1,16,,,,indicative,,,,
2,tai=s,o(,article,Joel,1,17,,,,,dative,plural,feminine,
2,h(me/rais,h(me/ra,noun,Joel,1,18,,,,,dative,plural,feminine,
2,u(mw=n,su/,pronoun,Joel,1,19,,,,,genitive,plural,,
2,h)\,h)/[1],particle,Joel,1,20,,,,indicative,,,,
2,e)n,e)n,preposition,Joel,1,21,,,,indicative,,,,
2,tai=s,o(,article,Joel,1,22,,,,,dative,plural,feminine,
2,h(me/rais,h(me/ra,noun,Joel,1,23,,,,,dative,plural,feminine,
2,tw=n,o(,article,Joel,1,24,,,,,genitive,plural,neuter,
2,pate/rwn,path/r,noun,Joel,1,25,,,,,vocative,plural,,
2,u(mw=n,su/,pronoun,Joel,1,26,,,,,genitive,plural,,
3,u(pe\r,u(pe/r,preposition,Joel,1,1,,,,indicative,,,,
3,au)tw=n,au)to/s,pronoun,Joel,1,2,,,,,genitive,plural,feminine,
3,toi=s,o(,article,Joel,1,3,,,,,dative,plural,neuter,
3,te/knois,te/knon,noun,Joel,1,4,,,,,vocative,singular,,
3,u(mw=n,su/,pronoun,Joel,1,5,,,,,genitive,plural,,
3,dihgh/sasqe,di·hge/omai,verb,Joel,1,6,2.0,aorist,middle,indicative,,plural,,
3,kai\,kai/,conjunction,Joel,1,7,,,,indicative,,,,
3,ta\,o(,article,Joel,1,8,,,,,nominative,plural,neuter,
3,te/kna,te/knon,noun,Joel,1,9,,,,,vocative,singular,,
3,u(mw=n,su/,pronoun,Joel,1,10,,,,,genitive,plural,,
3,toi=s,o(,article,Joel,1,11,,,,,dative,plural,neuter,
3,te/knois,te/knon,noun,Joel,1,12,,,,,vocative,singular,,
3,au)tw=n,au)to/s,pronoun,Joel,1,13,,,,,genitive,plural,feminine,
3,kai\,kai/,conjunction,Joel,1,14,,,,indicative,,,,
3,ta\,o(,article,Joel,1,15,,,,,nominative,plural,neuter,
3,te/kna,te/knon,noun,Joel,1,16,,,,,vocative,singular,,
3,au)tw=n,au)to/s,pronoun,Joel,1,17,,,,,genitive,plural,feminine,
3,ei)s,ei)s[1],preposition,Joel,1,18,,,,indicative,,,,
3,genea\n,genea/,noun,Joel,1,19,,,,,accusative,singular,feminine,
3,e(te/ran,e(/teros,determiner,Joel,1,20,,,,,,,,
4,ta\,o(,article,Joel,1,1,,,,,nominative,plural,neuter,
4,kata/loipa,kata/·loipos,adjective,Joel,1,2,,,,,nominative,plural,neuter,
4,th=s,o(,article,Joel,1,3,,,,,genitive,singular,feminine,
4,kate/fagen,kat·esqi/w,verb,Joel,1,4,2.0,,,,,,,
4,h(,o(,article,Joel,1,5,,,,,nominative,singular,feminine,
4,a)kri/s,a)kri/[d]s,noun,Joel,1,6,,,,,nominative,singular,feminine,
4,kai\,kai/,conjunction,Joel,1,7,,,,indicative,,,,
4,ta\,o(,article,Joel,1,8,,,,,nominative,plural,neuter,
4,kata/loipa,kata/·loipos,adjective,Joel,1,9,,,,,nominative,plural,neuter,
4,th=s,o(,article,Joel,1,10,,,,,genitive,singular,feminine,
4,a)kri/dos,a)kri/[d]s,noun,Joel,1,11,,,,,genitive,singular,feminine,
4,kate/fagen,kat·esqi/w,verb,Joel,1,12,2.0,,,,,,,
4,o(,o(,article,Joel,1,13,,,,,nominative,singular,masculine,
4,kai\,kai/,conjunction,Joel,1,14,,,,indicative,,,,
4,ta\,o(,article,Joel,1,15,,,,,nominative,plural,neuter,
4,kata/loipa,kata/·loipos,adjective,Joel,1,16,,,,,nominative,plural,neuter,
4,tou=,o(,article,Joel,1,17,,,,,genitive,singular,neuter,
4,kate/fagen,kat·esqi/w,verb,Joel,1,18,2.0,,,,,,,
4,h(,o(,article,Joel,1,19,,,,,nominative,singular,feminine,
5,e)knh/yate,e)k·nh/fw,verb,Joel,1,1,2.0,aorist,active,imperative,,plural,,
5,oi(,o(,article,Joel,1,2,,,,,nominative,plural,masculine,
5,mequ/ontes,mequ/w,verb,Joel,1,3,,present,active,participle,nominative,plural,masculine,
5,e)c,e)k,preposition,Joel,1,4,,,,indicative,,,,
5,oi)/nou,oi)=nos,noun,Joel,1,5,,,,,genitive,singular,masculine,
5,au)tw=n,au)to/s,pronoun,Joel,1,6,,,,,genitive,plural,feminine,
5,kai\,kai/,conjunction,Joel,1,7,,,,indicative,,,,
5,klau/sate,klai/w,verb,Joel,1,8,2.0,aorist,active,imperative,,plural,,
5,qrhnh/sate,qrhne/w,verb,Joel,1,9,2.0,aorist,active,imperative,,plural,,
5,pa/ntes,pa=[nt]s,quantifier,Joel,1,10,,,,,genitive,singular,,
5,oi(,o(,article,Joel,1,11,,,,,nominative,plural,masculine,
5,pi/nontes,pi/nw,verb,Joel,1,12,2.0,,,,,,,
5,oi)=non,oi)=nos,noun,Joel,1,13,,,,,accusative,singular,masculine,
5,ei)s,ei)s[1],preposition,Joel,1,14,,,,indicative,,,,
5,me/qhn,me/qh,noun,Joel,1,15,,,,,accusative,singular,feminine,
