verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Jonah,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Jonah,1,2,2.0,,,,,,,
1,lo/gos,lo/gos,noun,Jonah,1,3,,,,,nominative,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Jonah,1,4,,,,,vocative,plural,,
1,pro\s,pro/s,preposition,Jonah,1,5,,,,indicative,,,,
1,*iwnan,*)iwna=s,noun,Jonah,1,6,,,,,,,,
1,to\n,o(,article,Jonah,1,7,,,,,accusative,singular,masculine,
1,tou=,o(,article,Jonah,1,8,,,,,genitive,singular,neuter,
1,le/gwn,le/gw,verb,Jonah,1,9,2.0,,,,,,,
2,a)na/sthqi,a)n·i/sthmi,verb,Jonah,1,1,,,,,,,,
2,kai\,kai/,conjunction,Jonah,1,2,,,,indicative,,,,
2,poreu/qhti,poreu/w,verb,Jonah,1,3,2.0,aorist,passive,imperative,,singular,,
2,ei)s,ei)s[1],preposition,Jonah,1,4,,,,indicative,,,,
2,*nineuh,*nineui/+,noun,Jonah,1,5,,,,,,,,
2,th\n,o(,article,Jonah,1,6,,,,,accusative,singular,feminine,
2,po/lin,po/lis,noun,Jonah,1,7,,,,,accusative,singular,feminine,
2,th\n,o(,article,Jonah,1,8,,,,,accusative,singular,feminine,
2,mega/lhn,me/g[al]as,adjective,Jonah,1,9,,,,,accusative,singular,feminine,
2,kai\,kai/,conjunction,Jonah,1,10,,,,indicative,,,,
2,kh/rucon,khru/ssw,verb,Jonah,1,11,2.0,aorist,active,imperative,,singular,,
2,e)n,e)n,preposition,Jonah,1,12,,,,indicative,,,,
2,au)th=|,au)to/s,pronoun,Jonah,1,13,,,,,dative,singular,feminine,
2,o(/ti,o(/ti,conjunction,Jonah,1,14,,,,indicative,,,,
2,a)ne/bh,a)na·bai/nw,verb,Jonah,1,15,2.0,,,,,,,
2,h(,o(,article,Jonah,1,16,,,,,nominative,singular,feminine,
2,kraugh\,kraugh/,noun,Jonah,1,17,,,,,nominative,singular,feminine,
2,th=s,o(,article,Jonah,1,18,,,,,genitive,singular,feminine,
2,kaki/as,kaki/a,noun,Jonah,1,19,,,,,genitive,singular,feminine,
2,au)th=s,au)to/s,pronoun,Jonah,1,20,,,,,genitive,singular,feminine,
2,pro/s,pro/s,preposition,Jonah,1,21,,,,indicative,,,,
