verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Joshua,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Joshua,1,2,2.0,,,,,,,
1,meta\,meta/,preposition,Joshua,1,3,,,,indicative,,,,
1,th\n,o(,article,Joshua,1,4,,,,,accusative,singular,feminine,
1,teleuth\n,teleuth/,noun,Joshua,1,5,,,,,accusative,singular,feminine,
1,*mwush=,*mwu+sh=s,noun,Joshua,1,6,,,,,,,,
1,ei)=pen,le/gw,verb,Joshua,1,7,2.0,,,,,,,
1,ku/rios,ku/rios[2],noun,Joshua,1,8,,,,,vocative,plural,,
1,tw=|,o(,article,Joshua,1,9,,,,,dative,singular,neuter,
1,*)ihsoi=,*)ihsou=s,noun,Joshua,1,10,,,,,,,,
1,ui(w=|,ui(o/s,noun,Joshua,1,11,,,,,vocative,plural,,
1,tw=|,o(,article,Joshua,1,12,,,,,dative,singular,neuter,
1,*mwush=,*mwu+sh=s,noun,Joshua,1,13,,,,,,,,
1,le/gwn,le/gw,verb,Joshua,1,14,2.0,,,,,,,
2,*mwush=s,*mwu+sh=s,noun,Joshua,1,1,,,,,,,,
2,o(,o(,article,Joshua,1,2,,,,,nominative,singular,masculine,
2,qera/pwn,qera/pwn[t],noun,Joshua,1,3,,,,,dative,plural,,
2,mou,e)gw/,pronoun,Joshua,1,4,,,,,genitive,singular,,
2,teteleu/thken,teleuta/w,verb,Joshua,1,5,3.0,perfect,active,indicative,,singular,,
2,nu=n,nu=n,adverb,Joshua,1,6,,,,indicative,,,,
2,ou)=n,ou)=n,particle,Joshua,1,7,,,,indicative,,,,
2,a)nasta\s,a)n·i/sthmi,verb,Joshua,1,8,,,,,,,,
2,dia/bhqi,dia·bai/nw,verb,Joshua,1,9,2.0,,,,,,,
2,to\n,o(,article,Joshua,1,10,,,,,accusative,singular,masculine,
2,*iorda/nhn,*)iorda/nhs,noun,Joshua,1,11,,,,,accusative,singular,masculine,
2,su\,su/,pronoun,Joshua,1,12,,,,,nominative,singular,,
2,kai\,kai/,conjunction,Joshua,1,13,,,,indicative,,,,
2,pa=s,pa=[nt]s,quantifier,Joshua,1,14,,,,,genitive,singular,,
2,o(,o(,article,Joshua,1,15,,,,,nominative,singular,masculine,
2,lao\s,lao/s,noun,Joshua,1,16,,,,,nominative,singular,masculine,
2,ou(=tos,ou(=tos,determiner,Joshua,1,17,,,,,nominative,singular,masculine,
2,ei)s,ei)s[1],preposition,Joshua,1,18,,,,indicative,,,,
2,th\n,o(,article,Joshua,1,19,,,,,accusative,singular,feminine,
2,gh=n,gh=,noun,Joshua,1,20,,,,,vocative,singular,,
2,h(\n,o(/s,pronoun,Joshua,1,21,,,,,accusative,singular,feminine,
2,e)gw\,e)gw/,pronoun,Joshua,1,22,,,,,nominative,singular,,
2,di/dwmi,di/dwmi,verb,Joshua,1,23,,,,,,,,
2,au)toi=s,au)to/s,pronoun,Joshua,1,24,,,,,dative,plural,masculine,
3,pa=s,pa=[nt]s,quantifier,Joshua,1,1,,,,,genitive,singular,,
3,o(,o(,article,Joshua,1,2,,,,,nominative,singular,masculine,
3,to/pos,to/pos,noun,Joshua,1,3,,,,,nominative,singular,masculine,
3,e)f’,e)pi/,preposition,Joshua,1,4,,,,indicative,,,,
3,o(\n,o(/s,pronoun,Joshua,1,5,,,,,,,,
3,a)\n,a)/n,particle,Joshua,1,6,,,,indicative,,,,
3,e)pibh=te,e)pi·bai/nw,verb,Joshua,1,7,2.0,,,,,,,
3,tw=|,o(,article,Joshua,1,8,,,,,dative,singular,neuter,
3,i)/xnei,i)/xno·s,noun,Joshua,1,9,,,,,dative,singular,neuter,
3,tw=n,o(,article,Joshua,1,10,,,,,genitive,plural,neuter,
3,podw=n,pou/s,noun,Joshua,1,11,,,,,,,,
3,u(mw=n,su/,pronoun,Joshua,1,12,,,,,genitive,plural,,
3,u(mi=n,su/,pronoun,Joshua,1,13,,,,,dative,plural,,
3,dw/sw,di/dwmi,verb,Joshua,1,14,,,,,,,,
3,au)to/n,au)to/s,pronoun,Joshua,1,15,,,,,accusative,singular,masculine,
3,o(\n,o(/s,pronoun,Joshua,1,16,,,,,,,,
3,tro/pon,tro/pos,noun,Joshua,1,17,,,,,accusative,singular,masculine,
3,ei)/rhka,le/gw,verb,Joshua,1,18,2.0,,,,,,,
3,tw=|,o(,article,Joshua,1,19,,,,,dative,singular,neuter,
3,*mwush=|,*mwu+sh=s,noun,Joshua,1,20,,,,,,,,
4,th\n,o(,article,Joshua,1,1,,,,,accusative,singular,feminine,
4,e)/rhmon,e)/rhmos,adjective,Joshua,1,2,,,,,nominative,singular,neuter,
4,kai\,kai/,conjunction,Joshua,1,3,,,,indicative,,,,
4,to\n,o(,article,Joshua,1,4,,,,,accusative,singular,masculine,
4,e(/ws,e(/ws[1],conjunction;,Joshua,1,5,,,,,,,,
4,tou=,o(,article,Joshua,1,6,,,,,genitive,singular,neuter,
4,potamou=,potamo/s,noun,Joshua,1,7,,,,,genitive,singular,masculine,
4,tou=,o(,article,Joshua,1,8,,,,,genitive,singular,neuter,
4,mega/lou,me/g[al]as,adjective,Joshua,1,9,,,,,genitive,singular,neuter,
4,potamou=,potamo/s,noun,Joshua,1,10,,,,,genitive,singular,masculine,
4,*eu)fra/tou,*eu)fra/ths,noun,Joshua,1,11,,,,,genitive,singular,masculine,
4,kai\,kai/,conjunction,Joshua,1,12,,,,indicative,,,,
4,e(/ws,e(/ws[1],conjunction;,Joshua,1,13,,,,,,,,
4,th=s,o(,article,Joshua,1,14,,,,,genitive,singular,feminine,
4,qala/sshs,qa/lassa,noun,Joshua,1,15,,,,,genitive,singular,feminine,
4,th=s,o(,article,Joshua,1,16,,,,,genitive,singular,feminine,
4,e)sxa/ths,e)/sxatos,quantifier,Joshua,1,17,,,,,genitive,singular,feminine,
4,a)f’,a)po/,preposition,Joshua,1,18,,,,indicative,,,,
4,h(li/ou,*)hli/as,noun,Joshua,1,19,,,,,genitive,singular,masculine,
4,dusmw=n,dusmh/,noun,Joshua,1,20,,,,,genitive,plural,feminine,
4,e)/stai,ei)mi/[1],verb,Joshua,1,21,,,,,,,,
4,ta\,o(,article,Joshua,1,22,,,,,nominative,plural,neuter,
4,o(/ria,o(/rion,noun,Joshua,1,23,,,,,nominative,plural,neuter,
4,u(mw=n,su/,pronoun,Joshua,1,24,,,,,genitive,plural,,
5,ou)k,ou)[2]/ou)k/ou)x,particle,Joshua,1,1,,,,indicative,,,,
5,a)ntisth/setai,a)nq·i/sthmi,verb,Joshua,1,2,,,,,,,,
5,a)/nqrwpos,a)/nqrwpos,noun,Joshua,1,3,,,,,nominative,singular,masculine,
5,katenw/pion,kat·enw/pion,noun,Joshua,1,4,,,,,nominative,singular,neuter,
5,u(mw=n,su/,pronoun,Joshua,1,5,,,,,genitive,plural,,
5,pa/sas,pa=[nt]s,quantifier,Joshua,1,6,,,,,genitive,singular,,
5,ta\s,o(,article,Joshua,1,7,,,,,accusative,plural,feminine,
5,h(me/ras,h(me/ra,noun,Joshua,1,8,,,,,genitive,singular,feminine,
5,th=s,o(,article,Joshua,1,9,,,,,genitive,singular,feminine,
5,zwh=s,zwh/,noun,Joshua,1,10,,,,,,,,
5,sou,su/,pronoun,Joshua,1,11,,,,,genitive,singular,,
5,kai\,kai/,conjunction,Joshua,1,12,,,,indicative,,,,
5,w(/sper,w(/s·per,particle,Joshua,1,13,,,,indicative,,,,
5,h)/mhn,ei)mi/[1],verb,Joshua,1,14,,,,,,,,
5,meta\,meta/,preposition,Joshua,1,15,,,,indicative,,,,
