verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Judges A,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Judges A,1,2,2.0,,,,,,,
1,meta\,meta/,preposition,Judges A,1,3,,,,indicative,,,,
1,th\n,o(,article,Judges A,1,4,,,,,accusative,singular,feminine,
1,teleuth\n,teleuth/,noun,Judges A,1,5,,,,,accusative,singular,feminine,
1,*)ihsou=,*)ihsou=s,noun,Judges A,1,6,,,,,,,,
1,kai\,kai/,conjunction,Judges A,1,7,,,,indicative,,,,
1,e)phrw/twn,e)p·erwta/w,verb,Judges A,1,8,1.0,imperfect,middle,imperative,,singular,,
1,oi(,o(,article,Judges A,1,9,,,,,nominative,plural,masculine,
1,ui(oi\,ui(o/s,noun,Judges A,1,10,,,,,vocative,plural,,
1,*israhl,*)israh/l,noun,Judges A,1,11,,,,indicative,,,masculine,
1,e)n,e)n,preposition,Judges A,1,12,,,,indicative,,,,
1,kuri/w|,ku/rios[2],noun,Judges A,1,13,,,,,vocative,plural,,
1,le/gontes,le/gw,verb,Judges A,1,14,2.0,,,,,,,
1,ti/s,ti/[n]s[1],pronoun,Judges A,1,15,,,,,genitive,,,
1,a)nabh/setai,a)na·bai/nw,verb,Judges A,1,16,2.0,,,,,,,
1,h(mi=n,e)gw/,pronoun,Judges A,1,17,,,,,dative,plural,,
1,pro\s,pro/s,preposition,Judges A,1,18,,,,indicative,,,,
1,to\n,o(,article,Judges A,1,19,,,,,accusative,singular,masculine,
1,*xananai=on,*xananai=os,adjective,Judges A,1,20,,,,,nominative,singular,neuter,
1,tou=,o(,article,Judges A,1,21,,,,,genitive,singular,neuter,
1,polemh=sai,poleme/w,verb,Judges A,1,22,,aorist,active,infinitive,,,,
1,e)n,e)n,preposition,Judges A,1,23,,,,indicative,,,,
1,au)tw=|,au)to/s,pronoun,Judges A,1,24,,,,,dative,singular,masculine,
2,kai\,kai/,conjunction,Judges A,1,1,,,,indicative,,,,
2,ei)=pen,le/gw,verb,Judges A,1,2,2.0,,,,,,,
