verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Judges B,1,2,2.0,,,,,,,
1,meta\,meta/,preposition,Judges B,1,3,,,,indicative,,,,
1,th\n,o(,article,Judges B,1,4,,,,,accusative,singular,feminine,
1,teleuth\n,teleuth/,noun,Judges B,1,5,,,,,accusative,singular,feminine,
1,*)ihsou=,*)ihsou=s,noun,Judges B,1,6,,,,,,,,
1,kai\,kai/,conjunction,Judges B,1,7,,,,indicative,,,,
1,e)phrw/twn,e)p·erwta/w,verb,Judges B,1,8,1.0,imperfect,middle,imperative,,singular,,
1,oi(,o(,article,Judges B,1,9,,,,,nominative,plural,masculine,
1,ui(oi\,ui(o/s,noun,Judges B,1,10,,,,,vocative,plural,,
1,*israhl,*)israh/l,noun,Judges B,1,11,,,,indicative,,,masculine,
1,dia\,dia/,preposition,Judges B,1,12,,,,indicative,,,,
1,tou=,o(,article,Judges B,1,13,,,,,genitive,singular,neuter,
1,kuri/ou,ku/rios[2],noun,Judges B,1,14,,,,,vocative,plural,,
1,le/gontes,le/gw,verb,Judges B,1,15,2.0,,,,,,,
1,ti/s,ti/[n]s[1],pronoun,Judges B,1,16,,,,,genitive,,,
1,a)nabh/setai,a)na·bai/nw,verb,Judges B,1,17,2.0,,,,,,,
1,h(mi=n,e)gw/,pronoun,Judges B,1,18,,,,,dative,plural,,
1,pro\s,pro/s,preposition,Judges B,1,19,,,,indicative,,,,
1,tou\s,o(,article,Judges B,1,20,,,,,accusative,plural,masculine,
1,*xananai/ous,*xananai=os,adjective,Judges B,1,21,,,,,accusative,plural,masculine,
1,tou=,o(,article,Judges B,1,22,,,,,genitive,singular,neuter,
1,polemh=sai,poleme/w,verb,Judges B,1,23,,aorist,active,infinitive,,,,
1,pro\s,pro/s,preposition,Judges B,1,24,,,,indicative,,,,
1,au)tou/s,au)to/s,pronoun,Judges B,1,25,,,,,accusative,plural,masculine,
2,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
2,ei)=pen,le/gw,verb,Judges B,1,2,2.0,,,,,,,
2,ku/rios,ku/rios[2],noun,Judges B,1,3,,,,,vocative,plural,,
2,*ioudas,*)iou/das,noun,Judges B,1,4,,,,,,,,
2,a)nabh/setai,a)na·bai/nw,verb,Judges B,1,5,2.0,,,,,,,
2,i)dou\,o(ra/w,verb,Judges B,1,6,,,,,,,,
2,de/dwka,di/dwmi,verb,Judges B,1,7,,,,,,,,
2,th\n,o(,article,Judges B,1,8,,,,,accusative,singular,feminine,
2,gh=n,gh=,noun,Judges B,1,9,,,,,vocative,singular,,
2,e)n,e)n,preposition,Judges B,1,10,,,,indicative,,,,
2,th=|,o(,article,Judges B,1,11,,,,,dative,singular,feminine,
2,xeiri\,xei/r,noun,Judges B,1,12,,,,,dative,plural,,
2,au)tou=,au)to/s,pronoun,Judges B,1,13,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
3,ei)=pen,le/gw,verb,Judges B,1,2,2.0,,,,,,,
3,*ioudas,*)iou/das,noun,Judges B,1,3,,,,,,,,
3,tw=|,o(,article,Judges B,1,4,,,,,dative,singular,neuter,
3,*sumewn,*sumew/n,noun,Judges B,1,5,,,,indicative,,,masculine,
3,a)delfw=|,a)delfo/s,noun,Judges B,1,6,,,,,vocative,plural,,
3,au)tou=,au)to/s,pronoun,Judges B,1,7,,,,,genitive,singular,masculine,
3,a)na/bhqi,a)na·bai/nw,verb,Judges B,1,8,2.0,,,,,,,
3,met’,meta/,preposition,Judges B,1,9,,,,indicative,,,,
3,e)mou=,e)gw/,pronoun,Judges B,1,10,,,,,genitive,singular,,
3,e)n,e)n,preposition,Judges B,1,11,,,,indicative,,,,
3,tw=|,o(,article,Judges B,1,12,,,,,dative,singular,neuter,
3,klh/rw|,klh=ros,noun,Judges B,1,13,,,,,dative,singular,masculine,
3,mou,e)gw/,pronoun,Judges B,1,14,,,,,genitive,singular,,
3,kai\,kai/,conjunction,Judges B,1,15,,,,indicative,,,,
3,paratacw/meqa,para·ta/ssw,verb,Judges B,1,16,,,,,,,,
3,pro\s,pro/s,preposition,Judges B,1,17,,,,indicative,,,,
3,tou\s,o(,article,Judges B,1,18,,,,,accusative,plural,masculine,
3,*xananai/ous,*xananai=os,adjective,Judges B,1,19,,,,,accusative,plural,masculine,
3,kai\,kai/,conjunction,Judges B,1,20,,,,indicative,,,,
3,poreu/somai,poreu/w,verb,Judges B,1,21,1.0,future,middle,indicative,,singular,,
3,ka)gw\,ka)gw/,crasis,Judges B,1,22,,,,,nominative,singular,,
3,meta\,meta/,preposition,Judges B,1,23,,,,indicative,,,,
3,sou=,su/,pronoun,Judges B,1,24,,,,,genitive,singular,,
3,e)n,e)n,preposition,Judges B,1,25,,,,indicative,,,,
3,tw=|,o(,article,Judges B,1,26,,,,,dative,singular,neuter,
3,klh/rw|,klh=ros,noun,Judges B,1,27,,,,,dative,singular,masculine,
3,sou,su/,pronoun,Judges B,1,28,,,,,genitive,singular,,
3,kai\,kai/,conjunction,Judges B,1,29,,,,indicative,,,,
3,e)poreu/qh,poreu/w,verb,Judges B,1,30,3.0,aorist,passive,indicative,,singular,,
3,met’,meta/,preposition,Judges B,1,31,,,,indicative,,,,
3,au)tou=,au)to/s,pronoun,Judges B,1,32,,,,,genitive,singular,masculine,
3,*sumewn,*sumew/n,noun,Judges B,1,33,,,,indicative,,,masculine,
4,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
4,a)ne/bh,a)na·bai/nw,verb,Judges B,1,2,2.0,,,,,,,
4,*ioudas,*)iou/das,noun,Judges B,1,3,,,,,,,,
4,kai\,kai/,conjunction,Judges B,1,4,,,,indicative,,,,
4,pare/dwken,para·di/dwmi,verb,Judges B,1,5,,,,,,,,
4,ku/rios,ku/rios[2],noun,Judges B,1,6,,,,,vocative,plural,,
4,to\n,o(,article,Judges B,1,7,,,,,accusative,singular,masculine,
4,*xananai=on,*xananai=os,adjective,Judges B,1,8,,,,,nominative,singular,neuter,
4,kai\,kai/,conjunction,Judges B,1,9,,,,indicative,,,,
4,to\n,o(,article,Judges B,1,10,,,,,accusative,singular,masculine,
4,ei)s,ei)s[1],preposition,Judges B,1,11,,,,indicative,,,,
4,ta\s,o(,article,Judges B,1,12,,,,,accusative,plural,feminine,
4,xei=ras,xei/r,noun,Judges B,1,13,,,,,dative,plural,,
4,au)tw=n,au)to/s,pronoun,Judges B,1,14,,,,,genitive,plural,feminine,
4,kai\,kai/,conjunction,Judges B,1,15,,,,indicative,,,,
4,e)/koyan,ko/ptw,verb,Judges B,1,16,3.0,aorist,active,indicative,,plural,,
4,au)tou\s,au)to/s,pronoun,Judges B,1,17,,,,,accusative,plural,masculine,
4,e)n,e)n,preposition,Judges B,1,18,,,,indicative,,,,
4,ei)s,ei)s[1],preposition,Judges B,1,19,,,,indicative,,,,
4,de/ka,de/ka,quantifier,Judges B,1,20,,,,indicative,,,,
4,xilia/das,xilia/[d]s,noun,Judges B,1,21,,,,,accusative,plural,feminine,
4,a)ndrw=n,a)nh/r,noun,Judges B,1,22,,,,,vocative,singular,,
5,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
5,kate/labon,kata·lamba/nw,verb,Judges B,1,2,2.0,,,,,,,
5,to\n,o(,article,Judges B,1,3,,,,,accusative,singular,masculine,
5,e)n,e)n,preposition,Judges B,1,4,,,,indicative,,,,
5,th=|,o(,article,Judges B,1,5,,,,,dative,singular,feminine,
5,kai\,kai/,conjunction,Judges B,1,6,,,,indicative,,,,
5,pareta/canto,para·ta/ssw,verb,Judges B,1,7,,,,,,,,
5,pro\s,pro/s,preposition,Judges B,1,8,,,,indicative,,,,
5,au)to\n,au)to/s,pronoun,Judges B,1,9,,,,,accusative,singular,masculine,
5,kai\,kai/,conjunction,Judges B,1,10,,,,indicative,,,,
5,e)/koyan,ko/ptw,verb,Judges B,1,11,3.0,aorist,active,indicative,,plural,,
5,to\n,o(,article,Judges B,1,12,,,,,accusative,singular,masculine,
5,*xananai=on,*xananai=os,adjective,Judges B,1,13,,,,,nominative,singular,neuter,
5,kai\,kai/,conjunction,Judges B,1,14,,,,indicative,,,,
5,to\n,o(,article,Judges B,1,15,,,,,accusative,singular,masculine,
6,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
6,e)/fugen,feu/gw,verb,Judges B,1,2,2.0,,,,,,,
6,kai\,kai/,conjunction,Judges B,1,3,,,,indicative,,,,
6,kate/dramon,kata·tre/xw,verb,Judges B,1,4,2.0,,,,,,,
6,o)pi/sw,o)pi/sw,adverb,Judges B,1,5,,,,indicative,,,,
6,au)tou=,au)to/s,pronoun,Judges B,1,6,,,,,genitive,singular,masculine,
6,kai\,kai/,conjunction,Judges B,1,7,,,,indicative,,,,
6,katela/bosan,kata·lamba/nw,verb,Judges B,1,8,2.0,,,,,,,
6,au)to\n,au)to/s,pronoun,Judges B,1,9,,,,,accusative,singular,masculine,
6,kai\,kai/,conjunction,Judges B,1,10,,,,indicative,,,,
6,a)pe/koyan,a)po·ko/ptw,verb,Judges B,1,11,3.0,aorist,active,indicative,,plural,,
6,ta\,o(,article,Judges B,1,12,,,,,nominative,plural,neuter,
6,a)/kra,a)/kron,noun,Judges B,1,13,,,,,nominative,plural,neuter,
6,tw=n,o(,article,Judges B,1,14,,,,,genitive,plural,neuter,
6,xeirw=n,xei/r,noun,Judges B,1,15,,,,,dative,plural,,
6,au)tou=,au)to/s,pronoun,Judges B,1,16,,,,,genitive,singular,masculine,
6,kai\,kai/,conjunction,Judges B,1,17,,,,indicative,,,,
6,ta\,o(,article,Judges B,1,18,,,,,nominative,plural,neuter,
6,a)/kra,a)/kron,noun,Judges B,1,19,,,,,nominative,plural,neuter,
6,tw=n,o(,article,Judges B,1,20,,,,,genitive,plural,neuter,
6,podw=n,pou/s,noun,Judges B,1,21,,,,,,,,
6,au)tou=,au)to/s,pronoun,Judges B,1,22,,,,,genitive,singular,masculine,
7,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
7,ei)=pen,le/gw,verb,Judges B,1,2,2.0,,,,,,,
7,e(bdomh/konta,e(bdomh/·konta,quantifier,Judges B,1,3,,,,indicative,,,,
7,basilei=s,basileu/s,noun,Judges B,1,4,,,,,nominative,plural,masculine,
7,ta\,o(,article,Judges B,1,5,,,,,nominative,plural,neuter,
7,a)/kra,a)/kron,noun,Judges B,1,6,,,,,nominative,plural,neuter,
7,tw=n,o(,article,Judges B,1,7,,,,,genitive,plural,neuter,
7,xeirw=n,xei/r,noun,Judges B,1,8,,,,,dative,plural,,
7,au)tw=n,au)to/s,pronoun,Judges B,1,9,,,,,genitive,plural,feminine,
7,kai\,kai/,conjunction,Judges B,1,10,,,,indicative,,,,
7,ta\,o(,article,Judges B,1,11,,,,,nominative,plural,neuter,
7,a)/kra,a)/kron,noun,Judges B,1,12,,,,,nominative,plural,neuter,
7,tw=n,o(,article,Judges B,1,13,,,,,genitive,plural,neuter,
7,podw=n,pou/s,noun,Judges B,1,14,,,,,,,,
7,au)tw=n,au)to/s,pronoun,Judges B,1,15,,,,,genitive,plural,feminine,
7,a)pokekomme/noi,a)po·ko/ptw,verb,Judges B,1,16,,perfect,middle,participle,nominative,plural,masculine,
7,h)=san,ei)mi/[1],verb,Judges B,1,17,,,,,,,,
7,sulle/gontes,sul·le/gw,verb,Judges B,1,18,,present,active,participle,nominative,plural,masculine,
7,ta\,o(,article,Judges B,1,19,,,,,nominative,plural,neuter,
7,u(poka/tw,u(po·ka/tw,adverb,Judges B,1,20,,,,indicative,,,,
7,th=s,o(,article,Judges B,1,21,,,,,genitive,singular,feminine,
7,trape/zhs,tra/peza,noun,Judges B,1,22,,,,,genitive,singular,feminine,
7,mou,e)gw/,pronoun,Judges B,1,23,,,,,genitive,singular,,
7,kaqw\s,kaq·w/s,adverb,Judges B,1,24,,,,indicative,,,,
7,ou)=n,ou)=n,particle,Judges B,1,25,,,,indicative,,,,
7,e)poi/hsa,poie/w,verb,Judges B,1,26,1.0,aorist,active,indicative,,singular,,
7,ou(/tws,ou(/tws/ou(/tw,adverb,Judges B,1,27,,,,indicative,,,,
7,a)ntape/dwke/n,a)nt·apo·di/dwmi,verb,Judges B,1,28,,,,,,,,
7,moi,e)gw/,pronoun,Judges B,1,29,,,,,dative,singular,,
7,o(,o(,article,Judges B,1,30,,,,,nominative,singular,masculine,
7,qeo/s,qeo/s,noun,Judges B,1,31,,,,,nominative,singular,masculine,
7,kai\,kai/,conjunction,Judges B,1,32,,,,indicative,,,,
7,a)/gousin,a)/gw,verb,Judges B,1,33,2.0,,,,,,,
7,au)to\n,au)to/s,pronoun,Judges B,1,34,,,,,accusative,singular,masculine,
7,ei)s,ei)s[1],preposition,Judges B,1,35,,,,indicative,,,,
7,*ierousalhm,*(ieroso/luma,noun,Judges B,1,36,,,,,,,,
7,kai\,kai/,conjunction,Judges B,1,37,,,,indicative,,,,
7,a)pe/qanen,a)po·qnh/|skw,verb,Judges B,1,38,2.0,,,,,,,
7,e)kei=,e)kei=,adverb,Judges B,1,39,,,,indicative,,,,
8,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
8,e)pole/moun,poleme/w,verb,Judges B,1,2,1.0,imperfect,middle,imperative,,singular,,
8,oi(,o(,article,Judges B,1,3,,,,,nominative,plural,masculine,
8,ui(oi\,ui(o/s,noun,Judges B,1,4,,,,,vocative,plural,,
8,*iouda,*)iou/das,noun,Judges B,1,5,,,,,,,,
8,th\n,o(,article,Judges B,1,6,,,,,accusative,singular,feminine,
8,*ierousalhm,*(ieroso/luma,noun,Judges B,1,7,,,,,,,,
8,kai\,kai/,conjunction,Judges B,1,8,,,,indicative,,,,
8,katela/bonto,kata·lamba/nw,verb,Judges B,1,9,2.0,,,,,,,
8,au)th\n,au)to/s,pronoun,Judges B,1,10,,,,,accusative,singular,feminine,
8,kai\,kai/,conjunction,Judges B,1,11,,,,indicative,,,,
8,e)pa/tacan,pata/ssw,verb,Judges B,1,12,3.0,aorist,active,indicative,,plural,,
8,au)th\n,au)to/s,pronoun,Judges B,1,13,,,,,accusative,singular,feminine,
8,e)n,e)n,preposition,Judges B,1,14,,,,indicative,,,,
8,sto/mati,sto/ma[t],noun,Judges B,1,15,,,,,dative,singular,neuter,
8,r(omfai/as,r(omfai/a,noun,Judges B,1,16,,,,,,,,
8,kai\,kai/,conjunction,Judges B,1,17,,,,indicative,,,,
8,th\n,o(,article,Judges B,1,18,,,,,accusative,singular,feminine,
8,po/lin,po/lis,noun,Judges B,1,19,,,,,accusative,singular,feminine,
8,e)ne/prhsan,e)m·pi/mprhmi,verb,Judges B,1,20,,,,,,,,
8,e)n,e)n,preposition,Judges B,1,21,,,,indicative,,,,
8,puri/,pu=r,noun,Judges B,1,22,,,,,dative,singular,neuter,
9,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
9,meta\,meta/,preposition,Judges B,1,2,,,,indicative,,,,
9,tau=ta,ou(=tos,determiner,Judges B,1,3,,,,,nominative,plural,neuter,
9,kate/bhsan,kata·bai/nw,verb,Judges B,1,4,2.0,,,,,,,
9,oi(,o(,article,Judges B,1,5,,,,,nominative,plural,masculine,
9,ui(oi\,ui(o/s,noun,Judges B,1,6,,,,,vocative,plural,,
9,*iouda,*)iou/das,noun,Judges B,1,7,,,,,,,,
9,tou=,o(,article,Judges B,1,8,,,,,genitive,singular,neuter,
9,polemh=sai,poleme/w,verb,Judges B,1,9,,aorist,active,infinitive,,,,
9,pro\s,pro/s,preposition,Judges B,1,10,,,,indicative,,,,
9,to\n,o(,article,Judges B,1,11,,,,,accusative,singular,masculine,
9,*xananai=on,*xananai=os,adjective,Judges B,1,12,,,,,nominative,singular,neuter,
9,to\n,o(,article,Judges B,1,13,,,,,accusative,singular,masculine,
9,katoikou=nta,kat·oike/w,verb,Judges B,1,14,,present,active,participle,accusative,singular,masculine,
9,th\n,o(,article,Judges B,1,15,,,,,accusative,singular,feminine,
9,o)reinh\n,o)reino/s,adjective,Judges B,1,16,,,,,accusative,singular,feminine,
9,kai\,kai/,conjunction,Judges B,1,17,,,,indicative,,,,
9,to\n,o(,article,Judges B,1,18,,,,,accusative,singular,masculine,
9,no/ton,no/tos,noun,Judges B,1,19,,,,,accusative,singular,masculine,
9,kai\,kai/,conjunction,Judges B,1,20,,,,indicative,,,,
9,th\n,o(,article,Judges B,1,21,,,,,accusative,singular,feminine,
9,pedinh/n,pedino/s,adjective,Judges B,1,22,,,,,accusative,singular,feminine,
10,kai\,kai/,conjunction,Judges B,1,1,,,,indicative,,,,
10,e)poreu/qh,poreu/w,verb,Judges B,1,2,3.0,aorist,passive,indicative,,singular,,
