verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,e)/tous,e)/to·s,noun,Judith,1,1,,,,,genitive,singular,neuter,
1,dwdeka/tou,dw·de/katos,quantifier,Judith,1,2,,,,,genitive,singular,neuter,
1,th=s,o(,article,Judith,1,3,,,,,genitive,singular,feminine,
1,basilei/as,basilei/a,noun,Judith,1,4,,,,,genitive,singular,feminine,
1,o(\s,o(/s,pronoun,Judith,1,5,,,,,nominative,singular,masculine,
1,e)basi/leusen,basileu/w,verb,Judith,1,6,3.0,aorist,active,indicative,,singular,,
1,e)n,e)n,preposition,Judith,1,7,,,,indicative,,,,
1,*nineuh,*nineui/+,noun,Judith,1,8,,,,,,,,
1,th=|,o(,article,Judith,1,9,,,,,dative,singular,feminine,
1,po/lei,po/lis,noun,Judith,1,10,,,,,dative,singular,feminine,
1,th=|,o(,article,Judith,1,11,,,,,dative,singular,feminine,
1,mega/lh|,me/g[al]as,adjective,Judith,1,12,,,,,dative,singular,feminine,
1,e)n,e)n,preposition,Judith,1,13,,,,indicative,,,,
1,tai=s,o(,article,Judith,1,14,,,,,dative,plural,feminine,
1,h(me/rais,h(me/ra,noun,Judith,1,15,,,,,dative,plural,feminine,
1,*arfacad,*)arfaca/d,noun,Judith,1,16,,,,indicative,,,masculine,
1,o(\s,o(/s,pronoun,Judith,1,17,,,,,nominative,singular,masculine,
1,e)basi/leusen,basileu/w,verb,Judith,1,18,3.0,aorist,active,indicative,,singular,,
1,*mh/dwn,*mh=dos,noun,Judith,1,19,,,,,genitive,plural,masculine,
1,e)n,e)n,preposition,Judith,1,20,,,,indicative,,,,
2,kai\,kai/,conjunction,Judith,1,1,,,,indicative,,,,
2,w)|kodo/mhsen,oi)ko·dome/w,verb,Judith,1,2,3.0,aorist,active,indicative,,singular,,
2,e)p’,e)pi/,preposition,Judith,1,3,,,,indicative,,,,
2,ku/klw|,ku/klw|,adverb,Judith,1,4,,,,indicative,,,,
2,tei/xh,tei=xo·s,noun,Judith,1,5,,,,,genitive,plural,,
2,e)k,e)k,preposition,Judith,1,6,,,,indicative,,,,
2,li/qwn,li/qos,noun,Judith,1,7,,,,,genitive,plural,masculine,
2,ei)s,ei)s[1],preposition,Judith,1,8,,,,indicative,,,,
2,pla/tos,pla/to·s,noun,Judith,1,9,,,,,nominative,singular,neuter,
2,phxw=n,ph=xus,noun,Judith,1,10,,,,,,,,
2,triw=n,trei=s,quantifier,Judith,1,11,,,,,genitive,plural,,
2,kai\,kai/,conjunction,Judith,1,12,,,,indicative,,,,
2,ei)s,ei)s[1],preposition,Judith,1,13,,,,indicative,,,,
2,mh=kos,mh=ko·s,noun,Judith,1,14,,,,,nominative,singular,neuter,
2,phxw=n,ph=xus,noun,Judith,1,15,,,,,,,,
2,e(\c,e(/c,quantifier,Judith,1,16,,,,indicative,,,,
2,kai\,kai/,conjunction,Judith,1,17,,,,indicative,,,,
2,e)poi/hsen,poie/w,verb,Judith,1,18,3.0,aorist,active,indicative,,singular,,
2,to\,o(,article,Judith,1,19,,,,,nominative,singular,neuter,
2,u(/yos,u(/yo·s,noun,Judith,1,20,,,,,genitive,plural,,
2,tou=,o(,article,Judith,1,21,,,,,genitive,singular,neuter,
2,tei/xous,tei=xo·s,noun,Judith,1,22,,,,,genitive,plural,,
2,phxw=n,ph=xus,noun,Judith,1,23,,,,,,,,
2,e(bdomh/konta,e(bdomh/·konta,quantifier,Judith,1,24,,,,indicative,,,,
2,kai\,kai/,conjunction,Judith,1,25,,,,indicative,,,,
2,to\,o(,article,Judith,1,26,,,,,nominative,singular,neuter,
2,pla/tos,pla/to·s,noun,Judith,1,27,,,,,nominative,singular,neuter,
2,au)tou=,au)to/s,pronoun,Judith,1,28,,,,,genitive,singular,masculine,
2,phxw=n,ph=xus,noun,Judith,1,29,,,,,,,,
2,penth/konta,penth/·konta,quantifier,Judith,1,30,,,,indicative,,,,
3,kai\,kai/,conjunction,Judith,1,1,,,,indicative,,,,
3,tou\s,o(,article,Judith,1,2,,,,,accusative,plural,masculine,
3,pu/rgous,pu/rgos,noun,Judith,1,3,,,,,accusative,plural,masculine,
3,au)tou=,au)to/s,pronoun,Judith,1,4,,,,,genitive,singular,masculine,
3,e)/sthsen,i(/sthmi,verb,Judith,1,5,,,,,,,,
3,e)pi\,e)pi/,preposition,Judith,1,6,,,,indicative,,,,
3,tai=s,o(,article,Judith,1,7,,,,,dative,plural,feminine,
3,pu/lais,pu/lh,noun,Judith,1,8,,,,,dative,plural,feminine,
3,au)th=s,au)to/s,pronoun,Judith,1,9,,,,,genitive,singular,feminine,
3,phxw=n,ph=xus,noun,Judith,1,10,,,,,,,,
3,e(kato\n,e(kato/n,quantifier,Judith,1,11,,,,indicative,,,,
