verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
0,kai\,kai/,conjunction,Lamentations,1,1,,,,indicative,,,,
0,e)ge/neto,gi/nomai/gi/gn-,verb,Lamentations,1,2,2.0,,,,,,,
0,meta\,meta/,preposition,Lamentations,1,3,,,,indicative,,,,
0,to\,o(,article,Lamentations,1,4,,,,,nominative,singular,neuter,
0,ai)xmalwtisqh=nai,ai)xm·alwti/zw,verb,Lamentations,1,5,,aorist,passive,infinitive,,,,
0,to\n,o(,article,Lamentations,1,6,,,,,accusative,singular,masculine,
0,*israhl,*)israh/l,noun,Lamentations,1,7,,,,indicative,,,masculine,
0,kai\,kai/,conjunction,Lamentations,1,8,,,,indicative,,,,
0,*ierousalhm,*(ieroso/luma,noun,Lamentations,1,9,,,,,,,,
0,e)rhmwqh=nai,e)rhmo/w,verb,Lamentations,1,10,,aorist,passive,infinitive,,,,
0,e)ka/qisen,kaqi/zw,verb,Lamentations,1,11,3.0,aorist,active,indicative,,singular,,
0,*ieremias,*)ieremi/as,noun,Lamentations,1,12,,,,,nominative,singular,masculine,
0,klai/wn,klai/w,verb,Lamentations,1,13,,present,active,participle,nominative,singular,masculine,
0,kai\,kai/,conjunction,Lamentations,1,14,,,,indicative,,,,
0,e)qrh/nhsen,qrhne/w,verb,Lamentations,1,15,3.0,aorist,active,indicative,,singular,,
0,to\n,o(,article,Lamentations,1,16,,,,,accusative,singular,masculine,
0,qrh=non,qrh=nos,noun,Lamentations,1,17,,,,,accusative,singular,masculine,
0,tou=ton,ou(=tos,determiner,Lamentations,1,18,,,,,accusative,singular,masculine,
0,e)pi\,e)pi/,preposition,Lamentations,1,19,,,,indicative,,,,
0,*ierousalhm,*(ieroso/luma,noun,Lamentations,1,20,,,,,,,,
0,kai\,kai/,conjunction,Lamentations,1,21,,,,indicative,,,,
0,ei)=pen,le/gw,verb,Lamentations,1,22,2.0,,,,,,,
1,pw=s,pw=s[1],particle,Lamentations,1,1,,,,indicative,,,,
1,e)ka/qisen,kaqi/zw,verb,Lamentations,1,2,3.0,aorist,active,indicative,,singular,,
1,mo/nh,monh/,noun,Lamentations,1,3,,,,,nominative,singular,feminine,
1,h(,o(,article,Lamentations,1,4,,,,,nominative,singular,feminine,
1,po/lis,po/lis,noun,Lamentations,1,5,,,,,nominative,singular,feminine,
1,h(,o(,article,Lamentations,1,6,,,,,nominative,singular,feminine,
1,peplhqumme/nh,plhqu/nw,verb,Lamentations,1,7,,perfect,middle,participle,nominative,singular,feminine,
1,law=n,lao/s,noun,Lamentations,1,8,,,,,genitive,plural,masculine,
1,e)genh/qh,gi/nomai/gi/gn-,verb,Lamentations,1,9,2.0,,,,,,,
1,w(s,w(s,adverb,Lamentations,1,10,,,,indicative,,,,
1,xh/ra,xh/ra,noun,Lamentations,1,11,,,,,nominative,singular,feminine,
1,peplhqumme/nh,plhqu/nw,verb,Lamentations,1,12,,perfect,middle,participle,nominative,singular,feminine,
1,e)n,e)n,preposition,Lamentations,1,13,,,,indicative,,,,
1,e)/qnesin,e)/qno·s,noun,Lamentations,1,14,,,,,vocative,plural,,
1,a)/rxousa,a)/rxw,verb,Lamentations,1,15,,present,active,participle,nominative,singular,feminine,
1,e)n,e)n,preposition,Lamentations,1,16,,,,indicative,,,,
1,xw/rais,xw/ra,noun,Lamentations,1,17,,,,,dative,plural,feminine,
1,e)genh/qh,gi/nomai/gi/gn-,verb,Lamentations,1,18,2.0,,,,,,,
1,ei)s,ei)s[1],preposition,Lamentations,1,19,,,,indicative,,,,
1,fo/ron,fo/ros,noun,Lamentations,1,20,,,,,accusative,singular,masculine,
2,klai/ousa,klai/w,verb,Lamentations,1,1,,present,active,participle,nominative,singular,feminine,
2,e)/klausen,klai/w,verb,Lamentations,1,2,3.0,aorist,active,indicative,,singular,,
2,e)n,e)n,preposition,Lamentations,1,3,,,,indicative,,,,
2,nukti/,nu/c,noun,Lamentations,1,4,,,,,dative,singular,feminine,
2,kai\,kai/,conjunction,Lamentations,1,5,,,,indicative,,,,
2,ta\,o(,article,Lamentations,1,6,,,,,nominative,plural,neuter,
2,da/krua,da/kruon,noun,Lamentations,1,7,,,,,dative,plural,,
2,au)th=s,au)to/s,pronoun,Lamentations,1,8,,,,,genitive,singular,feminine,
2,e)pi\,e)pi/,preposition,Lamentations,1,9,,,,indicative,,,,
2,tw=n,o(,article,Lamentations,1,10,,,,,genitive,plural,neuter,
2,siago/nwn,siagw/n,noun,Lamentations,1,11,,,,,genitive,plural,feminine,
2,au)th=s,au)to/s,pronoun,Lamentations,1,12,,,,,genitive,singular,feminine,
2,kai\,kai/,conjunction,Lamentations,1,13,,,,indicative,,,,
2,ou)x,ou)[2]/ou)k/ou)x,particle,Lamentations,1,14,,,,indicative,,,,
2,u(pa/rxei,u(p·a/rxw,verb,Lamentations,1,15,3.0,present,active,indicative,,singular,,
2,o(,o(,article,Lamentations,1,16,,,,,nominative,singular,masculine,
2,parakalw=n,para·kale/w,verb,Lamentations,1,17,,present,active,participle,nominative,singular,masculine,
2,au)th\n,au)to/s,pronoun,Lamentations,1,18,,,,,accusative,singular,feminine,
2,a)po\,a)po/,preposition,Lamentations,1,19,,,,indicative,,,,
2,pa/ntwn,pa=[nt]s,quantifier,Lamentations,1,20,,,,,genitive,singular,,
2,tw=n,o(,article,Lamentations,1,21,,,,,genitive,plural,neuter,
2,a)gapw/ntwn,a)gapa/w,verb,Lamentations,1,22,3.0,present,active,imperative,,plural,,
2,au)th/n,au)to/s,pronoun,Lamentations,1,23,,,,,accusative,singular,feminine,
2,pa/ntes,pa=[nt]s,quantifier,Lamentations,1,24,,,,,genitive,singular,,
2,oi(,o(,article,Lamentations,1,25,,,,,nominative,plural,masculine,
2,filou=ntes,file/w,verb,Lamentations,1,26,,present,active,participle,nominative,plural,masculine,
2,au)th\n,au)to/s,pronoun,Lamentations,1,27,,,,,accusative,singular,feminine,
2,h)qe/thsan,a)·qete/w,verb,Lamentations,1,28,3.0,aorist,active,indicative,,plural,,
