verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,dia\,dia/,preposition,Letter of Jeremiah,1,1,,,,indicative,,,,
1,ta\s,o(,article,Letter of Jeremiah,1,2,,,,,accusative,plural,feminine,
1,a(marti/as,a(·marti/a,noun,Letter of Jeremiah,1,3,,,,,genitive,singular,feminine,
1,a(\s,o(/s,pronoun,Letter of Jeremiah,1,4,,,,,accusative,plural,feminine,
1,h(marth/kate,a(·marta/nw,verb,Letter of Jeremiah,1,5,2.0,,,,,,,
1,e)nanti/on,e)n·anti/on,preposition;,Letter of Jeremiah,1,6,,,,indicative,,,,
1,tou=,o(,article,Letter of Jeremiah,1,7,,,,,genitive,singular,neuter,
1,qeou=,qeo/s,noun,Letter of Jeremiah,1,8,,,,,genitive,singular,masculine,
1,a)xqh/sesqe,a)/gw,verb,Letter of Jeremiah,1,9,2.0,,,,,,,
1,ei)s,ei)s[1],preposition,Letter of Jeremiah,1,10,,,,indicative,,,,
1,*babulw=na,*babulw/n,noun,Letter of Jeremiah,1,11,,,,,accusative,singular,masculine,
1,ai)xma/lwtoi,ai)xm·a/lwtos[2],noun,Letter of Jeremiah,1,12,,,,,,,,
1,u(po\,u(po/,preposition,Letter of Jeremiah,1,13,,,,indicative,,,,
1,basile/ws,basileu/s,noun,Letter of Jeremiah,1,14,,,,,genitive,singular,masculine,
1,tw=n,o(,article,Letter of Jeremiah,1,15,,,,,genitive,plural,neuter,
2,ei)selqo/ntes,ei)s·e/rxomai,verb,Letter of Jeremiah,1,1,2.0,,,,,,,
2,ou)=n,ou)=n,particle,Letter of Jeremiah,1,2,,,,indicative,,,,
2,ei)s,ei)s[1],preposition,Letter of Jeremiah,1,3,,,,indicative,,,,
2,*babulw=na,*babulw/n,noun,Letter of Jeremiah,1,4,,,,,accusative,singular,masculine,
2,e)/sesqe,ei)mi/[1],verb,Letter of Jeremiah,1,5,,,,,,,,
2,e)kei=,e)kei=,adverb,Letter of Jeremiah,1,6,,,,indicative,,,,
2,e)/th,e)/to·s,noun,Letter of Jeremiah,1,7,,,,,nominative,plural,neuter,
2,plei/ona,plei/wn,quantifier,Letter of Jeremiah,1,8,,,,,,,,
2,kai\,kai/,conjunction,Letter of Jeremiah,1,9,,,,indicative,,,,
2,xro/non,xro/nos,noun,Letter of Jeremiah,1,10,,,,,,,,
2,makro\n,makro/s,adjective,Letter of Jeremiah,1,11,,,,,nominative,singular,neuter,
2,e(/ws,e(/ws[1],conjunction;,Letter of Jeremiah,1,12,,,,,,,,
