verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Leviticus,1,1,,,,indicative,,,,
1,a)neka/lesen,a)na·kale/w,verb,Leviticus,1,2,,,,,,,,
1,*mwush=n,*mwu+sh=s,noun,Leviticus,1,3,,,,,,,,
1,kai\,kai/,conjunction,Leviticus,1,4,,,,indicative,,,,
1,e)la/lhsen,lale/w,verb,Leviticus,1,5,3.0,aorist,active,indicative,,singular,,
1,ku/rios,ku/rios[2],noun,Leviticus,1,6,,,,,vocative,plural,,
1,au)tw=|,au)to/s,pronoun,Leviticus,1,7,,,,,dative,singular,masculine,
1,e)k,e)k,preposition,Leviticus,1,8,,,,indicative,,,,
1,th=s,o(,article,Leviticus,1,9,,,,,genitive,singular,feminine,
1,skhnh=s,skhnh/,noun,Leviticus,1,10,,,,,,,,
1,tou=,o(,article,Leviticus,1,11,,,,,genitive,singular,neuter,
1,marturi/ou,martu/rion,noun,Leviticus,1,12,,,,,genitive,singular,neuter,
1,le/gwn,le/gw,verb,Leviticus,1,13,2.0,,,,,,,
2,la/lhson,lale/w,verb,Leviticus,1,1,2.0,aorist,active,imperative,,singular,,
2,toi=s,o(,article,Leviticus,1,2,,,,,dative,plural,neuter,
2,ui(oi=s,ui(o/s,noun,Leviticus,1,3,,,,,vocative,plural,,
2,*israhl,*)israh/l,noun,Leviticus,1,4,,,,indicative,,,masculine,
2,kai\,kai/,conjunction,Leviticus,1,5,,,,indicative,,,,
2,e)rei=s,e)/ri[d]s,noun,Leviticus,1,6,,,,,accusative,singular,,
2,pro\s,pro/s,preposition,Leviticus,1,7,,,,indicative,,,,
2,au)tou/s,au)to/s,pronoun,Leviticus,1,8,,,,,accusative,plural,masculine,
2,a)/nqrwpos,a)/nqrwpos,noun,Leviticus,1,9,,,,,nominative,singular,masculine,
2,e)c,e)k,preposition,Leviticus,1,10,,,,indicative,,,,
2,u(mw=n,su/,pronoun,Leviticus,1,11,,,,,genitive,plural,,
2,e)a\n,e)a/n,particle,Leviticus,1,12,,,,indicative,,,,
2,prosaga/gh|,pros·a/gw,verb,Leviticus,1,13,2.0,,,,,,,
2,dw=ra,dw=ron,noun,Leviticus,1,14,,,,,,,,
2,tw=|,o(,article,Leviticus,1,15,,,,,dative,singular,neuter,
2,kuri/w|,ku/rios[2],noun,Leviticus,1,16,,,,,vocative,plural,,
2,a)po\,a)po/,preposition,Leviticus,1,17,,,,indicative,,,,
2,tw=n,o(,article,Leviticus,1,18,,,,,genitive,plural,neuter,
2,kthnw=n,kth=no·s,noun,Leviticus,1,19,,,,,genitive,plural,neuter,
2,a)po\,a)po/,preposition,Leviticus,1,20,,,,indicative,,,,
2,tw=n,o(,article,Leviticus,1,21,,,,,genitive,plural,neuter,
2,bow=n,bou=s,noun,Leviticus,1,22,,,,,genitive,plural,masculine,
2,kai\,kai/,conjunction,Leviticus,1,23,,,,indicative,,,,
2,a)po\,a)po/,preposition,Leviticus,1,24,,,,indicative,,,,
2,tw=n,o(,article,Leviticus,1,25,,,,,genitive,plural,neuter,
2,proba/twn,pro/baton,noun,Leviticus,1,26,,,,,,,,
