verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,lo/gou,lo/gos,noun,Malachi,1,1,,,,,genitive,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Malachi,1,2,,,,,vocative,plural,,
1,e)pi\,e)pi/,preposition,Malachi,1,3,,,,indicative,,,,
1,to\n,o(,article,Malachi,1,4,,,,,accusative,singular,masculine,
1,*israhl,*)israh/l,noun,Malachi,1,5,,,,indicative,,,masculine,
1,e)n,e)n,preposition,Malachi,1,6,,,,indicative,,,,
1,xeiri\,xei/r,noun,Malachi,1,7,,,,,dative,plural,,
1,a)gge/lou,a)/ggelos,noun,Malachi,1,8,,,,,genitive,singular,masculine,
1,au)tou=,au)to/s,pronoun,Malachi,1,9,,,,,genitive,singular,masculine,
1,qe/sqe,ti/qhmi,verb,Malachi,1,10,,,,,,,,
1,dh\,dh/,particle,Malachi,1,11,,,,indicative,,,,
1,e)pi\,e)pi/,preposition,Malachi,1,12,,,,indicative,,,,
1,ta\s,o(,article,Malachi,1,13,,,,,accusative,plural,feminine,
1,kardi/as,kardi/a,noun,Malachi,1,14,,,,,genitive,singular,feminine,
1,u(mw=n,su/,pronoun,Malachi,1,15,,,,,genitive,plural,,
2,h)ga/phsa,a)gapa/w,verb,Malachi,1,1,1.0,aorist,active,indicative,,singular,,
2,u(ma=s,su/,pronoun,Malachi,1,2,,,,,accusative,plural,,
2,le/gei,le/gw,verb,Malachi,1,3,2.0,,,,,,,
2,ku/rios,ku/rios[2],noun,Malachi,1,4,,,,,vocative,plural,,
2,kai\,kai/,conjunction,Malachi,1,5,,,,indicative,,,,
2,ei)/pate,le/gw,verb,Malachi,1,6,2.0,,,,,,,
2,e)n,e)n,preposition,Malachi,1,7,,,,indicative,,,,
2,ti/ni,ti/[n]s[1],pronoun,Malachi,1,8,,,,,genitive,,,
2,h)ga/phsas,a)gapa/w,verb,Malachi,1,9,2.0,aorist,active,indicative,,singular,,
2,h(ma=s,e)gw/,pronoun,Malachi,1,10,,,,,accusative,plural,,
2,ou)k,ou)[2]/ou)k/ou)x,particle,Malachi,1,11,,,,indicative,,,,
2,a)delfo\s,a)delfo/s,noun,Malachi,1,12,,,,,vocative,plural,,
2,h)=n,ei)mi/[1],verb,Malachi,1,13,,,,,,,,
2,*hsau,*)hsau=,noun,Malachi,1,14,,,,indicative,,,masculine,
2,tou=,o(,article,Malachi,1,15,,,,,genitive,singular,neuter,
2,*iakwb,*)iakw/b,noun,Malachi,1,16,,,,indicative,,,masculine,
2,le/gei,le/gw,verb,Malachi,1,17,2.0,,,,,,,
2,ku/rios,ku/rios[2],noun,Malachi,1,18,,,,,vocative,plural,,
2,kai\,kai/,conjunction,Malachi,1,19,,,,indicative,,,,
2,h)ga/phsa,a)gapa/w,verb,Malachi,1,20,1.0,aorist,active,indicative,,singular,,
2,to\n,o(,article,Malachi,1,21,,,,,accusative,singular,masculine,
2,*iakwb,*)iakw/b,noun,Malachi,1,22,,,,indicative,,,masculine,
3,to\n,o(,article,Malachi,1,1,,,,,accusative,singular,masculine,
3,de\,de/,particle,Malachi,1,2,,,,indicative,,,,
3,*hsau,*)hsau=,noun,Malachi,1,3,,,,indicative,,,masculine,
3,e)mi/shsa,mise/w,verb,Malachi,1,4,1.0,aorist,active,indicative,,singular,,
3,kai\,kai/,conjunction,Malachi,1,5,,,,indicative,,,,
3,e)/taca,ta/ssw/ta/ttw,verb,Malachi,1,6,1.0,aorist,active,indicative,,singular,,
3,ta\,o(,article,Malachi,1,7,,,,,nominative,plural,neuter,
3,o(/ria,o(/rion,noun,Malachi,1,8,,,,,nominative,plural,neuter,
3,au)tou=,au)to/s,pronoun,Malachi,1,9,,,,,genitive,singular,masculine,
3,ei)s,ei)s[1],preposition,Malachi,1,10,,,,indicative,,,,
3,a)fanismo\n,a)·fanismo/s,noun,Malachi,1,11,,,,,accusative,singular,masculine,
3,kai\,kai/,conjunction,Malachi,1,12,,,,indicative,,,,
3,th\n,o(,article,Malachi,1,13,,,,,accusative,singular,feminine,
3,klhronomi/an,klhro·nomi/a,noun,Malachi,1,14,,,,,accusative,singular,feminine,
3,au)tou=,au)to/s,pronoun,Malachi,1,15,,,,,genitive,singular,masculine,
3,ei)s,ei)s[1],preposition,Malachi,1,16,,,,indicative,,,,
3,do/mata,do/ma[t],noun,Malachi,1,17,,,,,,,,
3,e)rh/mou,e)/rhmos,adjective,Malachi,1,18,,,,,genitive,singular,neuter,
4,dio/ti,di·o/ti,conjunction,Malachi,1,1,,,,indicative,,,,
4,e)rei=,le/gw,verb,Malachi,1,2,2.0,,,,,,,
4,h(,o(,article,Malachi,1,3,,,,,nominative,singular,feminine,
4,*idoumai/a,*)idoumai/a,noun,Malachi,1,4,,,,,nominative,singular,feminine,
4,kate/straptai,kata·stre/fw,verb,Malachi,1,5,3.0,perfect,middle,indicative,,singular,,
4,kai\,kai/,conjunction,Malachi,1,6,,,,indicative,,,,
4,e)pistre/ywmen,e)pi·stre/fw,verb,Malachi,1,7,1.0,aorist,active,subjunctive,,plural,,
4,kai\,kai/,conjunction,Malachi,1,8,,,,indicative,,,,
4,a)noikodomh/swmen,a)n·oiko·dome/w,verb,Malachi,1,9,1.0,aorist,active,subjunctive,,plural,,
4,ta\s,o(,article,Malachi,1,10,,,,,accusative,plural,feminine,
4,e)rh/mous,e)/rhmos,adjective,Malachi,1,11,,,,,accusative,plural,masculine,
4,ta/de,o(/·de,determiner,Malachi,1,12,,,,,nominative,plural,neuter,
4,le/gei,le/gw,verb,Malachi,1,13,2.0,,,,,,,
4,ku/rios,ku/rios[2],noun,Malachi,1,14,,,,,vocative,plural,,
4,pantokra/twr,panto·kra/twr,noun,Malachi,1,15,,,,,nominative,singular,masculine,
4,au)toi\,au)to/s,pronoun,Malachi,1,16,,,,,nominative,plural,masculine,
4,oi)kodomh/sousin,oi)ko·dome/w,verb,Malachi,1,17,3.0,future,active,indicative,,plural,,
4,kai\,kai/,conjunction,Malachi,1,18,,,,indicative,,,,
4,e)gw\,e)gw/,pronoun,Malachi,1,19,,,,,nominative,singular,,
4,katastre/yw,kata·stre/fw,verb,Malachi,1,20,1.0,future,active,indicative,,singular,,
4,kai\,kai/,conjunction,Malachi,1,21,,,,indicative,,,,
4,e)piklhqh/setai,e)pi·kale/w,verb,Malachi,1,22,3.0,future,passive,indicative,,singular,,
4,au)toi=s,au)to/s,pronoun,Malachi,1,23,,,,,dative,plural,masculine,
4,o(/ria,o(/rion,noun,Malachi,1,24,,,,,nominative,plural,neuter,
4,a)nomi/as,a)·nomi/a,noun,Malachi,1,25,,,,,genitive,singular,feminine,
4,kai\,kai/,conjunction,Malachi,1,26,,,,indicative,,,,
4,lao\s,lao/s,noun,Malachi,1,27,,,,,nominative,singular,masculine,
4,e)f’,e)pi/,preposition,Malachi,1,28,,,,indicative,,,,
4,o(\n,o(/s,pronoun,Malachi,1,29,,,,,,,,
4,parate/taktai,para·ta/ssw,verb,Malachi,1,30,,,,,,,,
4,ku/rios,ku/rios[2],noun,Malachi,1,31,,,,,vocative,plural,,
4,e(/ws,e(/ws[1],conjunction;,Malachi,1,32,,,,,,,,
4,ai)w=nos,ai)w/n,noun,Malachi,1,33,,,,,genitive,singular,masculine,
5,kai\,kai/,conjunction,Malachi,1,1,,,,indicative,,,,
5,oi(,o(,article,Malachi,1,2,,,,,nominative,plural,masculine,
5,o)fqalmoi\,o)fqalmo/s,noun,Malachi,1,3,,,,,nominative,plural,masculine,
5,u(mw=n,su/,pronoun,Malachi,1,4,,,,,genitive,plural,,
5,o)/yontai,o(ra/w,verb,Malachi,1,5,,,,,,,,
5,kai\,kai/,conjunction,Malachi,1,6,,,,indicative,,,,
5,u(mei=s,su/,pronoun,Malachi,1,7,,,,,nominative,plural,,
5,e)rei=te,le/gw,verb,Malachi,1,8,2.0,,,,,,,
5,e)megalu/nqh,megalu/nw,verb,Malachi,1,9,3.0,aorist,passive,indicative,,singular,,
5,ku/rios,ku/rios[2],noun,Malachi,1,10,,,,,vocative,plural,,
5,u(pera/nw,u(per·a/nw,adverb,Malachi,1,11,,,,indicative,,,,
5,tw=n,o(,article,Malachi,1,12,,,,,genitive,plural,neuter,
5,o(ri/wn,o(/rion,noun,Malachi,1,13,,,,,genitive,plural,neuter,
5,tou=,o(,article,Malachi,1,14,,,,,genitive,singular,neuter,
5,*israhl,*)israh/l,noun,Malachi,1,15,,,,indicative,,,masculine,
