verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Micah,1,1,,,,indicative,,,,
1,e)ge/neto,gi/nomai/gi/gn-,verb,Micah,1,2,2.0,,,,,,,
1,lo/gos,lo/gos,noun,Micah,1,3,,,,,nominative,singular,masculine,
1,kuri/ou,ku/rios[2],noun,Micah,1,4,,,,,vocative,plural,,
1,pro\s,pro/s,preposition,Micah,1,5,,,,indicative,,,,
1,to\n,o(,article,Micah,1,6,,,,,accusative,singular,masculine,
1,tou=,o(,article,Micah,1,7,,,,,genitive,singular,neuter,
1,e)n,e)n,preposition,Micah,1,8,,,,indicative,,,,
1,h(me/rais,h(me/ra,noun,Micah,1,9,,,,,dative,plural,feminine,
1,*iwaqam,*)iwaqa/m,noun,Micah,1,10,,,,,,,,
1,kai\,kai/,conjunction,Micah,1,11,,,,indicative,,,,
1,*axaz,*)axa/z,noun,Micah,1,12,,,,indicative,,,masculine,
1,kai\,kai/,conjunction,Micah,1,13,,,,indicative,,,,
1,*ezekiou,*(ezeki/as,noun,Micah,1,14,,,,,genitive,singular,masculine,
1,basile/wn,basileu/s,noun,Micah,1,15,,,,,genitive,plural,masculine,
1,*iouda,*)iou/das,noun,Micah,1,16,,,,,,,,
1,u(pe\r,u(pe/r,preposition,Micah,1,17,,,,indicative,,,,
1,w(=n,o(/s,pronoun,Micah,1,18,,,,,genitive,plural,neuter,
1,ei)=den,o(ra/w,verb,Micah,1,19,,,,,,,,
1,peri\,peri/,preposition,Micah,1,20,,,,indicative,,,,
1,*samarei/as,*sama/reia,noun,Micah,1,21,,,,,genitive,singular,feminine,
1,kai\,kai/,conjunction,Micah,1,22,,,,indicative,,,,
1,peri\,peri/,preposition,Micah,1,23,,,,indicative,,,,
1,*ierousalhm,*(ieroso/luma,noun,Micah,1,24,,,,,,,,
2,a)kou/sate,a)kou/w,verb,Micah,1,1,2.0,aorist,active,imperative,,plural,,
2,laoi/,lao/s,noun,Micah,1,2,,,,,nominative,plural,masculine,
2,lo/gous,lo/gos,noun,Micah,1,3,,,,,accusative,plural,masculine,
2,kai\,kai/,conjunction,Micah,1,4,,,,indicative,,,,
2,prosexe/tw,pros·e/xw,verb,Micah,1,5,2.0,,,,,,,
2,h(,o(,article,Micah,1,6,,,,,nominative,singular,feminine,
2,gh=,gh=,noun,Micah,1,7,,,,,vocative,singular,,
2,kai\,kai/,conjunction,Micah,1,8,,,,indicative,,,,
2,pa/ntes,pa=[nt]s,quantifier,Micah,1,9,,,,,genitive,singular,,
2,oi(,o(,article,Micah,1,10,,,,,nominative,plural,masculine,
2,e)n,e)n,preposition,Micah,1,11,,,,indicative,,,,
2,au)th=|,au)to/s,pronoun,Micah,1,12,,,,,dative,singular,feminine,
2,kai\,kai/,conjunction,Micah,1,13,,,,indicative,,,,
2,e)/stai,ei)mi/[1],verb,Micah,1,14,,,,,,,,
2,ku/rios,ku/rios[2],noun,Micah,1,15,,,,,vocative,plural,,
2,e)n,e)n,preposition,Micah,1,16,,,,indicative,,,,
2,u(mi=n,su/,pronoun,Micah,1,17,,,,,dative,plural,,
2,ei)s,ei)s[1],preposition,Micah,1,18,,,,indicative,,,,
2,martu/rion,martu/rion,noun,Micah,1,19,,,,,nominative,singular,neuter,
2,ku/rios,ku/rios[2],noun,Micah,1,20,,,,,vocative,plural,,
2,e)c,e)k,preposition,Micah,1,21,,,,indicative,,,,
2,oi)/kou,oi)=kos,noun,Micah,1,22,,,,,,,,
2,a(gi/ou,a(/gios,adjective,Micah,1,23,,,,,,,,
2,au)tou=,au)to/s,pronoun,Micah,1,24,,,,,genitive,singular,masculine,
3,dio/ti,di·o/ti,conjunction,Micah,1,1,,,,indicative,,,,
3,i)dou\,o(ra/w,verb,Micah,1,2,,,,,,,,
3,ku/rios,ku/rios[2],noun,Micah,1,3,,,,,vocative,plural,,
3,e)kporeu/etai,e)k·poreu/omai,verb,Micah,1,4,3.0,present,middle,indicative,,singular,,
3,e)k,e)k,preposition,Micah,1,5,,,,indicative,,,,
3,tou=,o(,article,Micah,1,6,,,,,genitive,singular,neuter,
3,to/pou,to/pos,noun,Micah,1,7,,,,,genitive,singular,masculine,
3,au)tou=,au)to/s,pronoun,Micah,1,8,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Micah,1,9,,,,indicative,,,,
3,katabh/setai,kata·bai/nw,verb,Micah,1,10,2.0,,,,,,,
3,kai\,kai/,conjunction,Micah,1,11,,,,indicative,,,,
3,e)pibh/setai,e)pi·bai/nw,verb,Micah,1,12,2.0,,,,,,,
3,e)pi\,e)pi/,preposition,Micah,1,13,,,,indicative,,,,
3,ta\,o(,article,Micah,1,14,,,,,nominative,plural,neuter,
3,u(/yh,u(/yo·s,noun,Micah,1,15,,,,,genitive,plural,,
3,th=s,o(,article,Micah,1,16,,,,,genitive,singular,feminine,
3,gh=s,gh=,noun,Micah,1,17,,,,,vocative,singular,,
4,kai\,kai/,conjunction,Micah,1,1,,,,indicative,,,,
4,saleuqh/setai,saleu/w,verb,Micah,1,2,3.0,future,passive,indicative,,singular,,
4,ta\,o(,article,Micah,1,3,,,,,nominative,plural,neuter,
4,o)/rh,o)/ro·s,noun,Micah,1,4,,,,,genitive,plural,,
4,au)tou=,au)to/s,pronoun,Micah,1,5,,,,,genitive,singular,masculine,
4,kai\,kai/,conjunction,Micah,1,6,,,,indicative,,,,
4,ai(,o(,article,Micah,1,7,,,,,nominative,plural,feminine,
4,takh/sontai,th/kw,verb,Micah,1,8,3.0,future,passive,indicative,,plural,,
4,w(s,w(s,adverb,Micah,1,9,,,,indicative,,,,
4,a)po\,a)po/,preposition,Micah,1,10,,,,indicative,,,,
4,prosw/pou,pro/s·wpon,noun,Micah,1,11,,,,,genitive,singular,neuter,
4,puro\s,pu=r,noun,Micah,1,12,,,,,genitive,singular,neuter,
4,kai\,kai/,conjunction,Micah,1,13,,,,indicative,,,,
4,w(s,w(s,adverb,Micah,1,14,,,,indicative,,,,
4,u(/dwr,u(/dwr,noun,Micah,1,15,,,,,,,,
4,katafero/menon,kata·fe/rw,verb,Micah,1,16,,present,middle,participle,accusative,singular,masculine,
4,e)n,e)n,preposition,Micah,1,17,,,,indicative,,,,
4,kataba/sei,kata/·basis,noun,Micah,1,18,,,,,dative,singular,feminine,
5,dia\,dia/,preposition,Micah,1,1,,,,indicative,,,,
5,a)se/beian,a)·se/beia,noun,Micah,1,2,,,,,accusative,singular,feminine,
5,*iakwb,*)iakw/b,noun,Micah,1,3,,,,indicative,,,masculine,
5,pa/nta,pa=[nt]s,quantifier,Micah,1,4,,,,,genitive,singular,,
5,tau=ta,ou(=tos,determiner,Micah,1,5,,,,,nominative,plural,neuter,
5,kai\,kai/,conjunction,Micah,1,6,,,,indicative,,,,
5,dia\,dia/,preposition,Micah,1,7,,,,indicative,,,,
5,a(marti/an,a(·marti/a,noun,Micah,1,8,,,,,accusative,singular,feminine,
5,oi)/kou,oi)=kos,noun,Micah,1,9,,,,,,,,
5,*israhl,*)israh/l,noun,Micah,1,10,,,,indicative,,,masculine,
5,ti/s,ti/[n]s[1],pronoun,Micah,1,11,,,,,genitive,,,
5,h(,o(,article,Micah,1,12,,,,,nominative,singular,feminine,
