verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,*nineuh,*nineui/+,noun,Nahum,1,1,,,,,,,,
1,bibli/on,bibli/on/bubli/on,noun,Nahum,1,2,,,,,,,,
1,o(ra/sews,o(/rasis,noun,Nahum,1,3,,,,,genitive,singular,feminine,
1,*naoum,*naou/m,noun,Nahum,1,4,,,,indicative,,,masculine,
1,tou=,o(,article,Nahum,1,5,,,,,genitive,singular,neuter,
2,qeo\s,qeo/s,noun,Nahum,1,1,,,,,nominative,singular,masculine,
2,zhlwth\s,zhlwth/s,noun,Nahum,1,2,,,,,nominative,singular,masculine,
2,kai\,kai/,conjunction,Nahum,1,3,,,,indicative,,,,
2,e)kdikw=n,e)/k·dikos,adjective,Nahum,1,4,,,,,,,,
2,ku/rios,ku/rios[2],noun,Nahum,1,5,,,,,vocative,plural,,
2,e)kdikw=n,e)/k·dikos,adjective,Nahum,1,6,,,,,,,,
2,ku/rios,ku/rios[2],noun,Nahum,1,7,,,,,vocative,plural,,
2,meta\,meta/,preposition,Nahum,1,8,,,,indicative,,,,
2,qumou=,qumo/s,noun,Nahum,1,9,,,,,,,,
2,e)kdikw=n,e)/k·dikos,adjective,Nahum,1,10,,,,,,,,
2,ku/rios,ku/rios[2],noun,Nahum,1,11,,,,,vocative,plural,,
2,tou\s,o(,article,Nahum,1,12,,,,,accusative,plural,masculine,
2,u(penanti/ous,u(p·en·anti/os,adjective,Nahum,1,13,,,,,accusative,plural,masculine,
2,au)tou=,au)to/s,pronoun,Nahum,1,14,,,,,genitive,singular,masculine,
2,kai\,kai/,conjunction,Nahum,1,15,,,,indicative,,,,
2,e)cai/rwn,e)c·ai/rw,verb;,Nahum,1,16,2.0,,,,,,,
2,au)to\s,au)to/s,pronoun,Nahum,1,17,,,,,nominative,singular,masculine,
2,tou\s,o(,article,Nahum,1,18,,,,,accusative,plural,masculine,
2,e)xqrou\s,e)xqro/s,adjective,Nahum,1,19,,,,,accusative,plural,masculine,
2,au)tou=,au)to/s,pronoun,Nahum,1,20,,,,,genitive,singular,masculine,
3,ku/rios,ku/rios[2],noun,Nahum,1,1,,,,,vocative,plural,,
3,makro/qumos,makro/·qumos,adjective,Nahum,1,2,,,,,nominative,singular,masculine,
3,kai\,kai/,conjunction,Nahum,1,3,,,,indicative,,,,
3,mega/lh,me/g[al]as,adjective,Nahum,1,4,,,,,nominative,singular,feminine,
3,h(,o(,article,Nahum,1,5,,,,,nominative,singular,feminine,
3,i)sxu\s,i)sxu/s,noun,Nahum,1,6,,,,,nominative,singular,feminine,
3,au)tou=,au)to/s,pronoun,Nahum,1,7,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Nahum,1,8,,,,indicative,,,,
3,a)qw|w=n,a)·qw=|os,adjective,Nahum,1,9,,,,,genitive,plural,neuter,
3,ou)k,ou)[2]/ou)k/ou)x,particle,Nahum,1,10,,,,indicative,,,,
3,ku/rios,ku/rios[2],noun,Nahum,1,11,,,,,vocative,plural,,
3,e)n,e)n,preposition,Nahum,1,12,,,,indicative,,,,
3,suntelei/a|,sun·te/leia,noun,Nahum,1,13,,,,,dative,singular,feminine,
3,kai\,kai/,conjunction,Nahum,1,14,,,,indicative,,,,
3,e)n,e)n,preposition,Nahum,1,15,,,,indicative,,,,
3,h(,o(,article,Nahum,1,16,,,,,nominative,singular,feminine,
3,o(do\s,o(do/s,noun,Nahum,1,17,,,,,nominative,singular,feminine,
3,au)tou=,au)to/s,pronoun,Nahum,1,18,,,,,genitive,singular,masculine,
3,kai\,kai/,conjunction,Nahum,1,19,,,,indicative,,,,
3,nefe/lai,nefe/lh,noun,Nahum,1,20,,,,,,,,
3,koniorto\s,koniorto/s,noun,Nahum,1,21,,,,,nominative,singular,masculine,
3,podw=n,pou/s,noun,Nahum,1,22,,,,,,,,
3,au)tou=,au)to/s,pronoun,Nahum,1,23,,,,,genitive,singular,masculine,
4,a)peilw=n,a)peilh/,noun,Nahum,1,1,,,,,genitive,plural,feminine,
4,qala/ssh|,qa/lassa,noun,Nahum,1,2,,,,,dative,singular,feminine,
4,kai\,kai/,conjunction,Nahum,1,3,,,,indicative,,,,
4,chrai/nwn,chrai/nw,verb,Nahum,1,4,,present,active,participle,nominative,singular,masculine,
4,au)th\n,au)to/s,pronoun,Nahum,1,5,,,,,accusative,singular,feminine,
4,kai\,kai/,conjunction,Nahum,1,6,,,,indicative,,,,
4,pa/ntas,pa=[nt]s,quantifier,Nahum,1,7,,,,,genitive,singular,,
4,tou\s,o(,article,Nahum,1,8,,,,,accusative,plural,masculine,
4,potamou\s,potamo/s,noun,Nahum,1,9,,,,,accusative,plural,masculine,
4,h(,o(,article,Nahum,1,10,,,,,nominative,singular,feminine,
4,kai\,kai/,conjunction,Nahum,1,11,,,,indicative,,,,
4,o(,o(,article,Nahum,1,12,,,,,nominative,singular,masculine,
4,kai\,kai/,conjunction,Nahum,1,13,,,,indicative,,,,
4,ta\,o(,article,Nahum,1,14,,,,,nominative,plural,neuter,
4,tou=,o(,article,Nahum,1,15,,,,,genitive,singular,neuter,
4,*liba/nou,li/banos[1],noun,Nahum,1,16,,,,,,,,
4,e)ce/lipen,e)k·lei/pw,verb,Nahum,1,17,2.0,,,,,,,
5,ta\,o(,article,Nahum,1,1,,,,,nominative,plural,neuter,
5,o)/rh,o)/ro·s,noun,Nahum,1,2,,,,,genitive,plural,,
5,e)sei/sqhsan,sei/w,verb,Nahum,1,3,3.0,aorist,passive,indicative,,plural,,
5,a)p’,a)po/,preposition,Nahum,1,4,,,,indicative,,,,
5,au)tou=,au)to/s,pronoun,Nahum,1,5,,,,,genitive,singular,masculine,
5,kai\,kai/,conjunction,Nahum,1,6,,,,indicative,,,,
5,oi(,o(,article,Nahum,1,7,,,,,nominative,plural,masculine,
5,bounoi\,bouno/s,noun,Nahum,1,8,,,,,,,,
5,e)saleu/qhsan,saleu/w,verb,Nahum,1,9,3.0,aorist,passive,indicative,,plural,,
5,kai\,kai/,conjunction,Nahum,1,10,,,,indicative,,,,
5,h(,o(,article,Nahum,1,11,,,,,nominative,singular,feminine,
5,gh=,gh=,noun,Nahum,1,12,,,,,vocative,singular,,
5,a)po\,a)po/,preposition,Nahum,1,13,,,,indicative,,,,
5,prosw/pou,pro/s·wpon,noun,Nahum,1,14,,,,,genitive,singular,neuter,
5,au)tou=,au)to/s,pronoun,Nahum,1,15,,,,,genitive,singular,masculine,
5,h(,o(,article,Nahum,1,16,,,,,nominative,singular,feminine,
5,kai\,kai/,conjunction,Nahum,1,17,,,,indicative,,,,
5,pa/ntes,pa=[nt]s,quantifier,Nahum,1,18,,,,,genitive,singular,,
5,oi(,o(,article,Nahum,1,19,,,,,nominative,plural,masculine,
5,katoikou=ntes,kat·oike/w,verb,Nahum,1,20,,present,active,participle,nominative,plural,masculine,
5,e)n,e)n,preposition,Nahum,1,21,,,,indicative,,,,
5,au)th=|,au)to/s,pronoun,Nahum,1,22,,,,,dative,singular,feminine,
6,a)po\,a)po/,preposition,Nahum,1,1,,,,indicative,,,,
6,prosw/pou,pro/s·wpon,noun,Nahum,1,2,,,,,genitive,singular,neuter,
6,o)rgh=s,o)rgh/,noun,Nahum,1,3,,,,,,,,
6,au)tou=,au)to/s,pronoun,Nahum,1,4,,,,,genitive,singular,masculine,
6,ti/s,ti/[n]s[1],pronoun,Nahum,1,5,,,,,genitive,,,
6,u(posth/setai,u(f·i/sthmi,verb,Nahum,1,6,,,,,,,,
6,kai\,kai/,conjunction,Nahum,1,7,,,,indicative,,,,
6,ti/s,ti/[n]s[1],pronoun,Nahum,1,8,,,,,genitive,,,
6,a)ntisth/setai,a)nq·i/sthmi,verb,Nahum,1,9,,,,,,,,
6,e)n,e)n,preposition,Nahum,1,10,,,,indicative,,,,
6,o)rgh=|,o)rgh/,noun,Nahum,1,11,,,,,,,,
6,qumou=,qumo/s,noun,Nahum,1,12,,,,,,,,
6,au)tou=,au)to/s,pronoun,Nahum,1,13,,,,,genitive,singular,masculine,
6,o(,o(,article,Nahum,1,14,,,,,nominative,singular,masculine,
6,qumo\s,qumo/s,noun,Nahum,1,15,,,,,,,,
6,au)tou=,au)to/s,pronoun,Nahum,1,16,,,,,genitive,singular,masculine,
6,th/kei,th/kw,verb,Nahum,1,17,3.0,present,active,indicative,,singular,,
6,a)rxa/s,a)rxh/,noun,Nahum,1,18,,,,,accusative,plural,feminine,
6,kai\,kai/,conjunction,Nahum,1,19,,,,indicative,,,,
6,ai(,o(,article,Nahum,1,20,,,,,nominative,plural,feminine,
6,pe/trai,pe/tra,noun,Nahum,1,21,,,,,nominative,plural,feminine,
6,a)p’,a)po/,preposition,Nahum,1,22,,,,indicative,,,,
6,au)tou=,au)to/s,pronoun,Nahum,1,23,,,,,genitive,singular,masculine,
7,xrhsto\s,xrhsto/s,adjective,Nahum,1,1,,,,,nominative,singular,masculine,
7,ku/rios,ku/rios[2],noun,Nahum,1,2,,,,,vocative,plural,,
7,toi=s,o(,article,Nahum,1,3,,,,,dative,plural,neuter,
7,u(pome/nousin,u(po·me/nw,verb,Nahum,1,4,3.0,present,active,indicative,,plural,,
7,au)to\n,au)to/s,pronoun,Nahum,1,5,,,,,accusative,singular,masculine,
7,e)n,e)n,preposition,Nahum,1,6,,,,indicative,,,,
7,h(me/ra|,h(me/ra,noun,Nahum,1,7,,,,,dative,singular,feminine,
7,qli/yews,qli=yis,noun,Nahum,1,8,,,,,genitive,singular,feminine,
7,kai\,kai/,conjunction,Nahum,1,9,,,,indicative,,,,
7,ginw/skwn,ginw/skw/gign-,verb,Nahum,1,10,2.0,,,,,,,
7,tou\s,o(,article,Nahum,1,11,,,,,accusative,plural,masculine,
7,eu)laboume/nous,eu)·labe/omai,verb,Nahum,1,12,,present,middle,participle,accusative,plural,masculine,
7,au)to/n,au)to/s,pronoun,Nahum,1,13,,,,,accusative,singular,masculine,
8,kai\,kai/,conjunction,Nahum,1,1,,,,indicative,,,,
8,e)n,e)n,preposition,Nahum,1,2,,,,indicative,,,,
8,kataklusmw=|,kata·klusmo/s,noun,Nahum,1,3,,,,,dative,singular,masculine,
8,porei/as,porei/a,noun,Nahum,1,4,,,,,genitive,singular,feminine,
8,sunte/leian,sun·te/leia,noun,Nahum,1,5,,,,,accusative,singular,feminine,
8,poih/setai,poie/w,verb,Nahum,1,6,3.0,future,middle,indicative,,singular,,
8,tou\s,o(,article,Nahum,1,7,,,,,accusative,plural,masculine,
8,e)pegeirome/nous,e)p·egei/rw,verb,Nahum,1,8,,present,middle,participle,accusative,plural,masculine,
8,kai\,kai/,conjunction,Nahum,1,9,,,,indicative,,,,
