verse,wordform,lemma,pos,book,chapter,word_order,person,tense,voice,mood,case,number,gender,degree
1,kai\,kai/,conjunction,Numbers,1,1,,,,indicative,,,,
1,e)la/lhsen,lale/w,verb,Numbers,1,2,3.0,aorist,active,indicative,,singular,,
1,ku/rios,ku/rios[2],noun,Numbers,1,3,,,,,vocative,plural,,
1,pro\s,pro/s,preposition,Numbers,1,4,,,,indicative,,,,
1,*mwush=n,*mwu+sh=s,noun,Numbers,1,5,,,,,,,,
1,e)n,e)n,preposition,Numbers,1,6,,,,indicative,,,,
1,th=|,o(,article,Numbers,1,7,,,,,dative,singular,feminine,
1,e)rh/mw|,e)/rhmos,adjective,Numbers,1,8,,,,,dative,singular,neuter,
1,th=|,o(,article,Numbers,1,9,,,,,dative,singular,feminine,
1,*sina,*sina=,noun,Numbers,1,10,,,,indicative,,,,
1,e)n,e)n,preposition,Numbers,1,11,,,,indicative,,,,
1,th=|,o(,article,Numbers,1,12,,,,,dative,singular,feminine,
1,skhnh=|,skhnh/,noun,Numbers,1,13,,,,,,,,
1,tou=,o(,article,Numbers,1,14,,,,,genitive,singular,neuter,
1,marturi/ou,martu/rion,noun,Numbers,1,15,,,,,genitive,singular,neuter,
1,e)n,e)n,preposition,Numbers,1,16,,,,indicative,,,,
1,mia=|,ei(=s[2],quantifier,Numbers,1,17,,,,,genitive,singular,,
1,tou=,o(,article,Numbers,1,18,,,,,genitive,singular,neuter,
1,mhno\s,mh/n[2],noun,Numbers,1,19,,,,,genitive,singular,masculine,
1,tou=,o(,article,Numbers,1,20,,,,,genitive,singular,neuter,
1,deute/rou,deu/teros,quantifier,Numbers,1,21,,,,,genitive,singular,neuter,
1,e)/tous,e)/to·s,noun,Numbers,1,22,,,,,genitive,singular,neuter,
1,deute/rou,deu/teros,quantifier,Numbers,1,23,,,,,genitive,singular,neuter,
1,e)celqo/ntwn,e)c·e/rxomai,verb,Numbers,1,24,2.0,,,,,,,
1,au)tw=n,au)to/s,pronoun,Numbers,1,25,,,,,genitive,plural,feminine,
1,e)k,e)k,preposition,Numbers,1,26,,,,indicative,,,,
1,gh=s,gh=,noun,Numbers,1,27,,,,,vocative,singular,,
1,*ai)gu/ptou,*ai)/guptos,noun,Numbers,1,28,,,,,genitive,singular,feminine,
1,le/gwn,le/gw,verb,Numbers,1,29,2.0,,,,,,,
2,la/bete,lamba/nw,verb,Numbers,1,1,2.0,,,,,,,
2,a)rxh\n,a)rxh/,noun,Numbers,1,2,,,,,accusative,singular,feminine,
2,pa/shs,pa=[nt]s,quantifier,Numbers,1,3,,,,,genitive,singular,,
2,sunagwgh=s,sun·agwgh/,noun,Numbers,1,4,,,,,genitive,singular,feminine,
2,ui(w=n,ui(o/s,noun,Numbers,1,5,,,,,vocative,plural,,
2,*israhl,*)israh/l,noun,Numbers,1,6,,,,indicative,,,masculine,
2,kata\,kata/,preposition,Numbers,1,7,,,,indicative,,,,
2,suggenei/as,sug·ge/neia,noun,Numbers,1,8,,,,,genitive,singular,feminine,
2,au)tw=n,au)to/s,pronoun,Numbers,1,9,,,,,genitive,plural,feminine,
2,kat’,kata/,preposition,Numbers,1,10,,,,indicative,,,,
2,oi)/kous,oi)=kos,noun,Numbers,1,11,,,,,,,,
2,patriw=n,patria/,noun,Numbers,1,12,,,,,genitive,plural,feminine,
2,au)tw=n,au)to/s,pronoun,Numbers,1,13,,,,,genitive,plural,feminine,
2,kata\,kata/,preposition,Numbers,1,14,,,,indicative,,,,
2,a)riqmo\n,a)riqmo/s,noun,Numbers,1,15,,,,,accusative,singular,masculine,
2,e)c,e)k,preposition,Numbers,1,16,,,,indicative,,,,
2,o)no/matos,o)/noma[t],noun,Numbers,1,17,,,,,genitive,singular,neuter,
2,au)tw=n,au)to/s,pronoun,Numbers,1,18,,,,,genitive,plural,feminine,
2,kata\,kata/,preposition,Numbers,1,19,,,,indicative,,,,
2,kefalh\n,kefalh/,noun,Numbers,1,20,,,,,accusative,singular,feminine,
2,au)tw=n,au)to/s,pronoun,Numbers,1,21,,,,,genitive,plural,feminine,
2,pa=s,pa=[nt]s,quantifier,Numbers,1,22,,,,,genitive,singular,,
2,a)/rshn,a)/rshn,adjective,Numbers,1,23,,,,,,,,
3,a)po\,a)po/,preposition,Numbers,1,1,,,,indicative,,,,
3,kai\,kai/,conjunction,Numbers,1,2,,,,indicative,,,,
3,e)pa/nw,e)p·a/nw,adverb,Numbers,1,3,,,,indicative,,,,
